position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 15.50000, 15.59020, true
-0.03012, -0.60234, -12.04688, -240.93768, 0.00011, 0.05000, 15.46988, 15.59020, true
-0.09105, -1.21861, -12.32540, -5.57032, 0.00096, 0.05000, 15.40895, 15.59017, true
-0.18416, -1.86225, -12.87272, -10.94644, 0.00382, 0.05000, 15.31584, 15.58996, true
-0.31149, -2.54666, -13.68810, -16.30746, 0.01054, 0.05000, 15.18851, 15.58908, true
-0.47586, -3.28735, -14.81387, -22.51544, 0.02372, 0.05000, 15.02417, 15.58633, true
-0.68119, -4.10662, -16.38548, -31.43221, 0.04696, 0.05000, 14.81896, 15.57920, true
-0.92095, -4.79524, -13.77238, 52.26192, 0.08345, 0.05000, 14.57969, 15.56378, true
-1.17521, -5.08521, -5.79941, 159.45942, 0.13324, 0.05000, 14.32690, 15.53653, true
-1.44730, -5.44176, -7.13102, -26.63216, 0.19941, 0.05000, 14.05851, 15.49178, true
-1.74145, -5.88305, -8.82567, -33.89305, 0.28586, 0.05000, 13.77289, 15.42147, true
-2.06202, -6.41140, -10.56701, -34.82673, 0.39660, 0.05000, 13.47066, 15.31460, true
-2.41113, -6.98203, -11.41268, -16.91352, 0.53362, 0.05000, 13.15845, 15.15841, true
-2.78442, -7.46590, -9.67734, 34.70695, 0.69294, 0.05000, 12.85301, 14.94380, true
-3.16813, -7.67415, -4.16497, 110.24724, 0.86187, 0.05000, 12.57952, 14.67466, true
-3.54318, -7.50106, 3.46167, 152.53295, 1.02281, 0.05000, 12.35924, 14.37111, true
-3.89496, -7.03556, 9.30998, 116.96604, 1.16229, 0.05000, 12.19772, 14.05861, true
-4.21827, -6.46618, 11.38777, 41.55582, 1.27556, 0.05000, 12.08670, 13.75496, true
-4.51480, -5.93065, 10.71055, -13.54433, 1.36419, 0.05000, 12.01344, 13.46762, true
-4.78883, -5.48056, 9.00177, -34.17561, 1.43214, 0.05000, 11.96668, 13.19761, true
-5.04465, -5.11646, 7.28194, -34.39667, 1.48337, 0.05000, 11.93807, 12.94339, true
-5.28570, -4.82090, 5.91135, -27.41169, 1.52103, 0.05000, 11.92175, 12.70290, true
-5.51438, -4.57368, 4.94438, -19.33936, 1.54735, 0.05000, 11.91356, 12.47436, true
