position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 15.50000, 13.40980, true
-0.02988, -0.59766, -11.95312, -239.06232, 0.00011, 0.05000, 15.47012, 13.40980, true
-0.08895, -1.18139, -11.67460, 5.57035, 0.00096, 0.05000, 15.41105, 13.40977, true
-0.17584, -1.73775, -11.12725, 10.94688, 0.00382, 0.05000, 15.32416, 13.40958, true
-0.28851, -2.25334, -10.31175, 16.31014, 0.01054, 0.05000, 15.21150, 13.40880, true
-0.42414, -2.71261, -9.18544, 22.52607, 0.02372, 0.05000, 15.07588, 13.40655, true
-0.57880, -3.09322, -7.61215, 31.46589, 0.04696, 0.05000, 14.92132, 13.40121, true
-0.73901, -3.20432, -2.22199, 107.80318, 0.08345, 0.05000, 14.76143, 13.39097, true
-0.88471, -2.91396, 5.80705, 160.58086, 0.13324, 0.05000, 14.61656, 13.37546, true
-1.01255, -2.55678, 7.14365, 26.73191, 0.19941, 0.05000, 14.49043, 13.35459, true
-1.11827, -2.11447, 8.84624, 34.05191, 0.28586, 0.05000, 14.38772, 13.32955, true
-1.19750, -1.58453, 10.59885, 35.05211, 0.39660, 0.05000, 14.31292, 13.30345, true
-1.24809, -1.01173, 11.45598, 17.14256, 0.53362, 0.05000, 14.26751, 13.28114, true
-1.27437, -0.52565, 9.72163, -34.68688, 0.69294, 0.05000, 14.24585, 13.26626, true
-1.29018, -0.31631, 4.18671, -110.69839, 0.86187, 0.05000, 14.23457, 13.25517, true
-1.31470, -0.49030, -3.47988, -153.33194, 1.02281, 0.05000, 14.22038, 13.23519, true
-1.36260, -0.95797, -9.35326, -117.46742, 1.16229, 0.05000, 14.19871, 13.19247, true
-1.43908, -1.52956, -11.43185, -41.57192, 1.27556, 0.05000, 14.17276, 13.12053, true
-1.54241, -2.06674, -10.74360, 13.76509, 1.36419, 0.05000, 14.14747, 13.02033, true
-1.66831, -2.51790, -9.02330, 34.40597, 1.43214, 0.05000, 14.12615, 12.89626, true
-1.81244, -2.88266, -7.29519, 34.56217, 1.48337, 0.05000, 14.11014, 12.75302, true
-1.97137, -3.17863, -5.91938, 27.51627, 1.52103, 0.05000, 14.09945, 12.59444, true
-2.14268, -3.42609, -4.94921, 19.40323, 1.54735, 0.05000, 14.09336, 12.42325, true
-2.29687, -3.08385, 6.84481, 235.88056, 1.56185, 0.05000, 14.09096, 12.26907, true
-2.42941, -2.65082, 8.66073, 36.31840, 1.56869, 0.05000, 14.09028, 12.13653, true
-2.53703, -2.15247, 9.96694, 26.12416, 1.57087, 0.05000, 14.09020, 12.02891, true
-2.55949, -0.44903, 34.06872, 482.03563, 1.57097, 0.05000, 14.09019, 12.05136, true
-2.60949, -1.00006, -11.02061, -901.78669, 1.57097, 0.05000, 14.09018, 12.10137, true
-2.62949, -0.40004, 12.00048, 460.42175, 1.57098, 0.05000, 14.09018, 12.12137, true
-2.62949, 0.00000, 8.00077, -79.99406, 1.57098, 0.05000, 14.09018, 12.11137, true
-2.62949, 0.00000, 0.00000, -160.01547, 1.57098, 0.05000, 14.09018, 12.11137, true
-2.62949, 0.00000, 0.00000, 0.00000, 1.57098, 0.05000, 14.09018, 12.11137, false
-2.59949, 0.60007, 12.00135, 240.02704, 1.57098, 0.05000, 14.09017, 12.14137, false
-2.53948, 1.20020, 12.00260, 0.02499, 1.57099, 0.05000, 14.09016, 12.20138, false
-2.44945, 1.80048, 12.00558, 0.05959, 1.57101, 0.05000, 14.09015, 12.29140, false
-2.32940, 2.40104, 12.01124, 0.11315, 1.57106, 0.05000, 14.09012, 12.41146, false
-2.17930, 3.00209, 12.02096, 0.19448, 1.57115, 0.05000, 14.09007, 12.56156, false
-1.99910, 3.60391, 12.03654, 0.31160, 1.57133, 0.05000, 14.08999, 12.74176, false
-1.79878, 4.00653, 8.05225, -79.68584, 1.57163, 0.05000, 14.08986, 12.94208, false
-1.59831, 4.00924, 0.05427, -159.95956, 1.57206, 0.05000, 14.08965, 13.14254, false
-1.39769, 4.01238, 0.06281, 0.17072, 1.57262, 0.05000, 14.08934, 13.34316, false
-1.19690, 4.01594, 0.07119, 0.16760, 1.57335, 0.05000, 14.08890, 13.54396, false
-0.99590, 4.01991, 0.07945, 0.16515, 1.57427, 0.05000, 14.08830, 13.74495, false
-0.79469, 4.02429, 0.08762, 0.16343, 1.57538, 0.05000, 14.08750, 13.94617, false
-0.59323, 4.02908, 0.09574, 0.16249, 1.57672, 0.05000, 14.08644, 14.14762, false
-0.39152, 4.03427, 0.10386, 0.16239, 1.57829, 0.05000, 14.08509, 14.34933, false
-0.18953, 4.03987, 0.11202, 0.16316, 1.58012, 0.05000, 14.08340, 14.55131, false
0.01277, 4.04589, 0.12026, 0.16486, 1.58222, 0.05000, 14.08131, 14.75360, false
0.21538, 4.05232, 0.12864, 0.16753, 1.58462, 0.05000, 14.07875, 14.95620, false
0.41834, 4.05918, 0.13720, 0.17122, 1.58733, 0.05000, 14.07568, 15.15913, false
0.62167, 4.06648, 0.14600, 0.17596, 1.59038, 0.05000, 14.07201, 15.36242, false
0.82538, 4.07423, 0.15509, 0.18182, 1.59379, 0.05000, 14.06768, 15.56609, false
1.02950, 4.08246, 0.16453, 0.18884, 1.59757, 0.05000, 14.06261, 15.77015, false
1.23406, 4.09118, 0.17439, 0.19708, 1.60175, 0.05000, 14.05671, 15.97462, false
1.43908, 4.10042, 0.18472, 0.20660, 1.60636, 0.05000, 14.04990, 16.17953, false
1.64459, 4.11019, 0.19559, 0.21744, 1.61141, 0.05000, 14.04208, 16.38489, false
1.85062, 4.12055, 0.20707, 0.22968, 1.61694, 0.05000, 14.03316, 16.59073, false
2.05719, 4.13151, 0.21924, 0.24336, 1.62297, 0.05000, 14.02301, 16.79705, false
2.26435, 4.14312, 0.23217, 0.25854, 1.62954, 0.05000, 14.01154, 17.00389, false
2.47212, 4.15542, 0.24593, 0.27528, 1.63666, 0.05000, 13.99861, 17.21126, false
2.68054, 4.16845, 0.26061, 0.29360, 1.64439, 0.05000, 13.98410, 17.41917, false
2.88966, 4.18226, 0.27629, 0.31352, 1.65275, 0.05000, 13.96787, 17.62766, false
3.09950, 4.19691, 0.29304, 0.33502, 1.66178, 0.05000, 13.94975, 17.83672, false
3.31013, 4.21246, 0.31094, 0.35806, 1.67153, 0.05000, 13.92961, 18.04638, false
3.52157, 4.22896, 0.33007, 0.38252, 1.68203, 0.05000, 13.90725, 18.25664, false
3.73390, 4.24649, 0.35048, 0.40822, 1.69333, 0.05000, 13.88251, 18.46752, false
3.94715, 4.26510, 0.37222, 0.43487, 1.70549, 0.05000, 13.85517, 18.67901, false
4.16140, 4.28486, 0.39533, 0.46207, 1.71856, 0.05000, 13.82503, 18.89112, false
4.37669, 4.30585, 0.41979, 0.48921, 1.73259, 0.05000, 13.79185, 19.10385, false
4.59309, 4.32813, 0.44556, 0.51550, 1.74764, 0.05000, 13.75540, 19.31716, false
4.81068, 4.35176, 0.47255, 0.53984, 1.76377, 0.05000, 13.71542, 19.53104, false
