position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 15.50000, 14.50000, true
0.03000, -0.60000, -12.00000, 0.00000, -0.00005, 0.05000, 15.47000, 14.50000, true
0.09000, -1.20000, -12.00000, 0.00000, -0.00043, 0.05000, 15.41000, 14.50001, true
0.18000, -1.80000, -12.00000, 0.00000, -0.00170, 0.05000, 15.32000, 14.50010, true
0.30000, -2.40000, -12.00000, 0.00000, -0.00466, 0.05000, 15.20000, 14.50047, true
0.45000, -3.00000, -12.00000, 0.00000, -0.01038, 0.05000, 15.05000, 14.50157, true
0.63000, -3.60000, -12.00000, 0.00000, -0.02021, 0.05000, 14.87003, 14.50427, true
0.83000, -4.00000, 0.00000, 0.00000, -0.03502, 0.05000, 14.67010, 14.50972, true
1.03000, -4.00000, 0.00000, 0.00000, -0.05418, 0.05000, 14.47030, 14.51857, true
1.23000, -4.00000, 0.00000, 0.00000, -0.07809, 0.05000, 14.27074, 14.53170, true
1.43000, -4.00000, 0.00000, 0.00000, -0.10732, 0.05000, 14.07159, 14.55012, true
1.63000, -4.00000, 0.00000, 0.00000, -0.14258, 0.05000, 13.87315, 14.57494, true
1.83000, -4.00000, 0.00000, 0.00000, -0.18475, 0.05000, 13.67582, 14.60740, true
2.03000, -4.00000, 0.00000, 0.00000, -0.23486, 0.05000, 13.48019, 14.64891, true
2.23000, -4.00000, 0.00000, 0.00000, -0.29399, 0.05000, 13.28713, 14.70102, true
2.43000, -4.00000, 0.00000, 0.00000, -0.36313, 0.05000, 13.09781, 14.76538, true
2.63000, -4.00000, 0.00000, 0.00000, -0.44287, 0.05000, 12.91381, 14.84363, true
2.83000, -4.00000, 0.00000, 0.00000, -0.53294, 0.05000, 12.73713, 14.93721, true
3.03000, -4.00000, 0.00000, 0.00000, -0.63171, 0.05000, 12.57010, 15.04705, true
3.23000, -4.00000, 0.00000, 0.00000, -0.73592, 0.05000, 12.41510, 15.17331, true
3.43000, -4.00000, 0.00000, 0.00000, -0.84102, 0.05000, 12.27420, 15.31511, true
3.63000, -4.00000, 0.00000, 0.00000, -0.94212, 0.05000, 12.14869, 15.47073, true
3.83000, -4.00000, 0.00000, 0.00000, -1.03516, 0.05000, 12.03890, 15.63781, true
4.03000, -4.00000, 0.00000, 0.00000, -1.11764, 0.05000, 11.94420, 15.81390, true
4.23000, -4.00000, 0.00000, 0.00000, -1.18860, 0.05000, 11.86326, 15.99675, true
4.43000, -4.00000, 0.00000, 0.00000, -1.24825, 0.05000, 11.79442, 16.18449, true
4.63000, -4.00000, 0.00000, 0.00000, -1.29739, 0.05000, 11.73587, 16.37571, true
4.83000, -4.00000, 0.00000, 0.00000, -1.33710, 0.05000, 11.68585, 16.56934, true
5.03000, -4.00000, 0.00000, 0.00000, -1.36844, 0.05000, 11.64272, 16.76463, true
5.23000, -4.00000, 0.00000, 0.00000, -1.39233, 0.05000, 11.60498, 16.96103, true
5.43000, -4.00000, 0.00000, 0.00000, -1.40955, 0.05000, 11.57127, 17.15817, true
5.63000, -4.00000, 0.00000, 0.00000, -1.42069, 0.05000, 11.54036, 17.35576, true
5.83000, -4.00000, 0.00000, 0.00000, -1.42618, 0.05000, 11.51108, 17.55361, true
6.03000, -4.00000, 0.00000, 0.00000, -1.42631, 0.05000, 11.48236, 17.75153, true
6.23000, -4.00000, 0.00000, 0.00000, -1.42124, 0.05000, 11.45315, 17.94939, true
6.43000, -4.00000, 0.00000, 0.00000, -1.41101, 0.05000, 11.42242, 18.14701, true
6.63000, -4.00000, 0.00000, 0.00000, -1.39556, 0.05000, 11.38916, 18.34423, true
6.83000, -4.00000, 0.00000, 0.00000, -1.37478, 0.05000, 11.35234, 18.54080, true
7.03000, -4.00000, 0.00000, 0.00000, -1.34850, 0.05000, 11.31091, 18.73646, true
7.23000, -4.00000, 0.00000, 0.00000, -1.31657, 0.05000, 11.26380, 18.93082, true
7.43000, -4.00000, 0.00000, 0.00000, -1.27892, 0.05000, 11.20996, 19.12343, true
7.63000, -4.00000, 0.00000, 0.00000, -1.23562, 0.05000, 11.14837, 19.31369, true
7.83000, -4.00000, 0.00000, 0.00000, -1.18706, 0.05000, 11.07810, 19.50092, true
8.03000, -4.00000, 0.00000, 0.00000, -1.13400, 0.05000, 10.99840, 19.68433, true
8.23000, -4.00000, 0.00000, 0.00000, -1.07775, 0.05000, 10.90878, 19.86309, true
8.43000, -4.00000, 0.00000, 0.00000, -1.02012, 0.05000, 10.80910, 20.03645, true
8.63000, -4.00000, 0.00000, 0.00000, -0.96345, 0.05000, 10.69964, 20.20381, true
8.83000, -4.00000, 0.00000, 0.00000, -0.91034, 0.05000, 10.58113, 20.36488, true
9.03000, -4.00000, 0.00000, 0.00000, -0.86352, 0.05000, 10.45468, 20.51982, true
9.23000, -4.00000, 0.00000, 0.00000, -0.82558, 0.05000, 10.32175, 20.66923, true
9.43000, -4.00000, 0.00000, 0.00000, -0.79901, 0.05000, 10.18404, 20.81426, true
9.63000, -4.00000, 0.00000, 0.00000, -0.78619, 0.05000, 10.04346, 20.95652, true
9.43000, -4.00000, 0.00000, 0.00000, -0.79901, 0.05000, 10.18404, 20.81426, true
9.63000, -4.00000, 0.00000, 0.00000, -0.78619, 0.05000, 10.04346, 20.95652, true
9.83000, -4.00000, 0.00000, 0.00000, -0.78539, 0.05000, 9.90205, 21.09795, true
10.03000, -4.00000, 0.00000, 0.00000, -0.78523, 0.05000, 9.76062, 21.23936, true
10.23000, -4.00000, 0.00000, 0.00000, -0.78475, 0.05000, 9.61915, 21.38073, true
10.43000, -4.00000, 0.00000, 0.00000, -0.78376, 0.05000, 9.47757, 21.52199, true
10.63000, -4.00000, 0.00000, 0.00000, -0.78209, 0.05000, 9.33581, 21.66307, true
10.83000, -4.00000, 0.00000, 0.00000, -0.77959, 0.05000, 9.19375, 21.80386, true
11.03000, -4.00000, 0.00000, 0.00000, -0.77611, 0.05000, 9.05128, 21.94422, true
11.23000, -4.00000, 0.00000, 0.00000, -0.77153, 0.05000, 8.90825, 22.08401, true
11.43000, -4.00000, 0.00000, 0.00000, -0.76572, 0.05000, 8.76449, 22.22306, true
11.63000, -4.00000, 0.00000, 0.00000, -0.75856, 0.05000, 8.61983, 22.36117, true
11.83000, -4.00000, 0.00000, 0.00000, -0.74993, 0.05000, 8.47409, 22.49813, true
12.03000, -4.00000, 0.00000, 0.00000, -0.73974, 0.05000, 8.32707, 22.63372, true
12.23000, -4.00000, 0.00000, 0.00000, -0.72789, 0.05000, 8.17857, 22.76768, true
