position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 15.50000, 15.59020, true
-0.02995, -0.59895, -11.97909, -239.58187, -0.00005, 0.05000, 15.47005, 15.59020, true
-0.08953, -1.19171, -11.85506, 2.48067, -0.00043, 0.05000, 15.41047, 15.59021, true
-0.17815, -1.77236, -11.61297, 4.84180, -0.00170, 0.05000, 15.32185, 15.59030, true
-0.29492, -2.33537, -11.26024, 7.05456, -0.00466, 0.05000, 15.20508, 15.59066, true
-0.43868, -2.87526, -10.79784, 9.24798, -0.01038, 0.05000, 15.06132, 15.59171, true
-0.60797, -3.38578, -10.21034, 11.75012, -0.02021, 0.05000, 14.89205, 15.59425, true
-0.79182, -3.67705, -5.82552, 87.69625, -0.03502, 0.05000, 14.70827, 15.59926, true
-0.97093, -3.58217, 1.89769, 154.46426, -0.05418, 0.05000, 14.52933, 15.60717, true
-1.14486, -3.47848, 2.07387, 3.52369, -0.07809, 0.05000, 14.35578, 15.61858, true
-1.31299, -3.36262, 2.31719, 4.86635, -0.10732, 0.05000, 14.18837, 15.63405, true
-1.47454, -3.23106, 2.63119, 6.27997, -0.14258, 0.05000, 14.02806, 15.65407, true
-1.62855, -3.08025, 3.01611, 7.69834, -0.18475, 0.05000, 13.87609, 15.67905, true
-1.77391, -2.90715, 3.46200, 8.91788, -0.23486, 0.05000, 13.73389, 15.70918, true
-1.90943, -2.71031, 3.93681, 9.49630, -0.29399, 0.05000, 13.60304, 15.74444, true
-2.03402, -2.49189, 4.36832, 8.63016, -0.36313, 0.05000, 13.48505, 15.78448, true
-2.14706, -2.26070, 4.62394, 5.11237, -0.44287, 0.05000, 13.38100, 15.82865, true
-2.24883, -2.03542, 4.50555, -2.36772, -0.53294, 0.05000, 13.29103, 15.87621, true
-2.34111, -1.84570, 3.79438, -14.22358, -0.63171, 0.05000, 13.21389, 15.92686, true
-2.42746, -1.72698, 2.37452, -28.39720, -0.73592, 0.05000, 13.14692, 15.98137, true
-2.51284, -1.70764, 0.38666, -39.75718, -0.84102, 0.05000, 13.08675, 16.04195, true
-2.60259, -1.79488, -1.74481, -42.62927, -0.94212, 0.05000, 13.03046, 16.11184, true
-2.70111, -1.97056, -3.51351, -35.37401, -1.03516, 0.05000, 12.97642, 16.19423, true
-2.81117, -2.20104, -4.60972, -21.92424, -1.11764, 0.05000, 12.92436, 16.29119, true
-2.93378, -2.45222, -5.02349, -8.27538, -1.18860, 0.05000, 12.87480, 16.40334, true
-3.06874, -2.69917, -4.93902, 1.68941, -1.24825, 0.05000, 12.82840, 16.53007, true
-3.21514, -2.92813, -4.57912, 7.19796, -1.29739, 0.05000, 12.78557, 16.67007, true
-3.37184, -3.13394, -4.11625, 9.25743, -1.33710, 0.05000, 12.74641, 16.82180, true
-3.53767, -3.31668, -3.65478, 9.22936, -1.36844, 0.05000, 12.71067, 16.98374, true
-3.71162, -3.47900, -3.24642, 8.16722, -1.39233, 0.05000, 12.67786, 17.15456, true
-3.89285, -3.62454, -2.91078, 6.71276, -1.40955, 0.05000, 12.64733, 17.33320, true
-4.08070, -3.75708, -2.65083, 5.19900, -1.42069, 0.05000, 12.61830, 17.51880, true
-4.27471, -3.88019, -2.46214, 3.77377, -1.42618, 0.05000, 12.58990, 17.71072, true
-4.47457, -3.99707, -2.33769, 2.48912, -1.42631, 0.05000, 12.56120, 17.90850, true
-4.68009, -4.11056, -2.26989, 1.35587, -1.42124, 0.05000, 12.53118, 18.11182, true
-4.89125, -4.22312, -2.25112, 0.37542, -1.41101, 0.05000, 12.49874, 18.32047, true
-5.10809, -4.33678, -2.27315, -0.44050, -1.39556, 0.05000, 12.46267, 18.53429, true
-5.33074, -4.45307, -2.32590, -1.05503, -1.37478, 0.05000, 12.42166, 18.75313, true
-5.55939, -4.57285, -2.39554, -1.39272, -1.34850, 0.05000, 12.37428, 18.97681, true
-5.79418, -4.69595, -2.46193, -1.32785, -1.31657, 0.05000, 12.31896, 19.20500, true
-6.03522, -4.82074, -2.49592, -0.67976, -1.27892, 0.05000, 12.25405, 19.43713, true
-6.28240, -4.94361, -2.45732, 0.77203, -1.23562, 0.05000, 12.17790, 19.67229, true
-6.53532, -5.05839, -2.29565, 3.23340, -1.18706, 0.05000, 12.08901, 19.90908, true
-6.79313, -5.15621, -1.95636, 6.78565, -1.13400, 0.05000, 11.98625, 20.14552, true
-7.05443, -5.22594, -1.39466, 11.23405, -1.07775, 0.05000, 11.86913, 20.37910, true
-7.31721, -5.25569, -0.59492, 15.99485, -1.02012, 0.05000, 11.73814, 20.60691, true
-7.57896, -5.23503, 0.41310, 20.16028, -0.96345, 0.05000, 11.59488, 20.82598, true
-7.83683, -5.15730, 1.55463, 22.83076, -0.91034, 0.05000, 11.44208, 21.03369, true
-8.08786, -5.02059, 2.73425, 23.59238, -0.86352, 0.05000, 11.28338, 21.22820, true
-8.32920, -4.82684, 3.87498, 22.81449, -0.82558, 0.05000, 11.12299, 21.40853, true
-8.55816, -4.57928, 4.95111, 21.52260, -0.79901, 0.05000, 10.96534, 21.57458, true
-8.77213, -4.27939, 5.99780, 20.93392, -0.78619, 0.05000, 10.81496, 21.72679, true
-8.98610, -4.27939, 0.00000, -119.95608, -0.79901, 0.05000, 10.96534, 21.57458, true
-9.20007, -4.27939, 0.00000, 0.00000, -0.78619, 0.05000, 10.81496, 21.72679, true
-9.40095, -4.01754, 5.23698, 104.73967, -0.78539, 0.05000, 10.67293, 21.86884, true
-9.60112, -4.00332, 0.28448, -99.05000, -0.78523, 0.05000, 10.53138, 22.01037, true
-9.80164, -4.01055, -0.14466, -8.58278, -0.78475, 0.05000, 10.38954, 22.15212, true
-10.00273, -4.02168, -0.22244, -1.55567, -0.78376, 0.05000, 10.24719, 22.29415, true
-10.20455, -4.03641, -0.29470, -1.44513, -0.78209, 0.05000, 10.10414, 22.43651, true
-10.40727, -4.05450, -0.36186, -1.34332, -0.77959, 0.05000, 9.96015, 22.57921, true
-10.61106, -4.07572, -0.42442, -1.25109, -0.77611, 0.05000, 9.81498, 22.72223, true
