position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 15.50000, 13.40980, true
-0.03005, -0.60105, -12.02091, -240.41813, -0.00005, 0.05000, 15.46995, 13.40980, true
-0.09047, -1.20829, -12.14494, -2.48067, -0.00043, 0.05000, 15.40953, 13.40981, true
-0.18185, -1.82764, -12.38703, -4.84172, -0.00170, 0.05000, 15.31815, 13.40990, true
-0.30508, -2.46463, -12.73973, -7.05404, -0.00466, 0.05000, 15.19492, 13.41028, true
-0.46132, -3.12473, -13.20203, -9.24602, -0.01038, 0.05000, 15.03869, 13.41143, true
-0.65203, -3.81419, -13.78925, -11.74437, -0.02021, 0.05000, 14.84800, 13.41430, true
-0.86817, -4.32287, -10.17359, 72.31310, -0.03502, 0.05000, 14.63194, 13.42019, true
-1.08906, -4.41771, -1.89670, 165.53776, -0.05418, 0.05000, 14.41127, 13.42996, true
-1.31512, -4.52133, -2.07251, -3.51609, -0.07809, 0.05000, 14.18569, 13.44482, true
-1.54698, -4.63710, -2.31531, -4.85602, -0.10732, 0.05000, 13.95482, 13.46619, true
-1.78540, -4.76853, -2.62860, -6.26576, -0.14258, 0.05000, 13.71824, 13.49580, true
-2.03136, -4.91916, -3.01254, -7.67883, -0.18475, 0.05000, 13.47555, 13.53575, true
-2.28596, -5.09201, -3.45712, -8.89163, -0.23486, 0.05000, 13.22650, 13.58864, true
-2.55039, -5.28852, -3.93024, -9.46250, -0.29399, 0.05000, 12.97122, 13.65759, true
-2.82571, -5.50651, -4.35976, -8.59028, -0.36313, 0.05000, 12.71057, 13.74627, true
-3.11257, -5.73718, -4.61341, -5.07307, -0.44287, 0.05000, 12.44662, 13.85861, true
-3.41067, -5.96188, -4.49384, 2.39143, -0.53294, 0.05000, 12.18324, 13.99820, true
-3.71822, -6.15104, -3.78339, 14.20907, -0.63171, 0.05000, 11.92630, 14.16724, true
-4.03169, -6.26940, -2.36711, 28.32553, -0.73592, 0.05000, 11.68328, 14.36524, true
-4.34612, -6.28867, -0.38541, 39.63402, -0.84102, 0.05000, 11.46164, 14.58828, true
-4.65621, -6.20171, 1.73928, 42.49380, -0.94212, 0.05000, 11.26693, 14.82961, true
-4.95754, -6.02655, 3.50304, 35.27522, -1.03516, 0.05000, 11.10139, 15.08139, true
-5.24737, -5.79669, 4.59733, 21.88568, -1.11764, 0.05000, 10.96403, 15.33661, true
-5.52468, -5.54610, 5.01170, 8.28742, -1.18860, 0.05000, 10.85172, 15.59015, true
-5.78966, -5.29965, 4.92916, -1.65077, -1.24825, 0.05000, 10.76044, 15.83892, true
-6.04321, -5.07107, 4.57151, -7.15298, -1.29739, 0.05000, 10.68616, 16.08134, true
-6.28649, -4.86554, 4.11066, -9.21695, -1.33710, 0.05000, 10.62528, 16.31688, true
-6.52064, -4.68300, 3.65081, -9.19694, -1.36844, 0.05000, 10.57476, 16.54552, true
-6.74668, -4.52081, 3.24368, -8.14267, -1.39233, 0.05000, 10.53209, 16.76749, true
-6.96545, -4.37536, 2.90895, -6.69455, -1.40955, 0.05000, 10.49522, 16.98313, true
-7.17759, -4.24288, 2.64968, -5.18541, -1.42069, 0.05000, 10.46242, 17.19272, true
-7.38358, -4.11980, 2.46152, -3.76332, -1.42618, 0.05000, 10.43226, 17.39649, true
-7.58373, -4.00293, 2.33749, -2.48062, -1.42631, 0.05000, 10.40352, 17.59457, true
-7.77820, -3.88943, 2.27007, -1.34842, -1.42124, 0.05000, 10.37512, 17.78695, true
-7.96704, -3.77684, 2.25165, -0.36831, -1.41101, 0.05000, 10.34611, 17.97355, true
-8.15020, -3.66314, 2.27404, 0.44782, -1.39556, 0.05000, 10.31566, 18.15416, true
-8.32754, -3.54678, 2.32719, 1.06295, -1.37478, 0.05000, 10.28302, 18.32847, true
-8.49888, -3.42692, 2.39726, 1.40144, -1.34850, 0.05000, 10.24753, 18.49610, true
-8.66407, -3.30371, 2.46412, 1.33722, -1.31657, 0.05000, 10.20864, 18.65664, true
-8.82301, -3.17878, 2.49857, 0.68908, -1.27892, 0.05000, 10.16587, 18.80972, true
-8.97580, -3.05577, 2.46036, -0.76427, -1.23562, 0.05000, 10.11884, 18.95509, true
-9.12284, -2.94082, 2.29888, -3.22969, -1.18706, 0.05000, 10.06719, 19.09276, true
-9.26498, -2.84285, 1.95941, -6.78930, -1.13400, 0.05000, 10.01056, 19.22313, true
-9.40363, -2.77300, 1.39700, -11.24820, -1.07775, 0.05000, 9.94843, 19.34709, true
-9.54079, -2.74320, 0.59596, -16.02079, -1.02012, 0.05000, 9.88006, 19.46599, true
