position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 1.57062, 0.05000, 21.70000, 9.00000, true
0.03000, -0.60000, -12.00000, 0.00000, 1.57040, 0.05000, 21.69999, 8.97000, true
0.09000, -1.20000, -12.00000, 0.00000, 1.56872, 0.05000, 21.69993, 8.91000, true
0.18000, -1.80000, -12.00000, 0.00000, 1.56337, 0.05000, 21.69952, 8.82000, true
0.30000, -2.40000, -12.00000, 0.00000, 1.55184, 0.05000, 21.69798, 8.70001, true
0.45000, -3.00000, -12.00000, 0.00000, 1.53213, 0.05000, 21.69372, 8.55007, true
0.63000, -3.60000, -12.00000, 0.00000, 1.50377, 0.05000, 21.68427, 8.37033, true
0.84000, -4.20000, -12.00000, 0.00000, 1.46855, 0.05000, 21.66652, 8.16109, true
1.08000, -4.80000, -12.00000, 0.00000, 1.43077, 0.05000, 21.63742, 7.92288, true
1.35000, -5.40000, -12.00000, 0.00000, 1.39683, 0.05000, 21.59495, 7.65625, true
1.65000, -6.00000, -12.00000, 0.00000, 1.37457, 0.05000, 21.53929, 7.36147, true
1.98000, -6.60000, -12.00000, 0.00000, 1.37328, 0.05000, 21.47403, 7.03798, true
2.34000, -7.20000, -12.00000, 0.00000, 1.40519, 0.05000, 21.40790, 6.68412, true
2.73000, -7.80000, -12.00000, 0.00000, 1.48897, 0.05000, 21.35793, 6.29745, true
3.14588, -8.31754, 0.00000, 0.00000, 1.65007, 0.05000, 21.35460, 5.88204, true
3.53175, -7.71754, 12.00000, 0.00000, 1.86760, 0.05000, 21.42486, 5.50340, true
3.88763, -7.11754, 12.00000, 0.00000, 2.09249, 0.05000, 21.56628, 5.17765, true
4.21351, -6.51754, 12.00000, 0.00000, 2.27521, 0.05000, 21.75437, 4.91208, true
4.50938, -5.91754, 12.00000, 0.00000, 2.40389, 0.05000, 21.96059, 4.70020, true
4.77526, -5.31754, 12.00000, 0.00000, 2.48931, 0.05000, 22.16511, 4.53044, true
5.01114, -4.71754, 12.00000, 0.00000, 2.54453, 0.05000, 22.35662, 4.39279, true
5.21702, -4.11754, 12.00000, 0.00000, 2.57924, 0.05000, 22.52897, 4.28019, true
5.39289, -3.51754, 12.00000, 0.00000, 2.59996, 0.05000, 22.67878, 4.18807, true
5.53877, -2.91754, 12.00000, 0.00000, 2.61122, 0.05000, 22.80423, 4.11362, true
5.65465, -2.31754, 12.00000, 0.00000, 2.61635, 0.05000, 22.90436, 4.05529, true
5.74052, -1.71754, 12.00000, 0.00000, 2.61791, 0.05000, 22.97870, 4.01230, true
5.79640, -1.11754, 12.00000, 0.00000, 2.61801, 0.05000, 22.97291, 4.01564, true
5.82228, -0.51754, 12.00000, 0.00000, 2.61804, 0.05000, 22.95050, 4.02858, true
5.81815, 0.00000, 0.00000, 0.00000, 2.61803, 0.05000, 22.95407, 4.02652, true
5.81815, 0.00000, 0.00000, 0.00000, 2.61803, 0.05000, 22.95407, 4.02652, true
5.81815, 0.00000, 0.00000, 0.00000, 2.61803, 0.05000, 22.95407, 4.02652, false
5.84815, 0.60000, 12.00000, 0.00000, 2.61809, 0.05000, 22.92809, 4.04151, false
5.90815, 1.20000, 12.00000, 0.00000, 2.61829, 0.05000, 22.87612, 4.07150, false
5.99815, 1.80000, 12.00000, 0.00000, 2.61877, 0.05000, 22.79816, 4.11646, false
6.11815, 2.40000, 12.00000, 0.00000, 2.61976, 0.05000, 22.69416, 4.17634, false
6.26815, 3.00000, 12.00000, 0.00000, 2.62155, 0.05000, 22.56406, 4.25100, false
6.44815, 3.60000, 12.00000, 0.00000, 2.62449, 0.05000, 22.40773, 4.34022, false
6.65815, 4.20000, 12.00000, 0.00000, 2.62897, 0.05000, 22.22497, 4.44365, false
6.89815, 4.80000, 12.00000, 0.00000, 2.63548, 0.05000, 22.01545, 4.56070, false
7.16815, 5.40000, 12.00000, 0.00000, 2.64452, 0.05000, 21.77873, 4.69056, false
7.46815, 6.00000, 12.00000, 0.00000, 2.65670, 0.05000, 21.51420, 4.83206, false
7.79815, 6.60000, 12.00000, 0.00000, 2.67266, 0.05000, 21.22106, 4.98360, false
8.15815, 7.20000, 12.00000, 0.00000, 2.69315, 0.05000, 20.89832, 5.14309, false
8.54815, 7.80000, 12.00000, 0.00000, 2.71900, 0.05000, 20.54478, 5.30773, false
8.96815, 8.40000, 12.00000, 0.00000, 2.75112, 0.05000, 20.15909, 5.47394, false
9.41815, 9.00000, 12.00000, 0.00000, 2.79047, 0.05000, 19.73977, 5.63717, false
9.89815, 9.60000, 12.00000, 0.00000, 2.83795, 0.05000, 19.28538, 5.79172, false
10.39815, 10.00000, 0.00000, 0.00000, 2.89314, 0.05000, 18.80444, 5.92820, false
