position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 1.57062, 0.05000, 20.60980, 9.00019, true
-0.02976, -0.59524, -11.90476, -238.09528, 1.57040, 0.05000, 20.60979, 8.97043, true
-0.08792, -1.16323, -11.35984, 10.89857, 1.56872, 0.05000, 20.60973, 8.91227, true
-0.17209, -1.68341, -10.40351, 19.12651, 1.56337, 0.05000, 20.60935, 8.82810, true
-0.27952, -2.14853, -9.30246, 22.02091, 1.55184, 0.05000, 20.60798, 8.72068, true
-0.40803, -2.57030, -8.43535, 17.34225, 1.53213, 0.05000, 20.60434, 8.59222, true
-0.55711, -2.98151, -8.22421, 4.22284, 1.50377, 0.05000, 20.59652, 8.44335, true
-0.72870, -3.43182, -9.00621, -15.63999, 1.46855, 0.05000, 20.58201, 8.27237, true
-0.92750, -3.97601, -10.88385, -37.55279, 1.43077, 0.05000, 20.55789, 8.07504, true
-1.16049, -4.65978, -13.67546, -55.83221, 1.39683, 0.05000, 20.52121, 7.84495, true
-1.43622, -5.51465, -17.09735, -68.43783, 1.37457, 0.05000, 20.47001, 7.57402, true
-1.76481, -6.57183, -21.14352, -80.92339, 1.37328, 0.05000, 20.40503, 7.25192, true
-2.15959, -7.89542, -26.47186, -106.56687, 1.40519, 0.05000, 20.33262, 6.86384, true
-2.64078, -9.62395, -34.57056, -161.97389, 1.48897, 0.05000, 20.27138, 6.38656, true
-3.23164, -11.81716, -43.86427, -185.87414, 1.65007, 0.05000, 20.26782, 5.79571, true
-3.85344, -12.43595, -12.37571, 629.77103, 1.86760, 0.05000, 20.38233, 5.18455, true
-4.45322, -11.99555, 8.80792, 423.67259, 2.09249, 0.05000, 20.62111, 4.63435, true
-4.97757, -10.48703, 30.17037, 427.24900, 2.27521, 0.05000, 20.92365, 4.20608, true
-5.41343, -8.71722, 35.39633, 104.51930, 2.40389, 0.05000, 21.22733, 3.89343, true
-5.77231, -7.17773, 30.78981, -92.13042, 2.48931, 0.05000, 21.50336, 3.66406, true
-6.06836, -5.92093, 25.13595, -113.07715, 2.54453, 0.05000, 21.74370, 3.49121, true
-6.31206, -4.87395, 20.93946, -83.92978, 2.57924, 0.05000, 21.94769, 3.35788, true
-6.51052, -3.96923, 18.09451, -56.89912, 2.59996, 0.05000, 22.11674, 3.25391, true
-6.66868, -3.16310, 16.12249, -39.44039, 2.61122, 0.05000, 22.25275, 3.17320, true
-6.79015, -2.42943, 14.67343, -28.98112, 2.61635, 0.05000, 22.35771, 3.11205, true
-6.87773, -1.75157, 13.55736, -22.32150, 2.61791, 0.05000, 22.43352, 3.06820, true
-6.88430, -0.13150, 32.40134, 376.87958, 2.61801, 0.05000, 22.42783, 3.07149, true
-6.91014, -0.51682, -7.70639, -802.15456, 2.61804, 0.05000, 22.40545, 3.08441, true
-6.91014, 0.00000, 10.33637, 360.85519, 2.61803, 0.05000, 22.40901, 3.08235, true
-6.91014, 0.00000, 0.00000, -206.72733, 2.61803, 0.05000, 22.40901, 3.08235, true
-6.91014, 0.00000, 0.00000, 0.00000, 2.61803, 0.05000, 22.40901, 3.08235, false
-6.88021, 0.59872, 11.97434, 239.48684, 2.61809, 0.05000, 22.38308, 3.09732, false
-6.82042, 1.19576, 11.94081, -0.67069, 2.61829, 0.05000, 22.33130, 3.12720, false
-6.73094, 1.78949, 11.87472, -1.32179, 2.61877, 0.05000, 22.25379, 3.17190, false
-6.61202, 2.37838, 11.77782, -1.93793, 2.61976, 0.05000, 22.15073, 3.23123, false
-6.46397, 2.96100, 11.65226, -2.51132, 2.62155, 0.05000, 22.02232, 3.30492, false
-6.28717, 3.53600, 11.50006, -3.04396, 2.62449, 0.05000, 21.86877, 3.39256, false
