position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 1.57062, 0.05000, 22.79020, 8.99981, true
-0.03024, -0.60476, -12.09524, -241.90472, 1.57040, 0.05000, 22.79019, 8.96957, true
-0.09208, -1.23677, -12.64016, -10.89846, 1.56872, 0.05000, 22.79012, 8.90773, true
-0.18791, -1.91659, -13.59641, -19.12501, 1.56337, 0.05000, 22.78969, 8.81190, true
-0.32048, -2.65144, -14.69709, -22.01355, 1.55184, 0.05000, 22.78799, 8.67934, true
-0.49196, -3.42961, -15.56323, -17.32291, 1.53213, 0.05000, 22.78311, 8.50793, true
-0.70287, -4.21825, -15.77289, -4.19323, 1.50377, 0.05000, 22.77202, 8.29731, true
-0.95126, -4.96775, -14.98992, 15.65954, 1.46855, 0.05000, 22.75102, 8.04981, true
-1.23243, -5.62342, -13.11340, 37.53025, 1.43077, 0.05000, 22.71695, 7.77072, true
-1.53941, -6.13970, -10.32558, 55.75643, 1.39683, 0.05000, 22.66870, 7.46755, true
-1.86367, -6.48510, -6.90804, 68.35084, 1.37457, 0.05000, 22.60857, 7.14891, true
-2.19508, -6.62817, -2.86136, 80.93354, 1.37328, 0.05000, 22.54304, 6.82405, true
-2.52028, -6.50396, 2.48410, 106.90937, 1.40519, 0.05000, 22.48319, 6.50441, true
-2.81885, -5.97149, 10.64937, 163.30539, 1.48897, 0.05000, 22.44448, 6.20835, true
-3.05885, -4.79997, 23.43044, 255.62129, 1.65007, 0.05000, 22.44137, 5.96837, true
-3.20728, -2.96859, 36.62763, 263.94392, 1.86760, 0.05000, 22.46740, 5.82224, true
-3.31774, -2.20930, 15.18577, -428.83731, 2.09249, 0.05000, 22.51146, 5.72095, true
-3.44424, -2.52988, -6.41162, -431.94782, 2.27521, 0.05000, 22.58509, 5.61809, true
-3.59972, -3.10971, -11.59653, -103.69815, 2.40389, 0.05000, 22.69384, 5.50697, true
-3.77243, -3.45412, -6.88834, 94.16386, 2.48931, 0.05000, 22.82687, 5.39682, true
-3.94808, -3.51295, -1.17656, 114.23558, 2.54453, 0.05000, 22.96955, 5.29438, true
-4.11611, -3.36071, 3.04484, 84.42794, 2.57924, 0.05000, 23.11024, 5.20250, true
-4.26940, -3.06572, 5.89975, 57.09813, 2.59996, 0.05000, 23.24082, 5.12222, true
-4.40300, -2.67194, 7.87561, 39.51729, 2.61122, 0.05000, 23.35572, 5.05405, true
-4.51328, -2.20564, 9.32605, 29.00882, 2.61635, 0.05000, 23.45101, 4.99853, true
-4.59745, -1.68351, 10.44255, 22.32992, 2.61791, 0.05000, 23.52388, 4.95640, true
-4.60424, -0.13573, 30.95565, 410.26203, 2.61801, 0.05000, 23.51800, 4.95979, true
-4.63015, -0.51826, -7.65060, -772.12497, 2.61804, 0.05000, 23.49556, 4.97274, true
-4.63015, 0.00000, 10.36521, 360.31612, 2.61803, 0.05000, 23.49913, 4.97068, true
-4.63015, 0.00000, 0.00000, -207.30414, 2.61803, 0.05000, 23.49913, 4.97068, true
-4.63015, 0.00000, 0.00000, 0.00000, 2.61803, 0.05000, 23.49913, 4.97068, false
-4.60009, 0.60128, 12.02566, 240.51316, 2.61809, 0.05000, 23.47310, 4.98571, false
-4.53988, 1.20424, 12.05919, 0.67069, 2.61829, 0.05000, 23.42095, 5.01581, false
-4.44935, 1.81051, 12.12528, 1.32178, 2.61877, 0.05000, 23.34252, 5.06103, false
-4.32827, 2.42162, 12.22218, 1.93787, 2.61976, 0.05000, 23.23759, 5.12144, false
-4.17632, 3.03900, 12.34773, 2.51115, 2.62155, 0.05000, 23.10580, 5.19707, false
-3.99312, 3.66400, 12.49991, 3.04349, 2.62449, 0.05000, 22.94669, 5.28788, false
-3.77823, 4.29786, 12.67726, 3.54699, 2.62897, 0.05000, 22.75967, 5.39372, false
-3.53114, 4.94183, 12.87939, 4.04273, 2.63548, 0.05000, 22.54396, 5.51423, false
-3.25128, 5.59719, 13.10729, 4.55799, 2.64452, 0.05000, 22.29859, 5.64883, false
-2.93801, 6.26536, 13.36337, 5.12158, 2.65670, 0.05000, 22.02236, 5.79658, false
-2.59061, 6.94792, 13.65119, 5.75643, 2.67266, 0.05000, 21.71376, 5.95612, false
-2.20828, 7.64665, 13.97457, 6.46745, 2.69315, 0.05000, 21.37099, 6.12549, false
-1.79011, 8.36343, 14.33560, 7.22078, 2.71900, 0.05000, 20.99191, 6.30202, false
-1.33511, 9.09998, 14.73105, 7.90892, 2.75112, 0.05000, 20.57405, 6.48208, false
-0.84224, 9.85728, 15.14584, 8.29589, 2.79047, 0.05000, 20.11475, 6.66086, false
-0.31052, 10.63443, 15.54309, 7.94483, 2.83795, 0.05000, 19.61135, 6.83205, false
0.24957, 11.20180, 11.34736, -83.91460, 2.89314, 0.05000, 19.07252, 6.98493, false
0.81524, 11.31351, 2.23434, -182.26042, 2.95346, 0.05000, 18.52031, 7.10762, false
1.38528, 11.40082, 1.74615, -9.76369, 3.01779, 0.05000, 17.95721, 7.19631, false
1.95802, 11.45474, 1.07841, -13.35491, 3.08461, 0.05000, 17.38682, 7.24807, false
2.53145, 11.46865, 0.27813, -16.00557, -3.13112, 0.05000, 16.81354, 7.26139, false
3.10347, 11.44025, -0.56802, -16.92303, -3.06497, 0.05000, 16.24208, 7.23639, false
3.67208, 11.37236, -1.35779, -15.79529, -3.00194, 0.05000, 15.67680, 7.17486, false
4.23569, 11.27207, -2.00578, -12.95978, -2.94353, 0.05000, 15.12125, 7.07993, false
4.79312, 11.14873, -2.46673, -9.21900, -2.89078, 0.05000, 14.57785, 6.95562, false
5.34371, 11.01177, -2.73924, -5.45025, -2.84433, 0.05000, 14.04788, 6.80636, false
5.88717, 10.86910, -2.85341, -2.28334, -2.80444, 0.05000, 13.53162, 6.63659, false
6.42349, 10.72644, -2.85314, 0.00539, -2.77110, 0.05000, 13.02861, 6.45051, false
6.95286, 10.58734, -2.78199, 1.42291, -2.74415, 0.05000, 12.53789, 6.25196, false
7.47553, 10.45357, -2.67556, 2.12868, -2.72334, 0.05000, 12.05818, 6.04442, false
7.99182, 10.32560, -2.55924, 2.32643, -2.70840, 0.05000, 11.58809, 5.83099, false
8.50197, 10.20315, -2.44905, 2.20371, -2.69908, 0.05000, 11.12615, 5.61447, false
9.00625, 10.08548, -2.35351, 1.91082, -2.69516, 0.05000, 10.67097, 5.39745, false
9.50483, 9.97171, -2.27541, 1.56197, -2.69646, 0.05000, 10.22120, 5.18228, false
9.99788, 9.86105, -2.21314, 1.24550, -2.70283, 0.05000, 9.77561, 4.97121, false
10.48553, 9.75298, -2.16136, 1.03559, -2.71416, 0.05000, 9.33307, 4.76637, false
10.96790, 9.64742, -2.11127, 1.00174, -2.73032, 0.05000, 8.89258, 4.56978, false
11.44515, 9.54489, -2.05058, 1.21378, -2.75119, 0.05000, 8.45324, 4.38339, false
11.91748, 9.44671, -1.96355, 1.74059, -2.77655, 0.05000, 8.01427, 4.20902, false
12.38524, 9.35513, -1.83153, 2.64037, -2.80611, 0.05000, 7.57497, 4.04836, false
12.84891, 9.27341, -1.63446, 3.94157, -2.83942, 0.05000, 7.13471, 3.90288, false
13.30920, 9.20573, -1.35362, 5.61668, -2.87582, 0.05000, 6.69289, 3.77381, false
13.76704, 9.15694, -0.97573, 7.55779, -2.91446, 0.05000, 6.24889, 3.66204, false
14.22365, 9.13208, -0.49722, 9.57021, -2.95424, 0.05000, 5.80207, 3.56807, false
14.65300, 8.58697, -10.90218, -208.09908, -2.99150, 0.05000, 5.37881, 3.49600, false
15.05626, 8.06533, -10.43290, 9.38554, -3.02518, 0.05000, 4.97911, 3.44248, false
15.43423, 7.55927, -10.12120, 6.23392, -3.05455, 0.05000, 4.60309, 3.40418, false
15.78728, 7.06108, -9.96382, 3.14769, -3.07926, 0.05000, 4.25102, 3.37793, false
16.11548, 6.56397, -9.94212, 0.43398, -3.09925, 0.05000, 3.92326, 3.36084, false
16.41860, 6.06247, -10.02996, -1.75687, -3.11473, 0.05000, 3.62032, 3.35044, false
16.69623, 5.55247, -10.19996, -3.40000, -3.12608, 0.05000, 3.34275, 3.34462, false
16.94778, 5.03112, -10.42701, -4.54097, -3.13383, 0.05000, 3.09121, 3.34175, false
17.17262, 4.49665, -10.68942, -5.24812, -3.13857, 0.05000, 2.86638, 3.34057, false
17.37003, 3.94822, -10.96865, -5.58458, -3.14094, 0.05000, 2.66897, 3.34024, false
17.53900, 3.37947, -11.37497, -8.12642, -3.14159, 0.05000, 2.50000, 3.34020, false
17.53900, 0.00000, -67.58945, -1124.28974, -3.14159, 0.05000, 2.50000, 3.34020, false
17.53900, 0.00000, 0.00000, 1351.78907, -3.14159, 0.05000, 2.50000, 3.34020, false
17.53900, 0.00000, 0.00000, 0.00000, -3.14159, 0.05000, 2.50000, 3.34020, false
17.53900, 0.00000, 0.00000, 0.00000, -3.14159, 0.05000, 2.50000, 3.34020, false
17.53900, 0.00000, 0.00000, 0.00000, -3.14159, 0.05000, 2.50000, 3.34020, false
17.53900, 0.00000, 0.00000, 0.00000, -3.14159, 0.05000, 2.50000, 3.34020, false
