position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 1.57062, 0.05000, 21.70000, 9.00000, true
0.03000, -0.60000, -12.00000, 0.00000, 1.57040, 0.05000, 21.69999, 8.97000, true
0.09000, -1.20000, -12.00000, 0.00000, 1.56872, 0.05000, 21.69993, 8.91000, true
0.18000, -1.80000, -12.00000, 0.00000, 1.56337, 0.05000, 21.69952, 8.82000, true
0.30000, -2.40000, -12.00000, 0.00000, 1.55184, 0.05000, 21.69798, 8.70001, true
0.45000, -3.00000, -12.00000, 0.00000, 1.53213, 0.05000, 21.69372, 8.55007, true
0.63000, -3.60000, -12.00000, 0.00000, 1.50377, 0.05000, 21.68427, 8.37033, true
0.83000, -4.00000, 0.00000, 0.00000, 1.47021, 0.05000, 21.66753, 8.17104, true
1.03000, -4.00000, 0.00000, 0.00000, 1.43818, 0.05000, 21.64421, 7.97241, true
1.23000, -4.00000, 0.00000, 0.00000, 1.41050, 0.05000, 21.61494, 7.77457, true
1.43000, -4.00000, 0.00000, 0.00000, 1.38914, 0.05000, 21.58079, 7.57751, true
1.63000, -4.00000, 0.00000, 0.00000, 1.37547, 0.05000, 21.54318, 7.38108, true
1.83000, -4.00000, 0.00000, 0.00000, 1.37059, 0.05000, 21.50374, 7.18501, true
2.03000, -4.00000, 0.00000, 0.00000, 1.37548, 0.05000, 21.46427, 6.98894, true
2.23000, -4.00000, 0.00000, 0.00000, 1.39132, 0.05000, 21.42682, 6.79248, true
2.43000, -4.00000, 0.00000, 0.00000, 1.41952, 0.05000, 21.39368, 6.59526, true
2.63000, -4.00000, 0.00000, 0.00000, 1.46186, 0.05000, 21.36749, 6.39699, true
2.83000, -4.00000, 0.00000, 0.00000, 1.52039, 0.05000, 21.35129, 6.19768, true
3.03000, -4.00000, 0.00000, 0.00000, 1.59700, 0.05000, 21.34855, 5.99775, true
3.23000, -4.00000, 0.00000, 0.00000, 1.69252, 0.05000, 21.36301, 5.79835, true
3.43000, -4.00000, 0.00000, 0.00000, 1.80526, 0.05000, 21.39818, 5.60157, true
3.63000, -4.00000, 0.00000, 0.00000, 1.92967, 0.05000, 21.45648, 5.41039, true
3.83000, -4.00000, 0.00000, 0.00000, 2.05677, 0.05000, 21.53846, 5.22811, true
4.03000, -4.00000, 0.00000, 0.00000, 2.17697, 0.05000, 21.64242, 5.05740, true
4.23000, -4.00000, 0.00000, 0.00000, 2.28337, 0.05000, 21.76510, 4.89956, true
4.43000, -4.00000, 0.00000, 0.00000, 2.37301, 0.05000, 21.90266, 4.75448, true
4.63000, -4.00000, 0.00000, 0.00000, 2.44595, 0.05000, 22.05156, 4.62102, true
4.83000, -4.00000, 0.00000, 0.00000, 2.50372, 0.05000, 22.20885, 4.49754, true
5.03000, -4.00000, 0.00000, 0.00000, 2.54821, 0.05000, 22.37224, 4.38222, true
5.23000, -4.00000, 0.00000, 0.00000, 2.58104, 0.05000, 22.53996, 4.27328, true
5.40000, -3.40000, 12.00000, 0.00000, 2.60063, 0.05000, 22.68487, 4.18440, true
5.54000, -2.80000, 12.00000, 0.00000, 2.61129, 0.05000, 22.80529, 4.11300, true
5.65000, -2.20000, 12.00000, 0.00000, 2.61621, 0.05000, 22.90034, 4.05762, true
5.73000, -1.60000, 12.00000, 0.00000, 2.61783, 0.05000, 22.96958, 4.01756, true
5.78000, -1.00000, 12.00000, 0.00000, 2.61800, 0.05000, 22.98712, 4.00744, true
5.80000, -0.40000, 12.00000, 0.00000, 2.61801, 0.05000, 22.96979, 4.01744, true
5.79000, 0.00000, 0.00000, 0.00000, 2.61800, 0.05000, 22.97845, 4.01244, true
5.79000, 0.00000, 0.00000, 0.00000, 2.61800, 0.05000, 22.97845, 4.01244, true
5.79000, 0.00000, 0.00000, 0.00000, 2.61800, 0.05000, 22.97845, 4.01244, false
5.82000, 0.60000, 12.00000, 0.00000, 2.61804, 0.05000, 22.95247, 4.02744, false
5.88000, 1.20000, 12.00000, 0.00000, 2.61818, 0.05000, 22.90051, 4.05743, false
5.97000, 1.80000, 12.00000, 0.00000, 2.61859, 0.05000, 22.82255, 4.10240, false
6.09000, 2.40000, 12.00000, 0.00000, 2.61949, 0.05000, 22.71857, 4.16230, false
6.24000, 3.00000, 12.00000, 0.00000, 2.62117, 0.05000, 22.58849, 4.23700, false
6.42000, 3.60000, 12.00000, 0.00000, 2.62397, 0.05000, 22.43220, 4.32630, false
6.63000, 4.20000, 12.00000, 0.00000, 2.62831, 0.05000, 22.24950, 4.42983, false
6.87000, 4.80000, 12.00000, 0.00000, 2.63464, 0.05000, 22.04007, 4.54704, false
7.14000, 5.40000, 12.00000, 0.00000, 2.64350, 0.05000, 21.80347, 4.67712, false
