position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 1.57062, 0.05000, 20.60980, 9.00019, true
-0.02976, -0.59524, -11.90476, -238.09528, 1.57040, 0.05000, 20.60979, 8.97043, true
-0.08792, -1.16323, -11.35984, 10.89857, 1.56872, 0.05000, 20.60973, 8.91227, true
-0.17209, -1.68341, -10.40351, 19.12651, 1.56337, 0.05000, 20.60935, 8.82810, true
-0.27952, -2.14853, -9.30246, 22.02091, 1.55184, 0.05000, 20.60798, 8.72068, true
-0.40803, -2.57030, -8.43535, 17.34225, 1.53213, 0.05000, 20.60434, 8.59222, true
-0.55711, -2.98151, -8.22421, 4.22284, 1.50377, 0.05000, 20.59652, 8.44335, true
-0.72052, -3.26815, -5.73281, 49.82790, 1.47021, 0.05000, 20.58284, 8.28051, true
-0.88559, -3.30153, -0.66756, 101.30511, 1.43818, 0.05000, 20.56359, 8.11656, true
-1.05541, -3.39634, -1.89635, -24.57580, 1.41050, 0.05000, 20.53871, 7.94858, true
-1.23212, -3.53410, -2.75515, -17.17599, 1.38914, 0.05000, 20.50853, 7.77447, true
-1.41722, -3.70203, -3.35856, -12.06817, 1.37547, 0.05000, 20.47371, 7.59267, true
-1.61189, -3.89339, -3.82718, -9.37252, 1.37059, 0.05000, 20.43531, 7.40183, true
-1.81723, -4.10680, -4.26816, -8.81953, 1.37548, 0.05000, 20.39480, 7.20052, true
-2.03449, -4.34521, -4.76823, -10.00141, 1.39132, 0.05000, 20.35414, 6.98710, true
-2.26522, -4.61473, -5.39055, -12.44630, 1.41952, 0.05000, 20.31593, 6.75955, true
-2.51137, -4.92292, -6.16369, -15.46284, 1.46186, 0.05000, 20.28375, 6.51552, true
-2.77514, -5.27536, -7.04888, -17.70378, 1.52039, 0.05000, 20.26247, 6.25261, true
-3.05859, -5.66895, -7.87169, -16.45636, 1.59700, 0.05000, 20.25873, 5.96919, true
-3.36261, -6.08045, -8.23007, -7.16761, 1.69252, 0.05000, 20.28088, 5.66597, true
-3.68534, -6.45471, -7.48524, 14.89674, 1.80526, 0.05000, 20.33780, 5.34830, true
-4.02076, -6.70831, -5.07187, 48.26734, 1.92967, 0.05000, 20.43574, 5.02750, true
-4.35910, -6.76677, -1.16920, 78.05344, 2.05677, 0.05000, 20.57448, 4.71891, true
-4.68994, -6.61687, 2.99802, 83.34437, 2.17697, 0.05000, 20.74646, 4.43628, true
-5.00579, -6.31699, 5.99749, 59.98946, 2.28337, 0.05000, 20.94016, 4.18680, true
-5.30342, -5.95252, 7.28940, 25.83812, 2.37301, 0.05000, 21.14485, 3.97074, true
-5.58287, -5.58908, 7.26874, -0.41317, 2.44595, 0.05000, 21.35288, 3.78414, true
-5.84582, -5.25894, 6.60290, -13.31684, 2.50372, 0.05000, 21.55965, 3.62171, true
-6.09430, -4.96960, 5.78672, -16.32365, 2.54821, 0.05000, 21.76264, 3.47839, true
-6.33008, -4.71561, 5.07994, -14.13546, 2.58104, 0.05000, 21.96035, 3.34992, true
-6.52143, -3.82705, 17.77101, 253.82142, 2.60063, 0.05000, 22.12346, 3.24987, true
-6.67305, -3.03249, 15.89128, -37.59463, 2.61129, 0.05000, 22.25388, 3.17253, true
-6.78842, -2.30727, 14.50439, -27.73789, 2.61621, 0.05000, 22.35355, 3.11445, true
-6.87018, -1.63520, 13.44136, -21.26055, 2.61783, 0.05000, 22.42433, 3.07351, true
-6.89061, -0.40861, 24.53178, 221.80840, 2.61800, 0.05000, 22.44202, 3.06330, true
-6.91059, -0.39969, 0.17857, -487.06427, 2.61801, 0.05000, 22.42471, 3.07329, true
-6.91059, 0.00000, 7.99372, 156.30298, 2.61800, 0.05000, 22.43336, 3.06829, true
