position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 1.57062, 0.05000, 22.79020, 8.99981, true
-0.03024, -0.60476, -12.09524, -241.90472, 1.57040, 0.05000, 22.79019, 8.96957, true
-0.09208, -1.23677, -12.64016, -10.89846, 1.56872, 0.05000, 22.79012, 8.90773, true
-0.18791, -1.91659, -13.59641, -19.12501, 1.56337, 0.05000, 22.78969, 8.81190, true
-0.32048, -2.65144, -14.69709, -22.01355, 1.55184, 0.05000, 22.78799, 8.67934, true
-0.49196, -3.42961, -15.56323, -17.32291, 1.53213, 0.05000, 22.78311, 8.50793, true
-0.70287, -4.21825, -15.77289, -4.19323, 1.50377, 0.05000, 22.77202, 8.29731, true
-0.93944, -4.73148, -10.26450, 110.16795, 1.47021, 0.05000, 22.75222, 8.06157, true
-1.17435, -4.69813, 0.66688, 218.62758, 1.43818, 0.05000, 22.72484, 7.82826, true
-1.40452, -4.60340, 1.89461, 24.55461, 1.41050, 0.05000, 22.69116, 7.60057, true
-1.62781, -4.46575, 2.75308, 17.16934, 1.38914, 0.05000, 22.65306, 7.38056, true
-1.84270, -4.29791, 3.35676, 12.07356, 1.37547, 0.05000, 22.61265, 7.16949, true
-2.04803, -4.10660, 3.82610, 9.38679, 1.37059, 0.05000, 22.57216, 6.96820, true
-2.24269, -3.89320, 4.26816, 8.84125, 1.37548, 0.05000, 22.53374, 6.77737, true
-2.42543, -3.65471, 4.76974, 10.03160, 1.39132, 0.05000, 22.49951, 6.59787, true
-2.59468, -3.38500, 5.39417, 12.48863, 1.41952, 0.05000, 22.47143, 6.43096, true
-2.74850, -3.07648, 6.17033, 15.52320, 1.46186, 0.05000, 22.45122, 6.27847, true
-2.88468, -2.72350, 7.05975, 17.78830, 1.52039, 0.05000, 22.44010, 6.14275, true
-3.00113, -2.32910, 7.88797, 16.56452, 1.59700, 0.05000, 22.43838, 6.02631, true
-3.09696, -1.91651, 8.25180, 7.27644, 1.69252, 0.05000, 22.44515, 5.93072, true
-3.17401, -1.54105, 7.50922, -14.85147, 1.80526, 0.05000, 22.45855, 5.85484, true
-3.23834, -1.28652, 5.09047, -48.37509, 1.92967, 0.05000, 22.47723, 5.79329, true
-3.29973, -1.22784, 1.17375, -78.33428, 2.05677, 0.05000, 22.50244, 5.73731, true
-3.36865, -1.37831, -3.00952, -83.66555, 2.17697, 0.05000, 22.53838, 5.67851, true
-3.45261, -1.67924, -6.01846, -60.17872, 2.28337, 0.05000, 22.59003, 5.61232, true
-3.55485, -2.04480, -7.31135, -25.85774, 2.37301, 0.05000, 22.66048, 5.53822, true
-3.67530, -2.40914, -7.28684, 0.49007, 2.44595, 0.05000, 22.75025, 5.45790, true
-3.81230, -2.73995, -6.61610, 13.41483, 2.50372, 0.05000, 22.85805, 5.37336, true
-3.96379, -3.02974, -5.79576, 16.40680, 2.54821, 0.05000, 22.98185, 5.28605, true
-4.12799, -3.28403, -5.08594, 14.19634, 2.58104, 0.05000, 23.11957, 5.19664, true
-4.27663, -2.97284, 6.22398, 226.19840, 2.60063, 0.05000, 23.24629, 5.11894, true
-4.40501, -2.56748, 8.10707, 37.66192, 2.61129, 0.05000, 23.35671, 5.05347, true
-4.50964, -2.09272, 9.49517, 27.76194, 2.61621, 0.05000, 23.44712, 5.00079, true
-4.58788, -1.56480, 10.55856, 21.26777, 2.61783, 0.05000, 23.51484, 4.96161, true
-4.60794, -0.40112, 23.27345, 254.29791, 2.61800, 0.05000, 23.53221, 4.95158, true
-4.62795, -0.40031, 0.01619, -465.14519, 2.61801, 0.05000, 23.51488, 4.96159, true
-4.62795, 0.00000, 8.00628, 159.80182, 2.61800, 0.05000, 23.52355, 4.95658, true
-4.62795, 0.00000, 0.00000, -160.12567, 2.61800, 0.05000, 23.52355, 4.95658, true
-4.62795, 0.00000, 0.00000, 0.00000, 2.61800, 0.05000, 23.52355, 4.95658, false
-4.59792, 0.60075, 12.01508, 240.30166, 2.61804, 0.05000, 23.49753, 4.97160, false
-4.53776, 1.20319, 12.04881, 0.67455, 2.61818, 0.05000, 23.44543, 5.00168, false
-4.44731, 1.80896, 12.11526, 1.32894, 2.61859, 0.05000, 23.36708, 5.04687, false
-4.32633, 2.41959, 12.21262, 1.94723, 2.61949, 0.05000, 23.26225, 5.10725, false
-4.17450, 3.03652, 12.33868, 2.52126, 2.62117, 0.05000, 23.13059, 5.18287, false
-3.99145, 3.66109, 12.49132, 3.05277, 2.62397, 0.05000, 22.97165, 5.27368, false
-3.77672, 4.29454, 12.66901, 3.55386, 2.62831, 0.05000, 22.78483, 5.37954, false
-3.52982, 4.93810, 12.87131, 4.04585, 2.63464, 0.05000, 22.56938, 5.50013, false
-3.25016, 5.59306, 13.09913, 4.55644, 2.64350, 0.05000, 22.32432, 5.63485, false
-2.93712, 6.26081, 13.35488, 5.11509, 2.65546, 0.05000, 22.04845, 5.78281, false
-2.58998, 6.94291, 13.64217, 5.74574, 2.67119, 0.05000, 21.74029, 5.94265, false
-2.21858, 7.42796, 9.70098, -78.82370, 2.69082, 0.05000, 21.40763, 6.10781, false
-1.84385, 7.49456, 1.33199, -167.37983, 2.71351, 0.05000, 21.06854, 6.26730, false
-1.46577, 7.56165, 1.34183, 0.19682, 2.73928, 0.05000, 20.72262, 6.41989, false
-1.08432, 7.62898, 1.34655, 0.09441, 2.76814, 0.05000, 20.36954, 6.56425, false
-0.69952, 7.69593, 1.33906, -0.14987, 2.80007, 0.05000, 20.00911, 6.69898, false
-0.31145, 7.76151, 1.31146, -0.55208, 2.83502, 0.05000, 19.64126, 6.82263, false
0.07977, 7.82428, 1.25545, -1.12009, 2.87284, 0.05000, 19.26614, 6.93370, false
0.47389, 7.88244, 1.16318, -1.84546, 2.91334, 0.05000, 18.88414, 7.03071, false
0.87058, 7.93386, 1.02843, -2.69505, 2.95620, 0.05000, 18.49592, 7.11223, false
1.26939, 7.97627, 0.84816, -3.60542, 3.00100, 0.05000, 18.10240, 7.17700, false
1.66977, 8.00747, 0.62396, -4.48388, 3.04724, 0.05000, 17.70479, 7.22396, false
2.07105, 8.02562, 0.36298, -5.21965, 3.09431, 0.05000, 17.30451, 7.25237, false
2.47252, 8.02950, 0.07773, -5.70496, 3.14156, 0.05000, 16.90315, 7.26186, false
2.87346, 8.01874, -0.21532, -5.86097, -3.09487, 0.05000, 16.50232, 7.25248, false
3.27315, 7.99382, -0.49829, -5.65948, -3.04926, 0.05000, 16.10360, 7.22467, false
3.67096, 7.95608, -0.75485, -5.13112, -3.00538, 0.05000, 15.70840, 7.17925, false
4.06633, 7.90745, -0.97266, -4.35632, -2.96373, 0.05000, 15.31790, 7.11734, false
4.45884, 7.85021, -1.14482, -3.44318, -2.92472, 0.05000, 14.93303, 7.04030, false
4.84817, 7.78671, -1.26989, -2.50139, -2.88862, 0.05000, 14.55441, 6.94959, false
5.23413, 7.71916, -1.35095, -1.62126, -2.85562, 0.05000, 14.18240, 6.84674, false
5.61661, 7.64946, -1.39411, -0.86305, -2.82582, 0.05000, 13.81714, 6.73331, false
5.99556, 7.57911, -1.40691, -0.25603, -2.79925, 0.05000, 13.45855, 6.61076, false
6.37102, 7.50926, -1.39712, 0.19567, -2.77589, 0.05000, 13.10640, 6.48051, false
6.74306, 7.44066, -1.37188, 0.50488, -2.75567, 0.05000, 12.76037, 6.34387, false
7.11175, 7.37380, -1.33721, 0.69342, -2.73852, 0.05000, 12.42003, 6.20209, false
7.47719, 7.30891, -1.29790, 0.78612, -2.72435, 0.05000, 12.08493, 6.05629, false
7.83949, 7.24603, -1.25755, 0.80704, -2.71307, 0.05000, 11.75458, 5.90753, false
8.19875, 7.18510, -1.21868, 0.77748, -2.70458, 0.05000, 11.42848, 5.75679, false
8.55505, 7.12595, -1.18291, 0.71535, -2.69880, 0.05000, 11.10613, 5.60499, false
8.90847, 7.06839, -1.15114, 0.63538, -2.69566, 0.05000, 10.78707, 5.45299, false
9.25908, 7.01221, -1.12366, 0.54961, -2.69510, 0.05000, 10.47082, 5.30162, false
9.60694, 6.95720, -1.10025, 0.46816, -2.69706, 0.05000, 10.15694, 5.15165, false
9.95210, 6.90318, -1.08026, 0.39988, -2.70150, 0.05000, 9.84503, 5.00385, false
10.29460, 6.85005, -1.06261, 0.35302, -2.70838, 0.05000, 9.53470, 4.85894, false
10.63449, 6.79776, -1.04582, 0.33567, -2.71766, 0.05000, 9.22558, 4.71763, false
10.97180, 6.74636, -1.02802, 0.35601, -2.72929, 0.05000, 8.91734, 4.58060, false
11.30660, 6.69602, -1.00691, 0.42233, -2.74323, 0.05000, 8.60970, 4.44852, false
11.63896, 6.64703, -0.97977, 0.54273, -2.75941, 0.05000, 8.30236, 4.32202, false
11.96895, 6.59985, -0.94355, 0.72446, -2.77776, 0.05000, 7.99508, 4.20170, false
12.29670, 6.55511, -0.89491, 0.97280, -2.79816, 0.05000, 7.68763, 4.08814, false
12.62238, 6.51358, -0.83043, 1.28962, -2.82046, 0.05000, 7.37978, 3.98186, false
12.94620, 6.47624, -0.74684, 1.67172, -2.84447, 0.05000, 7.07133, 3.88330, false
13.26840, 6.44417, -0.64138, 2.10928, -2.86996, 0.05000, 6.76208, 3.79286, false
13.58933, 6.41857, -0.51213, 2.58490, -2.89662, 0.05000, 6.45180, 3.71086, false
13.90936, 6.40064, -0.35844, 3.07391, -2.92409, 0.05000, 6.14029, 3.63749, false
14.22894, 6.39159, -0.18112, 3.54628, -2.95199, 0.05000, 5.82731, 3.57288, false
14.54857, 6.39246, 0.01740, 3.97051, -2.97984, 0.05000, 5.51261, 3.51703, false
14.86877, 6.40413, 0.23335, 4.31886, -3.00716, 0.05000, 5.19590, 3.46981, false
15.19013, 6.42723, 0.46200, 4.57302, -3.03342, 0.05000, 4.87690, 3.43096, false
15.51324, 6.46215, 0.69843, 4.72871, -3.05808, 0.05000, 4.55527, 3.40010, false
15.83870, 6.50906, 0.93833, 4.79790, -3.08059, 0.05000, 4.23066, 3.37667, false
16.13882, 6.00244, -10.13257, -221.41789, -3.09882, 0.05000, 3.93094, 3.36117, false
16.41331, 5.48994, -10.24995, -2.34763, -3.11304, 0.05000, 3.65661, 3.35144, false
16.66173, 4.96842, -10.43039, -3.60881, -3.12366, 0.05000, 3.40826, 3.34571, false
16.88353, 4.43585, -10.65147, -4.42161, -3.13119, 0.05000, 3.18649, 3.34261, false
17.07809, 3.89116, -10.89378, -4.84623, -3.13618, 0.05000, 2.99194, 3.34109, false
