position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 0.000, 0.020, 24.000, 5.910
0.003, 0.160, 8.000, 399.977, 0.000, 0.020, 23.997, 5.910
0.010, 0.320, 7.997, -0.135, 0.000, 0.020, 23.990, 5.910
0.019, 0.480, 7.991, -0.270, 0.000, 0.020, 23.981, 5.910
0.032, 0.639, 7.983, -0.403, 0.000, 0.020, 23.968, 5.910
0.048, 0.799, 7.973, -0.535, 0.000, 0.020, 23.952, 5.910
0.067, 0.958, 7.959, -0.664, 0.000, 0.020, 23.933, 5.910
0.089, 1.117, 7.944, -0.789, 0.000, 0.020, 23.911, 5.910
0.115, 1.275, 7.925, -0.912, 0.000, 0.020, 23.885, 5.910
0.144, 1.434, 7.905, -1.030, 0.000, 0.020, 23.856, 5.910
0.175, 1.591, 7.882, -1.144, 0.000, 0.020, 23.825, 5.910
0.210, 1.748, 7.857, -1.252, 0.001, 0.020, 23.790, 5.910
0.249, 1.905, 7.830, -1.355, 0.001, 0.020, 23.751, 5.910
0.290, 2.061, 7.801, -1.452, 0.001, 0.020, 23.710, 5.910
0.334, 2.216, 7.770, -1.543, 0.002, 0.020, 23.666, 5.910
0.381, 2.371, 7.737, -1.628, 0.002, 0.020, 23.619, 5.910
0.432, 2.525, 7.703, -1.705, 0.003, 0.020, 23.568, 5.909
0.486, 2.678, 7.668, -1.775, 0.004, 0.020, 23.514, 5.909
0.542, 2.831, 7.631, -1.838, 0.005, 0.020, 23.458, 5.909
0.602, 2.983, 7.593, -1.893, 0.006, 0.020, 23.398, 5.909
0.665, 3.134, 7.554, -1.939, 0.007, 0.020, 23.335, 5.908
0.730, 3.284, 7.515, -1.978, 0.008, 0.020, 23.270, 5.908
0.799, 3.434, 7.475, -2.008, 0.010, 0.020, 23.201, 5.907
0.871, 3.583, 7.434, -2.030, 0.012, 0.020, 23.129, 5.906
0.945, 3.730, 7.393, -2.042, 0.014, 0.020, 23.055, 5.905
1.023, 3.877, 7.352, -2.045, 0.016, 0.020, 22.977, 5.904
1.103, 4.024, 7.311, -2.038, 0.018, 0.020, 22.897, 5.903
1.187, 4.169, 7.271, -2.021, 0.021, 0.020, 22.813, 5.901
1.273, 4.314, 7.231, -1.992, 0.024, 0.020, 22.727, 5.899
1.362, 4.458, 7.192, -1.952, 0.028, 0.020, 22.638, 5.897
1.454, 4.601, 7.154, -1.900, 0.031, 0.020, 22.546, 5.894
1.549, 4.743, 7.117, -1.835, 0.035, 0.020, 22.451, 5.891
1.647, 4.885, 7.082, -1.756, 0.039, 0.020, 22.354, 5.888
1.747, 5.026, 7.049, -1.661, 0.044, 0.020, 22.253, 5.883
1.850, 5.166, 7.018, -1.551, 0.049, 0.020, 22.150, 5.879
1.956, 5.306, 6.990, -1.423, 0.055, 0.020, 22.044, 5.873
2.065, 5.445, 6.964, -1.277, 0.060, 0.020, 21.935, 5.867
2.177, 5.584, 6.942, -1.111, 0.067, 0.020, 21.824, 5.860
2.292, 5.722, 6.923, -0.924, 0.073, 0.020, 21.710, 5.852
2.409, 5.861, 6.909, -0.716, 0.080, 0.020, 21.593, 5.843
2.529, 5.999, 6.899, -0.484, 0.087, 0.020, 21.473, 5.833
2.651, 6.136, 6.895, -0.229, 0.095, 0.020, 21.351, 5.822
2.777, 6.274, 6.896, 0.051, 0.103, 0.020, 21.226, 5.809
2.905, 6.412, 6.903, 0.356, 0.112, 0.020, 21.099, 5.795
3.036, 6.551, 6.917, 0.685, 0.121, 0.020, 20.969, 5.780
3.170, 6.689, 6.937, 1.039, 0.130, 0.020, 20.836, 5.763
3.307, 6.829, 6.966, 1.415, 0.140, 0.020, 20.701, 5.745
3.446, 6.969, 7.002, 1.812, 0.150, 0.020, 20.563, 5.725
3.588, 7.110, 7.047, 2.227, 0.161, 0.020, 20.422, 5.703
3.733, 7.252, 7.100, 2.658, 0.171, 0.020, 20.279, 5.679
3.881, 7.395, 7.162, 3.100, 0.182, 0.020, 20.134, 5.653
4.032, 7.540, 7.233, 3.549, 0.194, 0.020, 19.985, 5.625
4.186, 7.686, 7.313, 3.998, 0.205, 0.020, 19.835, 5.594
4.342, 7.834, 7.402, 4.443, 0.217, 0.020, 19.682, 5.561
4.499, 7.855, 1.029, -318.611, 0.229, 0.020, 19.528, 5.526
4.657, 7.859, 0.198, -41.563, 0.241, 0.020, 19.376, 5.490
