position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 15.50000, 12.50000, true
0.03000, -0.60000, -12.00000, 0.00000, -0.00011, 0.05000, 15.47000, 12.50000, true
0.09000, -1.20000, -12.00000, 0.00000, -0.00096, 0.05000, 15.41000, 12.50003, true
0.18000, -1.80000, -12.00000, 0.00000, -0.00382, 0.05000, 15.32000, 12.50023, true
0.30000, -2.40000, -12.00000, 0.00000, -0.01056, 0.05000, 15.20000, 12.50106, true
0.45000, -3.00000, -12.00000, 0.00000, -0.02375, 0.05000, 15.05003, 12.50356, true
0.63000, -3.60000, -12.00000, 0.00000, -0.04702, 0.05000, 14.87014, 12.50981, true
0.83000, -4.00000, 0.00000, 0.00000, -0.08354, 0.05000, 14.67056, 12.52265, true
1.03000, -4.00000, 0.00000, 0.00000, -0.13339, 0.05000, 14.47173, 12.54406, true
1.23000, -4.00000, 0.00000, 0.00000, -0.19962, 0.05000, 14.27448, 12.57690, true
1.43000, -4.00000, 0.00000, 0.00000, -0.28615, 0.05000, 14.08032, 12.62462, true
1.63000, -4.00000, 0.00000, 0.00000, -0.39697, 0.05000, 13.89183, 12.69117, true
1.83000, -4.00000, 0.00000, 0.00000, -0.53406, 0.05000, 13.71306, 12.78049, true
2.03000, -4.00000, 0.00000, 0.00000, -0.69339, 0.05000, 13.54956, 12.89532, true
2.23000, -4.00000, 0.00000, 0.00000, -0.86227, 0.05000, 13.40724, 13.03549, true
2.43000, -4.00000, 0.00000, 0.00000, -1.02309, 0.05000, 13.29006, 13.19730, true
2.63000, -4.00000, 0.00000, 0.00000, -1.16244, 0.05000, 13.19850, 13.37493, true
2.83000, -4.00000, 0.00000, 0.00000, -1.27559, 0.05000, 13.13004, 13.56273, true
3.03000, -4.00000, 0.00000, 0.00000, -1.36412, 0.05000, 13.08076, 13.75650, true
3.23000, -4.00000, 0.00000, 0.00000, -1.43200, 0.05000, 13.04669, 13.95354, true
3.43000, -4.00000, 0.00000, 0.00000, -1.48317, 0.05000, 13.02435, 14.15226, true
3.63000, -4.00000, 0.00000, 0.00000, -1.52078, 0.05000, 13.01080, 14.35179, true
3.83000, -4.00000, 0.00000, 0.00000, -1.54706, 0.05000, 13.00360, 14.55166, true
4.00000, -3.40000, 12.00000, 0.00000, -1.56154, 0.05000, 13.00089, 14.72163, true
4.14000, -2.80000, 12.00000, 0.00000, -1.56836, 0.05000, 13.00013, 14.86163, true
4.25000, -2.20000, 12.00000, 0.00000, -1.57053, 0.05000, 13.00001, 14.97163, true
4.33000, -1.60000, 12.00000, 0.00000, -1.57062, 0.05000, 13.00001, 14.94837, true
4.38000, -1.00000, 12.00000, 0.00000, -1.57063, 0.05000, 13.00002, 14.89837, true
4.40000, -0.40000, 12.00000, 0.00000, -1.57063, 0.05000, 13.00002, 14.87837, true
4.39000, 0.00000, 0.00000, 0.00000, -1.57063, 0.05000, 13.00002, 14.88837, true
4.39000, 0.00000, 0.00000, 0.00000, -1.57063, 0.05000, 13.00002, 14.88837, true
4.39000, 0.00000, 0.00000, 0.00000, -1.57063, 0.05000, 13.00002, 14.88837, false
4.42000, 0.60000, 12.00000, 0.00000, -1.57063, 0.05000, 13.00002, 14.85837, false
4.48000, 1.20000, 12.00000, 0.00000, -1.57064, 0.05000, 13.00003, 14.79837, false
4.57000, 1.80000, 12.00000, 0.00000, -1.57066, 0.05000, 13.00005, 14.70837, false
4.69000, 2.40000, 12.00000, 0.00000, -1.57071, 0.05000, 13.00006, 14.58837, false
4.84000, 3.00000, 12.00000, 0.00000, -1.57081, 0.05000, 13.00007, 14.43837, false
5.02000, 3.60000, 12.00000, 0.00000, -1.57099, 0.05000, 13.00005, 14.25837, false
5.22000, 4.00000, 0.00000, 0.00000, -1.57129, 0.05000, 12.99998, 14.05837, false
5.42000, 4.00000, 0.00000, 0.00000, -1.57172, 0.05000, 12.99984, 13.85837, false
5.62000, 4.00000, 0.00000, 0.00000, -1.57230, 0.05000, 12.99960, 13.65837, false
5.82000, 4.00000, 0.00000, 0.00000, -1.57303, 0.05000, 12.99923, 13.45837, false
6.02000, 4.00000, 0.00000, 0.00000, -1.57395, 0.05000, 12.99870, 13.25837, false
6.22000, 4.00000, 0.00000, 0.00000, -1.57507, 0.05000, 12.99796, 13.05837, false
6.42000, 4.00000, 0.00000, 0.00000, -1.57642, 0.05000, 12.99697, 12.85838, false
6.62000, 4.00000, 0.00000, 0.00000, -1.57799, 0.05000, 12.99569, 12.65838, false
6.82000, 4.00000, 0.00000, 0.00000, -1.57983, 0.05000, 12.99407, 12.45839, false
7.02000, 4.00000, 0.00000, 0.00000, -1.58195, 0.05000, 12.99206, 12.25840, false
7.22000, 4.00000, 0.00000, 0.00000, -1.58435, 0.05000, 12.98959, 12.05841, false
7.42000, 4.00000, 0.00000, 0.00000, -1.58708, 0.05000, 12.98662, 11.85843, false
7.62000, 4.00000, 0.00000, 0.00000, -1.59014, 0.05000, 12.98306, 11.65847, false
7.82000, 4.00000, 0.00000, 0.00000, -1.59355, 0.05000, 12.97886, 11.45851, false
8.02000, 4.00000, 0.00000, 0.00000, -1.59734, 0.05000, 12.97393, 11.25857, false
8.22000, 4.00000, 0.00000, 0.00000, -1.60153, 0.05000, 12.96821, 11.05865, false
8.42000, 4.00000, 0.00000, 0.00000, -1.60615, 0.05000, 12.96161, 10.85876, false
8.62000, 4.00000, 0.00000, 0.00000, -1.61121, 0.05000, 12.95405, 10.65890, false
8.82000, 4.00000, 0.00000, 0.00000, -1.61675, 0.05000, 12.94542, 10.45909, false
9.02000, 4.00000, 0.00000, 0.00000, -1.62279, 0.05000, 12.93564, 10.25933, false
9.22000, 4.00000, 0.00000, 0.00000, -1.62937, 0.05000, 12.92459, 10.05964, false
9.42000, 4.00000, 0.00000, 0.00000, -1.63651, 0.05000, 12.91218, 9.86002, false
9.62000, 4.00000, 0.00000, 0.00000, -1.64425, 0.05000, 12.89829, 9.66051, false
9.82000, 4.00000, 0.00000, 0.00000, -1.65262, 0.05000, 12.88279, 9.46111, false
10.02000, 4.00000, 0.00000, 0.00000, -1.66166, 0.05000, 12.86555, 9.26185, false
10.22000, 4.00000, 0.00000, 0.00000, -1.67142, 0.05000, 12.84645, 9.06277, false
10.42000, 4.00000, 0.00000, 0.00000, -1.68193, 0.05000, 12.82532, 8.86389, false
10.62000, 4.00000, 0.00000, 0.00000, -1.69325, 0.05000, 12.80203, 8.66525, false
10.82000, 4.00000, 0.00000, 0.00000, -1.70542, 0.05000, 12.77641, 8.46690, false
11.02000, 4.00000, 0.00000, 0.00000, -1.71850, 0.05000, 12.74829, 8.26889, false
11.22000, 4.00000, 0.00000, 0.00000, -1.73254, 0.05000, 12.71748, 8.07128, false
11.42000, 4.00000, 0.00000, 0.00000, -1.74760, 0.05000, 12.68381, 7.87413, false
11.62000, 4.00000, 0.00000, 0.00000, -1.76375, 0.05000, 12.64706, 7.67754, false
11.82000, 4.00000, 0.00000, 0.00000, -1.78105, 0.05000, 12.60703, 7.48159, false
12.02000, 4.00000, 0.00000, 0.00000, -1.79956, 0.05000, 12.56350, 7.28639, false
12.22000, 4.00000, 0.00000, 0.00000, -1.81935, 0.05000, 12.51625, 7.09205, false
12.42000, 4.00000, 0.00000, 0.00000, -1.84049, 0.05000, 12.46502, 6.89873, false
12.62000, 4.00000, 0.00000, 0.00000, -1.86305, 0.05000, 12.40959, 6.70657, false
12.82000, 4.00000, 0.00000, 0.00000, -1.88708, 0.05000, 12.34970, 6.51575, false
13.02000, 4.00000, 0.00000, 0.00000, -1.91264, 0.05000, 12.28509, 6.32648, false
13.22000, 4.00000, 0.00000, 0.00000, -1.93977, 0.05000, 12.21553, 6.13897, false
13.42000, 4.00000, 0.00000, 0.00000, -1.96851, 0.05000, 12.14075, 5.95349, false
13.62000, 4.00000, 0.00000, 0.00000, -1.99888, 0.05000, 12.06052, 5.77029, false
13.82000, 4.00000, 0.00000, 0.00000, -2.03086, 0.05000, 11.97463, 5.58969, false
14.02000, 4.00000, 0.00000, 0.00000, -2.06443, 0.05000, 11.88286, 5.41199, false
14.22000, 4.00000, 0.00000, 0.00000, -2.09952, 0.05000, 11.78504, 5.23756, false
14.42000, 4.00000, 0.00000, 0.00000, -2.13603, 0.05000, 11.68105, 5.06673, false
14.62000, 4.00000, 0.00000, 0.00000, -2.17383, 0.05000, 11.57078, 4.89989, false
14.82000, 4.00000, 0.00000, 0.00000, -2.21275, 0.05000, 11.45418, 4.73741, false
15.02000, 4.00000, 0.00000, 0.00000, -2.25259, 0.05000, 11.33128, 4.57964, false
15.22000, 4.00000, 0.00000, 0.00000, -2.29311, 0.05000, 11.20214, 4.42694, false
15.42000, 4.00000, 0.00000, 0.00000, -2.33405, 0.05000, 11.06688, 4.27963, false
15.62000, 4.00000, 0.00000, 0.00000, -2.37514, 0.05000, 10.92570, 4.13800, false
15.82000, 4.00000, 0.00000, 0.00000, -2.41610, 0.05000, 10.77882, 4.00227, false
16.02000, 4.00000, 0.00000, 0.00000, -2.45665, 0.05000, 10.62653, 3.87265, false
16.22000, 4.00000, 0.00000, 0.00000, -2.49654, 0.05000, 10.46915, 3.74925, false
16.42000, 4.00000, 0.00000, 0.00000, -2.53553, 0.05000, 10.30702, 3.63217, false
