position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 15.50000, 13.59020, true
-0.02988, -0.59765, -11.95305, -239.06102, -0.00011, 0.05000, 15.47012, 13.59020, true
-0.08895, -1.18136, -11.67416, 5.57783, -0.00096, 0.05000, 15.41105, 13.59023, true
-0.17583, -1.73767, -11.12613, 10.96062, -0.00382, 0.05000, 15.32417, 13.59042, true
-0.28849, -2.25315, -10.30969, 16.32868, -0.01056, 0.05000, 15.21151, 13.59120, true
-0.42410, -2.71226, -9.18224, 22.54913, -0.02375, 0.05000, 15.07592, 13.59346, true
-0.57874, -3.09264, -7.60745, 31.49567, -0.04702, 0.05000, 14.92138, 13.59880, true
-0.73891, -3.20345, -2.21620, 107.82505, -0.08354, 0.05000, 14.76153, 13.60905, true
-0.88455, -2.91283, 5.81233, 160.57067, -0.13339, 0.05000, 14.61672, 13.62457, true
-1.01232, -2.55536, 7.14941, 26.74165, -0.19962, 0.05000, 14.49067, 13.64545, true
-1.11796, -2.11278, 8.85154, 34.04255, -0.28615, 0.05000, 14.38804, 13.67049, true
-1.19709, -1.58274, 10.60081, 34.98543, -0.39697, 0.05000, 14.31333, 13.69659, true
-1.24761, -1.01029, 11.44905, 16.96476, -0.53406, 0.05000, 14.26800, 13.71888, true
-1.27387, -0.52527, 9.70043, -34.97241, -0.69339, 0.05000, 14.24637, 13.73377, true
-1.28975, -0.31751, 4.15512, -110.90618, -0.86227, 0.05000, 14.23505, 13.74490, true
-1.31439, -0.49280, -3.50583, -153.21907, -1.02309, 0.05000, 14.22079, 13.76499, true
-1.36243, -0.96090, -9.36186, -117.12054, -1.16244, 0.05000, 14.19906, 13.80785, true
-1.43904, -1.53222, -11.42655, -41.29377, -1.27559, 0.05000, 14.17307, 13.87992, true
-1.54249, -2.06889, -10.73330, 13.86492, -1.36412, 0.05000, 14.14775, 13.98021, true
-1.66847, -2.51956, -9.01349, 34.39623, -1.43200, 0.05000, 14.12641, 14.10437, true
-1.81266, -2.88394, -7.28756, 34.51862, -1.48317, 0.05000, 14.11036, 14.24767, true
-1.97165, -3.17963, -5.91388, 27.47358, -1.52078, 0.05000, 14.09964, 14.40629, true
-2.14299, -3.42690, -4.94534, 19.37086, -1.54706, 0.05000, 14.09349, 14.57753, true
-2.29721, -3.08443, 6.84947, 235.89615, -1.56154, 0.05000, 14.09105, 14.73173, true
-2.42977, -2.65123, 8.66400, 36.29062, -1.56836, 0.05000, 14.09033, 14.86429, true
-2.53741, -2.15276, 9.96942, 26.10843, -1.57053, 0.05000, 14.09021, 14.97192, true
-2.56078, -0.46731, 33.70901, 474.79179, -1.57062, 0.05000, 14.09021, 14.94856, true
-2.61078, -1.00007, -10.65519, -887.28411, -1.57063, 0.05000, 14.09022, 14.89856, true
-2.63078, -0.40004, 12.00050, 453.11384, -1.57063, 0.05000, 14.09022, 14.87855, true
-2.63078, 0.00000, 8.00080, -79.99394, -1.57063, 0.05000, 14.09022, 14.88856, true
-2.63078, 0.00000, 0.00000, -160.01606, -1.57063, 0.05000, 14.09022, 14.88856, true
-2.63078, 0.00000, 0.00000, 0.00000, -1.57063, 0.05000, 14.09022, 14.88856, false
-2.60078, 0.60007, 12.00140, 240.02802, -1.57063, 0.05000, 14.09022, 14.85855, false
-2.54077, 1.20020, 12.00268, 0.02561, -1.57064, 0.05000, 14.09023, 14.79854, false
-2.45074, 1.80049, 12.00572, 0.06079, -1.57066, 0.05000, 14.09025, 14.70852, false
-2.33069, 2.40106, 12.01146, 0.11486, -1.57071, 0.05000, 14.09026, 14.58846, false
-2.18058, 3.00213, 12.02129, 0.19659, -1.57081, 0.05000, 14.09027, 14.43836, false
-2.00038, 3.60398, 12.03699, 0.31398, -1.57099, 0.05000, 14.09025, 14.25816, false
-1.80005, 4.00661, 8.05273, -79.68528, -1.57129, 0.05000, 14.09018, 14.05783, false
-1.59959, 4.00934, 0.05460, -159.96266, -1.57172, 0.05000, 14.09004, 13.85736, false
-1.39896, 4.01250, 0.06310, 0.17013, -1.57230, 0.05000, 14.08980, 13.65674, false
-1.19816, 4.01607, 0.07145, 0.16704, -1.57303, 0.05000, 14.08943, 13.45593, false
-0.99716, 4.02006, 0.07969, 0.16463, -1.57395, 0.05000, 14.08889, 13.25493, false
-0.79593, 4.02445, 0.08783, 0.16295, -1.57507, 0.05000, 14.08815, 13.05371, false
-0.59447, 4.02924, 0.09594, 0.16205, -1.57642, 0.05000, 14.08715, 12.85225, false
-0.39275, 4.03445, 0.10403, 0.16199, -1.57799, 0.05000, 14.08586, 12.65053, false
-0.19075, 4.04005, 0.11217, 0.16280, -1.57983, 0.05000, 14.08423, 12.44854, false
0.01156, 4.04607, 0.12040, 0.16454, -1.58195, 0.05000, 14.08219, 12.24624, false
0.21418, 4.05251, 0.12876, 0.16724, -1.58435, 0.05000, 14.07969, 12.04363, false
0.41715, 4.05938, 0.13731, 0.17096, -1.58708, 0.05000, 14.07667, 11.84069, false
0.62049, 4.06668, 0.14610, 0.17574, -1.59014, 0.05000, 14.07306, 11.63738, false
0.82421, 4.07444, 0.15518, 0.18163, -1.59355, 0.05000, 14.06878, 11.43371, false
1.02834, 4.08267, 0.16461, 0.18868, -1.59734, 0.05000, 14.06375, 11.22963, false
1.23291, 4.09140, 0.17446, 0.19695, -1.60153, 0.05000, 14.05790, 11.02515, false
1.43794, 4.10064, 0.18479, 0.20649, -1.60615, 0.05000, 14.05113, 10.82023, false
1.64347, 4.11042, 0.19566, 0.21736, -1.61121, 0.05000, 14.04336, 10.61485, false
1.84950, 4.12078, 0.20714, 0.22962, -1.61675, 0.05000, 14.03447, 10.40901, false
2.05609, 4.13174, 0.21930, 0.24333, -1.62279, 0.05000, 14.02436, 10.20267, false
