position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 15.50000, 11.40980, true
-0.03012, -0.60235, -12.04695, -240.93898, -0.00011, 0.05000, 15.46988, 11.40980, true
-0.09105, -1.21864, -12.32584, -5.57780, -0.00096, 0.05000, 15.40895, 11.40983, true
-0.18417, -1.86233, -12.87385, -10.96019, -0.00382, 0.05000, 15.31583, 11.41004, true
-0.31151, -2.54684, -13.69015, -16.32599, -0.01056, 0.05000, 15.18850, 11.41092, true
-0.47589, -3.28769, -14.81707, -22.53847, -0.02375, 0.05000, 15.02413, 11.41367, true
-0.68125, -4.10720, -16.39017, -31.46192, -0.04702, 0.05000, 14.81890, 11.42081, true
-0.92106, -4.79611, -13.77816, 52.24018, -0.08354, 0.05000, 14.57959, 11.43625, true
-1.17538, -5.08634, -5.80468, 159.46966, -0.13339, 0.05000, 14.32674, 11.46354, true
-1.44753, -5.44318, -7.13676, -26.64175, -0.19962, 0.05000, 14.05830, 11.50835, true
-1.74177, -5.88473, -8.83094, -33.88351, -0.28615, 0.05000, 13.77261, 11.57875, true
-2.06243, -6.41318, -10.56894, -34.76004, -0.39697, 0.05000, 13.47033, 11.68575, true
-2.41160, -6.98346, -11.40576, -16.73633, -0.53406, 0.05000, 13.15812, 11.84210, true
-2.78492, -7.46627, -9.65621, 34.99086, -0.69339, 0.05000, 12.85276, 12.05686, true
-3.16856, -7.67295, -4.13355, 110.45332, -0.86227, 0.05000, 12.57943, 12.32607, true
-3.54349, -7.49858, 3.48750, 152.42094, -1.02309, 0.05000, 12.35933, 12.62960, true
-3.89513, -7.03265, 9.31858, 116.62158, -1.16244, 0.05000, 12.19794, 12.94201, true
-4.21830, -6.46352, 11.38253, 41.27900, -1.27559, 0.05000, 12.08700, 13.24555, true
-4.51473, -5.92851, 10.70032, -13.64411, -1.36412, 0.05000, 12.01376, 13.53278, true
-4.78867, -5.47890, 8.99201, -34.16627, -1.43200, 0.05000, 11.96698, 13.80270, true
-5.04443, -5.11519, 7.27433, -34.35348, -1.48317, 0.05000, 11.93833, 14.05685, true
-5.28543, -4.81989, 5.90587, -27.36924, -1.52078, 0.05000, 11.92196, 14.29729, true
-5.51407, -4.57287, 4.94052, -19.30712, -1.54706, 0.05000, 11.91371, 14.52578, true
-5.69984, -3.71551, 17.14711, 244.13192, -1.56154, 0.05000, 11.91074, 14.71154, true
-5.84728, -2.94876, 15.33503, -36.24170, -1.56836, 0.05000, 11.90993, 14.85897, true
-5.95965, -2.24724, 14.03038, -26.09303, -1.57053, 0.05000, 11.90981, 14.97133, true
-5.98280, -0.46307, 35.68349, 433.06220, -1.57062, 0.05000, 11.90981, 14.94818, true
-6.03280, -0.99993, -10.73732, -928.41618, -1.57063, 0.05000, 11.90982, 14.89818, true
-6.05279, -0.39996, 11.99950, 454.73649, -1.57063, 0.05000, 11.90982, 14.87819, true
-6.05279, 0.00000, 7.99920, -80.00606, -1.57063, 0.05000, 11.90982, 14.88819, true
-6.05279, 0.00000, 0.00000, -159.98394, -1.57063, 0.05000, 11.90982, 14.88819, true
-6.05279, 0.00000, 0.00000, 0.00000, -1.57063, 0.05000, 11.90982, 14.88819, false
-6.02280, 0.59993, 11.99860, 239.97198, -1.57063, 0.05000, 11.90982, 14.85819, false
-5.96281, 1.19980, 11.99732, -0.02561, -1.57064, 0.05000, 11.90983, 14.79820, false
-5.87283, 1.79951, 11.99428, -0.06079, -1.57066, 0.05000, 11.90985, 14.70822, false
-5.75288, 2.39894, 11.98854, -0.11486, -1.57071, 0.05000, 11.90986, 14.58828, false
-5.60299, 2.99787, 11.97871, -0.19659, -1.57081, 0.05000, 11.90987, 14.43838, false
-5.42319, 3.59602, 11.96301, -0.31398, -1.57099, 0.05000, 11.90985, 14.25858, false
-5.22352, 3.99339, 7.94727, -80.31472, -1.57129, 0.05000, 11.90978, 14.05891, false
-5.02399, 3.99066, -0.05460, -160.03735, -1.57172, 0.05000, 11.90964, 13.85938, false
-4.82461, 3.98750, -0.06310, -0.17013, -1.57230, 0.05000, 11.90940, 13.66001, false
-4.62542, 3.98393, -0.07146, -0.16705, -1.57303, 0.05000, 11.90903, 13.46081, false
-4.42642, 3.97994, -0.07969, -0.16464, -1.57395, 0.05000, 11.90850, 13.26181, false
-4.22764, 3.97555, -0.08784, -0.16296, -1.57507, 0.05000, 11.90777, 13.06304, false
-4.02910, 3.97076, -0.09594, -0.16207, -1.57642, 0.05000, 11.90679, 12.86450, false
-3.83083, 3.96555, -0.10404, -0.16201, -1.57799, 0.05000, 11.90552, 12.66623, false
-3.63283, 3.95994, -0.11218, -0.16283, -1.57983, 0.05000, 11.90392, 12.46824, false
-3.43513, 3.95392, -0.12041, -0.16457, -1.58195, 0.05000, 11.90193, 12.27055, false
-3.23776, 3.94749, -0.12877, -0.16728, -1.58435, 0.05000, 11.89949, 12.07319, false
-3.04073, 3.94062, -0.13732, -0.17100, -1.58708, 0.05000, 11.89656, 11.87618, false
-2.84406, 3.93331, -0.14611, -0.17578, -1.59014, 0.05000, 11.89306, 11.67955, false
-2.64778, 3.92555, -0.15520, -0.18168, -1.59355, 0.05000, 11.88894, 11.48331, false
-2.45192, 3.91732, -0.16463, -0.18874, -1.59734, 0.05000, 11.88412, 11.28751, false
-2.25649, 3.90860, -0.17448, -0.19701, -1.60153, 0.05000, 11.87853, 11.09216, false
-2.06152, 3.89936, -0.18481, -0.20657, -1.60615, 0.05000, 11.87209, 10.89729, false
-1.86704, 3.88957, -0.19568, -0.21744, -1.61121, 0.05000, 11.86474, 10.70296, false
-1.67308, 3.87921, -0.20717, -0.22972, -1.61675, 0.05000, 11.85637, 10.50918, false
-1.47967, 3.86825, -0.21934, -0.24343, -1.62279, 0.05000, 11.84691, 10.31599, false
-1.28684, 3.85663, -0.23227, -0.25866, -1.62937, 0.05000, 11.83626, 10.12346, false
-1.09462, 3.84433, -0.24605, -0.27543, -1.63651, 0.05000, 11.82434, 9.93161, false
-0.90306, 3.83129, -0.26073, -0.29378, -1.64425, 0.05000, 11.81103, 9.74051, false
-0.71218, 3.81747, -0.27642, -0.31374, -1.65262, 0.05000, 11.79624, 9.55021, false
-0.52204, 3.80281, -0.29319, -0.33528, -1.66166, 0.05000, 11.77985, 9.36078, false
-0.33268, 3.78726, -0.31110, -0.35835, -1.67142, 0.05000, 11.76176, 9.17228, false
-0.14414, 3.77075, -0.33025, -0.38286, -1.68193, 0.05000, 11.74185, 8.98480, false
0.04352, 3.75321, -0.35068, -0.40860, -1.69325, 0.05000, 11.72000, 8.79841, false
0.23025, 3.73459, -0.37244, -0.43529, -1.70542, 0.05000, 11.69607, 8.61322, false
0.41599, 3.71481, -0.39557, -0.46253, -1.71850, 0.05000, 11.66996, 8.42933, false
0.60068, 3.69381, -0.42005, -0.48971, -1.73254, 0.05000, 11.64151, 8.24684, false
0.78426, 3.67152, -0.44585, -0.51603, -1.74760, 0.05000, 11.61060, 8.06588, false
