position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 0.000, 0.005, 2.000, 14.615
0.000, 0.035, 7.000, 1400.000, 0.000, 0.005, 2.000, 14.615
0.001, 0.070, 7.000, 0.000, 0.000, 0.005, 2.001, 14.615
0.001, 0.105, 7.000, 0.000, 0.000, 0.005, 2.001, 14.615
0.002, 0.140, 7.000, -0.000, 0.000, 0.005, 2.002, 14.615
0.003, 0.175, 7.000, 0.000, 0.000, 0.005, 2.003, 14.615
0.004, 0.210, 7.000, -0.000, 0.000, 0.005, 2.004, 14.615
0.005, 0.245, 7.000, 0.000, 0.000, 0.005, 2.005, 14.615
0.006, 0.280, 7.000, -0.000, 0.000, 0.005, 2.006, 14.615
0.008, 0.315, 7.000, 0.000, 0.000, 0.005, 2.008, 14.615
0.010, 0.350, 7.000, 0.000, 0.000, 0.005, 2.010, 14.615
0.012, 0.385, 7.000, 0.000, 0.000, 0.005, 2.012, 14.615
0.014, 0.420, 7.000, -0.000, 0.000, 0.005, 2.014, 14.615
0.016, 0.455, 7.000, 0.000, 0.000, 0.005, 2.016, 14.615
0.018, 0.490, 7.000, -0.000, 0.000, 0.005, 2.018, 14.615
0.021, 0.525, 7.000, 0.000, 0.000, 0.005, 2.021, 14.615
0.024, 0.560, 7.000, -0.000, 0.000, 0.005, 2.024, 14.615
0.027, 0.595, 7.000, -0.000, 0.000, 0.005, 2.027, 14.615
0.030, 0.630, 7.000, 0.000, 0.000, 0.005, 2.030, 14.615
0.033, 0.665, 7.000, -0.000, 0.000, 0.005, 2.033, 14.615
0.037, 0.700, 7.000, 0.000, 0.000, 0.005, 2.037, 14.615
0.040, 0.735, 7.000, -0.000, 0.000, 0.005, 2.040, 14.615
0.044, 0.770, 7.000, 0.000, 0.000, 0.005, 2.044, 14.615
0.048, 0.805, 7.000, 0.000, 0.000, 0.005, 2.048, 14.615
0.052, 0.840, 7.000, 0.000, 0.000, 0.005, 2.052, 14.615
0.057, 0.875, 7.000, 0.000, 0.000, 0.005, 2.057, 14.615
0.061, 0.910, 7.000, 0.000, 0.000, 0.005, 2.061, 14.615
0.066, 0.945, 7.000, 0.000, 0.000, 0.005, 2.066, 14.615
0.071, 0.980, 7.000, 0.000, 0.000, 0.005, 2.071, 14.615
0.076, 1.015, 7.000, -0.000, 0.000, 0.005, 2.076, 14.615
0.081, 1.050, 7.000, 0.000, 0.000, 0.005, 2.081, 14.615
0.087, 1.085, 7.000, -0.000, 0.000, 0.005, 2.087, 14.615
0.092, 1.120, 7.000, 0.000, 0.000, 0.005, 2.092, 14.615
0.098, 1.155, 7.000, 0.000, 0.000, 0.005, 2.098, 14.615
0.104, 1.190, 7.000, 0.000, 0.000, 0.005, 2.104, 14.615
