position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 0.000, 0.020, 2.000, 14.615
0.003, 0.140, 7.000, 350.000, 0.000, 0.020, 2.003, 14.615
0.008, 0.280, 7.000, -0.000, 0.000, 0.020, 2.008, 14.615
0.017, 0.420, 7.000, 0.000, 0.000, 0.020, 2.017, 14.615
0.028, 0.560, 7.000, -0.000, 0.000, 0.020, 2.028, 14.615
0.042, 0.700, 7.000, 0.000, 0.000, 0.020, 2.042, 14.615
0.059, 0.840, 7.000, -0.000, 0.000, 0.020, 2.059, 14.615
0.078, 0.980, 7.000, 0.000, 0.000, 0.020, 2.078, 14.615
0.101, 1.120, 7.000, -0.000, 0.000, 0.020, 2.101, 14.615
0.126, 1.260, 7.000, -0.000, 0.000, 0.020, 2.126, 14.615
0.154, 1.400, 7.000, 0.000, 0.000, 0.020, 2.154, 14.615
0.185, 1.540, 7.000, 0.000, 0.000, 0.020, 2.185, 14.615
0.218, 1.680, 7.000, 0.000, 0.000, 0.020, 2.218, 14.615
0.255, 1.820, 7.000, -0.000, 0.000, 0.020, 2.255, 14.615
0.294, 1.960, 7.000, -0.000, 0.000, 0.020, 2.294, 14.615
0.336, 2.100, 7.000, 0.000, 0.000, 0.020, 2.336, 14.615
0.381, 2.240, 7.000, -0.000, 0.000, 0.020, 2.381, 14.615
0.428, 2.380, 7.000, -0.000, 0.000, 0.020, 2.428, 14.615
0.479, 2.520, 7.000, 0.000, 0.000, 0.020, 2.479, 14.615
0.532, 2.660, 7.000, 0.000, 0.000, 0.020, 2.532, 14.615
0.588, 2.800, 7.000, -0.000, 0.000, 0.020, 2.588, 14.615
0.647, 2.940, 7.000, 0.000, 0.000, 0.020, 2.647, 14.615
0.707, 3.000, 3.000, -200.000, 0.000, 0.020, 2.707, 14.615
0.767, 3.000, -0.000, -150.000, 0.000, 0.020, 2.767, 14.615
0.827, 3.000, 0.000, 0.000, 0.000, 0.020, 2.827, 14.615
0.887, 3.000, -0.000, -0.000, 0.000, 0.020, 2.887, 14.615
0.947, 3.000, 0.000, 0.000, 0.000, 0.020, 2.947, 14.615
1.007, 3.000, 0.000, -0.000, 0.000, 0.020, 3.007, 14.615
1.067, 3.000, 0.000, 0.000, 0.000, 0.020, 3.067, 14.615
1.127, 3.000, 0.000, 0.000, 0.000, 0.020, 3.127, 14.615
1.187, 3.000, 0.000, 0.000, 0.000, 0.020, 3.187, 14.615
1.247, 3.000, 0.000, 0.000, 0.000, 0.020, 3.247, 14.615
1.307, 3.000, 0.000, 0.000, 0.000, 0.020, 3.307, 14.615
1.367, 3.000, 0.000, 0.000, 0.000, 0.020, 3.367, 14.615
1.427, 3.000, 0.000, 0.000, 0.000, 0.020, 3.427, 14.615
1.487, 3.000, 0.000, 0.000, 0.000, 0.020, 3.487, 14.615
1.547, 3.000, 0.000, 0.000, 0.000, 0.020, 3.547, 14.615
1.607, 3.000, 0.000, -0.000, 0.000, 0.020, 3.607, 14.615
1.667, 3.000, 0.000, -0.000, 0.000, 0.020, 3.667, 14.615
1.727, 3.000, 0.000, 0.000, 0.000, 0.020, 3.727, 14.615
1.787, 3.000, 0.000, 0.000, 0.000, 0.020, 3.787, 14.615
1.847, 3.000, 0.000, 0.000, 0.000, 0.020, 3.847, 14.615
1.907, 3.000, 0.000, 0.000, 0.000, 0.020, 3.907, 14.615
1.967, 3.000, 0.000, 0.000, 0.000, 0.020, 3.967, 14.615
2.027, 3.000, 0.000, 0.000, 0.000, 0.020, 4.027, 14.615
2.087, 3.000, 0.000, 0.000, 0.000, 0.020, 4.087, 14.615
2.147, 3.000, 0.000, 0.000, 0.000, 0.020, 4.147, 14.615
2.207, 3.000, 0.000, 0.000, 0.000, 0.020, 4.207, 14.615
2.267, 3.000, 0.000, 0.000, 0.000, 0.020, 4.267, 14.615
2.327, 3.000, 0.000, 0.000, 0.000, 0.020, 4.327, 14.615
2.387, 3.000, 0.000, 0.000, 0.000, 0.020, 4.387, 14.615
2.444, 2.860, -7.000, -350.000, 0.000, 0.020, 4.444, 14.615
2.498, 2.720, -7.000, 0.000, 0.000, 0.020, 4.498, 14.615
2.550, 2.580, -7.000, -0.000, 0.000, 0.020, 4.550, 14.615
2.599, 2.440, -7.000, 0.000, 0.000, 0.020, 4.599, 14.615
2.645, 2.300, -7.000, 0.000, 0.000, 0.020, 4.645, 14.615
2.688, 2.160, -7.000, 0.000, 0.000, 0.020, 4.688, 14.615
2.728, 2.020, -7.000, -0.000, 0.000, 0.020, 4.728, 14.615
2.766, 1.880, -7.000, 0.000, 0.000, 0.020, 4.766, 14.615
2.801, 1.740, -7.000, 0.000, 0.000, 0.020, 4.801, 14.615
2.833, 1.600, -7.000, -0.000, 0.000, 0.020, 4.833, 14.615
2.862, 1.460, -7.000, 0.000, 0.000, 0.020, 4.862, 14.615
2.888, 1.320, -7.000, 0.000, 0.000, 0.020, 4.888, 14.615
2.912, 1.180, -7.000, -0.000, 0.000, 0.020, 4.912, 14.615
2.933, 1.040, -7.000, 0.000, 0.000, 0.020, 4.933, 14.615
2.951, 0.900, -7.000, -0.000, 0.000, 0.020, 4.951, 14.615
2.966, 0.760, -7.000, 0.000, 0.000, 0.020, 4.966, 14.615
2.978, 0.620, -7.000, -0.000, 0.000, 0.020, 4.978, 14.615
2.988, 0.480, -7.000, 0.000, 0.000, 0.020, 4.988, 14.615
2.995, 0.340, -7.000, 0.000, 0.000, 0.020, 4.995, 14.615
2.999, 0.200, -7.000, -0.000, 0.000, 0.020, 4.999, 14.615
