position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 0.000, 0.020, 2.000, 12.385
0.000, 0.020, 1.000, 50.000, 0.000, 0.020, 2.000, 12.385
0.001, 0.040, 1.000, 0.000, 0.000, 0.020, 2.001, 12.385
0.002, 0.060, 1.000, 0.000, 0.000, 0.020, 2.002, 12.385
0.004, 0.080, 1.000, -0.000, 0.000, 0.020, 2.004, 12.385
0.006, 0.100, 1.000, 0.000, 0.000, 0.020, 2.006, 12.385
0.008, 0.120, 1.000, 0.000, 0.000, 0.020, 2.008, 12.385
0.011, 0.140, 1.000, -0.000, 0.000, 0.020, 2.011, 12.385
0.014, 0.160, 1.000, 0.000, 0.000, 0.020, 2.014, 12.385
0.018, 0.180, 1.000, 0.000, 0.000, 0.020, 2.018, 12.385
0.022, 0.200, 1.000, 0.000, 0.000, 0.020, 2.022, 12.385
0.026, 0.220, 1.000, 0.000, 0.000, 0.020, 2.026, 12.385
0.031, 0.240, 1.000, -0.000, 0.000, 0.020, 2.031, 12.385
0.036, 0.260, 1.000, 0.000, 0.000, 0.020, 2.036, 12.385
0.042, 0.280, 1.000, -0.000, 0.000, 0.020, 2.042, 12.385
0.048, 0.300, 1.000, 0.000, 0.000, 0.020, 2.048, 12.385
0.054, 0.320, 1.000, 0.000, 0.000, 0.020, 2.054, 12.385
0.061, 0.340, 1.000, 0.000, 0.000, 0.020, 2.061, 12.385
0.068, 0.360, 1.000, -0.000, 0.000, 0.020, 2.068, 12.385
0.076, 0.380, 1.000, 0.000, 0.000, 0.020, 2.076, 12.385
0.084, 0.400, 1.000, -0.000, 0.000, 0.020, 2.084, 12.385
0.092, 0.420, 1.000, 0.000, 0.000, 0.020, 2.092, 12.385
0.101, 0.440, 1.000, -0.000, 0.000, 0.020, 2.101, 12.385
0.110, 0.460, 1.000, 0.000, 0.000, 0.020, 2.110, 12.385
0.120, 0.480, 1.000, 0.000, 0.000, 0.020, 2.120, 12.385
0.130, 0.500, 1.000, 0.000, 0.000, 0.020, 2.130, 12.385
0.140, 0.520, 1.000, -0.000, 0.000, 0.020, 2.140, 12.385
0.151, 0.540, 1.000, 0.000, 0.000, 0.020, 2.151, 12.385
0.162, 0.560, 1.000, 0.000, 0.000, 0.020, 2.162, 12.385
0.174, 0.580, 1.000, 0.000, 0.000, 0.020, 2.174, 12.385
0.186, 0.600, 1.000, 0.000, 0.000, 0.020, 2.186, 12.385
0.198, 0.620, 1.000, 0.000, 0.000, 0.020, 2.198, 12.385
0.211, 0.640, 1.000, -0.000, 0.000, 0.020, 2.211, 12.385
0.224, 0.660, 1.000, -0.000, 0.000, 0.020, 2.224, 12.385
0.238, 0.680, 1.000, -0.000, 0.000, 0.020, 2.238, 12.385
0.252, 0.700, 1.000, 0.000, 0.000, 0.020, 2.252, 12.385
0.266, 0.720, 1.000, -0.000, 0.000, 0.020, 2.266, 12.385
0.281, 0.740, 1.000, 0.000, 0.000, 0.020, 2.281, 12.385
0.296, 0.760, 1.000, -0.000, 0.000, 0.020, 2.296, 12.385
0.312, 0.780, 1.000, 0.000, 0.000, 0.020, 2.312, 12.385
0.328, 0.800, 1.000, 0.000, 0.000, 0.020, 2.328, 12.385
0.344, 0.820, 1.000, 0.000, 0.000, 0.020, 2.344, 12.385
0.361, 0.840, 1.000, -0.000, 0.000, 0.020, 2.361, 12.385
0.378, 0.860, 1.000, -0.000, 0.000, 0.020, 2.378, 12.385
0.396, 0.880, 1.000, -0.000, 0.000, 0.020, 2.396, 12.385
0.414, 0.900, 1.000, 0.000, 0.000, 0.020, 2.414, 12.385
0.432, 0.920, 1.000, 0.000, 0.000, 0.020, 2.432, 12.385
0.451, 0.940, 1.000, 0.000, 0.000, 0.020, 2.451, 12.385
0.470, 0.960, 1.000, -0.000, 0.000, 0.020, 2.470, 12.385
0.490, 0.980, 1.000, 0.000, 0.000, 0.020, 2.490, 12.385
0.510, 1.000, 1.000, -0.000, 0.000, 0.020, 2.510, 12.385
0.530, 1.020, 1.000, -0.000, 0.000, 0.020, 2.530, 12.385
0.551, 1.040, 1.000, 0.000, 0.000, 0.020, 2.551, 12.385
0.572, 1.060, 1.000, -0.000, 0.000, 0.020, 2.572, 12.385
0.594, 1.080, 1.000, 0.000, 0.000, 0.020, 2.594, 12.385
0.616, 1.100, 1.000, -0.000, 0.000, 0.020, 2.616, 12.385
0.638, 1.120, 1.000, 0.000, 0.000, 0.020, 2.638, 12.385
0.661, 1.140, 1.000, 0.000, 0.000, 0.020, 2.661, 12.385
0.684, 1.160, 1.000, -0.000, 0.000, 0.020, 2.684, 12.385
0.708, 1.180, 1.000, 0.000, 0.000, 0.020, 2.708, 12.385
0.732, 1.200, 1.000, -0.000, 0.000, 0.020, 2.732, 12.385
0.756, 1.220, 1.000, 0.000, 0.000, 0.020, 2.756, 12.385
0.781, 1.240, 1.000, 0.000, 0.000, 0.020, 2.781, 12.385
0.806, 1.260, 1.000, 0.000, 0.000, 0.020, 2.806, 12.385
0.832, 1.280, 1.000, -0.000, 0.000, 0.020, 2.832, 12.385
0.858, 1.300, 1.000, 0.000, 0.000, 0.020, 2.858, 12.385
0.884, 1.320, 1.000, -0.000, 0.000, 0.020, 2.884, 12.385
0.911, 1.340, 1.000, 0.000, 0.000, 0.020, 2.911, 12.385
0.938, 1.360, 1.000, 0.000, 0.000, 0.020, 2.938, 12.385
0.966, 1.380, 1.000, -0.000, 0.000, 0.020, 2.966, 12.385
0.994, 1.400, 1.000, -0.000, 0.000, 0.020, 2.994, 12.385
1.022, 1.420, 1.000, 0.000, 0.000, 0.020, 3.022, 12.385
1.051, 1.440, 1.000, -0.000, 0.000, 0.020, 3.051, 12.385
1.080, 1.460, 1.000, 0.000, 0.000, 0.020, 3.080, 12.385
1.110, 1.480, 1.000, -0.000, 0.000, 0.020, 3.110, 12.385
1.140, 1.500, 1.000, 0.000, 0.000, 0.020, 3.140, 12.385
1.170, 1.520, 1.000, -0.000, 0.000, 0.020, 3.170, 12.385
1.201, 1.540, 1.000, 0.000, 0.000, 0.020, 3.201, 12.385
1.232, 1.560, 1.000, -0.000, 0.000, 0.020, 3.232, 12.385
1.264, 1.580, 1.000, 0.000, 0.000, 0.020, 3.264, 12.385
1.296, 1.600, 1.000, -0.000, 0.000, 0.020, 3.296, 12.385
1.328, 1.620, 1.000, 0.000, 0.000, 0.020, 3.328, 12.385
1.361, 1.640, 1.000, 0.000, 0.000, 0.020, 3.361, 12.385
1.394, 1.660, 1.000, 0.000, 0.000, 0.020, 3.394, 12.385
1.428, 1.680, 1.000, -0.000, 0.000, 0.020, 3.428, 12.385
1.462, 1.700, 1.000, 0.000, 0.000, 0.020, 3.462, 12.385
1.496, 1.720, 1.000, 0.000, 0.000, 0.020, 3.496, 12.385
1.531, 1.732, 0.603, -19.873, 0.000, 0.020, 3.531, 12.385
1.565, 1.712, -1.000, -80.127, 0.000, 0.020, 3.565, 12.385
1.599, 1.692, -1.000, -0.000, 0.000, 0.020, 3.599, 12.385
1.633, 1.672, -1.000, -0.000, 0.000, 0.020, 3.633, 12.385
1.666, 1.652, -1.000, 0.000, 0.000, 0.020, 3.666, 12.385
1.698, 1.632, -1.000, 0.000, 0.000, 0.020, 3.698, 12.385
1.730, 1.612, -1.000, -0.000, 0.000, 0.020, 3.730, 12.385
1.762, 1.592, -1.000, 0.000, 0.000, 0.020, 3.762, 12.385
1.794, 1.572, -1.000, -0.000, 0.000, 0.020, 3.794, 12.385
1.825, 1.552, -1.000, 0.000, 0.000, 0.020, 3.825, 12.385
1.855, 1.532, -1.000, 0.000, 0.000, 0.020, 3.855, 12.385
1.886, 1.512, -1.000, 0.000, 0.000, 0.020, 3.886, 12.385
1.916, 1.492, -1.000, -0.000, 0.000, 0.020, 3.916, 12.385
1.945, 1.472, -1.000, 0.000, 0.000, 0.020, 3.945, 12.385
1.974, 1.452, -1.000, 0.000, 0.000, 0.020, 3.974, 12.385
2.003, 1.432, -1.000, 0.000, 0.000, 0.020, 4.003, 12.385
2.031, 1.412, -1.000, -0.000, 0.000, 0.020, 4.031, 12.385
2.059, 1.392, -1.000, 0.000, 0.000, 0.020, 4.059, 12.385
