position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 5.50000, 17.35417, true
0.03000, -0.60000, -12.00000, 0.00000, 3.14159, 0.05000, 5.53000, 17.35417, true
0.09000, -1.20000, -12.00000, 0.00000, 3.14159, 0.05000, 5.59000, 17.35417, true
0.18000, -1.80000, -12.00000, 0.00000, 3.14159, 0.05000, 5.68000, 17.35417, true
0.30000, -2.40000, -12.00000, 0.00000, 3.14159, 0.05000, 5.80000, 17.35417, true
0.45000, -3.00000, -12.00000, 0.00000, 3.14159, 0.05000, 5.95000, 17.35417, true
0.63000, -3.60000, -12.00000, 0.00000, 3.14159, 0.05000, 6.13000, 17.35417, true
0.84000, -4.20000, -12.00000, 0.00000, 3.14159, 0.05000, 6.34000, 17.35417, true
1.08000, -4.80000, -12.00000, 0.00000, 3.14159, 0.05000, 6.58000, 17.35417, true
1.35000, -5.40000, -12.00000, 0.00000, 3.14159, 0.05000, 6.85000, 17.35417, true
1.65000, -6.00000, -12.00000, 0.00000, 3.14159, 0.05000, 7.15000, 17.35417, true
1.98000, -6.60000, -12.00000, 0.00000, 3.14159, 0.05000, 7.48000, 17.35417, true
2.34000, -7.20000, -12.00000, 0.00000, 3.14159, 0.05000, 7.84000, 17.35417, true
2.72514, -7.70281, 0.00000, 0.00000, 3.14159, 0.05000, 8.22514, 17.35417, true
3.11028, -7.70281, 0.00000, 0.00000, 3.14159, 0.05000, 8.61028, 17.35417, true
3.49542, -7.70281, 0.00000, 0.00000, 3.14159, 0.05000, 8.99542, 17.35417, true
3.88056, -7.70281, 0.00000, 0.00000, 3.14159, 0.05000, 9.38056, 17.35417, true
4.26570, -7.70281, 0.00000, 0.00000, 3.14159, 0.05000, 9.76570, 17.35417, true
4.65084, -7.70281, 0.00000, 0.00000, -3.14154, 0.05000, 10.15084, 17.35417, true
4.26570, -7.70281, 0.00000, 0.00000, 3.14159, 0.05000, 10.00000, 17.35417, true
4.67084, -8.10281, -8.00000, 0.00000, -3.14152, 0.05000, 10.17084, 17.35417, true
5.09598, -8.50281, -8.00000, 0.00000, -3.14064, 0.05000, 10.59598, 17.35435, true
5.54113, -8.90281, -8.00000, 0.00000, -3.13846, 0.05000, 11.04112, 17.35521, true
6.00627, -9.30281, -8.00000, 0.00000, -3.13456, 0.05000, 11.50626, 17.35750, true
