position,velocity,acceleration,jerk,heading,dt,x,y
-0.01250, -0.50000, -10.00000, -200.00000, 3.14159, 0.05000, 5.51250, 18.44437, false
-0.05000, -0.75000, -5.00000, 100.00000, 3.14159, 0.05000, 5.55000, 18.44437, false
-0.11250, -1.25000, -10.00000, -100.00000, 3.14159, 0.05000, 5.61250, 18.44437, false
-0.20000, -1.75000, -10.00000, 0.00000, 3.14159, 0.05000, 5.70000, 18.44437, false
-0.31250, -2.25000, -10.00000, -0.00000, 3.14159, 0.05000, 5.81250, 18.44437, false
-0.45000, -2.75000, -10.00000, -0.00000, 3.14159, 0.05000, 5.95000, 18.44437, false
-0.61250, -3.25000, -10.00000, 0.00000, 3.14159, 0.05000, 6.11250, 18.44437, false
-0.80000, -3.75000, -10.00000, 0.00000, 3.14159, 0.05000, 6.30000, 18.44437, false
-1.00000, -4.00000, -5.00000, 100.00000, 3.14159, 0.05000, 6.50000, 18.44437, false
-1.20000, -4.00000, -0.00000, 100.00000, 3.14159, 0.05000, 6.70000, 18.44437, false
-1.40000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 6.90000, 18.44437, false
-1.60000, -4.00000, -0.00000, -0.00000, 3.14159, 0.05000, 7.10000, 18.44437, false
-1.80000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.30000, 18.44437, false
-2.00000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.50000, 18.44437, false
-2.20000, -4.00000, 0.00000, -0.00000, 3.14159, 0.05000, 7.70000, 18.44437, false
-2.40000, -4.00000, -0.00000, -0.00000, 3.14159, 0.05000, 7.90000, 18.44437, false
-2.60000, -4.00000, -0.00000, 0.00000, 3.14159, 0.05000, 8.10000, 18.44437, false
-2.80000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.30000, 18.44437, false
-3.00000, -4.00000, -0.00000, -0.00000, 3.14159, 0.05000, 8.50000, 18.44437, false
-3.20000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.70000, 18.44437, false
-3.40000, -4.00000, -0.00000, -0.00000, 3.14159, 0.05000, 8.90000, 18.44437, false
-3.60000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.10000, 18.44437, false
-3.80000, -4.00000, -0.00000, -0.00000, 3.14159, 0.05000, 9.30000, 18.44437, false
-4.00000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.50000, 18.44437, false
-4.20000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.70000, 18.44437, false
-4.40000, -4.00000, -0.00000, -0.00000, 3.14159, 0.05000, 9.90000, 18.44437, false
-4.59996, -3.99928, 0.01447, 0.28932, -3.14156, 0.05000, 10.09996, 18.44437, false
-4.79967, -3.99403, 0.10492, 1.80908, -3.14129, 0.05000, 10.29967, 18.44440, false
-4.99905, -3.98760, 0.12859, 0.47332, -3.14072, 0.05000, 10.49905, 18.44451, false
-5.19808, -3.98070, 0.13794, 0.18717, -3.13983, 0.05000, 10.69808, 18.44477, false
-5.39675, -3.97335, 0.14709, 0.18299, -3.13861, 0.05000, 10.89675, 18.44523, false
-5.59503, -3.96555, 0.15608, 0.17970, -3.13703, 0.05000, 11.09502, 18.44597, false
-5.79289, -3.95730, 0.16494, 0.17730, -3.13507, 0.05000, 11.29289, 18.44706, false
-5.99032, -3.94861, 0.17373, 0.17574, -3.13271, 0.05000, 11.49031, 18.44858, false
-6.18730, -3.93949, 0.18248, 0.17498, -3.12994, 0.05000, 11.68727, 18.45059, false
-6.38379, -3.92993, 0.19123, 0.17498, -3.12673, 0.05000, 11.88375, 18.45319, false
-6.57979, -3.91993, 0.20001, 0.17568, -3.12305, 0.05000, 12.07972, 18.45646, false
-6.77526, -3.90948, 0.20886, 0.17700, -3.11890, 0.05000, 12.27515, 18.46048, false
-6.97019, -3.89859, 0.21781, 0.17885, -3.11425, 0.05000, 12.47002, 18.46535, false
-7.16455, -3.88725, 0.22686, 0.18114, -3.10908, 0.05000, 12.66430, 18.47115, false
-7.35833, -3.87545, 0.23605, 0.18374, -3.10337, 0.05000, 12.85795, 18.47800, false
-7.55149, -3.86318, 0.24538, 0.18653, -3.09709, 0.05000, 13.05094, 18.48597, false
-7.74401, -3.85044, 0.25484, 0.18931, -3.09023, 0.05000, 13.24325, 18.49519, false
-7.93587, -3.83721, 0.26444, 0.19192, -3.08277, 0.05000, 13.43482, 18.50574, false
-8.12704, -3.82351, 0.27414, 0.19411, -3.07467, 0.05000, 13.62561, 18.51774, false
-8.31751, -3.80931, 0.28393, 0.19564, -3.06593, 0.05000, 13.81560, 18.53130, false
-8.50724, -3.79462, 0.29374, 0.19619, -3.05651, 0.05000, 14.00472, 18.54652, false
-8.69621, -3.77945, 0.30351, 0.19543, -3.04640, 0.05000, 14.19292, 18.56352, false
