position,velocity,acceleration,jerk,heading,dt,x,y
-0.01250, -0.50000, -10.00000, -200.00000, 3.14159, 0.05000, 5.51250, 16.26397, false
-0.05000, -0.75000, -5.00000, 100.00000, 3.14159, 0.05000, 5.55000, 16.26397, false
-0.11250, -1.25000, -10.00000, -100.00000, 3.14159, 0.05000, 5.61250, 16.26397, false
-0.20000, -1.75000, -10.00000, 0.00000, 3.14159, 0.05000, 5.70000, 16.26397, false
-0.31250, -2.25000, -10.00000, -0.00000, 3.14159, 0.05000, 5.81250, 16.26397, false
-0.45000, -2.75000, -10.00000, -0.00000, 3.14159, 0.05000, 5.95000, 16.26397, false
-0.61250, -3.25000, -10.00000, 0.00000, 3.14159, 0.05000, 6.11250, 16.26397, false
-0.80000, -3.75000, -10.00000, 0.00000, 3.14159, 0.05000, 6.30000, 16.26397, false
-1.00000, -4.00000, -5.00000, 100.00000, 3.14159, 0.05000, 6.50000, 16.26397, false
-1.20000, -4.00000, -0.00000, 100.00000, 3.14159, 0.05000, 6.70000, 16.26397, false
-1.40000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 6.90000, 16.26397, false
-1.60000, -4.00000, -0.00000, -0.00000, 3.14159, 0.05000, 7.10000, 16.26397, false
-1.80000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.30000, 16.26397, false
-2.00000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.50000, 16.26397, false
-2.20000, -4.00000, 0.00000, -0.00000, 3.14159, 0.05000, 7.70000, 16.26397, false
-2.40000, -4.00000, -0.00000, -0.00000, 3.14159, 0.05000, 7.90000, 16.26397, false
-2.60000, -4.00000, -0.00000, 0.00000, 3.14159, 0.05000, 8.10000, 16.26397, false
-2.80000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.30000, 16.26397, false
-3.00000, -4.00000, -0.00000, -0.00000, 3.14159, 0.05000, 8.50000, 16.26397, false
-3.20000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.70000, 16.26397, false
-3.40000, -4.00000, -0.00000, -0.00000, 3.14159, 0.05000, 8.90000, 16.26397, false
-3.60000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.10000, 16.26397, false
-3.80000, -4.00000, -0.00000, -0.00000, 3.14159, 0.05000, 9.30000, 16.26397, false
-4.00000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.50000, 16.26397, false
-4.20000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.70000, 16.26397, false
-4.40000, -4.00000, -0.00000, -0.00000, 3.14159, 0.05000, 9.90000, 16.26397, false
-4.60004, -4.00072, -0.01447, -0.28932, -3.14156, 0.05000, 10.10004, 16.26397, false
-4.80033, -4.00597, -0.10492, -1.80907, -3.14129, 0.05000, 10.30033, 16.26400, false
-5.00095, -4.01240, -0.12858, -0.47330, -3.14072, 0.05000, 10.50095, 16.26411, false
-5.20192, -4.01930, -0.13794, -0.18714, -3.13983, 0.05000, 10.70192, 16.26437, false
-5.40325, -4.02665, -0.14709, -0.18295, -3.13861, 0.05000, 10.90325, 16.26484, false
-5.60497, -4.03445, -0.15607, -0.17967, -3.13703, 0.05000, 11.10497, 16.26560, false
-5.80711, -4.04270, -0.16494, -0.17725, -3.13507, 0.05000, 11.30710, 16.26671, false
-6.00968, -4.05139, -0.17372, -0.17569, -3.13271, 0.05000, 11.50967, 16.26826, false
-6.21270, -4.06051, -0.18247, -0.17493, -3.12994, 0.05000, 11.71268, 16.27034, false
-6.41621, -4.07007, -0.19121, -0.17492, -3.12673, 0.05000, 11.91617, 16.27303, false
-6.62021, -4.08007, -0.19999, -0.17561, -3.12305, 0.05000, 12.12014, 16.27643, false
-6.82474, -4.09051, -0.20884, -0.17692, -3.11890, 0.05000, 12.32463, 16.28064, false
-7.02981, -4.10140, -0.21778, -0.17877, -3.11425, 0.05000, 12.52963, 16.28576, false
-7.23544, -4.11274, -0.22683, -0.18105, -3.10908, 0.05000, 12.73518, 16.29190, false
-7.44167, -4.12454, -0.23601, -0.18364, -3.10337, 0.05000, 12.94128, 16.29919, false
-7.64851, -4.13681, -0.24533, -0.18641, -3.09709, 0.05000, 13.14794, 16.30773, false
-7.85599, -4.14955, -0.25479, -0.18919, -3.09023, 0.05000, 13.35518, 16.31766, false
-8.06413, -4.16277, -0.26438, -0.19178, -3.08277, 0.05000, 13.56300, 16.32911, false
-8.27295, -4.17647, -0.27408, -0.19397, -3.07467, 0.05000, 13.77141, 16.34222, false
-8.48248, -4.19066, -0.28385, -0.19548, -3.06593, 0.05000, 13.98042, 16.35714, false
-8.69275, -4.20535, -0.29365, -0.19603, -3.05651, 0.05000, 14.19001, 16.37401, false
-8.90378, -4.22052, -0.30342, -0.19525, -3.04640, 0.05000, 14.40018, 16.39299, false
-9.11559, -4.23617, -0.31306, -0.19277, -3.03556, 0.05000, 14.61091, 16.41425, false
-9.32820, -4.25229, -0.32246, -0.18814, -3.02399, 0.05000, 14.82220, 16.43796, false
-9.54164, -4.26887, -0.33151, -0.18087, -3.01166, 0.05000, 15.03401, 16.46430, false
-9.75594, -4.28587, -0.34003, -0.17042, -2.99855, 0.05000, 15.24632, 16.49345, false
-9.97110, -4.30326, -0.34784, -0.15623, -2.98464, 0.05000, 15.45907, 16.52559, false
-10.18715, -4.32100, -0.35472, -0.13768, -2.96991, 0.05000, 15.67221, 16.56091, false
-10.40410, -4.33902, -0.36043, -0.11418, -2.95436, 0.05000, 15.88568, 16.59963, false
-10.62196, -4.35725, -0.36469, -0.08513, -2.93798, 0.05000, 16.09940, 16.64192, false
-10.84075, -4.37561, -0.36719, -0.04999, -2.92075, 0.05000, 16.31327, 16.68799, false
-11.06045, -4.39399, -0.36760, -0.00831, -2.90267, 0.05000, 16.52719, 16.73804, false
-11.28106, -4.41227, -0.36559, 0.04020, -2.88376, 0.05000, 16.74104, 16.79226, false
-11.50257, -4.43031, -0.36081, 0.09565, -2.86402, 0.05000, 16.95467, 16.85084, false
-11.72497, -4.44796, -0.35292, 0.15786, -2.84348, 0.05000, 17.16792, 16.91396, false
-11.94822, -4.46504, -0.34160, 0.22634, -2.82214, 0.05000, 17.38062, 16.98179, false
-12.17229, -4.48137, -0.32659, 0.30021, -2.80006, 0.05000, 17.59257, 17.05449, false
-12.39713, -4.49675, -0.30768, 0.37820, -2.77727, 0.05000, 17.80355, 17.13220, false
-12.62268, -4.51099, -0.28475, 0.45857, -2.75383, 0.05000, 18.01334, 17.21502, false
-12.84887, -4.52388, -0.25779, 0.53921, -2.72980, 0.05000, 18.22171, 17.30305, false
-13.07564, -4.53523, -0.22691, 0.61766, -2.70525, 0.05000, 18.42838, 17.39634, false
-13.30288, -4.54484, -0.19235, 0.69122, -2.68026, 0.05000, 18.63312, 17.49494, false
-13.53051, -4.55257, -0.15449, 0.75713, -2.65491, 0.05000, 18.83566, 17.59884, false
-13.75842, -4.55826, -0.11385, 0.81270, -2.62930, 0.05000, 19.03573, 17.70800, false
-13.98651, -4.56181, -0.07108, 0.85556, -2.60353, 0.05000, 19.23308, 17.82236, false
-14.21467, -4.56316, -0.02689, 0.88382, -2.57769, 0.05000, 19.42747, 17.94180, false
-14.44278, -4.56226, 0.01793, 0.89623, -2.55190, 0.05000, 19.61868, 18.06621, false
-14.67074, -4.55913, 0.06254, 0.89231, -2.52625, 0.05000, 19.80649, 18.19539, false
-14.89843, -4.55383, 0.10616, 0.87237, -2.50084, 0.05000, 19.99073, 18.32918, false
-15.12575, -4.54642, 0.14804, 0.83750, -2.47578, 0.05000, 20.17124, 18.46735, false
-15.35260, -4.53705, 0.18751, 0.78949, -2.45114, 0.05000, 20.34790, 18.60967, false
-15.57889, -4.52585, 0.22404, 0.73063, -2.42702, 0.05000, 20.52060, 18.75589, false
-15.80454, -4.51299, 0.25722, 0.66357, -2.40349, 0.05000, 20.68929, 18.90576, false
-16.02948, -4.49865, 0.28677, 0.59110, -2.38061, 0.05000, 20.85394, 19.05902, false
-16.25363, -4.48302, 0.31257, 0.51599, -2.35846, 0.05000, 21.01453, 19.21540, false
-16.47694, -4.46629, 0.33461, 0.44080, -2.33707, 0.05000, 21.17109, 19.37464, false
-16.69937, -4.44864, 0.35300, 0.36779, -2.31649, 0.05000, 21.32367, 19.53649, false
-16.92089, -4.43024, 0.36795, 0.29883, -2.29675, 0.05000, 21.47234, 19.70070, false
-17.14145, -4.41126, 0.37971, 0.23536, -2.27789, 0.05000, 21.61718, 19.86704, false
-17.36104, -4.39182, 0.38864, 0.17844, -2.25992, 0.05000, 21.75832, 20.03527, false
-17.57964, -4.37207, 0.39507, 0.12872, -2.24285, 0.05000, 21.89586, 20.20518, false
-17.79725, -4.35210, 0.39940, 0.08655, -2.22670, 0.05000, 22.02995, 20.37656, false
-18.01385, -4.33200, 0.40200, 0.05199, -2.21147, 0.05000, 22.16073, 20.54923, false
-18.22944, -4.31184, 0.40324, 0.02489, -2.19717, 0.05000, 22.28834, 20.72299, false
-18.44402, -4.29166, 0.40349, 0.00499, -2.18379, 0.05000, 22.41295, 20.89768, false
-18.65760, -4.27151, 0.40309, -0.00808, -2.17133, 0.05000, 22.53472, 21.07314, false
-18.87017, -4.25139, 0.40235, -0.01473, -2.15980, 0.05000, 22.65382, 21.24922, false
-19.08173, -4.23131, 0.40158, -0.01537, -2.14919, 0.05000, 22.77040, 21.42576, false
-19.29230, -4.21126, 0.40107, -0.01036, -2.13950, 0.05000, 22.88465, 21.60264, false
-19.50186, -4.19121, 0.40106, -0.00003, -2.13073, 0.05000, 22.99671, 21.77972, false
-19.71041, -4.17111, 0.40183, 0.01540, -2.12289, 0.05000, 23.10678, 21.95686, false
-19.91796, -4.15093, 0.40362, 0.03576, -2.11596, 0.05000, 23.21500, 22.13396, false
-20.12449, -4.13060, 0.40667, 0.06103, -2.10997, 0.05000, 23.32156, 22.31088, false
-20.32999, -4.11004, 0.41124, 0.09128, -2.10493, 0.05000, 23.42661, 22.48750, false
-20.52182, -3.83667, 5.46734, 101.12208, -2.10106, 0.05000, 23.52394, 22.65281, false
-20.68746, -3.31277, 10.47799, 100.21289, -2.09841, 0.05000, 23.60752, 22.79582, false
-20.82710, -2.79266, 10.40214, -1.51686, -2.09667, 0.05000, 23.67771, 22.91652, false
-20.94100, -2.27800, 10.29320, -2.17889, -2.09561, 0.05000, 23.73483, 23.01507, false
-21.02939, -1.76792, 10.20157, -1.83252, -2.09501, 0.05000, 23.77910, 23.09158, false
-21.09247, -1.26150, 10.12844, -1.46270, -2.09470, 0.05000, 23.81066, 23.14619, false
-21.13036, -0.75775, 10.07503, -1.06825, -2.09457, 0.05000, 23.82961, 23.17900, false
-21.14314, -0.25563, 10.04241, -0.65239, -2.09453, 0.05000, 23.83600, 23.19007, false
