position,velocity,acceleration,jerk,heading,dt,x,y
0.00469, 0.18750, 3.75000, 75.00000, 2.61799, 0.05000, 22.32084, 22.83820, false
0.02344, 0.37495, 3.74905, -0.01900, 2.61800, 0.05000, 22.30460, 22.84758, false
0.06092, 0.74973, 7.49558, 74.93059, 2.61801, 0.05000, 22.27214, 22.86632, false
0.11713, 1.12423, 7.49001, -0.11142, 2.61804, 0.05000, 22.22346, 22.89442, false
0.19206, 1.49847, 7.48482, -0.10376, 2.61811, 0.05000, 22.15857, 22.93188, false
0.28569, 1.87263, 7.48310, -0.03447, 2.61822, 0.05000, 22.07747, 22.97868, false
0.39804, 2.24701, 7.48775, 0.09297, 2.61836, 0.05000, 21.98016, 23.03483, false
0.52914, 2.62204, 7.50047, 0.25450, 2.61850, 0.05000, 21.86659, 23.10033, false
0.67436, 2.90434, 5.64612, -37.08705, 2.61858, 0.05000, 21.74079, 23.17287, false
0.82436, 2.99999, 1.91300, -74.66242, 2.61858, 0.05000, 21.61084, 23.24779, false
0.96979, 2.90867, -1.82655, -74.79086, 2.61850, 0.05000, 21.48485, 23.32044, false
1.10127, 2.62952, -5.58294, -75.12781, 2.61836, 0.05000, 21.37096, 23.38613, false
1.21402, 2.25507, -7.48901, -38.12140, 2.61822, 0.05000, 21.27330, 23.44247, false
1.30799, 1.87946, -7.51220, -0.46391, 2.61811, 0.05000, 21.19191, 23.48945, false
1.38317, 1.50361, -7.51689, -0.09384, 2.61804, 0.05000, 21.12680, 23.52703, false
1.43957, 1.12785, -7.51520, 0.03387, 2.61801, 0.05000, 21.07796, 23.55523, false
1.47718, 0.75235, -7.51003, 0.10351, 2.61800, 0.05000, 21.04538, 23.57403, false
1.49604, 0.37713, -7.50445, 0.11150, 2.61799, 0.05000, 21.02905, 23.58346, false
1.50081, 0.09531, -5.63634, 37.36226, 2.61799, 0.05000, 21.02492, 23.58585, false
1.50081, 0.00000, -1.90629, 74.60105, 2.61799, 0.05000, 21.02490, 23.58586, false
1.50081, 0.00000, 0.00000, 38.12570, 2.61799, 0.05000, 21.02490, 23.58586, false
1.49612, -0.09375, -1.87504, -37.50081, 2.61799, 0.05000, 21.02896, 23.58352, false
1.47737, -0.37505, -5.62591, -75.01738, 2.61800, 0.05000, 21.04520, 23.57414, false
1.43985, -0.75027, -7.50442, -37.57023, 2.61801, 0.05000, 21.07769, 23.55538, false
1.38357, -1.12577, -7.50999, -0.11142, 2.61804, 0.05000, 21.12644, 23.52724, false
1.30849, -1.50153, -7.51518, -0.10376, 2.61811, 0.05000, 21.19146, 23.48971, false
1.21462, -1.87737, -7.51690, -0.03447, 2.61822, 0.05000, 21.27276, 23.44279, false
1.10197, -2.25298, -7.51225, 0.09297, 2.61836, 0.05000, 21.37033, 23.38649, false
0.97057, -2.62796, -7.49953, 0.25450, 2.61850, 0.05000, 21.48415, 23.32084, false
0.82517, -2.90816, -5.60388, 37.91295, 2.61858, 0.05000, 21.61012, 23.24821, false
0.67517, -3.00001, -1.83700, 75.33758, 2.61858, 0.05000, 21.74007, 23.17329, false
0.52992, -2.90487, 1.90263, 74.79258, 2.61850, 0.05000, 21.86589, 23.10073, false
0.39874, -2.62360, 5.62541, 74.45562, 2.61836, 0.05000, 21.97953, 23.03519, false
0.28629, -2.24910, 7.49017, 37.29516, 2.61822, 0.05000, 22.07693, 22.97899, false
0.19255, -1.87471, 7.48780, -0.04735, 2.61811, 0.05000, 22.15812, 22.93214, false
0.11752, -1.50055, 7.48311, -0.09384, 2.61804, 0.05000, 22.22310, 22.89463, false
0.06121, -1.12631, 7.48480, 0.03387, 2.61801, 0.05000, 22.27187, 22.86648, false
0.02362, -0.75181, 7.48997, 0.10351, 2.61800, 0.05000, 22.30442, 22.84768, false
0.00477, -0.37703, 7.49555, 0.11150, 2.61799, 0.05000, 22.32075, 22.83825, false
0.00000, -0.09531, 5.63449, -37.22117, 2.61799, 0.05000, 22.32488, 22.83587, false
0.00000, -0.00000, 1.90620, -74.56582, 2.61799, 0.05000, 22.32490, 22.83586, false
0.00000, -0.00000, 0.00000, -38.12400, 2.61799, 0.05000, 22.32490, 22.83586, false
