position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, 0.00000, 0.00000, 0.00000, -2.61799, 0.05000, 20.00000, 15.00000, false
0.02750, 0.55000, 11.00000, 0.00000, -2.61801, 0.05000, 19.97618, 14.98625, false
0.08250, 1.10000, 11.00000, 0.00000, -2.61814, 0.05000, 19.92855, 14.95875, false
0.16500, 1.65000, 11.00000, 0.00000, -2.61856, 0.05000, 19.85709, 14.91753, false
0.27500, 2.20000, 11.00000, 0.00000, -2.61955, 0.05000, 19.76177, 14.86262, false
0.41250, 2.75000, 11.00000, 0.00000, -2.62147, 0.05000, 19.64252, 14.79417, false
0.57750, 3.30000, 11.00000, 0.00000, -2.62474, 0.05000, 19.49922, 14.71239, false
0.77000, 3.85000, 11.00000, 0.00000, -2.62984, 0.05000, 19.33163, 14.61767, false
0.99000, 4.40000, 11.00000, 0.00000, -2.63736, 0.05000, 19.13943, 14.51063, false
1.23750, 4.95000, 11.00000, 0.00000, -2.64791, 0.05000, 18.92213, 14.39216, false
1.51250, 5.50000, 11.00000, 0.00000, -2.66224, 0.05000, 18.67907, 14.26353, false
1.81500, 6.05000, 11.00000, 0.00000, -2.68114, 0.05000, 18.40940, 14.12648, false
2.14500, 6.60000, 11.00000, 0.00000, -2.70556, 0.05000, 18.11205, 13.98337, false
2.50250, 7.15000, 11.00000, 0.00000, -2.73651, 0.05000, 17.78577, 13.83729, false
2.88750, 7.70000, 11.00000, 0.00000, -2.77511, 0.05000, 17.42916, 13.69227, false
3.30000, 8.25000, 11.00000, 0.00000, -2.82250, 0.05000, 17.04076, 13.55344, false
3.74000, 8.80000, 11.00000, 0.00000, -2.87962, 0.05000, 16.61933, 13.42718, false
4.20750, 9.35000, 11.00000, 0.00000, -2.94698, 0.05000, 16.16410, 13.32116, false
4.70250, 9.90000, 11.00000, 0.00000, -3.02412, 0.05000, 15.67527, 13.24405, false
5.20250, 10.00000, 0.00000, 0.00000, -3.10551, 0.05000, 15.17689, 13.20563, false
5.70250, 10.00000, 0.00000, 0.00000, 3.09611, 0.05000, 14.67703, 13.20804, false
6.20250, 10.00000, 0.00000, 0.00000, 3.01776, 0.05000, 14.17896, 13.25051, false
6.70250, 10.00000, 0.00000, 0.00000, 2.94554, 0.05000, 13.68550, 13.33042, false
7.20250, 10.00000, 0.00000, 0.00000, 2.88149, 0.05000, 13.19862, 13.44382, false
