position,velocity,acceleration,jerk,heading,dt,x,y
0.00484, 0.32258, 10.75269, 358.42294, -2.61799, 0.03000, 19.45071, 15.94172, false
0.01935, 0.48360, 5.36737, -179.51047, -2.61800, 0.03000, 19.43815, 15.93447, false
0.04351, 0.80529, 10.72289, 178.51708, -2.61803, 0.03000, 19.41722, 15.92239, false
0.07728, 1.12591, 10.68746, -1.18084, -2.61812, 0.03000, 19.38797, 15.90550, false
0.12063, 1.44507, 10.63846, -1.63352, -2.61830, 0.03000, 19.35042, 15.88383, false
0.17351, 1.76236, 10.57640, -2.06846, -2.61863, 0.03000, 19.30462, 15.85742, false
0.23583, 2.07742, 10.50191, -2.48317, -2.61916, 0.03000, 19.25062, 15.82631, false
0.30752, 2.38988, 10.41560, -2.87683, -2.61997, 0.03000, 19.18848, 15.79055, false
0.38851, 2.69943, 10.31809, -3.25046, -2.62114, 0.03000, 19.11824, 15.75024, false
0.47868, 3.00572, 10.20988, -3.60684, -2.62276, 0.03000, 19.03997, 15.70546, false
0.57793, 3.30846, 10.09137, -3.95045, -2.62492, 0.03000, 18.95373, 15.65634, false
0.68615, 3.60735, 9.96275, -4.28729, -2.62774, 0.03000, 18.85956, 15.60301, false
0.80322, 3.90207, 9.82402, -4.62442, -2.63132, 0.03000, 18.75752, 15.54564, false
0.92898, 4.19231, 9.67493, -4.96968, -2.63579, 0.03000, 18.64764, 15.48445, false
1.06332, 4.47776, 9.51500, -5.33103, -2.64129, 0.03000, 18.52995, 15.41968, false
1.20606, 4.75807, 9.34352, -5.71586, -2.64794, 0.03000, 18.40448, 15.35162, false
1.35705, 5.03286, 9.15962, -6.12994, -2.65591, 0.03000, 18.27124, 15.28060, false
1.51610, 5.30173, 8.96234, -6.57623, -2.66536, 0.03000, 18.13024, 15.20700, false
1.68302, 5.56425, 8.75075, -7.05292, -2.67647, 0.03000, 17.98147, 15.13129, false
1.85762, 5.81998, 8.52422, -7.55095, -2.68941, 0.03000, 17.82493, 15.05397, false
2.03968, 6.06846, 8.28271, -8.05044, -2.70439, 0.03000, 17.66059, 14.97563, false
2.22896, 6.30928, 8.02723, -8.51595, -2.72162, 0.03000, 17.48844, 14.89694, false
2.42522, 6.54209, 7.76052, -8.89026, -2.74132, 0.03000, 17.30847, 14.81866, false
2.62822, 6.76673, 7.48791, -9.08694, -2.76371, 0.03000, 17.12065, 14.74162, false
2.83772, 6.98328, 7.21844, -8.98232, -2.78902, 0.03000, 16.92498, 14.66676, false
3.05349, 7.19227, 6.96618, -8.40873, -2.81746, 0.03000, 16.72146, 14.59510, false
3.27533, 7.39481, 6.75158, -7.15350, -2.84919, 0.03000, 16.51009, 14.52774, false
3.50312, 7.59289, 6.60250, -4.96929, -2.88435, 0.03000, 16.29087, 14.46588, false
3.73680, 7.78952, 6.55431, -1.60631, -2.92297, 0.03000, 16.06378, 14.41076, false
3.97647, 7.98896, 6.64809, 3.12592, -2.96498, 0.03000, 15.82878, 14.36366, false
4.22238, 8.19674, 6.92599, 9.26351, -3.01015, 0.03000, 15.58579, 14.32590, false
4.47096, 8.28606, 2.97734, -131.62184, -3.05729, 0.03000, 15.33866, 14.29911, false
4.71889, 8.26458, -0.71596, -123.10987, -3.10502, 0.03000, 15.09118, 14.28413, false
4.96696, 8.26872, 0.13803, 28.46649, 3.13054, 0.03000, 14.84313, 14.28097, false
5.21591, 8.29849, 0.99219, 28.47178, 3.08374, 0.03000, 14.59433, 14.28958, false
5.46648, 8.35229, 1.79337, 26.70620, 3.03842, 0.03000, 14.34457, 14.30977, false
5.71930, 8.42720, 2.49692, 23.45138, 2.99516, 0.03000, 14.09373, 14.34130, false
5.97488, 8.51939, 3.07298, 19.20231, 2.95443, 0.03000, 13.84171, 14.38380, false
6.23362, 8.62466, 3.50899, 14.53343, 2.91660, 0.03000, 13.58846, 14.43682, false
6.49578, 8.73890, 3.80804, 9.96845, 2.88191, 0.03000, 13.33397, 14.49981, false
6.76154, 8.85844, 3.98488, 5.89479, 2.85051, 0.03000, 13.07826, 14.57215, false
7.03095, 8.98027, 4.06093, 2.53486, 2.82245, 0.03000, 12.82132, 14.65316, false
7.30401, 9.10207, 4.05982, -0.03711, 2.79775, 0.03000, 12.56315, 14.74211, false
7.58067, 9.22219, 4.00417, -1.85498, 2.77635, 0.03000, 12.30372, 14.83824, false
7.86086, 9.33960, 3.91368, -3.01639, 2.75818, 0.03000, 12.04296, 14.94076, false
8.14447, 9.45373, 3.80429, -3.64634, 2.74315, 0.03000, 11.78077, 15.04890, false
8.43140, 9.56437, 3.68812, -3.87229, 2.73117, 0.03000, 11.51702, 15.16187, false
8.72155, 9.67159, 3.57380, -3.81051, 2.72213, 0.03000, 11.25152, 15.27891, false
9.01482, 9.77560, 3.46699, -3.56041, 2.71596, 0.03000, 10.98408, 15.39924, false
9.31112, 9.87672, 3.37086, -3.20434, 2.71256, 0.03000, 10.71445, 15.52210, false
9.61038, 9.97532, 3.28656, -2.80997, 2.71188, 0.03000, 10.44238, 15.64675, false
9.91253, 10.07173, 3.21354, -2.43403, 2.71386, 0.03000, 10.16760, 15.77241, false
10.21752, 10.16622, 3.14976, -2.12599, 2.71843, 0.03000, 9.88983, 15.89835, false
10.52529, 10.25897, 3.09182, -1.93148, 2.72556, 0.03000, 9.60879, 16.02379, false
10.83579, 10.35002, 3.03498, -1.89465, 2.73519, 0.03000, 9.32419, 16.14796, false
11.14897, 10.43922, 2.97319, -2.05951, 2.74728, 0.03000, 9.03581, 16.27007, false
11.46475, 10.52619, 2.89910, -2.46966, 2.76176, 0.03000, 8.74341, 16.38933, false
11.78306, 10.61032, 2.80411, -3.16628, 2.77856, 0.03000, 8.44682, 16.50491, false
12.10378, 10.69067, 2.67860, -4.18389, 2.79757, 0.03000, 8.14595, 16.61600, false
12.42676, 10.76604, 2.51227, -5.54405, 2.81866, 0.03000, 7.84078, 16.72177, false
12.75181, 10.83489, 2.29486, -7.24716, 2.84164, 0.03000, 7.53139, 16.82142, false
13.07867, 10.89540, 2.01694, -9.26390, 2.86628, 0.03000, 7.21796, 16.91418, false
13.40240, 10.79094, -3.48178, -183.29090, 2.89194, 0.03000, 6.90533, 16.99821, false
