position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 0.000, 0.020, 5.500, 17.354
0.000, 0.020, 1.000, 0.000, 0.000, 0.020, 5.500, 17.354
0.001, 0.040, 1.000, 0.000, 0.000, 0.020, 5.501, 17.354
0.002, 0.060, 1.000, 0.000, 0.000, 0.020, 5.502, 17.354
0.004, 0.080, 1.000, 0.000, 0.000, 0.020, 5.504, 17.354
0.006, 0.100, 1.000, 0.000, 0.000, 0.020, 5.506, 17.354
0.008, 0.120, 1.000, 0.000, 0.000, 0.020, 5.508, 17.354
0.011, 0.140, 1.000, 0.000, 0.000, 0.020, 5.511, 17.354
0.014, 0.160, 1.000, 0.000, 0.000, 0.020, 5.514, 17.354
0.018, 0.180, 1.000, 0.000, 0.000, 0.020, 5.518, 17.354
0.022, 0.200, 1.000, 0.000, 0.000, 0.020, 5.522, 17.354
0.026, 0.220, 1.000, 0.000, 0.000, 0.020, 5.526, 17.354
0.031, 0.240, 1.000, 0.000, 0.000, 0.020, 5.531, 17.354
0.036, 0.260, 1.000, 0.000, 0.000, 0.020, 5.536, 17.354
0.042, 0.280, 1.000, 0.000, 0.000, 0.020, 5.542, 17.354
0.048, 0.300, 1.000, 0.000, 0.000, 0.020, 5.548, 17.354
0.054, 0.320, 1.000, 0.000, 0.000, 0.020, 5.554, 17.354
0.061, 0.340, 1.000, 0.000, 0.000, 0.020, 5.561, 17.354
0.068, 0.360, 1.000, 0.000, 0.000, 0.020, 5.568, 17.354
0.076, 0.380, 1.000, 0.000, 0.000, 0.020, 5.576, 17.354
0.084, 0.400, 1.000, 0.000, 0.000, 0.020, 5.584, 17.354
0.092, 0.420, 1.000, 0.000, 0.000, 0.020, 5.592, 17.354
0.101, 0.440, 1.000, 0.000, 0.000, 0.020, 5.601, 17.354
0.110, 0.460, 1.000, 0.000, 0.000, 0.020, 5.610, 17.354
0.120, 0.480, 1.000, 0.000, 0.000, 0.020, 5.620, 17.354
0.130, 0.500, 1.000, 0.000, 0.000, 0.020, 5.630, 17.354
0.140, 0.520, 1.000, 0.000, 0.000, 0.020, 5.640, 17.354
0.151, 0.540, 1.000, 0.000, 0.000, 0.020, 5.651, 17.354
0.162, 0.560, 1.000, 0.000, 0.000, 0.020, 5.662, 17.354
0.174, 0.580, 1.000, 0.000, 0.000, 0.020, 5.674, 17.354
0.186, 0.600, 1.000, 0.000, 0.000, 0.020, 5.686, 17.354
0.198, 0.620, 1.000, 0.000, 0.000, 0.020, 5.698, 17.354
0.211, 0.640, 1.000, 0.000, 0.000, 0.020, 5.711, 17.354
0.224, 0.660, 1.000, 0.000, 0.000, 0.020, 5.724, 17.354
0.238, 0.680, 1.000, 0.000, 0.000, 0.020, 5.738, 17.354
0.252, 0.700, 1.000, 0.000, 0.000, 0.020, 5.752, 17.354
0.266, 0.720, 1.000, 0.000, 0.000, 0.020, 5.766, 17.354
0.281, 0.740, 1.000, 0.000, 0.000, 0.020, 5.781, 17.354
0.296, 0.760, 1.000, 0.000, 0.000, 0.020, 5.796, 17.354
0.312, 0.780, 1.000, 0.000, 0.000, 0.020, 5.812, 17.354
0.328, 0.800, 1.000, 0.000, 0.000, 0.020, 5.828, 17.354
0.344, 0.820, 1.000, 0.000, 0.000, 0.020, 5.844, 17.354
0.361, 0.840, 1.000, 0.000, 0.000, 0.020, 5.861, 17.354
0.378, 0.860, 1.000, 0.000, 0.000, 0.020, 5.878, 17.354
0.396, 0.880, 1.000, 0.000, 0.000, 0.020, 5.896, 17.354
0.414, 0.900, 1.000, 0.000, 0.000, 0.020, 5.914, 17.354
0.432, 0.920, 1.000, 0.000, 0.000, 0.020, 5.932, 17.354
0.451, 0.940, 1.000, 0.000, 0.000, 0.020, 5.951, 17.354
0.470, 0.960, 1.000, 0.000, 0.000, 0.020, 5.970, 17.354
0.490, 0.980, 1.000, 0.000, 0.000, 0.020, 5.990, 17.354
0.510, 1.000, 1.000, 0.000, 0.000, 0.020, 6.010, 17.354
0.530, 1.020, 1.000, 0.000, 0.000, 0.020, 6.030, 17.354
0.551, 1.040, 1.000, 0.000, 0.000, 0.020, 6.051, 17.354
0.572, 1.060, 1.000, 0.000, 0.000, 0.020, 6.072, 17.354
0.594, 1.080, 1.000, 0.000, 0.000, 0.020, 6.094, 17.354
0.616, 1.100, 1.000, 0.000, 0.000, 0.020, 6.116, 17.354
0.638, 1.120, 1.000, 0.000, 0.000, 0.020, 6.138, 17.354
0.661, 1.140, 1.000, 0.000, 0.000, 0.020, 6.161, 17.354
0.684, 1.160, 1.000, 0.000, 0.000, 0.020, 6.184, 17.354
0.708, 1.180, 1.000, 0.000, 0.000, 0.020, 6.208, 17.354
0.732, 1.200, 1.000, 0.000, 0.000, 0.020, 6.232, 17.354
0.756, 1.220, 1.000, 0.000, 0.000, 0.020, 6.256, 17.354
0.781, 1.240, 1.000, 0.000, 0.000, 0.020, 6.281, 17.354
0.806, 1.260, 1.000, 0.000, 0.000, 0.020, 6.306, 17.354
0.832, 1.280, 1.000, 0.000, 0.000, 0.020, 6.332, 17.354
0.858, 1.300, 1.000, 0.000, 0.000, 0.020, 6.358, 17.354
0.884, 1.320, 1.000, 0.000, 0.000, 0.020, 6.384, 17.354
0.911, 1.340, 1.000, 0.000, 0.000, 0.020, 6.411, 17.354
0.938, 1.360, 1.000, 0.000, 0.000, 0.020, 6.438, 17.354
0.966, 1.380, 1.000, 0.000, 0.000, 0.020, 6.466, 17.354
0.994, 1.400, 1.000, 0.000, 0.000, 0.020, 6.494, 17.354
1.022, 1.420, 1.000, 0.000, 0.000, 0.020, 6.522, 17.354
1.051, 1.440, 1.000, 0.000, 0.000, 0.020, 6.551, 17.354
1.080, 1.460, 1.000, 0.000, 0.000, 0.020, 6.580, 17.354
1.110, 1.480, 1.000, 0.000, 0.000, 0.020, 6.610, 17.354
1.140, 1.500, 1.000, 0.000, 0.000, 0.020, 6.640, 17.354
1.170, 1.520, 1.000, 0.000, 0.000, 0.020, 6.670, 17.354
1.201, 1.540, 1.000, 0.000, 0.000, 0.020, 6.701, 17.354
1.232, 1.560, 1.000, 0.000, 0.000, 0.020, 6.732, 17.354
1.264, 1.580, 1.000, 0.000, 0.000, 0.020, 6.764, 17.354
1.296, 1.600, 1.000, 0.000, 0.000, 0.020, 6.796, 17.354
1.328, 1.620, 1.000, 0.000, 0.000, 0.020, 6.828, 17.354
1.361, 1.640, 1.000, 0.000, 0.000, 0.020, 6.861, 17.354
1.394, 1.660, 1.000, 0.000, 0.000, 0.020, 6.894, 17.354
1.428, 1.680, 1.000, 0.000, 0.000, 0.020, 6.928, 17.354
1.462, 1.700, 1.000, 0.000, 0.000, 0.020, 6.962, 17.354
1.496, 1.720, 1.000, 0.000, 0.000, 0.020, 6.996, 17.354
1.531, 1.740, 1.000, 0.000, 0.000, 0.020, 7.031, 17.354
1.566, 1.760, 1.000, 0.000, 0.000, 0.020, 7.066, 17.354
1.602, 1.780, 1.000, 0.000, 0.000, 0.020, 7.102, 17.354
1.638, 1.800, 1.000, 0.000, 0.000, 0.020, 7.138, 17.354
1.674, 1.820, 1.000, 0.000, 0.000, 0.020, 7.174, 17.354
1.711, 1.840, 1.000, 0.000, 0.000, 0.020, 7.211, 17.354
1.748, 1.860, 1.000, 0.000, 0.000, 0.020, 7.248, 17.354
1.786, 1.880, 1.000, 0.000, 0.000, 0.020, 7.286, 17.354
1.824, 1.900, 1.000, 0.000, 0.000, 0.020, 7.324, 17.354
1.862, 1.920, 1.000, 0.000, 0.000, 0.020, 7.362, 17.354
1.901, 1.940, 1.000, 0.000, 0.000, 0.020, 7.401, 17.354
1.940, 1.960, 1.000, 0.000, 0.000, 0.020, 7.440, 17.354
1.980, 1.980, 1.000, 0.000, 0.000, 0.020, 7.480, 17.354
2.020, 2.000, 1.000, 0.000, 0.000, 0.020, 7.520, 17.354
2.060, 2.020, 1.000, 0.000, 0.000, 0.020, 7.560, 17.354
2.101, 2.040, 1.000, 0.000, 0.000, 0.020, 7.601, 17.354
2.142, 2.060, 1.000, 0.000, 0.000, 0.020, 7.642, 17.354
2.184, 2.080, 1.000, 0.000, 0.000, 0.020, 7.684, 17.354
2.226, 2.100, 1.000, 0.000, 0.000, 0.020, 7.726, 17.354
2.268, 2.120, 1.000, 0.000, 0.000, 0.020, 7.768, 17.354
2.311, 2.140, 1.000, 0.000, 0.000, 0.020, 7.811, 17.354
2.354, 2.160, 1.000, 0.000, 0.000, 0.020, 7.854, 17.354
2.398, 2.180, 1.000, 0.000, 0.000, 0.020, 7.898, 17.354
2.442, 2.200, 1.000, 0.000, 0.000, 0.020, 7.942, 17.354
2.486, 2.220, 1.000, 0.000, 0.000, 0.020, 7.986, 17.354
2.531, 2.240, 1.000, 0.000, 0.000, 0.020, 8.031, 17.354
2.576, 2.260, 1.000, 0.000, 0.000, 0.020, 8.076, 17.354
2.622, 2.280, 1.000, 0.000, 0.000, 0.020, 8.122, 17.354
2.668, 2.300, 1.000, 0.000, 0.000, 0.020, 8.168, 17.354
2.714, 2.320, 1.000, 0.000, 0.000, 0.020, 8.214, 17.354
2.761, 2.340, 1.000, 0.000, 0.000, 0.020, 8.261, 17.354
2.808, 2.360, 1.000, 0.000, 0.000, 0.020, 8.308, 17.354
2.856, 2.380, 1.000, 0.000, 0.000, 0.020, 8.356, 17.354
