position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 0.000, 0.020, 5.500, 16.239
0.003, 0.140, 7.000, 350.000, 0.000, 0.020, 5.503, 16.239
0.008, 0.280, 7.000, 0.000, 0.000, 0.020, 5.508, 16.239
0.017, 0.420, 7.000, -0.000, 0.000, 0.020, 5.517, 16.239
0.028, 0.560, 7.000, 0.000, 0.000, 0.020, 5.528, 16.239
0.042, 0.700, 7.000, -0.000, 0.000, 0.020, 5.542, 16.239
0.059, 0.840, 7.000, 0.000, 0.000, 0.020, 5.559, 16.239
0.078, 0.980, 7.000, -0.000, 0.000, 0.020, 5.578, 16.239
0.101, 1.120, 7.000, 0.000, 0.000, 0.020, 5.601, 16.239
0.126, 1.260, 7.000, 0.000, 0.000, 0.020, 5.626, 16.239
0.154, 1.400, 7.000, -0.000, 0.000, 0.020, 5.654, 16.239
0.185, 1.540, 7.000, 0.000, 0.000, 0.020, 5.685, 16.239
0.218, 1.680, 7.000, 0.000, 0.000, 0.020, 5.718, 16.239
0.255, 1.820, 7.000, -0.000, 0.000, 0.020, 5.755, 16.239
0.294, 1.960, 7.000, 0.000, 0.000, 0.020, 5.794, 16.239
0.336, 2.100, 7.000, 0.000, 0.000, 0.020, 5.836, 16.239
0.381, 2.240, 7.000, -0.000, 0.000, 0.020, 5.881, 16.239
0.428, 2.380, 7.000, 0.000, 0.000, 0.020, 5.928, 16.239
0.479, 2.520, 7.000, -0.000, 0.000, 0.020, 5.979, 16.239
0.532, 2.660, 7.000, 0.000, 0.000, 0.020, 6.032, 16.239
0.588, 2.800, 7.000, -0.000, 0.000, 0.020, 6.088, 16.239
0.647, 2.940, 7.000, -0.000, 0.000, 0.020, 6.147, 16.239
0.708, 3.080, 7.000, 0.000, 0.000, 0.020, 6.208, 16.239
0.773, 3.220, 7.000, -0.000, 0.000, 0.020, 6.273, 16.239
0.840, 3.360, 7.000, 0.000, 0.000, 0.020, 6.340, 16.239
0.910, 3.500, 7.000, -0.000, 0.000, 0.020, 6.410, 16.239
0.983, 3.640, 7.000, 0.000, 0.000, 0.020, 6.483, 16.239
1.058, 3.780, 7.000, 0.000, 0.000, 0.020, 6.558, 16.239
1.137, 3.920, 7.000, -0.000, 0.000, 0.020, 6.637, 16.239
1.217, 4.000, 4.000, -150.000, 0.000, 0.020, 6.717, 16.239
1.297, 4.000, 0.000, -200.000, 0.000, 0.020, 6.797, 16.239
1.377, 4.000, 0.000, 0.000, 0.000, 0.020, 6.877, 16.239
1.457, 4.000, 0.000, 0.000, 0.000, 0.020, 6.957, 16.239
