position,velocity,acceleration,jerk,heading,dt,x,y
0.000, -0.000, 0.000, 0.000, 0.000, 0.020, 5.500, 16.264
-0.003, -0.160, -8.000, -400.000, 0.000, 0.020, 5.503, 18.444
-0.010, -0.320, -8.000, -0.000, 0.000, 0.020, 5.510, 18.444
-0.019, -0.480, -8.000, 0.000, 0.000, 0.020, 5.519, 18.444
-0.032, -0.640, -8.000, -0.000, 0.000, 0.020, 5.532, 18.444
-0.048, -0.800, -8.000, 0.000, 0.000, 0.020, 5.548, 18.444
-0.067, -0.960, -8.000, -0.000, 0.000, 0.020, 5.567, 18.444
-0.090, -1.120, -8.000, 0.000, 0.000, 0.020, 5.590, 18.444
-0.115, -1.280, -8.000, -0.000, 0.000, 0.020, 5.615, 18.444
-0.144, -1.440, -8.000, 0.000, 0.000, 0.020, 5.644, 18.444
-0.176, -1.600, -8.000, 0.000, 0.000, 0.020, 5.676, 18.444
-0.211, -1.760, -8.000, -0.000, 0.000, 0.020, 5.711, 18.444
-0.250, -1.920, -8.000, -0.000, 0.000, 0.020, 5.750, 18.444
-0.291, -2.080, -8.000, -0.000, 0.000, 0.020, 5.791, 18.444
-0.336, -2.240, -8.000, -0.000, 0.000, 0.020, 5.836, 18.444
-0.384, -2.400, -8.000, 0.000, 0.000, 0.020, 5.884, 18.444
-0.435, -2.560, -8.000, 0.000, 0.000, 0.020, 5.935, 18.444
-0.490, -2.720, -8.000, -0.000, 0.000, 0.020, 5.990, 18.444
-0.547, -2.880, -8.000, 0.000, 0.000, 0.020, 6.047, 18.444
-0.608, -3.040, -8.000, 0.000, 0.000, 0.020, 6.108, 18.444
-0.672, -3.200, -8.000, -0.000, 0.000, 0.020, 6.172, 18.444
-0.739, -3.360, -8.000, -0.000, 0.000, 0.020, 6.239, 18.444
-0.810, -3.520, -8.000, 0.000, 0.000, 0.020, 6.310, 18.444
-0.883, -3.680, -8.000, -0.000, 0.000, 0.020, 6.383, 18.444
-0.960, -3.840, -8.000, 0.000, 0.000, 0.020, 6.460, 18.444
-1.040, -4.000, -8.000, 0.000, 0.000, 0.020, 6.540, 18.444
-1.123, -4.160, -8.000, 0.000, 0.000, 0.020, 6.623, 18.444
-1.210, -4.320, -8.000, 0.000, 0.000, 0.020, 6.710, 18.444
-1.299, -4.480, -8.000, -0.000, 0.000, 0.020, 6.799, 18.444
-1.392, -4.640, -8.000, 0.000, 0.000, 0.020, 6.892, 18.444
-1.488, -4.800, -8.000, -0.000, 0.000, 0.020, 6.988, 18.444
-1.587, -4.960, -8.000, 0.000, 0.000, 0.020, 7.087, 18.444
-1.690, -5.120, -8.000, 0.000, 0.000, 0.020, 7.190, 18.444
-1.795, -5.280, -8.000, 0.000, 0.000, 0.020, 7.295, 18.444
-1.904, -5.440, -8.000, -0.000, 0.000, 0.020, 7.404, 18.444
-2.016, -5.600, -8.000, 0.000, 0.000, 0.020, 7.516, 18.444
-2.131, -5.760, -8.000, 0.000, 0.000, 0.020, 7.631, 18.444
-2.250, -5.920, -8.000, -0.000, 0.000, 0.020, 7.750, 18.444
-2.370, -6.000, -4.000, 200.000, 0.000, 0.020, 7.870, 18.444
-2.490, -6.000, -0.000, 200.000, 0.000, 0.020, 7.990, 18.444
-2.610, -6.000, 0.000, 0.000, 0.000, 0.020, 8.110, 18.444
-2.730, -6.000, 0.000, 0.000, 0.000, 0.020, 8.230, 18.444
-2.850, -6.000, 0.000, 0.000, 0.000, 0.020, 8.350, 18.444
-2.970, -6.000, 0.000, 0.000, 0.000, 0.020, 8.470, 18.444
-3.090, -6.000, -0.000, -0.000, 0.000, 0.020, 8.590, 18.444
-3.210, -6.000, 0.000, 0.000, 0.000, 0.020, 8.710, 18.444
-3.330, -6.000, -0.000, -0.000, 0.000, 0.020, 8.830, 18.444
-3.450, -6.000, 0.000, 0.000, 0.000, 0.020, 8.950, 18.444
-3.570, -6.000, -0.000, -0.000, 0.000, 0.020, 9.070, 18.444
-3.690, -6.000, 0.000, 0.000, 0.000, 0.020, 9.190, 18.444
-3.810, -6.000, 0.000, 0.000, 0.000, 0.020, 9.310, 18.444
-3.930, -6.000, 0.000, 0.000, 0.000, 0.020, 9.430, 18.444
-4.050, -6.000, 0.000, 0.000, 0.000, 0.020, 9.550, 18.444
-4.170, -6.000, 0.000, 0.000, 0.000, 0.020, 9.670, 18.444
-4.290, -6.000, 0.000, 0.000, 0.000, 0.020, 9.790, 18.444
-4.410, -6.000, 0.000, 0.000, 0.000, 0.020, 9.910, 18.444
-4.533, -6.160, -308.000, -30400.000, 0.000, 0.020, 10.033, 18.444
-4.659, -6.320, -8.000, 15000.000, 0.000, 0.020, 10.159, 18.444
-4.789, -6.480, -8.000, -0.000, 0.000, 0.020, 10.289, 18.444
-4.922, -6.640, -8.000, 0.000, 0.000, 0.020, 10.422, 18.444
-5.058, -6.800, -8.000, 0.000, 0.000, 0.020, 10.558, 18.444
-5.197, -6.960, -8.000, -0.000, 0.000, 0.020, 10.697, 18.444
-5.339, -7.120, -8.000, -0.000, 0.000, 0.020, 10.839, 18.444
-5.485, -7.280, -8.000, 0.000, 0.000, 0.020, 10.985, 18.444
-5.634, -7.440, -8.000, 0.000, 0.000, 0.020, 11.134, 18.444
-5.786, -7.600, -8.000, -0.000, 0.000, 0.020, 11.286, 18.444
-5.941, -7.760, -8.000, 0.000, 0.000, 0.020, 11.441, 18.444
-6.099, -7.920, -8.000, 0.000, 0.000, 0.020, 11.599, 18.444
-6.261, -8.080, -8.000, -0.000, 0.000, 0.020, 11.761, 18.444
-6.426, -8.240, -8.000, -0.000, 0.000, 0.020, 11.926, 18.444
-6.594, -8.400, -8.000, -0.000, 0.000, 0.020, 12.094, 18.444
-6.764, -8.500, -5.000, 150.000, 0.000, 0.020, 12.264, 18.444
-6.934, -8.500, -0.000, 250.000, 0.000, 0.020, 12.434, 18.444
-7.104, -8.500, 0.000, 0.000, 0.000, 0.020, 12.604, 18.444
-7.274, -8.500, 0.000, -0.000, 0.000, 0.020, 12.774, 18.444
-7.444, -8.500, -0.000, -0.000, 0.000, 0.020, 12.944, 18.444
-7.614, -8.500, 0.000, 0.000, 0.000, 0.020, 13.114, 18.444
-7.784, -8.500, 0.000, -0.000, 0.000, 0.020, 13.284, 18.444
-7.954, -8.500, 0.000, 0.000, 0.000, 0.020, 13.454, 18.444
-8.124, -8.500, 0.000, 0.000, 0.000, 0.020, 13.624, 18.444
-8.294, -8.500, -0.000, -0.000, 0.000, 0.020, 13.794, 18.444
-8.464, -8.500, 0.000, 0.000, 0.000, 0.020, 13.964, 18.444
-8.634, -8.500, 0.000, 0.000, 0.000, 0.020, 14.134, 18.444
