position,velocity,acceleration,jerk,heading,dt,x,y
0.00429, 0.28571, 9.52381, 317.46032, 0.00000, 0.03000, 5.50429, 17.35417, false
0.01714, 0.57143, 9.52381, 0.00000, 0.00000, 0.03000, 5.51714, 17.35417, false
0.03857, 0.85714, 9.52381, 0.00000, 0.00000, 0.03000, 5.53857, 17.35417, false
0.06857, 1.14286, 9.52381, 0.00000, 0.00000, 0.03000, 5.56857, 17.35417, false
0.10714, 1.42857, 9.52381, 0.00000, 0.00000, 0.03000, 5.60714, 17.35417, false
0.15429, 1.71429, 9.52381, -0.00000, 0.00000, 0.03000, 5.65429, 17.35417, false
0.21000, 2.00000, 9.52381, 0.00000, 0.00000, 0.03000, 5.71000, 17.35417, false
0.27429, 2.28571, 9.52381, -0.00000, 0.00000, 0.03000, 5.77429, 17.35417, false
0.34714, 2.57143, 9.52381, 0.00000, 0.00000, 0.03000, 5.84714, 17.35417, false
0.42857, 2.85714, 9.52381, -0.00000, 0.00000, 0.03000, 5.92857, 17.35417, false
0.51857, 3.14286, 9.52381, 0.00000, 0.00000, 0.03000, 6.01857, 17.35417, false
0.61714, 3.42857, 9.52381, 0.00000, 0.00000, 0.03000, 6.11714, 17.35417, false
0.72429, 3.71429, 9.52381, 0.00000, 0.00000, 0.03000, 6.22429, 17.35417, false
0.84000, 4.00000, 9.52381, -0.00000, 0.00000, 0.03000, 6.34000, 17.35417, false
0.96000, 4.00000, 0.00000, -317.46032, 0.00000, 0.03000, 6.46000, 17.35417, false
1.08000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 6.58000, 17.35417, false
1.20000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 6.70000, 17.35417, false
1.32000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 6.82000, 17.35417, false
1.44000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 6.94000, 17.35417, false
1.56000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 7.06000, 17.35417, false
1.68000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 7.18000, 17.35417, false
1.80000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 7.30000, 17.35417, false
1.92000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 7.42000, 17.35417, false
2.04000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 7.54000, 17.35417, false
2.16000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 7.66000, 17.35417, false
2.28000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 7.78000, 17.35417, false
2.40000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 7.90000, 17.35417, false
2.52000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 8.02000, 17.35417, false
2.64000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 8.14000, 17.35417, false
2.76000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 8.26000, 17.35417, false
2.88000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 8.38000, 17.35417, false
3.00000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 8.50000, 17.35417, false
3.12000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 8.62000, 17.35417, false
3.24000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 8.74000, 17.35417, false
3.36000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 8.86000, 17.35417, false
3.48000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 8.98000, 17.35417, false
3.60000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 9.10000, 17.35417, false
3.72000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 9.22000, 17.35417, false
3.84000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 9.34000, 17.35417, false
3.96000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 9.46000, 17.35417, false
4.08000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 9.58000, 17.35417, false
4.20000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 9.70000, 17.35417, false
4.32000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 9.82000, 17.35417, false
4.44000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 9.94000, 17.35417, false
4.56000, 4.00000, 0.00000, 0.00000, -0.00010, 0.03000, 10.06000, 17.35416, false
4.68000, 4.00000, 0.00000, 0.00000, -0.00089, 0.03000, 10.18000, 17.35411, false
4.80000, 4.00000, 0.00000, 0.00000, -0.00235, 0.03000, 10.30000, 17.35392, false
4.92000, 4.00000, 0.00000, 0.00000, -0.00435, 0.03000, 10.42000, 17.35353, false
5.04000, 4.00000, 0.00000, 0.00000, -0.00679, 0.03000, 10.54000, 17.35286, false
5.16000, 4.00000, 0.00000, 0.00000, -0.00955, 0.03000, 10.65999, 17.35188, false
5.28000, 4.00000, 0.00000, 0.00000, -0.01254, 0.03000, 10.77999, 17.35056, false
5.40000, 4.00000, 0.00000, 0.00000, -0.01565, 0.03000, 10.89997, 17.34887, false
5.52000, 4.00000, 0.00000, 0.00000, -0.01879, 0.03000, 11.01996, 17.34680, false
5.64000, 4.00000, 0.00000, 0.00000, -0.02187, 0.03000, 11.13993, 17.34436, false
5.76000, 4.00000, 0.00000, 0.00000, -0.02482, 0.03000, 11.25990, 17.34156, false
5.88000, 4.00000, 0.00000, 0.00000, -0.02754, 0.03000, 11.37986, 17.33842, false
6.00000, 4.00000, 0.00000, 0.00000, -0.02999, 0.03000, 11.49981, 17.33496, false
6.12000, 4.00000, 0.00000, 0.00000, -0.03207, 0.03000, 11.61975, 17.33123, false
6.24000, 4.00000, 0.00000, 0.00000, -0.03375, 0.03000, 11.73968, 17.32728, false
6.36000, 4.00000, 0.00000, 0.00000, -0.03495, 0.03000, 11.85961, 17.32316, false
6.48000, 4.00000, 0.00000, 0.00000, -0.03564, 0.03000, 11.97954, 17.31892, false
6.60000, 4.00000, 0.00000, 0.00000, -0.03576, 0.03000, 12.09946, 17.31463, false
6.72000, 4.00000, 0.00000, 0.00000, -0.03527, 0.03000, 12.21939, 17.31036, false
6.84000, 4.00000, 0.00000, 0.00000, -0.03413, 0.03000, 12.33931, 17.30619, false
6.96000, 4.00000, 0.00000, 0.00000, -0.03232, 0.03000, 12.45925, 17.30220, false
7.08000, 4.00000, 0.00000, 0.00000, -0.02980, 0.03000, 12.57919, 17.29846, false
7.20000, 4.00000, 0.00000, 0.00000, -0.02655, 0.03000, 12.69914, 17.29507, false
7.32000, 4.00000, 0.00000, 0.00000, -0.02255, 0.03000, 12.81910, 17.29212, false
7.44000, 4.00000, 0.00000, 0.00000, -0.01779, 0.03000, 12.93908, 17.28969, false
7.56000, 4.00000, 0.00000, 0.00000, -0.01224, 0.03000, 13.05907, 17.28788, false
7.68000, 4.00000, 0.00000, 0.00000, -0.00592, 0.03000, 13.17906, 17.28679, false
7.80000, 4.00000, 0.00000, 0.00000, 0.00119, 0.03000, 13.29906, 17.28649, false
7.92000, 4.00000, 0.00000, 0.00000, 0.00908, 0.03000, 13.41906, 17.28710, false
8.04000, 4.00000, 0.00000, 0.00000, 0.01774, 0.03000, 13.53905, 17.28870, false
