position,velocity,acceleration,jerk,heading,dt,x,y
0.00429, 0.28571, 9.52381, 317.46032, 0.00000, 0.03000, 5.50429, 16.26397, false
0.01714, 0.42857, 4.76190, -158.73016, 0.00000, 0.03000, 5.51714, 16.26397, false
0.03857, 0.71429, 9.52381, 158.73016, 0.00000, 0.03000, 5.53857, 16.26397, false
0.06857, 1.00000, 9.52381, -0.00000, 0.00000, 0.03000, 5.56857, 16.26397, false
0.10714, 1.28571, 9.52381, -0.00000, 0.00000, 0.03000, 5.60714, 16.26397, false
0.15429, 1.57143, 9.52381, -0.00000, 0.00000, 0.03000, 5.65429, 16.26397, false
0.21000, 1.85714, 9.52381, -0.00000, 0.00000, 0.03000, 5.71000, 16.26397, false
0.27429, 2.14286, 9.52381, 0.00000, 0.00000, 0.03000, 5.77429, 16.26397, false
0.34714, 2.42857, 9.52381, 0.00000, 0.00000, 0.03000, 5.84714, 16.26397, false
0.42857, 2.71429, 9.52381, -0.00000, 0.00000, 0.03000, 5.92857, 16.26397, false
0.51857, 3.00000, 9.52381, -0.00000, 0.00000, 0.03000, 6.01857, 16.26397, false
0.61714, 3.28571, 9.52381, -0.00000, 0.00000, 0.03000, 6.11714, 16.26397, false
0.72429, 3.57143, 9.52381, 0.00000, 0.00000, 0.03000, 6.22429, 16.26397, false
0.84000, 3.85714, 9.52381, 0.00000, 0.00000, 0.03000, 6.34000, 16.26397, false
0.96000, 4.00000, 4.76190, -158.73016, 0.00000, 0.03000, 6.46000, 16.26397, false
1.08000, 4.00000, 0.00000, -158.73016, 0.00000, 0.03000, 6.58000, 16.26397, false
1.20000, 4.00000, -0.00000, -0.00000, 0.00000, 0.03000, 6.70000, 16.26397, false
1.32000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 6.82000, 16.26397, false
1.44000, 4.00000, 0.00000, -0.00000, 0.00000, 0.03000, 6.94000, 16.26397, false
1.56000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 7.06000, 16.26397, false
1.68000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 7.18000, 16.26397, false
1.80000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 7.30000, 16.26397, false
1.92000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 7.42000, 16.26397, false
2.04000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 7.54000, 16.26397, false
2.16000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 7.66000, 16.26397, false
2.28000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 7.78000, 16.26397, false
2.40000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 7.90000, 16.26397, false
2.52000, 4.00000, -0.00000, -0.00000, 0.00000, 0.03000, 8.02000, 16.26397, false
2.64000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 8.14000, 16.26397, false
2.76000, 4.00000, -0.00000, -0.00000, 0.00000, 0.03000, 8.26000, 16.26397, false
2.88000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 8.38000, 16.26397, false
3.00000, 4.00000, 0.00000, -0.00000, 0.00000, 0.03000, 8.50000, 16.26397, false
3.12000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 8.62000, 16.26397, false
3.24000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 8.74000, 16.26397, false
3.36000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 8.86000, 16.26397, false
3.48000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 8.98000, 16.26397, false
3.60000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 9.10000, 16.26397, false
3.72000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 9.22000, 16.26397, false
3.84000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 9.34000, 16.26397, false
3.96000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 9.46000, 16.26397, false
4.08000, 4.00000, -0.00000, -0.00000, 0.00000, 0.03000, 9.58000, 16.26397, false
4.20000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 9.70000, 16.26397, false
4.32000, 4.00000, -0.00000, -0.00000, 0.00000, 0.03000, 9.82000, 16.26397, false
4.44000, 4.00000, 0.00000, 0.00000, 0.00000, 0.03000, 9.94000, 16.26397, false
4.55989, 3.99621, -0.12637, -4.21241, -0.00010, 0.03000, 10.05989, 16.26396, false
4.67903, 3.97140, -0.82712, -23.35839, -0.00089, 0.03000, 10.17903, 16.26391, false
4.79744, 3.94711, -0.80955, 0.58583, -0.00235, 0.03000, 10.29744, 16.26373, false
4.91526, 3.92716, -0.66495, 4.81988, -0.00435, 0.03000, 10.41526, 16.26334, false
5.03260, 3.91137, -0.52646, 4.61636, -0.00679, 0.03000, 10.53259, 16.26269, false
5.14958, 3.89954, -0.39427, 4.40633, -0.00955, 0.03000, 10.64958, 16.26173, false
5.26633, 3.89148, -0.26853, 4.19138, -0.01254, 0.03000, 10.76631, 16.26045, false
5.38294, 3.88700, -0.14934, 3.97293, -0.01565, 0.03000, 10.88291, 16.25880, false
5.49951, 3.88590, -0.03677, 3.75234, -0.01879, 0.03000, 10.99947, 16.25680, false
5.61615, 3.88797, 0.06916, 3.53094, -0.02187, 0.03000, 11.11609, 16.25442, false
5.73294, 3.89303, 0.16846, 3.31005, -0.02482, 0.03000, 11.23285, 16.25170, false
5.84997, 3.90086, 0.26119, 3.09095, -0.02754, 0.03000, 11.34983, 16.24863, false
5.96731, 3.91129, 0.34743, 2.87480, -0.02999, 0.03000, 11.46712, 16.24525, false
6.08503, 3.92410, 0.42731, 2.66265, -0.03207, 0.03000, 11.58479, 16.24160, false
6.20321, 3.93913, 0.50097, 2.45530, -0.03375, 0.03000, 11.70290, 16.23770, false
6.32189, 3.95619, 0.56857, 2.25332, -0.03495, 0.03000, 11.82151, 16.23362, false
6.44115, 3.97510, 0.63028, 2.05700, -0.03564, 0.03000, 11.94069, 16.22941, false
6.56102, 3.99569, 0.68627, 1.86628, -0.03576, 0.03000, 12.06049, 16.22512, false
6.68155, 4.01779, 0.73669, 1.68079, -0.03527, 0.03000, 12.18094, 16.22084, false
6.80279, 4.04124, 0.78168, 1.49983, -0.03413, 0.03000, 12.30211, 16.21662, false
6.92476, 4.06588, 0.82136, 1.32238, -0.03232, 0.03000, 12.42402, 16.21257, false
7.04751, 4.09155, 0.85577, 1.14714, -0.02980, 0.03000, 12.54670, 16.20875, false
7.17105, 4.11810, 0.88495, 0.97256, -0.02655, 0.03000, 12.67020, 16.20526, false
7.29541, 4.14537, 0.90885, 0.79689, -0.02255, 0.03000, 12.79452, 16.20220, false
7.42061, 4.17319, 0.92740, 0.61825, -0.01779, 0.03000, 12.91969, 16.19966, false
7.54665, 4.20140, 0.94044, 0.43471, -0.01224, 0.03000, 13.04572, 16.19776, false
7.67355, 4.22983, 0.94777, 0.24433, -0.00592, 0.03000, 13.17261, 16.19660, false
7.80130, 4.25831, 0.94913, 0.04533, 0.00119, 0.03000, 13.30036, 16.19629, false
7.92989, 4.28664, 0.94422, -0.16387, 0.00908, 0.03000, 13.42895, 16.19695, false
8.05933, 4.31462, 0.93268, -0.38448, 0.01774, 0.03000, 13.55838, 16.19867, false
8.18959, 4.34204, 0.91416, -0.61729, 0.02715, 0.03000, 13.68861, 16.20159, false
8.32065, 4.36869, 0.88829, -0.86246, 0.03729, 0.03000, 13.81960, 16.20580, false
8.45248, 4.39433, 0.85470, -1.11950, 0.04815, 0.03000, 13.95131, 16.21143, false
8.58505, 4.41872, 0.81309, -1.38711, 0.05967, 0.03000, 14.08368, 16.21856, false
8.71830, 4.44162, 0.76320, -1.66317, 0.07182, 0.03000, 14.21664, 16.22731, false
8.85218, 4.46276, 0.70486, -1.94469, 0.08456, 0.03000, 14.35012, 16.23776, false
8.98664, 4.48191, 0.63802, -2.22786, 0.09782, 0.03000, 14.48402, 16.25000, false
9.12160, 4.49879, 0.56277, -2.50819, 0.11155, 0.03000, 14.61824, 16.26410, false
9.25699, 4.51317, 0.47936, -2.78063, 0.12567, 0.03000, 14.75269, 16.28012, false
9.39274, 4.52481, 0.38816, -3.03985, 0.14011, 0.03000, 14.88723, 16.29810, false
9.52874, 4.53351, 0.28974, -3.28056, 0.15479, 0.03000, 15.02176, 16.31808, false
9.66491, 4.53905, 0.18481, -3.49782, 0.16963, 0.03000, 15.15615, 16.34007, false
9.80115, 4.54128, 0.07418, -3.68746, 0.18452, 0.03000, 15.29026, 16.36407, false
9.93735, 4.54004, -0.04121, -3.84635, 0.19939, 0.03000, 15.42396, 16.39006, false
10.07341, 4.53523, -0.16039, -3.97282, 0.21411, 0.03000, 15.55711, 16.41799, false
10.20921, 4.52676, -0.28239, -4.06680, 0.22861, 0.03000, 15.68960, 16.44781, false
10.34465, 4.51457, -0.40629, -4.13000, 0.24277, 0.03000, 15.82129, 16.47944, false
10.47961, 4.49863, -0.53127, -4.16592, 0.25649, 0.03000, 15.95207, 16.51278, false
10.61398, 4.47893, -0.65667, -4.17979, 0.26967, 0.03000, 16.08181, 16.54773, false
10.74764, 4.45547, -0.78202, -4.17840, 0.28221, 0.03000, 16.21042, 16.58416, false
10.88049, 4.42826, -0.90711, -4.16984, 0.29399, 0.03000, 16.33779, 16.62191, false
11.01241, 4.39730, -1.03201, -4.16325, 0.30493, 0.03000, 16.46383, 16.66084, false
11.14329, 4.36258, -1.15707, -4.16850, 0.31491, 0.03000, 16.58847, 16.70076, false
11.27301, 4.32409, -1.28294, -4.19597, 0.32382, 0.03000, 16.71163, 16.74150, false
11.40146, 4.28178, -1.41063, -4.25629, 0.33158, 0.03000, 16.83325, 16.78286, false
11.52853, 4.23553, -1.54144, -4.36016, 0.33806, 0.03000, 16.95325, 16.82462, false
11.65408, 4.18522, -1.67699, -4.51824, 0.34316, 0.03000, 17.07159, 16.86658, false
11.77800, 4.13065, -1.81922, -4.74103, 0.34675, 0.03000, 17.18820, 16.90850, false
11.90015, 4.07154, -1.97038, -5.03867, 0.34872, 0.03000, 17.30303, 16.95014, false
12.02038, 4.00757, -2.13234, -5.39873, 0.34893, 0.03000, 17.41601, 16.99125, false
12.13866, 3.94266, -2.16347, -1.03777, 0.34735, 0.03000, 17.52719, 17.03161, false
12.25519, 3.88445, -1.94036, 7.43688, 0.34417, 0.03000, 17.63682, 17.07112, false
12.37020, 3.83356, -1.69619, 8.13922, 0.33959, 0.03000, 17.74517, 17.10969, false
12.48389, 3.78983, -1.45783, 7.94540, 0.33381, 0.03000, 17.85248, 17.14727, false
12.59648, 3.75303, -1.22650, 7.71097, 0.32701, 0.03000, 17.95898, 17.18380, false
12.70817, 3.72294, -1.00326, 7.44113, 0.31939, 0.03000, 18.06488, 17.21928, false
12.81915, 3.69926, -0.78908, 7.13954, 0.31111, 0.03000, 18.17039, 17.25370, false
12.92960, 3.68172, -0.58479, 6.80956, 0.30236, 0.03000, 18.27568, 17.28705, false
13.03970, 3.66999, -0.39114, 6.45495, 0.29327, 0.03000, 18.38093, 17.31936, false
13.14961, 3.66372, -0.20873, 6.08029, 0.28402, 0.03000, 18.48630, 17.35065, false
13.25949, 3.66258, -0.03800, 5.69105, 0.27474, 0.03000, 18.59191, 17.38095, false
13.36948, 3.66621, 0.12080, 5.29344, 0.26555, 0.03000, 18.69791, 17.41030, false
13.47970, 3.67424, 0.26763, 4.89417, 0.25659, 0.03000, 18.80440, 17.43875, false
13.59029, 3.68632, 0.40263, 4.50001, 0.24796, 0.03000, 18.91149, 17.46635, false
13.70136, 3.70210, 0.52615, 4.11753, 0.23976, 0.03000, 19.01927, 17.49316, false
13.81299, 3.72126, 0.63873, 3.75268, 0.23209, 0.03000, 19.12782, 17.51925, false
13.92530, 3.74349, 0.74105, 3.41059, 0.22503, 0.03000, 19.23721, 17.54468, false
14.03835, 3.76851, 0.83391, 3.09534, 0.21866, 0.03000, 19.34749, 17.56955, false
14.15224, 3.79606, 0.91821, 2.80995, 0.21305, 0.03000, 19.45873, 17.59394, false
14.26701, 3.82590, 0.99490, 2.55625, 0.20826, 0.03000, 19.57097, 17.61793, false
14.38275, 3.85785, 1.06495, 2.33504, 0.20435, 0.03000, 19.68426, 17.64163, false
14.49950, 3.89173, 1.12933, 2.14604, 0.20137, 0.03000, 19.79862, 17.66514, false
14.61732, 3.92740, 1.18897, 1.98808, 0.19937, 0.03000, 19.91408, 17.68858, false
14.73626, 3.96474, 1.24475, 1.85914, 0.19840, 0.03000, 20.03068, 17.71207, false
14.85637, 4.00367, 1.29744, 1.75646, 0.19850, 0.03000, 20.14844, 17.73574, false
14.97770, 4.04410, 1.34774, 1.67657, 0.19971, 0.03000, 20.26737, 17.75972, false
15.10028, 4.08599, 1.39620, 1.61537, 0.20208, 0.03000, 20.38748, 17.78417, false
15.22416, 4.12928, 1.44324, 1.56810, 0.20564, 0.03000, 20.50880, 17.80924, false
15.34937, 4.17396, 1.48912, 1.52930, 0.21042, 0.03000, 20.63132, 17.83509, false
15.47597, 4.21997, 1.53390, 1.49280, 0.21648, 0.03000, 20.75505, 17.86190, false
15.60399, 4.26730, 1.57745, 1.45165, 0.22383, 0.03000, 20.87998, 17.88984, false
15.73347, 4.31588, 1.61939, 1.39802, 0.23253, 0.03000, 21.00611, 17.91912, false
15.86444, 4.36565, 1.65909, 1.32320, 0.24259, 0.03000, 21.13340, 17.94992, false
15.99693, 4.41652, 1.69562, 1.21760, 0.25405, 0.03000, 21.26183, 17.98247, false
16.13098, 4.46835, 1.72774, 1.07085, 0.26694, 0.03000, 21.39137, 18.01699, false
16.26661, 4.52097, 1.75390, 0.87197, 0.28128, 0.03000, 21.52194, 18.05369, false
16.40384, 4.57414, 1.77220, 0.60983, 0.29708, 0.03000, 21.65347, 18.09280, false
16.54266, 4.62755, 1.78041, 0.27377, 0.31435, 0.03000, 21.78586, 18.13457, false
16.68309, 4.68083, 1.77604, -0.14559, 0.33309, 0.03000, 21.91900, 18.17923, false
16.82509, 4.73352, 1.75639, -0.65511, 0.35327, 0.03000, 22.05273, 18.22699, false
16.96865, 4.78508, 1.71866, -1.25773, 0.37488, 0.03000, 22.18687, 18.27810, false
17.11369, 4.83489, 1.66013, -1.95096, 0.39786, 0.03000, 22.32123, 18.33274, false
17.26016, 4.88224, 1.57837, -2.72527, 0.42214, 0.03000, 22.45557, 18.39111, false
17.40795, 4.92638, 1.47148, -3.56291, 0.44763, 0.03000, 22.58961, 18.45337, false
17.55695, 4.96653, 1.33837, -4.43722, 0.47423, 0.03000, 22.72306, 18.51963, false
17.70701, 5.00190, 1.17898, -5.31307, 0.50181, 0.03000, 22.85560, 18.58998, false
17.85796, 5.03174, 0.99452, -6.14849, 0.53020, 0.03000, 22.98690, 18.66446, false
18.00962, 5.05536, 0.78759, -6.89765, 0.55925, 0.03000, 23.11662, 18.74304, false
18.16179, 5.07223, 0.56214, -7.51515, 0.58876, 0.03000, 23.24440, 18.82566, false
18.31424, 5.08193, 0.32331, -7.96091, 0.61854, 0.03000, 23.36991, 18.91220, false
18.46677, 5.08424, 0.07716, -8.20509, 0.64838, 0.03000, 23.49285, 19.00249, false
18.61914, 5.07915, -0.16980, -8.23194, 0.67808, 0.03000, 23.61292, 19.09630, false
18.77115, 5.06682, -0.41106, -8.04206, 0.70744, 0.03000, 23.72988, 19.19339, false
18.92258, 5.04760, -0.64063, -7.65231, 0.73627, 0.03000, 23.84354, 19.29345, false
19.07324, 5.02199, -0.85344, -7.09363, 0.76440, 0.03000, 23.95373, 19.39619, false
19.22296, 4.99062, -1.04565, -6.40713, 0.79167, 0.03000, 24.06037, 19.50128, false
19.37158, 4.95418, -1.21483, -5.63922, 0.81793, 0.03000, 24.16340, 19.60840, false
19.51898, 4.91338, -1.35994, -4.83680, 0.84306, 0.03000, 24.26281, 19.71723, false
19.66505, 4.86895, -1.48123, -4.04305, 0.86698, 0.03000, 24.35865, 19.82746, false
