position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 5.50000, 16.26397, true
-0.02000, -0.40000, -8.00000, -160.00000, 3.14159, 0.05000, 5.52000, 16.26397, true
-0.06000, -0.80000, -8.00000, 0.00000, 3.14159, 0.05000, 5.56000, 16.26397, true
-0.12000, -1.20000, -8.00000, -0.00000, 3.14159, 0.05000, 5.62000, 16.26397, true
-0.20000, -1.60000, -8.00000, 0.00000, 3.14159, 0.05000, 5.70000, 16.26397, true
-0.30000, -2.00000, -8.00000, -0.00000, 3.14159, 0.05000, 5.80000, 16.26397, true
-0.42000, -2.40000, -8.00000, -0.00000, 3.14159, 0.05000, 5.92000, 16.26397, true
-0.56000, -2.80000, -8.00000, 0.00000, 3.14159, 0.05000, 6.06000, 16.26397, true
-0.72000, -3.20000, -8.00000, 0.00000, 3.14159, 0.05000, 6.22000, 16.26397, true
-0.90000, -3.60000, -8.00000, -0.00000, 3.14159, 0.05000, 6.40000, 16.26397, true
-1.10000, -4.00000, -8.00000, -0.00000, 3.14159, 0.05000, 6.60000, 16.26397, true
-1.30000, -4.00000, -0.00000, 160.00000, 3.14159, 0.05000, 6.80000, 16.26397, true
-1.50000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.00000, 16.26397, true
-1.70000, -4.00000, -0.00000, -0.00000, 3.14159, 0.05000, 7.20000, 16.26397, true
-1.90000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.40000, 16.26397, true
-2.10000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.60000, 16.26397, true
-2.30000, -4.00000, -0.00000, -0.00000, 3.14159, 0.05000, 7.80000, 16.26397, true
-2.50000, -4.00000, -0.00000, -0.00000, 3.14159, 0.05000, 8.00000, 16.26397, true
-2.70000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.20000, 16.26397, true
-2.90000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.40000, 16.26397, true
-3.10000, -4.00000, -0.00000, -0.00000, 3.14159, 0.05000, 8.60000, 16.26397, true
-3.30000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.80000, 16.26397, true
-3.50000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.00000, 16.26397, true
-3.70000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.20000, 16.26397, true
-3.90000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.40000, 16.26397, true
-4.10000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.60000, 16.26397, true
-4.30000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.80000, 16.26397, true
-4.50000, -4.00000, -0.00000, -0.00000, 3.14159, 0.05000, 10.00000, 16.26397, true
-4.50000, -0.00000, 80.00000, 1600.00000, 3.14159, 0.05000, 10.00000, 16.26397, true
-4.52001, -0.40012, -8.00231, -1760.04625, -3.14159, 0.05000, 10.02001, 16.26397, true
-4.76095, -4.81880, -88.37363, -1607.42629, -3.14073, 0.05000, 10.26095, 16.26404, true
-5.02365, -5.25408, -8.70573, 1593.35798, -3.13824, 0.05000, 10.52365, 16.26456, true
-5.30831, -5.69316, -8.78157, -1.51681, -3.13397, 0.05000, 10.80830, 16.26609, true
-5.61505, -6.13489, -8.83457, -1.06000, -3.12778, 0.05000, 11.11503, 16.26934, true
-5.94395, -6.57788, -8.85987, -0.50607, -3.11963, 0.05000, 11.44387, 16.27518, true
-6.29497, -7.02051, -8.85260, 0.14541, -3.10951, 0.05000, 11.79477, 16.28463, true
-6.65764, -7.25336, -4.65699, 83.91224, -3.09789, 0.05000, 12.15718, 16.29834, true
-7.02127, -7.27255, -0.38374, 85.46503, -3.08539, 0.05000, 12.52036, 16.31647, true
-7.38549, -7.28445, -0.23801, 2.91447, -3.07234, 0.05000, 12.88386, 16.33929, true
-7.74996, -7.28944, -0.09983, 2.76361, -3.05906, 0.05000, 13.24729, 16.36693, true
-8.11436, -7.28794, 0.03007, 2.59801, -3.04585, 0.05000, 13.61024, 16.39937, true
-8.47838, -7.28039, 0.15091, 2.41691, -3.03299, 0.05000, 13.97236, 16.43651, true
-8.84174, -7.26729, 0.26202, 2.22210, -3.02073, 0.05000, 14.33333, 16.47813, true
-9.20420, -7.24915, 0.36288, 2.01729, -3.00930, 0.05000, 14.69288, 16.52391, true
-9.56553, -7.22649, 0.45324, 1.80724, -2.99891, 0.05000, 15.05079, 16.57347, true
-9.92552, -7.19983, 0.53309, 1.59695, -2.98975, 0.05000, 15.40688, 16.62633, true
-10.28400, -7.16970, 0.60264, 1.39095, -2.98196, 0.05000, 15.76102, 16.68197, true
-10.64083, -7.13659, 0.66228, 1.19275, -2.97570, 0.05000, 16.11313, 16.73984, true
-10.99588, -7.10096, 0.71250, 1.00449, -2.97107, 0.05000, 16.46316, 16.79933, true
-11.34904, -7.06327, 0.75384, 0.82680, -2.96817, 0.05000, 16.81110, 16.85982, true
-11.70024, -7.02393, 0.78678, 0.65883, -2.96707, 0.05000, 17.15699, 16.92066, true
-12.05144, -7.02393, 0.00000, -15.73564, -2.96817, 0.05000, 16.81110, 16.85982, true
-12.40263, -7.02393, 0.00000, 0.00000, -2.96707, 0.05000, 17.15699, 16.92066, true
-12.75096, -6.96646, 1.14937, 22.98745, -2.96861, 0.05000, 17.50005, 16.98098, true
-13.09659, -6.91274, 1.07441, -1.49920, -2.97261, 0.05000, 17.84064, 17.03983, true
-13.44167, -6.90162, 0.22244, -17.03935, -2.97712, 0.05000, 18.18094, 17.09709, true
-13.78806, -6.92772, -0.52206, -14.89012, -2.98043, 0.05000, 18.52275, 17.15318, true
-14.13734, -6.98566, -1.15880, -12.73477, -2.98109, 0.05000, 18.86754, 17.20902, true
-14.49089, -7.07085, -1.70380, -10.89997, -2.97784, 0.05000, 19.21647, 17.26596, true
-14.84987, -7.17975, -2.17806, -9.48518, -2.96960, 0.05000, 19.57044, 17.32578, true
-15.21537, -7.30984, -2.60172, -8.47329, -2.95538, 0.05000, 19.93012, 17.39071, true
-15.58833, -7.45926, -2.98844, -7.73434, -2.93431, 0.05000, 20.29592, 17.46341, true
-15.96964, -7.62623, -3.33936, -7.01841, -2.90558, 0.05000, 20.66796, 17.54700, true
-16.36004, -7.80805, -3.63635, -5.93978, -2.86850, 0.05000, 21.04585, 17.64507, true
-16.76003, -7.99981, -3.83514, -3.97582, -2.82262, 0.05000, 21.42851, 17.76151, true
-17.16968, -8.19290, -3.86198, -0.53671, -2.76786, 0.05000, 21.81392, 17.90033, true
-17.58838, -8.37398, -3.62147, 4.81011, -2.70478, 0.05000, 22.19879, 18.06520, true
-18.01464, -8.52524, -3.02534, 11.92262, -2.63475, 0.05000, 22.57856, 18.25879, true
-18.44601, -8.62739, -2.04292, 19.64834, -2.56002, 0.05000, 22.94766, 18.48205, true
-18.87925, -8.66491, -0.75035, 25.85149, -2.48356, 0.05000, 23.30032, 18.73371, true
-19.31083, -8.63161, 0.66593, 28.32561, -2.40864, 0.05000, 23.63160, 19.01032, true
-19.71329, -8.04907, 11.65078, 219.69694, -2.34211, 0.05000, 23.92149, 19.28949, true
-20.08540, -7.44227, 12.13601, 9.70460, -2.28509, 0.05000, 24.17305, 19.56368, true
-20.42714, -6.83470, 12.15135, 0.30671, -2.23761, 0.05000, 24.39061, 19.82722, true
-20.73917, -6.24075, 11.87903, -5.44638, -2.19903, 0.05000, 24.57874, 20.07617, true
-21.02254, -5.66737, 11.46760, -8.22863, -2.16841, 0.05000, 24.74166, 20.30801, true
-21.27838, -5.11677, 11.01201, -9.11174, -2.14471, 0.05000, 24.88303, 20.52125, true
-21.50781, -4.58864, 10.56255, -8.98911, -2.12688, 0.05000, 25.00582, 20.71506, true
-21.71189, -4.08161, 10.14071, -8.43685, -2.11396, 0.05000, 25.11238, 20.88911, true
-21.89159, -3.59399, 9.75245, -7.76525, -2.10506, 0.05000, 25.20454, 21.04337, true
-22.04780, -3.12413, 9.39704, -7.10811, -2.09937, 0.05000, 25.28368, 21.17805, true
-22.18133, -2.67052, 9.07226, -6.49556, -2.09614, 0.05000, 25.35081, 21.29347, true
-22.29291, -2.23167, 8.77712, -5.90290, -2.09468, 0.05000, 25.40669, 21.39006, true
-22.35236, -1.18892, 20.85490, 241.55564, -2.09440, 0.05000, 25.43642, 21.44153, true
-22.42237, -1.40028, -4.22726, -501.64318, -2.09441, 0.05000, 25.40142, 21.38090, true
-22.47237, -1.00009, 8.00393, 244.62370, -2.09441, 0.05000, 25.37641, 21.33759, true
-22.50237, -0.59987, 8.00442, 0.00987, -2.09441, 0.05000, 25.36142, 21.31162, true
-22.50237, 0.00000, 11.99733, 79.85809, -2.09440, 0.05000, 25.35642, 21.30296, true
-22.50237, 0.00000, 0.00000, -239.94650, -2.09440, 0.05000, 25.35642, 21.30296, true
-22.50237, 0.00000, 0.00000, 0.00000, -2.09440, 0.05000, 25.35642, 21.30296, false
-22.48238, 0.39974, 7.99482, 159.89646, -2.09439, 0.05000, 25.34642, 21.28565, false
-22.44243, 0.79910, 7.98716, -0.15319, -2.09435, 0.05000, 25.32645, 21.25105, false
-22.38255, 1.19743, 7.96669, -0.40941, -2.09423, 0.05000, 25.29652, 21.19920, false
-22.30287, 1.59361, 7.92360, -0.86183, -2.09394, 0.05000, 25.25670, 21.13018, false
-22.20358, 1.98583, 7.84439, -1.58423, -2.09329, 0.05000, 25.20712, 21.04415, false
-22.08501, 2.37150, 7.71327, -2.62249, -2.09198, 0.05000, 25.14800, 20.94137, false
-21.94765, 2.74719, 7.51387, -3.98787, -2.08956, 0.05000, 25.07975, 20.82217, false
-21.80187, 2.91552, 3.36665, -82.94451, -2.08569, 0.05000, 25.00770, 20.69544, false
-21.65776, 2.88223, -0.66580, -80.64887, -2.08028, 0.05000, 24.93705, 20.56983, false
-21.51551, 2.84503, -0.74409, -1.56594, -2.07318, 0.05000, 24.86810, 20.44541, false
-21.37528, 2.80453, -0.80993, -1.31667, -2.06421, 0.05000, 24.80110, 20.32222, false
-21.23721, 2.76138, -0.86302, -1.06189, -2.05327, 0.05000, 24.73635, 20.20028, false
-21.10140, 2.71625, -0.90263, -0.79218, -2.04026, 0.05000, 24.67410, 20.07957, false
-20.96791, 2.66987, -0.92750, -0.49745, -2.02512, 0.05000, 24.61459, 19.96008, false
-20.83675, 2.62308, -0.93590, -0.16793, -2.00783, 0.05000, 24.55803, 19.84175, false
-20.70791, 2.57679, -0.92568, 0.20434, -1.98842, 0.05000, 24.50461, 19.72450, false
-20.58131, 2.53207, -0.89450, 0.62374, -1.96697, 0.05000, 24.45448, 19.60825, false
-20.45681, 2.49007, -0.84004, 1.08917, -1.94358, 0.05000, 24.40776, 19.49284, false
-20.33420, 2.45205, -0.76042, 1.59228, -1.91845, 0.05000, 24.36452, 19.37812, false
-20.21324, 2.41932, -0.65460, 2.11639, -1.89183, 0.05000, 24.32481, 19.26385, false
-20.09358, 2.39318, -0.52277, 2.63675, -1.86400, 0.05000, 24.28863, 19.14980, false
-19.97484, 2.37485, -0.36663, 3.12267, -1.83533, 0.05000, 24.25593, 19.03565, false
-19.85657, 2.36537, -0.18956, 3.54153, -1.80623, 0.05000, 24.22667, 18.92105, false
-19.73829, 2.36555, 0.00367, 3.86448, -1.77713, 0.05000, 24.20076, 18.80565, false
-19.61949, 2.37592, 0.20728, 4.07231, -1.74852, 0.05000, 24.17810, 18.68904, false
-19.49966, 2.39668, 0.41530, 4.16031, -1.72085, 0.05000, 24.15856, 18.57080, false
-19.37827, 2.42780, 0.62233, 4.14056, -1.69461, 0.05000, 24.14201, 18.45055, false
-19.25482, 2.46902, 0.82438, 4.04113, -1.67026, 0.05000, 24.12828, 18.32786, false
-19.12882, 2.51999, 1.01951, 3.90259, -1.64825, 0.05000, 24.11719, 18.20235, false
-18.99980, 2.58040, 1.20817, 3.77307, -1.62900, 0.05000, 24.10848, 18.07363, false
-18.86730, 2.65007, 1.39334, 3.70351, -1.61296, 0.05000, 24.10187, 17.94129, false
-18.74928, 2.36031, -5.79521, -143.77099, -1.60196, 0.05000, 24.09758, 17.82335, false
