position,velocity,acceleration,jerk,heading,dt,x,y,
0,0,0,0,3.14159,0.05,5.5,16.26397, true
-0.015,-0.3,-6,-120,3.14159,0.05,5.515,16.26397, true
-0.045,-0.6,-6,0,3.14159,0.05,5.545,16.26397, true
-0.09,-0.9,-6,0,3.14159,0.05,5.59,16.26397, true
-0.15,-1.2,-6,0,3.14159,0.05,5.65,16.26397, true
-0.225,-1.5,-6,0,3.14159,0.05,5.725,16.26397, true
-0.315,-1.8,-6,0,3.14159,0.05,5.815,16.26397, true
-0.42,-2.1,-6,0,3.14159,0.05,5.92,16.26397, true
-0.54,-2.4,-6,0,3.14159,0.05,6.04,16.26397, true
-0.675,-2.7,-6,0,3.14159,0.05,6.175,16.26397, true
-0.825,-3,-6,0,3.14159,0.05,6.325,16.26397, true
-0.99,-3.3,-6,0,3.14159,0.05,6.49,16.26397, true
-1.17,-3.6,-6,0,3.14159,0.05,6.67,16.26397, true
-1.365,-3.9,-6,0,3.14159,0.05,6.865,16.26397, true
-1.565,-4,-2,80,3.14159,0.05,7.065,16.26397, true
-1.765,-4,0,40,3.14159,0.05,7.265,16.26397, true
-1.965,-4,0,0,3.14159,0.05,7.465,16.26397, true
-2.165,-4,0,0,3.14159,0.05,7.665,16.26397, true
-2.365,-4,0,0,3.14159,0.05,7.865,16.26397, true
-2.565,-4,0,0,3.14159,0.05,8.065,16.26397, true
-2.765,-4,0,0,3.14159,0.05,8.265,16.26397, true
-2.965,-4,0,0,3.14159,0.05,8.465,16.26397, true
-3.165,-4,0,0,3.14159,0.05,8.665,16.26397, true
-3.365,-4,0,0,3.14159,0.05,8.865,16.26397, true
-3.565,-4,0,0,3.14159,0.05,9.065,16.26397, true
-3.765,-4,0,0,3.14159,0.05,9.265,16.26397, true
-3.965,-4,0,0,3.14159,0.05,9.465,16.26397, true
-4.165,-4,0,0,3.14159,0.05,9.665,16.26397, true
-4.365,-4,0,0,3.14159,0.05,9.865,16.26397, true
-4.565,-4,0.00003,0.00053,3.14159,0.05,10.065,16.26397, true
-4.565,-4,79.99997,1599.99894,3.14159,0.05,10.065,16.26397, true
-4.78,-4.29998,-85.99957,-3319.9908,3.14159,0.05,10.28,16.26397, true
-5.01,-4.59995,-5.99947,1600.00193,3.14159,0.05,10.51,16.26397, true
-5.25499,-4.89993,-5.9995,-0.00056,3.14159,0.05,10.75499,16.26397, true
-5.51499,-5.1999,-5.99956,-0.00121,3.14158,0.05,11.01499,16.26396, true
-5.78998,-5.49989,-5.99965,-0.00186,3.14158,0.05,11.28998,16.26396, true
-6.07998,-5.79988,-5.99978,-0.00249,3.14157,0.05,11.57998,16.26395, true
-6.38497,-6.09987,-5.99993,-0.00306,3.14156,0.05,11.88497,16.26395, true
-6.70496,-6.39988,-6.0001,-0.00352,3.14156,0.05,12.20496,16.26394, true
-7.03996,-6.69989,-6.0003,-0.00383,3.14155,0.05,12.53996,16.26392, true
-7.38995,-6.99992,-6.00049,-0.00394,3.14155,0.05,12.88995,16.26391, true
-7.75495,-7.29995,-6.00068,-0.00376,3.14155,0.05,13.25495,16.26389, true
-8.13495,-7.59999,-6.00084,-0.00325,3.14155,0.05,13.63495,16.26388, true
-8.52995,-7.90004,-6.00096,-0.00231,3.14155,0.05,14.02995,16.26386, true
-8.93996,-8.20009,-6.001,-0.00086,3.14155,0.05,14.43996,16.26384, true
-9.36496,-8.50014,-6.00094,0.0012,3.14156,0.05,14.86496,16.26383, true
-9.80497,-8.80018,-6.00074,0.00397,3.14157,0.05,15.30497,16.26382, true
-10.22998,-8.50018,5.99989,240.01261,3.14158,0.05,15.72998,16.26381, true
-10.63999,-8.20016,6.00037,0.00961,3.14158,0.05,16.13999,16.2638, true
-11.035,-7.90012,6.00084,0.00936,3.14159,0.05,16.535,16.2638, true
-11.415,-7.60006,6.00127,0.00867,3.14159,0.05,16.915,16.2638, true
-11.415,-7.7,152.00116,2919.99774,3.14159,0.05,16.915,16.2638, true
-11.8097,-7.894,-157.87991,-6197.62123,3.14132,0.05,17.3097,16.26377, true
-12.21957,-8.19743,-6.06877,3036.22267,3.1412,0.05,17.71957,16.26359, true
-12.64685,-8.54548,-6.96083,-17.84117,-3.1399,0.05,18.14685,16.26375, true
-13.09401,-8.94331,-7.9567,-19.91738,-3.13333,0.05,18.59401,16.26578, true
-13.56389,-9.39761,-9.08593,-22.58451,-3.11967,0.05,19.06384,16.27257, true
-14.02785,-9.27924,2.36728,229.06408,-3.09769,0.05,19.52756,16.28747, true
-14.4874,-9.19096,1.7657,-12.03163,-3.06598,0.05,19.98631,16.31451, true
-14.94402,-9.13239,1.17131,-11.88774,-3.02318,0.05,20.44083,16.35829, true
-15.39915,-9.10266,0.59457,-11.53472,-2.96797,0.05,20.89119,16.42401, true
-15.85396,-9.09611,0.13105,-9.27047,-2.89928,0.05,21.3363,16.51741, true
-16.3088,-9.09682,-0.01426,-2.90624,-2.81675,0.05,21.77312,16.64417, true
-16.7625,-9.07389,0.45863,9.45774,-2.72148,0.05,22.19587,16.80886, true
-17.21164,-8.98283,1.82126,27.25264,-2.61659,0.05,22.59594,17.01299, true
-17.6506,-8.77926,4.07135,45.00191,-2.50727,0.05,22.9633,17.25329, true
-18.07267,-8.44148,6.75565,53.68595,-2.39969,0.05,23.28933,17.52133, true
-18.47188,-7.98417,9.14624,47.81177,-2.29937,0.05,23.56966,17.80556, true
