position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 5.50000, 17.35417, true
0.01500, -0.30000, -6.00000, 0.00000, 3.14159, 0.05000, 5.51500, 17.35417, true
0.04500, -0.60000, -6.00000, 0.00000, 3.14159, 0.05000, 5.54500, 17.35417, true
0.09000, -0.90000, -6.00000, 0.00000, 3.14159, 0.05000, 5.59000, 17.35417, true
0.15000, -1.20000, -6.00000, 0.00000, 3.14159, 0.05000, 5.65000, 17.35417, true
0.22500, -1.50000, -6.00000, 0.00000, 3.14159, 0.05000, 5.72500, 17.35417, true
0.31500, -1.80000, -6.00000, 0.00000, 3.14159, 0.05000, 5.81500, 17.35417, true
0.42000, -2.10000, -6.00000, 0.00000, 3.14159, 0.05000, 5.92000, 17.35417, true
0.54000, -2.40000, -6.00000, 0.00000, 3.14159, 0.05000, 6.04000, 17.35417, true
0.67500, -2.70000, -6.00000, 0.00000, 3.14159, 0.05000, 6.17500, 17.35417, true
0.82500, -3.00000, 0.00000, 0.00000, 3.14159, 0.05000, 6.32500, 17.35417, true
0.97500, -3.00000, 0.00000, 0.00000, 3.14159, 0.05000, 6.47500, 17.35417, true
1.12500, -3.00000, 0.00000, 0.00000, 3.14159, 0.05000, 6.62500, 17.35417, true
1.27500, -3.00000, 0.00000, 0.00000, 3.14159, 0.05000, 6.77500, 17.35417, true
1.42500, -3.00000, 0.00000, 0.00000, 3.14159, 0.05000, 6.92500, 17.35417, true
1.57500, -3.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.07500, 17.35417, true
1.72500, -3.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.22500, 17.35417, true
1.87500, -3.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.37500, 17.35417, true
2.02500, -3.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.52500, 17.35417, true
2.17500, -3.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.67500, 17.35417, true
2.32500, -3.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.82500, 17.35417, true
2.47500, -3.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.97500, 17.35417, true
2.62500, -3.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.12500, 17.35417, true
2.77500, -3.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.27500, 17.35417, true
2.92500, -3.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.42500, 17.35417, true
3.07500, -3.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.57500, 17.35417, true
3.22500, -3.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.72500, 17.35417, true
3.37500, -3.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.87500, 17.35417, true
3.52500, -3.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.02500, 17.35417, true
3.67500, -3.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.17500, 17.35417, true
