position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 5.50000, 16.26397, true
-0.01500, -0.30000, -6.00000, -120.00000, 3.14159, 0.05000, 5.51500, 16.26397, true
-0.04500, -0.60000, -6.00000, -0.00000, 3.14159, 0.05000, 5.54500, 16.26397, true
-0.09000, -0.90000, -6.00000, 0.00000, 3.14159, 0.05000, 5.59000, 16.26397, true
-0.15000, -1.20000, -6.00000, 0.00000, 3.14159, 0.05000, 5.65000, 16.26397, true
-0.22500, -1.50000, -6.00000, 0.00000, 3.14159, 0.05000, 5.72500, 16.26397, true
-0.31500, -1.80000, -6.00000, -0.00000, 3.14159, 0.05000, 5.81500, 16.26397, true
-0.42000, -2.10000, -6.00000, -0.00000, 3.14159, 0.05000, 5.92000, 16.26397, true
-0.54000, -2.40000, -6.00000, 0.00000, 3.14159, 0.05000, 6.04000, 16.26397, true
-0.67500, -2.70000, -6.00000, 0.00000, 3.14159, 0.05000, 6.17500, 16.26397, true
-0.82500, -3.00000, -6.00000, -0.00000, 3.14159, 0.05000, 6.32500, 16.26397, true
-0.99000, -3.30000, -6.00000, -0.00000, 3.14159, 0.05000, 6.49000, 16.26397, true
-1.17000, -3.60000, -6.00000, -0.00000, 3.14159, 0.05000, 6.67000, 16.26397, true
-1.36500, -3.90000, -6.00000, 0.00000, 3.14159, 0.05000, 6.86500, 16.26397, true
-1.57500, -4.20000, -6.00000, -0.00000, 3.14159, 0.05000, 7.07500, 16.26397, true
-1.80000, -4.50000, -6.00000, 0.00000, 3.14159, 0.05000, 7.30000, 16.26397, true
-2.04000, -4.80000, -6.00000, -0.00000, 3.14159, 0.05000, 7.54000, 16.26397, true
-2.29000, -5.00000, -4.00000, 40.00000, 3.14159, 0.05000, 7.79000, 16.26397, true
-2.54000, -5.00000, -0.00000, 80.00000, 3.14159, 0.05000, 8.04000, 16.26397, true
-2.79000, -5.00000, -0.00000, 0.00000, 3.14159, 0.05000, 8.29000, 16.26397, true
-3.04000, -5.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.54000, 16.26397, true
-3.29000, -5.00000, -0.00000, -0.00000, 3.14159, 0.05000, 8.79000, 16.26397, true
-3.54000, -5.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.04000, 16.26397, true
-3.79000, -5.00000, -0.00000, -0.00000, 3.14159, 0.05000, 9.29000, 16.26397, true
-4.04000, -5.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.54000, 16.26397, true
-4.29000, -5.00000, -0.00000, -0.00000, 3.14159, 0.05000, 9.79000, 16.26397, true
-4.54003, -5.00053, -0.01069, -0.21379, -3.14157, 0.05000, 10.04003, 16.26397, true
-4.54003, -0.00000, 100.01069, 2000.42758, -3.14157, 0.05000, 10.04003, 16.26397, true
-4.80652, -5.32986, -106.59710, -4132.15586, -3.14020, 0.05000, 10.30652, 16.26411, true
-5.09047, -5.67895, -6.98188, 1992.30451, -3.13658, 0.05000, 10.59047, 16.26497, true
-5.39210, -6.03266, -7.07416, -1.84560, -3.13049, 0.05000, 10.89209, 16.26734, true
-5.71164, -6.39088, -7.16445, -1.80579, -3.12174, 0.05000, 11.21160, 16.27223, true
-6.04932, -6.75348, -7.25194, -1.74982, -3.11011, 0.05000, 11.54916, 16.28083, true
-6.40533, -7.12021, -7.33473, -1.65585, -3.09542, 0.05000, 11.90491, 16.29458, true
-6.77986, -7.49068, -7.40943, -1.49399, -3.07750, 0.05000, 12.27887, 16.31514, true
-7.17307, -7.86422, -7.47073, -1.22605, -3.05620, 0.05000, 12.67099, 16.34442, true
-7.58506, -8.23978, -7.51108, -0.80701, -3.03144, 0.05000, 13.08102, 16.38456, true
-8.01585, -8.61580, -7.52055, -0.18932, -3.00318, 0.05000, 13.50850, 16.43788, true
-8.44907, -8.66443, -0.97263, 130.95847, -2.97269, 0.05000, 13.93663, 16.50412, true
-8.88430, -8.70452, -0.80166, 3.41939, -2.94036, 0.05000, 14.36443, 16.58415, true
-9.32105, -8.73502, -0.61015, 3.83007, -2.90663, 0.05000, 14.79085, 16.67862, true
-9.75881, -8.75508, -0.40108, 4.18154, -2.87198, 0.05000, 15.21475, 16.78786, true
-10.19701, -8.76409, -0.18015, 4.41857, -2.83692, 0.05000, 15.63501, 16.91196, true
-10.63510, -8.76185, 0.04477, 4.49841, -2.80196, 0.05000, 16.05056, 17.05068, true
-11.07253, -8.74861, 0.26472, 4.39890, -2.76761, 0.05000, 16.46043, 17.20349, true
-11.50879, -8.72507, 0.47085, 4.12263, -2.73433, 0.05000, 16.86381, 17.36964, true
-11.94340, -8.69229, 0.65563, 3.69564, -2.70257, 0.05000, 17.26007, 17.54816, true
-12.37598, -8.65160, 0.81368, 3.16097, -2.67267, 0.05000, 17.64880, 17.73793, true
-12.80620, -8.60450, 0.94214, 2.56925, -2.64493, 0.05000, 18.02982, 17.93773, true
-13.23383, -8.55247, 1.04061, 1.96927, -2.61958, 0.05000, 18.40312, 18.14631, true
-13.65867, -8.49693, 1.11065, 1.40086, -2.59678, 0.05000, 18.76890, 18.36241, true
-14.08063, -8.43917, 1.15521, 0.89113, -2.57663, 0.05000, 19.12750, 18.58479, true
-14.49965, -8.38028, 1.17791, 0.45402, -2.55919, 0.05000, 19.47939, 18.81228, true
-14.91570, -8.32115, 1.18251, 0.09212, -2.54446, 0.05000, 19.82511, 19.04375, true
-15.32883, -8.26253, 1.17249, -0.20051, -2.53241, 0.05000, 20.16529, 19.27817, true
-15.73908, -8.20499, 1.15073, -0.43524, -2.52301, 0.05000, 20.50058, 19.51456, true
-16.14653, -8.14902, 1.11941, -0.62631, -2.51617, 0.05000, 20.83168, 19.75204, true
-16.55128, -8.09502, 1.07997, -0.78884, -2.51182, 0.05000, 21.15925, 19.98977, true
-16.95345, -8.04337, 1.03309, -0.93753, -2.50983, 0.05000, 21.48399, 20.22702, true
-17.35317, -7.99443, 0.97880, -1.08583, -2.51008, 0.05000, 21.80654, 20.46310, true
-17.75060, -7.94860, 0.91653, -1.24538, -2.51244, 0.05000, 22.12756, 20.69741, true
-18.14592, -7.90634, 0.84525, -1.42568, -2.51674, 0.05000, 22.44765, 20.92940, true
-18.52461, -7.57374, 6.65195, 116.13403, -2.52253, 0.05000, 22.75539, 21.15007, true
-18.88707, -7.24920, 6.49082, -3.22258, -2.52944, 0.05000, 23.05129, 21.35941, true
-19.23367, -6.93211, 6.34171, -2.98226, -2.53714, 0.05000, 23.33571, 21.55751, true
-19.56476, -6.62183, 6.20569, -2.72025, -2.54531, 0.05000, 23.60889, 21.74457, true
-19.88065, -6.31764, 6.08387, -2.43644, -2.55367, 0.05000, 23.87099, 21.92088, true
-20.18158, -6.01878, 5.97721, -2.13322, -2.56198, 0.05000, 24.12209, 22.08675, true
-20.46781, -5.72445, 5.88644, -1.81543, -2.57003, 0.05000, 24.36219, 22.24255, true
-20.73950, -5.43386, 5.81195, -1.48978, -2.57765, 0.05000, 24.59126, 22.38865, true
-20.99681, -5.14617, 5.75375, -1.16410, -2.58471, 0.05000, 24.80921, 22.52541, true
-21.23984, -4.86060, 5.71142, -0.84655, -2.59110, 0.05000, 25.01594, 22.65320, true
-21.46866, -4.57639, 5.68417, -0.54490, -2.59677, 0.05000, 25.21129, 22.77233, true
-21.68330, -4.29285, 5.67087, -0.26604, -2.60168, 0.05000, 25.39514, 22.88312, true
-21.88377, -4.00934, 5.67009, -0.01557, -2.60584, 0.05000, 25.56731, 22.98580, true
-22.07003, -3.72533, 5.68021, 0.20224, -2.60927, 0.05000, 25.72764, 23.08061, true
-22.24205, -3.44036, 5.69943, 0.38452, -2.61200, 0.05000, 25.87598, 23.16771, true
-22.39975, -3.15406, 5.72591, 0.52966, -2.61411, 0.05000, 26.01217, 23.24723, true
-22.54306, -2.86617, 5.75778, 0.63722, -2.61566, 0.05000, 26.13605, 23.31926, true
-22.67189, -2.57652, 5.79316, 0.70774, -2.61674, 0.05000, 26.24751, 23.38387, true
-22.78614, -2.28500, 5.83029, 0.74263, -2.61743, 0.05000, 26.34640, 23.44109, true
-22.88572, -1.99163, 5.86749, 0.74399, -2.61781, 0.05000, 26.43262, 23.49091, true
-22.97054, -1.69647, 5.90322, 0.71454, -2.61797, 0.05000, 26.50608, 23.53333, true
-22.99070, -0.40308, 25.86775, 399.29052, -2.61799, 0.05000, 26.52353, 23.54341, true
-23.04566, -1.09925, -13.92342, -795.82329, -2.61795, 0.05000, 26.47593, 23.51592, true
-23.08564, -0.79962, 5.99250, 398.31847, -2.61794, 0.05000, 26.44131, 23.49593, true
-23.11065, -0.50008, 5.99096, -0.03081, -2.61794, 0.05000, 26.41965, 23.48343, true
-23.11065, 0.00000, 10.00153, 80.21127, -2.61795, 0.05000, 26.41099, 23.47842, true
-23.11065, 0.00000, 0.00000, -200.03056, -2.61795, 0.05000, 26.41099, 23.47842, true
-23.11065, 0.00000, 0.00000, 0.00000, -2.61795, 0.05000, 26.41099, 23.47842, false
-23.09563, 0.30032, 6.00641, 120.12821, -2.61796, 0.05000, 26.39798, 23.47092, false
-23.06557, 0.60118, 6.01729, 0.21752, -2.61801, 0.05000, 26.37195, 23.45589, false
-23.02040, 0.90348, 6.04591, 0.57251, -2.61817, 0.05000, 26.33283, 23.43330, false
-22.95996, 1.20875, 6.10549, 1.19156, -2.61858, 0.05000, 26.28048, 23.40310, false
-22.88398, 1.51948, 6.21454, 2.18109, -2.61947, 0.05000, 26.21464, 23.36518, false
-22.79202, 1.83927, 6.39566, 3.62232, -2.62127, 0.05000, 26.13490, 23.31938, false
-22.68858, 2.06876, 4.58986, -36.11607, -2.62442, 0.05000, 26.04507, 23.26809, false
-22.58356, 2.10047, 0.63417, -79.11383, -2.62903, 0.05000, 25.95367, 23.21636, false
-22.47669, 2.13738, 0.73836, 2.08385, -2.63533, 0.05000, 25.86038, 23.16423, false
-22.36772, 2.17936, 0.83957, 2.02426, -2.64356, 0.05000, 25.76487, 23.11177, false
-22.25641, 2.22633, 0.93932, 1.99495, -2.65394, 0.05000, 25.66681, 23.05909, false
-22.14249, 2.27827, 1.03875, 1.98860, -2.66670, 0.05000, 25.56585, 23.00634, false
-22.02573, 2.33519, 1.13845, 1.99394, -2.68208, 0.05000, 25.46161, 22.95373, false
-21.90588, 2.39710, 1.23818, 1.99473, -2.70029, 0.05000, 25.35372, 22.90153, false
-21.78268, 2.46393, 1.33661, 1.96846, -2.72157, 0.05000, 25.24178, 22.85007, false
-21.65591, 2.53547, 1.43086, 1.88502, -2.74613, 0.05000, 25.12541, 22.79978, false
-21.52534, 2.61128, 1.51615, 1.70588, -2.77417, 0.05000, 25.00424, 22.75115, false
-21.39082, 2.69055, 1.58538, 1.38461, -2.80585, 0.05000, 24.87796, 22.70479, false
-21.25222, 2.77199, 1.62890, 0.87032, -2.84126, 0.05000, 24.74632, 22.66142, false
-21.10953, 2.85373, 1.63468, 0.11563, -2.88042, 0.05000, 24.60923, 22.62185, false
-20.96287, 2.93319, 1.58922, -0.90924, -2.92323, 0.05000, 24.46677, 22.58700, false
-20.81251, 3.00716, 1.47937, -2.19690, -2.96943, 0.05000, 24.31927, 22.55780, false
-20.65892, 3.07192, 1.29528, -3.68183, -3.01861, 0.05000, 24.16735, 22.53519, false
-20.50274, 3.12361, 1.03389, -5.22776, -3.07016, 0.05000, 24.01191, 22.52002, false
-20.34480, 3.15872, 0.70211, -6.63566, -3.12332, 0.05000, 23.85413, 22.51292, false
-20.18607, 3.17462, 0.31805, -7.68110, 3.10598, 0.05000, 23.69541, 22.51430, false
-20.02757, 3.17009, -0.09072, -8.17544, 3.05230, 0.05000, 23.53721, 22.52420, false
-19.87029, 3.14548, -0.49212, -8.02811, 2.99975, 0.05000, 23.38099, 22.54235, false
-19.71516, 3.10268, -0.85609, -7.27934, 2.94916, 0.05000, 23.22802, 22.56817, false
-19.56293, 3.04466, -1.16039, -6.08592, 2.90123, 0.05000, 23.07934, 22.60088, false
-19.41418, 2.97497, -1.39377, -4.66767, 2.85651, 0.05000, 22.93571, 22.63954, false
-19.26932, 2.89717, -1.55591, -3.24271, 2.81535, 0.05000, 22.79757, 22.68316, false
-19.12860, 2.81443, -1.65487, -1.97920, 2.77799, 0.05000, 22.66515, 22.73078, false
-18.99213, 2.72925, -1.70368, -0.97620, 2.74454, 0.05000, 22.53845, 22.78146, false
-18.85997, 2.64339, -1.71716, -0.26973, 2.71503, 0.05000, 22.41734, 22.83440, false
-18.73207, 2.55790, -1.70976, 0.14795, 2.68944, 0.05000, 22.30161, 22.88883, false
