position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 5.50000, 18.44437, true
-0.02000, -0.40000, -8.00000, -160.00000, 3.14159, 0.05000, 5.52000, 18.44437, true
-0.06000, -0.80000, -8.00000, 0.00000, 3.14159, 0.05000, 5.56000, 18.44437, true
-0.12000, -1.20000, -8.00000, -0.00000, 3.14159, 0.05000, 5.62000, 18.44437, true
-0.20000, -1.60000, -8.00000, 0.00000, 3.14159, 0.05000, 5.70000, 18.44437, true
-0.30000, -2.00000, -8.00000, -0.00000, 3.14159, 0.05000, 5.80000, 18.44437, true
-0.42000, -2.40000, -8.00000, -0.00000, 3.14159, 0.05000, 5.92000, 18.44437, true
-0.56000, -2.80000, -8.00000, 0.00000, 3.14159, 0.05000, 6.06000, 18.44437, true
-0.72000, -3.20000, -8.00000, 0.00000, 3.14159, 0.05000, 6.22000, 18.44437, true
-0.90000, -3.60000, -8.00000, -0.00000, 3.14159, 0.05000, 6.40000, 18.44437, true
-1.10000, -4.00000, -8.00000, -0.00000, 3.14159, 0.05000, 6.60000, 18.44437, true
-1.32000, -4.40000, -8.00000, -0.00000, 3.14159, 0.05000, 6.82000, 18.44437, true
-1.56000, -4.80000, -8.00000, -0.00000, 3.14159, 0.05000, 7.06000, 18.44437, true
-1.82000, -5.20000, -8.00000, 0.00000, 3.14159, 0.05000, 7.32000, 18.44437, true
-2.10000, -5.60000, -8.00000, 0.00000, 3.14159, 0.05000, 7.60000, 18.44437, true
-2.40000, -6.00000, -8.00000, -0.00000, 3.14159, 0.05000, 7.90000, 18.44437, true
-2.70000, -6.00000, -0.00000, 160.00000, 3.14159, 0.05000, 8.20000, 18.44437, true
-3.00000, -6.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.50000, 18.44437, true
-3.30000, -6.00000, -0.00000, -0.00000, 3.14159, 0.05000, 8.80000, 18.44437, true
-3.60000, -6.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.10000, 18.44437, true
-3.90000, -6.00000, 0.00000, -0.00000, 3.14159, 0.05000, 9.40000, 18.44437, true
-4.20000, -6.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.70000, 18.44437, true
-4.50000, -6.00000, 0.00000, 0.00000, 3.14159, 0.05000, 10.00000, 18.44437, true
-4.50000, -0.00000, 120.00000, 2400.00000, 3.14159, 0.05000, 10.00000, 18.44437, true
-4.81833, -6.36659, -127.33175, -4946.63499, -3.14006, 0.05000, 10.31833, 18.44453, true
-5.15308, -6.69503, -6.56878, 2415.25931, -3.13525, 0.05000, 10.65308, 18.44576, true
-5.50390, -7.01649, -6.42917, 2.79228, -3.12683, 0.05000, 11.00388, 18.44936, true
-5.87046, -7.33115, -6.29340, 2.71549, -3.11450, 0.05000, 11.37036, 18.45693, true
-6.25243, -7.63937, -6.16429, 2.58209, -3.09797, 0.05000, 11.75210, 18.47031, true
-6.63070, -7.56537, 1.48006, 152.88694, -3.07804, 0.05000, 12.12983, 18.49046, true
-7.00555, -7.49703, 1.36672, -2.26673, -3.05498, 0.05000, 12.50363, 18.51848, true
-7.37729, -7.43471, 1.24639, -2.40659, -3.02906, 0.05000, 12.87354, 18.55535, true
-7.74624, -7.37909, 1.11248, -2.67813, -3.00060, 0.05000, 13.23954, 18.60191, true
-8.11279, -7.33107, 0.96024, -3.04483, -2.96993, 0.05000, 13.60163, 18.65892, true
-8.47738, -7.29171, 0.78722, -3.46052, -2.93746, 0.05000, 13.95981, 18.72697, true
-8.84048, -7.26203, 0.59370, -3.87036, -2.90363, 0.05000, 14.31409, 18.80654, true
-9.20263, -7.24288, 0.38292, -4.21560, -2.86892, 0.05000, 14.66450, 18.89798, true
-9.56437, -7.23484, 0.16084, -4.44150, -2.83385, 0.05000, 15.01111, 19.00149, true
-9.92627, -7.23807, -0.06449, -4.50663, -2.79892, 0.05000, 15.35404, 19.11713, true
