position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 5.50000, 9.70000, true
0.03000, -0.60000, -12.00000, 0.00000, 3.14159, 0.05000, 5.53000, 9.70000, true
0.09000, -1.20000, -12.00000, 0.00000, 3.14159, 0.05000, 5.59000, 9.70000, true
0.18000, -1.80000, -12.00000, 0.00000, 3.14159, 0.05000, 5.68000, 9.70000, true
0.30000, -2.40000, -12.00000, 0.00000, 3.14159, 0.05000, 5.80000, 9.70000, true
0.45000, -3.00000, -12.00000, 0.00000, 3.14159, 0.05000, 5.95000, 9.70000, true
0.63000, -3.60000, -12.00000, 0.00000, 3.14159, 0.05000, 6.13000, 9.70000, true
0.83000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 6.33000, 9.70000, true
1.03000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 6.53000, 9.70000, true
1.23000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 6.73000, 9.70000, true
1.43000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 6.93000, 9.70000, true
1.63000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.13000, 9.70000, true
1.83000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.33000, 9.70000, true
2.03000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.53000, 9.70000, true
2.23000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.73000, 9.70000, true
2.43000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.93000, 9.70000, true
2.63000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.13000, 9.70000, true
2.83000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.33000, 9.70000, true
3.03000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.53000, 9.70000, true
3.23000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.73000, 9.70000, true
3.43000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.93000, 9.70000, true
3.63000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.13000, 9.70000, true
3.83000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.33000, 9.70000, true
4.03000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.53000, 9.70000, true
4.23000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.73000, 9.70000, true
4.43000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.93000, 9.70000, true
4.23000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.73000, 9.70000, true
4.43000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.93000, 9.70000, true
4.63000, -4.00000, 0.00000, 0.00000, -3.14144, 0.05000, 10.13000, 9.70001, true
4.83000, -4.00000, 0.00000, 0.00000, -3.14067, 0.05000, 10.33000, 9.70010, true
5.03000, -4.00000, 0.00000, 0.00000, -3.13934, 0.05000, 10.53000, 9.70041, true
5.23000, -4.00000, 0.00000, 0.00000, -3.13756, 0.05000, 10.73000, 9.70104, true
5.43000, -4.00000, 0.00000, 0.00000, -3.13544, 0.05000, 10.93000, 9.70205, true
5.63000, -4.00000, 0.00000, 0.00000, -3.13307, 0.05000, 11.12999, 9.70352, true
5.83000, -4.00000, 0.00000, 0.00000, -3.13057, 0.05000, 11.32998, 9.70547, true
6.03000, -4.00000, 0.00000, 0.00000, -3.12800, 0.05000, 11.52997, 9.70793, true
6.23000, -4.00000, 0.00000, 0.00000, -3.12547, 0.05000, 11.72994, 9.71090, true
6.43000, -4.00000, 0.00000, 0.00000, -3.12306, 0.05000, 11.92991, 9.71437, true
6.63000, -4.00000, 0.00000, 0.00000, -3.12083, 0.05000, 12.12987, 9.71830, true
6.83000, -4.00000, 0.00000, 0.00000, -3.11886, 0.05000, 12.32983, 9.72266, true
7.03000, -4.00000, 0.00000, 0.00000, -3.11722, 0.05000, 12.52977, 9.72737, true
7.23000, -4.00000, 0.00000, 0.00000, -3.11597, 0.05000, 12.72971, 9.73238, true
7.43000, -4.00000, 0.00000, 0.00000, -3.11517, 0.05000, 12.92964, 9.73759, true
7.63000, -4.00000, 0.00000, 0.00000, -3.11488, 0.05000, 13.12957, 9.74291, true
7.83000, -4.00000, 0.00000, 0.00000, -3.11516, 0.05000, 13.32950, 9.74824, true
8.03000, -4.00000, 0.00000, 0.00000, -3.11605, 0.05000, 13.52943, 9.75344, true
8.23000, -4.00000, 0.00000, 0.00000, -3.11761, 0.05000, 13.72937, 9.75841, true
8.43000, -4.00000, 0.00000, 0.00000, -3.11988, 0.05000, 13.92932, 9.76299, true
8.63000, -4.00000, 0.00000, 0.00000, -3.12293, 0.05000, 14.12928, 9.76704, true
8.83000, -4.00000, 0.00000, 0.00000, -3.12679, 0.05000, 14.32925, 9.77040, true
9.03000, -4.00000, 0.00000, 0.00000, -3.13152, 0.05000, 14.52923, 9.77290, true
9.23000, -4.00000, 0.00000, 0.00000, -3.13718, 0.05000, 14.72923, 9.77437, true
9.43000, -4.00000, 0.00000, 0.00000, 3.13939, 0.05000, 14.92923, 9.77460, true
9.63000, -4.00000, 0.00000, 0.00000, 3.13174, 0.05000, 15.12922, 9.77342, true
9.83000, -4.00000, 0.00000, 0.00000, 3.12301, 0.05000, 15.32920, 9.77059, true
10.03000, -4.00000, 0.00000, 0.00000, 3.11315, 0.05000, 15.52915, 9.76591, true
10.23000, -4.00000, 0.00000, 0.00000, 3.10210, 0.05000, 15.72903, 9.75914, true
10.43000, -4.00000, 0.00000, 0.00000, 3.08979, 0.05000, 15.92882, 9.75003, true
10.63000, -4.00000, 0.00000, 0.00000, 3.07617, 0.05000, 16.12848, 9.73834, true
10.83000, -4.00000, 0.00000, 0.00000, 3.06119, 0.05000, 16.32795, 9.72379, true
11.03000, -4.00000, 0.00000, 0.00000, 3.04477, 0.05000, 16.52716, 9.70612, true
11.23000, -4.00000, 0.00000, 0.00000, 3.02688, 0.05000, 16.72604, 9.68503, true
11.43000, -4.00000, 0.00000, 0.00000, 3.00745, 0.05000, 16.92450, 9.66023, true
11.63000, -4.00000, 0.00000, 0.00000, 2.98645, 0.05000, 17.12241, 9.63143, true
11.83000, -4.00000, 0.00000, 0.00000, 2.96385, 0.05000, 17.31965, 9.59833, true
12.03000, -4.00000, 0.00000, 0.00000, 2.93961, 0.05000, 17.51605, 9.56061, true
12.23000, -4.00000, 0.00000, 0.00000, 2.91374, 0.05000, 17.71145, 9.51798, true
12.43000, -4.00000, 0.00000, 0.00000, 2.88626, 0.05000, 17.90564, 9.47016, true
12.63000, -4.00000, 0.00000, 0.00000, 2.85720, 0.05000, 18.09841, 9.41687, true
12.83000, -4.00000, 0.00000, 0.00000, 2.82664, 0.05000, 18.28949, 9.35785, true
13.03000, -4.00000, 0.00000, 0.00000, 2.79467, 0.05000, 18.47864, 9.29289, true
13.23000, -4.00000, 0.00000, 0.00000, 2.76143, 0.05000, 18.66557, 9.22180, true
13.43000, -4.00000, 0.00000, 0.00000, 2.72707, 0.05000, 18.84998, 9.14442, true
