position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 5.50000, 9.70000, true
0.03000, -0.60000, -12.00000, 0.00000, 3.14159, 0.05000, 5.53000, 9.70000, true
0.09000, -1.20000, -12.00000, 0.00000, 3.14159, 0.05000, 5.59000, 9.70000, true
0.18000, -1.80000, -12.00000, 0.00000, 3.14159, 0.05000, 5.68000, 9.70000, true
0.30000, -2.40000, -12.00000, 0.00000, 3.14159, 0.05000, 5.80000, 9.70000, true
0.45000, -3.00000, -12.00000, 0.00000, 3.14159, 0.05000, 5.95000, 9.70000, true
0.63000, -3.60000, -12.00000, 0.00000, 3.14159, 0.05000, 6.13000, 9.70000, true
0.84000, -4.20000, -12.00000, 0.00000, 3.14159, 0.05000, 6.34000, 9.70000, true
1.08000, -4.80000, -12.00000, 0.00000, 3.14159, 0.05000, 6.58000, 9.70000, true
1.35000, -5.40000, -12.00000, 0.00000, 3.14159, 0.05000, 6.85000, 9.70000, true
1.65000, -6.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.15000, 9.70000, true
1.95000, -6.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.45000, 9.70000, true
2.25000, -6.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.75000, 9.70000, true
2.55000, -6.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.05000, 9.70000, true
2.85000, -6.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.35000, 9.70000, true
3.15000, -6.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.65000, 9.70000, true
3.45000, -6.00000, 0.00000, 0.00000, 3.14159, 0.05000, 8.95000, 9.70000, true
3.75000, -6.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.25000, 9.70000, true
4.05000, -6.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.55000, 9.70000, true
4.35000, -6.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.85000, 9.70000, true
4.05000, -6.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.55000, 9.70000, true
4.38000, -6.60000, -12.00000, 0.00000, 3.14159, 0.05000, 9.88000, 9.70000, true
4.74000, -7.20000, -12.00000, 0.00000, 3.14012, 0.05000, 10.24000, 9.69988, true
5.13000, -7.80000, -12.00000, 0.00000, 3.13195, 0.05000, 10.62999, 9.69793, true
5.55000, -8.40000, -12.00000, 0.00000, 3.11630, 0.05000, 11.04993, 9.69082, true
6.00000, -9.00000, -12.00000, 0.00000, 3.09306, 0.05000, 11.49962, 9.67444, true
6.48000, -9.60000, -12.00000, 0.00000, 3.06258, 0.05000, 11.97864, 9.64405, true
6.98000, -10.00000, 0.00000, 0.00000, 3.02653, 0.05000, 12.47627, 9.59575, true
7.48000, -10.00000, 0.00000, 0.00000, 2.98809, 0.05000, 12.97175, 9.52888, true
7.98000, -10.00000, 0.00000, 0.00000, 2.94926, 0.05000, 13.46426, 9.44283, true
8.48000, -10.00000, 0.00000, 0.00000, 2.91185, 0.05000, 13.95312, 9.33801, true
8.98000, -10.00000, 0.00000, 0.00000, 2.87742, 0.05000, 14.43789, 9.21564, true
9.48000, -10.00000, 0.00000, 0.00000, 2.84726, 0.05000, 14.91844, 9.07763, true
9.98000, -10.00000, 0.00000, 0.00000, 2.82232, 0.05000, 15.39501, 8.92641, true
10.48000, -10.00000, 0.00000, 0.00000, 2.80328, 0.05000, 15.86814, 8.76471, true
10.98000, -10.00000, 0.00000, 0.00000, 2.79058, 0.05000, 16.33864, 8.59552, true
11.48000, -10.00000, 0.00000, 0.00000, 2.78447, 0.05000, 16.80753, 8.42190, true
11.98000, -10.00000, 0.00000, 0.00000, 2.78507, 0.05000, 17.27593, 8.24699, true
12.48000, -10.00000, 0.00000, 0.00000, 2.79236, 0.05000, 17.74503, 8.07393, true
12.98000, -10.00000, 0.00000, 0.00000, 2.80622, 0.05000, 18.21592, 7.90585, true
13.48000, -10.00000, 0.00000, 0.00000, 2.82635, 0.05000, 18.68961, 7.74581, true
13.98000, -10.00000, 0.00000, 0.00000, 2.85227, 0.05000, 19.16686, 7.59674, true
14.48000, -10.00000, 0.00000, 0.00000, 2.88327, 0.05000, 19.64816, 7.46136, true
14.98000, -10.00000, 0.00000, 0.00000, 2.91833, 0.05000, 20.13368, 7.34199, true
15.45000, -9.40000, 12.00000, 0.00000, 2.95381, 0.05000, 20.59375, 7.24601, true
15.89000, -8.80000, 12.00000, 0.00000, 2.98802, 0.05000, 21.02733, 7.17127, true
16.30000, -8.20000, 12.00000, 0.00000, 3.01966, 0.05000, 21.43343, 7.11500, true
16.68000, -7.60000, 12.00000, 0.00000, 3.04779, 0.05000, 21.81122, 7.07414, true
17.03000, -7.00000, 12.00000, 0.00000, 3.07192, 0.05000, 22.16005, 7.04562, true
17.35000, -6.40000, 12.00000, 0.00000, 3.09184, 0.05000, 22.47947, 7.02659, true
17.64000, -5.80000, 12.00000, 0.00000, 3.10768, 0.05000, 22.76922, 7.01452, true
17.90000, -5.20000, 12.00000, 0.00000, 3.11973, 0.05000, 23.02912, 7.00731, true
18.13000, -4.60000, 12.00000, 0.00000, 3.12846, 0.05000, 23.25908, 7.00333, true
18.33000, -4.00000, 12.00000, 0.00000, 3.13440, 0.05000, 23.45907, 7.00132, true
18.50000, -3.40000, 12.00000, 0.00000, 3.13813, 0.05000, 23.62907, 7.00043, true
18.64000, -2.80000, 12.00000, 0.00000, 3.14023, 0.05000, 23.76907, 7.00011, true
18.75000, -2.20000, 12.00000, 0.00000, 3.14121, 0.05000, 23.87907, 7.00002, true
18.83000, -1.60000, 12.00000, 0.00000, 3.14155, 0.05000, 23.95907, 7.00000, true
18.88000, -1.00000, 12.00000, 0.00000, 3.14159, 0.05000, 24.00000, 7.00000, true
18.90000, -0.40000, 12.00000, 0.00000, 3.14159, 0.05000, 24.00000, 7.00000, true
18.89000, 0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 24.00000, 7.00000, true
18.89000, 0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 24.00000, 7.00000, true
