position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 0.000, 0.020, 5.500, 14.500
0.003, 0.160, 8.000, 0.000, 0.000, 0.020, 5.503, 14.500
0.010, 0.320, 8.000, 0.000, 0.000, 0.020, 5.510, 14.500
0.019, 0.480, 8.000, 0.000, 0.000, 0.020, 5.519, 14.500
0.032, 0.640, 8.000, 0.000, 0.000, 0.020, 5.532, 14.500
0.048, 0.800, 8.000, 0.000, 0.000, 0.020, 5.548, 14.500
0.067, 0.960, 8.000, 0.000, 0.000, 0.020, 5.567, 14.500
0.090, 1.120, 8.000, 0.000, 0.000, 0.020, 5.590, 14.500
0.115, 1.280, 8.000, 0.000, 0.000, 0.020, 5.615, 14.500
0.144, 1.440, 8.000, 0.000, 0.000, 0.020, 5.644, 14.500
0.176, 1.600, 8.000, 0.000, 0.000, 0.020, 5.676, 14.500
0.211, 1.760, 8.000, 0.000, 0.000, 0.020, 5.711, 14.500
0.250, 1.920, 8.000, 0.000, 0.000, 0.020, 5.750, 14.500
0.291, 2.080, 8.000, 0.000, 0.000, 0.020, 5.791, 14.500
0.336, 2.240, 8.000, 0.000, 0.000, 0.020, 5.836, 14.500
0.384, 2.400, 8.000, 0.000, 0.000, 0.020, 5.884, 14.500
0.435, 2.560, 8.000, 0.000, 0.000, 0.020, 5.935, 14.500
0.490, 2.720, 8.000, 0.000, 0.000, 0.020, 5.990, 14.500
0.547, 2.880, 8.000, 0.000, 0.000, 0.020, 6.047, 14.500
0.608, 3.040, 8.000, 0.000, 0.000, 0.020, 6.108, 14.500
0.672, 3.200, 8.000, 0.000, 0.000, 0.020, 6.172, 14.500
0.739, 3.360, 8.000, 0.000, 0.000, 0.020, 6.239, 14.500
0.810, 3.520, 8.000, 0.000, 0.000, 0.020, 6.310, 14.500
0.883, 3.680, 8.000, 0.000, 0.000, 0.020, 6.383, 14.500
0.960, 3.840, 8.000, 0.000, 0.000, 0.020, 6.460, 14.500
1.040, 4.000, 8.000, 0.000, 0.000, 0.020, 6.540, 14.500
1.123, 4.160, 8.000, 0.000, 0.000, 0.020, 6.623, 14.500
1.210, 4.320, 8.000, 0.000, 0.000, 0.020, 6.710, 14.500
1.299, 4.480, 8.000, 0.000, 0.000, 0.020, 6.799, 14.500
1.392, 4.640, 8.000, 0.000, 0.000, 0.020, 6.892, 14.500
1.488, 4.800, 8.000, 0.000, 0.000, 0.020, 6.988, 14.500
1.587, 4.960, 8.000, 0.000, 0.000, 0.020, 7.087, 14.500
1.690, 5.120, 8.000, 0.000, 0.000, 0.020, 7.190, 14.500
1.795, 5.280, 8.000, 0.000, 0.000, 0.020, 7.295, 14.500
1.904, 5.440, 8.000, 0.000, 0.000, 0.020, 7.404, 14.500
2.016, 5.600, 8.000, 0.000, 0.000, 0.020, 7.516, 14.500
2.131, 5.760, 8.000, 0.000, 0.000, 0.020, 7.631, 14.500
2.250, 5.920, 8.000, 0.000, 0.000, 0.020, 7.750, 14.500
2.370, 6.000, 0.000, 0.000, 0.000, 0.020, 7.870, 14.500
2.490, 6.000, 0.000, 0.000, 0.000, 0.020, 7.990, 14.500
2.610, 6.000, 0.000, 0.000, 0.000, 0.020, 8.110, 14.500
2.730, 6.000, 0.000, 0.000, 0.000, 0.020, 8.230, 14.500
2.850, 6.000, 0.000, 0.000, 0.000, 0.020, 8.350, 14.500
2.970, 6.000, 0.000, 0.000, 0.000, 0.020, 8.470, 14.500
3.090, 6.000, 0.000, 0.000, 0.000, 0.020, 8.590, 14.500
3.210, 6.000, 0.000, 0.000, 0.000, 0.020, 8.710, 14.500
3.330, 6.000, 0.000, 0.000, 0.000, 0.020, 8.830, 14.500
3.450, 6.000, 0.000, 0.000, 0.000, 0.020, 8.950, 14.500
3.570, 6.000, 0.000, 0.000, 0.000, 0.020, 9.070, 14.500
3.690, 6.000, 0.000, 0.000, 0.000, 0.020, 9.190, 14.500
3.810, 6.000, 0.000, 0.000, 0.000, 0.020, 9.310, 14.500
3.930, 6.000, 0.000, 0.000, 0.000, 0.020, 9.430, 14.500
4.050, 6.000, 0.000, 0.000, 0.000, 0.020, 9.550, 14.500
4.170, 6.000, 0.000, 0.000, 0.000, 0.020, 9.670, 14.500
4.290, 6.000, 0.000, 0.000, 0.000, 0.020, 9.790, 14.500
4.410, 6.000, 0.000, 0.000, 0.000, 0.020, 9.910, 14.500
4.410, 6.000, 0.000, 0.000, 0.000, 0.020, 9.910, 14.500
4.533, 6.160, 8.000, 0.000, 0.000, 0.020, 10.033, 14.500
4.659, 6.320, 8.000, 0.000, 0.000, 0.020, 10.159, 14.500
4.789, 6.480, 8.000, 0.000, 0.000, 0.020, 10.289, 14.500
4.922, 6.640, 8.000, 0.000, 0.000, 0.020, 10.422, 14.500
5.058, 6.800, 8.000, 0.000, 0.000, 0.020, 10.558, 14.500
5.197, 6.960, 8.000, 0.000, 0.000, 0.020, 10.697, 14.500
5.337, 7.000, 0.000, 0.000, 0.000, 0.020, 10.837, 14.500
5.477, 7.000, 0.000, 0.000, 0.000, 0.020, 10.977, 14.500
5.617, 7.000, 0.000, 0.000, 0.000, 0.020, 11.117, 14.500
5.757, 7.000, 0.000, 0.000, 0.000, 0.020, 11.257, 14.500
5.897, 7.000, 0.000, 0.000, 0.000, 0.020, 11.397, 14.500
6.037, 7.000, 0.000, 0.000, 0.000, 0.020, 11.537, 14.500
6.177, 7.000, 0.000, 0.000, 0.000, 0.020, 11.677, 14.500
6.317, 7.000, 0.000, 0.000, 0.000, 0.020, 11.817, 14.500
6.457, 7.000, 0.000, 0.000, 0.000, 0.020, 11.957, 14.500
6.597, 7.000, 0.000, 0.000, 0.000, 0.020, 12.097, 14.500
6.737, 7.000, 0.000, 0.000, 0.000, 0.020, 12.237, 14.500
6.877, 7.000, 0.000, 0.000, 0.000, 0.020, 12.377, 14.500
7.017, 7.000, 0.000, 0.000, 0.000, 0.020, 12.517, 14.500
7.157, 7.000, 0.000, 0.000, 0.000, 0.020, 12.657, 14.500
7.297, 7.000, 0.000, 0.000, 0.000, 0.020, 12.797, 14.500
7.437, 7.000, 0.000, 0.000, 0.000, 0.020, 12.937, 14.500
7.577, 7.000, 0.000, 0.000, 0.000, 0.020, 13.077, 14.500
7.714, 6.840, -8.000, 0.000, 0.000, 0.020, 13.214, 14.500
7.847, 6.680, -8.000, 0.000, 0.000, 0.020, 13.347, 14.500
7.978, 6.520, -8.000, 0.000, 0.000, 0.020, 13.478, 14.500
8.105, 6.360, -8.000, 0.000, 0.000, 0.020, 13.605, 14.500
8.229, 6.200, -8.000, 0.000, 0.000, 0.020, 13.729, 14.500
8.350, 6.040, -8.000, 0.000, 0.000, 0.020, 13.850, 14.500
8.467, 5.880, -8.000, 0.000, 0.000, 0.020, 13.967, 14.500
8.582, 5.720, -8.000, 0.000, 0.000, 0.020, 14.082, 14.500
8.693, 5.560, -8.000, 0.000, 0.000, 0.020, 14.193, 14.500
8.801, 5.400, -8.000, 0.000, 0.000, 0.020, 14.301, 14.500
8.906, 5.240, -8.000, 0.000, 0.000, 0.020, 14.406, 14.500
9.007, 5.080, -8.000, 0.000, 0.000, 0.020, 14.507, 14.500
9.106, 4.920, -8.000, 0.000, 0.000, 0.020, 14.606, 14.500
9.201, 4.760, -8.000, 0.000, 0.000, 0.020, 14.701, 14.500
9.293, 4.600, -8.000, 0.000, 0.000, 0.020, 14.793, 14.500
9.382, 4.440, -8.000, 0.000, 0.000, 0.020, 14.882, 14.500
9.467, 4.280, -8.000, 0.000, 0.000, 0.020, 14.967, 14.500
9.550, 4.120, -8.000, 0.000, 0.000, 0.020, 15.050, 14.500
9.629, 3.960, -8.000, 0.000, 0.000, 0.020, 15.129, 14.500
9.705, 3.800, -8.000, 0.000, 0.000, 0.020, 15.205, 14.500
9.778, 3.640, -8.000, 0.000, 0.000, 0.020, 15.278, 14.500
9.847, 3.480, -8.000, 0.000, 0.000, 0.020, 15.347, 14.500
9.914, 3.320, -8.000, 0.000, 0.000, 0.020, 15.414, 14.500
