position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 5.50000, 15.59020, false
0.03000, 0.60000, 12.00000, 240.00000, 0.00000, 0.05000, 5.53000, 15.59020, false
0.09000, 1.20000, 12.00000, 0.00000, 0.00000, 0.05000, 5.59000, 15.59020, false
0.18000, 1.80000, 12.00000, -0.00000, 0.00000, 0.05000, 5.68000, 15.59020, false
0.30000, 2.40000, 12.00000, -0.00000, 0.00000, 0.05000, 5.80000, 15.59020, false
0.45000, 3.00000, 12.00000, 0.00000, 0.00000, 0.05000, 5.95000, 15.59020, false
0.63000, 3.60000, 12.00000, -0.00000, 0.00000, 0.05000, 6.13000, 15.59020, false
0.84000, 4.20000, 12.00000, -0.00000, 0.00000, 0.05000, 6.34000, 15.59020, false
1.08000, 4.80000, 12.00000, 0.00000, 0.00000, 0.05000, 6.58000, 15.59020, false
1.35000, 5.40000, 12.00000, -0.00000, 0.00000, 0.05000, 6.85000, 15.59020, false
1.65000, 6.00000, 12.00000, 0.00000, 0.00000, 0.05000, 7.15000, 15.59020, false
1.95000, 6.00000, 0.00000, -240.00000, 0.00000, 0.05000, 7.45000, 15.59020, false
2.25000, 6.00000, -0.00000, -0.00000, 0.00000, 0.05000, 7.75000, 15.59020, false
2.55000, 6.00000, 0.00000, 0.00000, 0.00000, 0.05000, 8.05000, 15.59020, false
2.85000, 6.00000, -0.00000, -0.00000, 0.00000, 0.05000, 8.35000, 15.59020, false
3.15000, 6.00000, 0.00000, 0.00000, 0.00000, 0.05000, 8.65000, 15.59020, false
3.45000, 6.00000, -0.00000, -0.00000, 0.00000, 0.05000, 8.95000, 15.59020, false
3.75000, 6.00000, 0.00000, 0.00000, 0.00000, 0.05000, 9.25000, 15.59020, false
4.05000, 6.00000, 0.00000, 0.00000, 0.00000, 0.05000, 9.55000, 15.59020, false
4.35000, 6.00000, 0.00000, 0.00000, 0.00000, 0.05000, 9.85000, 15.59020, false
4.65000, 6.00000, -0.00000, -0.00000, 0.00000, 0.05000, 10.15000, 15.59020, false
4.98000, 6.60000, 12.00000, 240.00000, 0.00000, 0.05000, 10.48000, 15.59020, false
5.33000, 7.00000, 8.00000, -80.00000, 0.00000, 0.05000, 10.83000, 15.59020, false
5.68000, 7.00000, -0.00000, -160.00000, 0.00000, 0.05000, 11.18000, 15.59020, false
6.03000, 7.00000, -0.00000, 0.00000, 0.00000, 0.05000, 11.53000, 15.59020, false
6.38000, 7.00000, 0.00000, 0.00000, 0.00000, 0.05000, 11.88000, 15.59020, false
6.73000, 7.00000, -0.00000, -0.00000, 0.00000, 0.05000, 12.23000, 15.59020, false
7.08000, 7.00000, 0.00000, 0.00000, 0.00000, 0.05000, 12.58000, 15.59020, false
7.43000, 7.00000, 0.00000, 0.00000, 0.00000, 0.05000, 12.93000, 15.59020, false
7.78000, 7.00000, 0.00000, -0.00000, 0.00000, 0.05000, 13.28000, 15.59020, false
8.13000, 7.00000, 0.00000, -0.00000, 0.00000, 0.05000, 13.63000, 15.59020, false
8.45000, 6.40000, -12.00000, -240.00000, 0.00000, 0.05000, 13.95000, 15.59020, false
8.74000, 5.80000, -12.00000, 0.00000, 0.00000, 0.05000, 14.24000, 15.59020, false
9.00000, 5.20000, -12.00000, -0.00000, 0.00000, 0.05000, 14.50000, 15.59020, false
9.23000, 4.60000, -12.00000, 0.00000, 0.00000, 0.05000, 14.73000, 15.59020, false
9.43000, 4.00000, -12.00000, -0.00000, 0.00000, 0.05000, 14.93000, 15.59020, false
9.60000, 3.40000, -12.00000, 0.00000, 0.00000, 0.05000, 15.10000, 15.59020, false
9.74000, 2.80000, -12.00000, -0.00000, 0.00000, 0.05000, 15.24000, 15.59020, false
9.85000, 2.20000, -12.00000, -0.00000, 0.00000, 0.05000, 15.35000, 15.59020, false
9.93000, 1.60000, -12.00000, 0.00000, 0.00000, 0.05000, 15.43000, 15.59020, false
9.98000, 1.00000, -12.00000, -0.00000, 0.00000, 0.05000, 15.48000, 15.59020, false
10.00000, 0.40000, -12.00000, -0.00000, 0.00000, 0.05000, 15.50000, 15.59020, false
10.00000, 0.00000, -8.00000, 80.00000, 0.00000, 0.05000, 15.49000, 15.59020, false
10.00000, 0.00000, 0.00000, 160.00000, 0.00000, 0.05000, 15.49000, 15.59020, false
