position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 0.000, 0.020, 5.500, 13.410
0.003, 0.160, 8.000, 400.000, 0.000, 0.020, 5.503, 13.410
0.010, 0.320, 8.000, 0.000, 0.000, 0.020, 5.510, 13.410
0.019, 0.480, 8.000, -0.000, 0.000, 0.020, 5.519, 13.410
0.032, 0.640, 8.000, 0.000, 0.000, 0.020, 5.532, 13.410
0.048, 0.800, 8.000, -0.000, 0.000, 0.020, 5.548, 13.410
0.067, 0.960, 8.000, 0.000, 0.000, 0.020, 5.567, 13.410
0.090, 1.120, 8.000, 0.000, 0.000, 0.020, 5.590, 13.410
0.115, 1.280, 8.000, 0.000, 0.000, 0.020, 5.615, 13.410
0.144, 1.440, 8.000, -0.000, 0.000, 0.020, 5.644, 13.410
0.176, 1.600, 8.000, 0.000, 0.000, 0.020, 5.676, 13.410
0.211, 1.760, 8.000, -0.000, 0.000, 0.020, 5.711, 13.410
0.250, 1.920, 8.000, 0.000, 0.000, 0.020, 5.750, 13.410
0.291, 2.080, 8.000, 0.000, 0.000, 0.020, 5.791, 13.410
0.336, 2.240, 8.000, -0.000, 0.000, 0.020, 5.836, 13.410
0.384, 2.400, 8.000, -0.000, 0.000, 0.020, 5.884, 13.410
0.435, 2.560, 8.000, 0.000, 0.000, 0.020, 5.935, 13.410
0.490, 2.720, 8.000, -0.000, 0.000, 0.020, 5.990, 13.410
0.547, 2.880, 8.000, 0.000, 0.000, 0.020, 6.047, 13.410
0.608, 3.040, 8.000, 0.000, 0.000, 0.020, 6.108, 13.410
0.672, 3.200, 8.000, 0.000, 0.000, 0.020, 6.172, 13.410
0.739, 3.360, 8.000, 0.000, 0.000, 0.020, 6.239, 13.410
0.810, 3.520, 8.000, -0.000, 0.000, 0.020, 6.310, 13.410
0.883, 3.680, 8.000, 0.000, 0.000, 0.020, 6.383, 13.410
0.960, 3.840, 8.000, -0.000, 0.000, 0.020, 6.460, 13.410
1.040, 4.000, 8.000, 0.000, 0.000, 0.020, 6.540, 13.410
1.123, 4.160, 8.000, 0.000, 0.000, 0.020, 6.623, 13.410
1.210, 4.320, 8.000, -0.000, 0.000, 0.020, 6.710, 13.410
1.299, 4.480, 8.000, -0.000, 0.000, 0.020, 6.799, 13.410
1.392, 4.640, 8.000, -0.000, 0.000, 0.020, 6.892, 13.410
1.488, 4.800, 8.000, 0.000, 0.000, 0.020, 6.988, 13.410
1.587, 4.960, 8.000, 0.000, 0.000, 0.020, 7.087, 13.410
1.690, 5.120, 8.000, 0.000, 0.000, 0.020, 7.190, 13.410
1.795, 5.280, 8.000, -0.000, 0.000, 0.020, 7.295, 13.410
1.904, 5.440, 8.000, 0.000, 0.000, 0.020, 7.404, 13.410
2.016, 5.600, 8.000, -0.000, 0.000, 0.020, 7.516, 13.410
2.131, 5.760, 8.000, 0.000, 0.000, 0.020, 7.631, 13.410
2.250, 5.920, 8.000, -0.000, 0.000, 0.020, 7.750, 13.410
2.371, 6.080, 8.000, 0.000, 0.000, 0.020, 7.871, 13.410
2.496, 6.240, 8.000, -0.000, 0.000, 0.020, 7.996, 13.410
2.624, 6.400, 8.000, 0.000, 0.000, 0.020, 8.124, 13.410
2.755, 6.560, 8.000, 0.000, 0.000, 0.020, 8.255, 13.410
2.890, 6.720, 8.000, -0.000, 0.000, 0.020, 8.390, 13.410
3.027, 6.880, 8.000, -0.000, 0.000, 0.020, 8.527, 13.410
3.168, 7.040, 8.000, 0.000, 0.000, 0.020, 8.668, 13.410
3.312, 7.200, 8.000, -0.000, 0.000, 0.020, 8.812, 13.410
3.459, 7.360, 8.000, 0.000, 0.000, 0.020, 8.959, 13.410
3.610, 7.520, 8.000, 0.000, 0.000, 0.020, 9.110, 13.410
3.763, 7.680, 8.000, -0.000, 0.000, 0.020, 9.263, 13.410
3.920, 7.840, 8.000, 0.000, 0.000, 0.020, 9.420, 13.410
4.080, 8.000, 8.000, 0.000, 0.000, 0.020, 9.580, 13.410
4.243, 8.160, 8.000, -0.000, 0.000, 0.020, 9.743, 13.410
4.410, 8.320, 8.000, 0.000, 0.000, 0.020, 9.910, 13.410
4.579, 8.480, 8.000, -0.000, 0.000, 0.020, 10.079, 13.410
4.752, 8.640, 8.000, 0.000, 0.000, 0.020, 10.252, 13.410
4.928, 8.800, 8.000, 0.000, 0.000, 0.020, 10.428, 13.410
5.107, 8.960, 8.000, -0.000, 0.000, 0.020, 10.607, 13.410
5.290, 9.120, 8.000, 0.000, 0.000, 0.020, 10.790, 13.410
5.473, 9.165, 2.258, -287.122, 0.000, 0.020, 10.973, 13.410
5.653, 9.005, -8.000, -512.878, 0.000, 0.020, 11.153, 13.410
5.830, 8.845, -8.000, -0.000, 0.000, 0.020, 11.330, 13.410
6.004, 8.685, -8.000, -0.000, 0.000, 0.020, 11.504, 13.410
6.174, 8.525, -8.000, 0.000, 0.000, 0.020, 11.674, 13.410
6.341, 8.365, -8.000, -0.000, 0.000, 0.020, 11.841, 13.410
6.506, 8.205, -8.000, 0.000, 0.000, 0.020, 12.006, 13.410
6.666, 8.045, -8.000, -0.000, 0.000, 0.020, 12.166, 13.410
6.824, 7.885, -8.000, 0.000, 0.000, 0.020, 12.324, 13.410
6.979, 7.725, -8.000, -0.000, 0.000, 0.020, 12.479, 13.410
