position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, 0.00000, 0.00000, 0.00000, -2.35619, 0.02000, 20.00000, 20.00000, false
0.00320, 0.16000, 8.00000, 0.00000, -2.35619, 0.02000, 19.99774, 19.99774, false
0.00960, 0.32000, 8.00000, 0.00000, -2.35619, 0.02000, 19.99321, 19.99321, false
0.01920, 0.48000, 8.00000, 0.00000, -2.35619, 0.02000, 19.98642, 19.98642, false
0.03200, 0.64000, 8.00000, 0.00000, -2.35618, 0.02000, 19.97737, 19.97737, false
0.04800, 0.80000, 8.00000, 0.00000, -2.35616, 0.02000, 19.96606, 19.96606, false
0.06720, 0.96000, 8.00000, 0.00000, -2.35612, 0.02000, 19.95248, 19.95248, false
0.08960, 1.12000, 8.00000, 0.00000, -2.35607, 0.02000, 19.93665, 19.93664, false
0.11520, 1.28000, 8.00000, 0.00000, -2.35599, 0.02000, 19.91855, 19.91854, false
0.14400, 1.44000, 8.00000, 0.00000, -2.35587, 0.02000, 19.89819, 19.89817, false
0.17600, 1.60000, 8.00000, 0.00000, -2.35571, 0.02000, 19.87557, 19.87553, false
0.21120, 1.76000, 8.00000, 0.00000, -2.35550, 0.02000, 19.85069, 19.85062, false
0.24960, 1.92000, 8.00000, 0.00000, -2.35523, 0.02000, 19.82356, 19.82345, false
0.29120, 2.08000, 8.00000, 0.00000, -2.35490, 0.02000, 19.79418, 19.79400, false
0.33600, 2.24000, 8.00000, 0.00000, -2.35448, 0.02000, 19.76255, 19.76227, false
0.38400, 2.40000, 8.00000, 0.00000, -2.35397, 0.02000, 19.72868, 19.72827, false
0.43520, 2.56000, 8.00000, 0.00000, -2.35336, 0.02000, 19.69256, 19.69197, false
0.48960, 2.72000, 8.00000, 0.00000, -2.35265, 0.02000, 19.65422, 19.65338, false
0.54720, 2.88000, 8.00000, 0.00000, -2.35181, 0.02000, 19.61365, 19.61249, false
0.60800, 3.04000, 8.00000, 0.00000, -2.35083, 0.02000, 19.57087, 19.56929, false
0.67200, 3.20000, 8.00000, 0.00000, -2.34972, 0.02000, 19.52588, 19.52377, false
0.73920, 3.36000, 8.00000, 0.00000, -2.34845, 0.02000, 19.47870, 19.47592, false
0.80960, 3.52000, 8.00000, 0.00000, -2.34702, 0.02000, 19.42935, 19.42572, false
0.88320, 3.68000, 8.00000, 0.00000, -2.34542, 0.02000, 19.37782, 19.37316, false
0.96000, 3.84000, 8.00000, 0.00000, -2.34364, 0.02000, 19.32415, 19.31822, false
1.04000, 4.00000, 8.00000, 0.00000, -2.34167, 0.02000, 19.26836, 19.26089, false
1.12320, 4.16000, 8.00000, 0.00000, -2.33951, 0.02000, 19.21045, 19.20115, false
