position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, 0.00000, 0.00000, 0.00000, -2.35619, 0.05000, 20.78842, 19.21158, false
0.02998, 0.59968, 11.99358, 239.87157, -2.35618, 0.05000, 20.76722, 19.19037, false
0.08986, 1.19746, 11.95562, -0.75912, -2.35607, 0.05000, 20.72489, 19.14803, false
0.17944, 1.79159, 11.88255, -1.46140, -2.35569, 0.05000, 20.66156, 19.08467, false
0.29847, 2.38059, 11.77996, -2.05183, -2.35482, 0.05000, 20.57747, 19.00043, false
0.44663, 2.96339, 11.65601, -2.47901, -2.35318, 0.05000, 20.47293, 18.89543, false
0.62361, 3.53944, 11.52117, -2.69683, -2.35046, 0.05000, 20.34833, 18.76976, false
0.82905, 4.10884, 11.38787, -2.66592, -2.34637, 0.05000, 20.20418, 18.62338, false
1.06267, 4.67234, 11.27012, -2.35509, -2.34065, 0.05000, 20.04109, 18.45612, false
1.32424, 5.23149, 11.18297, -1.74304, -2.33309, 0.05000, 19.85972, 18.26763, false
1.61367, 5.78859, 11.14191, -0.82116, -2.32361, 0.05000, 19.66082, 18.05737, false
1.93100, 6.34669, 11.16201, 0.40204, -2.31226, 0.05000, 19.44516, 17.82458, false
2.27648, 6.90953, 11.25676, 1.89498, -2.29923, 0.05000, 19.21349, 17.56829, false
2.65055, 7.48136, 11.43662, 3.59715, -2.28495, 0.05000, 18.96647, 17.28738, false
3.05389, 8.06673, 11.70747, 5.41695, -2.27001, 0.05000, 18.70460, 16.98062, false
3.48740, 8.67020, 12.06933, 7.23721, -2.25522, 0.05000, 18.42810, 16.64674, false
3.95219, 9.29599, 12.51586, 8.93064, -2.24159, 0.05000, 18.13678, 16.28456, false
4.43979, 9.75189, 9.11799, -67.95746, -2.23047, 0.05000, 17.83593, 15.90084, false
4.93157, 9.83551, 1.67247, -148.91030, -2.22309, 0.05000, 17.53611, 15.51104, false
5.42806, 9.92983, 1.88627, 4.27593, -2.21994, 0.05000, 17.23550, 15.11589, false
5.92966, 10.03200, 2.04350, 3.14458, -2.22138, 0.05000, 16.93215, 14.71642, false
6.43663, 10.13945, 2.14906, 2.11134, -2.22763, 0.05000, 16.62401, 14.31384, false
6.94911, 10.24967, 2.20425, 1.10369, -2.23883, 0.05000, 16.30897, 13.90962, false
7.46711, 10.35996, 2.20588, 0.03269, -2.25498, 0.05000, 15.98499, 13.50545, false
7.99047, 10.46728, 2.14638, -1.18996, -2.27594, 0.05000, 15.65012, 13.10324, false
8.51888, 10.56802, 2.01486, -2.63048, -2.30143, 0.05000, 15.30267, 12.70513, false
9.05178, 10.65800, 1.79947, -4.30785, -2.33095, 0.05000, 14.94134, 12.31344, false
9.58840, 10.73254, 1.49097, -6.16993, -2.36382, 0.05000, 14.56534, 11.93057, false
10.12775, 10.78689, 1.08685, -8.08238, -2.39913, 0.05000, 14.17450, 11.55890, false
10.66858, 10.81662, 0.59464, -9.84424, -2.43578, 0.05000, 13.76940, 11.20059, false
11.17706, 10.16973, -12.93787, -270.65017, -2.47032, 0.05000, 13.37674, 10.87750, false
11.65205, 9.49970, -13.40049, -9.25243, -2.50171, 0.05000, 13.00019, 10.58798, false
12.09279, 8.81474, -13.69914, -5.97305, -2.52929, 0.05000, 12.64301, 10.32978, false
12.49891, 8.12239, -13.84700, -2.95723, -2.55273, 0.05000, 12.30792, 10.10033, false
12.87035, 7.42895, -13.86880, -0.43598, -2.57197, 0.05000, 11.99702, 9.89706, false
13.20732, 6.73931, -13.79285, 1.51899, -2.58719, 0.05000, 11.71185, 9.71755, false
13.51017, 6.05702, -13.64580, 2.94098, -2.59871, 0.05000, 11.45342, 9.55966, false
13.77940, 5.38450, -13.45034, 3.90933, -2.60699, 0.05000, 11.22231, 9.42157, false
14.01556, 4.72325, -13.22499, 4.50699, -2.61252, 0.05000, 11.01875, 9.30183, false
14.21926, 4.07400, -12.98502, 4.79928, -2.61583, 0.05000, 10.84272, 9.19933, false
14.39110, 3.43682, -12.74358, 4.82887, -2.61749, 0.05000, 10.69401, 9.11322, false
14.53166, 2.81120, -12.51254, 4.62073, -2.61799, 0.05000, 10.57229, 9.04292, false
14.54874, 0.34158, -49.39224, -737.59394, -2.61799, 0.05000, 10.55750, 9.03438, false
14.54874, 0.00000, -6.83170, 851.21088, -2.61799, 0.05000, 10.55750, 9.03438, false
14.54874, 0.00000, 0.00000, 136.63396, -2.61799, 0.05000, 10.55750, 9.03438, false
14.54874, 0.00000, 0.00000, 0.00000, -2.61799, 0.05000, 10.55750, 9.03438, false
14.54874, 0.00000, 0.00000, 0.00000, -2.61799, 0.05000, 10.55750, 9.03438, false
14.54874, 0.00000, 0.00000, 0.00000, -2.61799, 0.05000, 10.55750, 9.03438, false
