position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, 0.00000, 0.00000, 0.00000, -2.35619, 0.05000, 19.21158, 20.78842, false
0.02501, 0.50022, 10.00446, 200.08926, -2.35618, 0.05000, 19.19389, 20.77074, false
0.07510, 1.00177, 10.03091, 0.52893, -2.35611, 0.05000, 19.15847, 20.73532, false
0.15039, 1.50588, 10.08215, 1.02490, -2.35584, 0.05000, 19.10524, 20.68207, false
0.25107, 2.01362, 10.15495, 1.45582, -2.35523, 0.05000, 19.03410, 20.61083, false
0.37737, 2.52585, 10.24451, 1.79136, -2.35407, 0.05000, 18.94493, 20.52139, false
0.52952, 3.04308, 10.34470, 2.00373, -2.35214, 0.05000, 18.83767, 20.41348, false
0.70780, 3.56549, 10.44812, 2.06846, -2.34920, 0.05000, 18.71230, 20.28673, false
0.91244, 4.09281, 10.54638, 1.96508, -2.34504, 0.05000, 18.56891, 20.14073, false
1.14365, 4.62432, 10.63027, 1.67786, -2.33947, 0.05000, 18.40770, 19.97498, false
1.40159, 5.15883, 10.69011, 1.19679, -2.33234, 0.05000, 18.22903, 19.78894, false
1.68633, 5.69463, 10.71607, 0.51918, -2.32361, 0.05000, 18.03344, 19.58202, false
1.99780, 6.22957, 10.69867, -0.34796, -2.31332, 0.05000, 17.82164, 19.35363, false
2.33586, 6.76104, 10.62942, -1.38499, -2.30161, 0.05000, 17.59452, 19.10324, false
2.70016, 7.28612, 10.50158, -2.55686, -2.28878, 0.05000, 17.35310, 18.83041, false
3.09024, 7.80166, 10.31098, -3.81200, -2.27525, 0.05000, 17.09849, 18.53489, false
3.50547, 8.30450, 10.05675, -5.08462, -2.26159, 0.05000, 16.83177, 18.21665, false
3.94505, 8.79159, 9.74167, -6.30143, -2.24851, 0.05000, 16.55396, 17.87598, false
4.40806, 9.26019, 9.37207, -7.39201, -2.23684, 0.05000, 16.26583, 17.51355, false
4.89346, 9.70804, 8.95711, -8.29918, -2.22751, 0.05000, 15.96780, 17.13042, false
5.40013, 10.13344, 8.50794, -8.98354, -2.22153, 0.05000, 15.65981, 16.72810, false
5.90194, 10.03618, -1.94521, -209.06298, -2.21990, 0.05000, 15.35630, 16.32848, false
6.39854, 9.93192, -2.08515, -2.79870, -2.22296, 0.05000, 15.05568, 15.93322, false
6.88970, 9.82320, -2.17443, -1.78575, -2.23088, 0.05000, 14.75621, 15.54391, false
7.37533, 9.71256, -2.21283, -0.76786, -2.24377, 0.05000, 14.45613, 15.16210, false
7.85547, 9.60278, -2.19552, 0.34604, -2.26158, 0.05000, 14.15367, 14.78919, false
8.33032, 9.49711, -2.11354, 1.63973, -2.28412, 0.05000, 13.84717, 14.42651, false
8.80029, 9.39935, -1.95521, 3.16661, -2.31104, 0.05000, 13.53502, 14.07518, false
9.26598, 9.31390, -1.70901, 4.92387, -2.34179, 0.05000, 13.21578, 13.73613, false
9.72826, 9.24552, -1.36745, 6.83121, -2.37561, 0.05000, 12.88816, 13.40999, false
10.16525, 8.73979, -10.11477, -174.94642, -2.40968, 0.05000, 12.56814, 13.11242, false
10.57831, 8.26115, -9.57261, 10.84321, -2.44279, 0.05000, 12.25635, 12.84149, false
10.96855, 7.80482, -9.12673, 8.91772, -2.47395, 0.05000, 11.95369, 12.59515, false
11.33680, 7.36515, -8.79334, 6.66777, -2.50241, 0.05000, 11.66126, 12.37131, false
11.68363, 6.93644, -8.57430, 4.38073, -2.52767, 0.05000, 11.38029, 12.16800, false
12.00930, 6.51342, -8.46025, 2.28109, -2.54949, 0.05000, 11.11202, 11.98335, false
12.31388, 6.09166, -8.43525, 0.50001, -2.56779, 0.05000, 10.85771, 11.81572, false
12.59726, 5.66760, -8.48114, -0.91793, -2.58270, 0.05000, 10.61855, 11.66372, false
12.85919, 5.23858, -8.58052, -1.98759, -2.59442, 0.05000, 10.39564, 11.52617, false
13.09932, 4.80267, -8.71818, -2.75322, -2.60327, 0.05000, 10.19000, 11.40218, false
13.31725, 4.35860, -8.88145, -3.26538, -2.60961, 0.05000, 10.00252, 11.29106, false
13.51253, 3.90560, -9.05983, -3.56754, -2.61384, 0.05000, 9.83401, 11.19239, false
13.68470, 3.44339, -9.24438, -3.69102, -2.61638, 0.05000, 9.68515, 11.10589, false
13.83330, 2.97203, -9.42716, -3.65559, -2.61763, 0.05000, 9.55652, 11.03147, false
13.95790, 2.49199, -9.60082, -3.47311, -2.61799, 0.05000, 9.44862, 10.96915, false
13.96497, 0.14143, -47.01123, -748.20821, -2.61799, 0.05000, 9.44250, 10.96562, false
13.96497, 0.00000, -2.82851, 883.65440, -2.61799, 0.05000, 9.44250, 10.96562, false
13.96497, 0.00000, 0.00000, 56.57014, -2.61799, 0.05000, 9.44250, 10.96562, false
