position,velocity,acceleration,jerk,heading,dt,x,y
0.000, -0.000, 0.000, 0.000, 0.000, 0.020, 5.500, 18.444
-0.003, -0.160, -8.000, -400.000, 0.000, 0.020, 5.503, 16.264
-0.010, -0.320, -8.000, -0.000, 0.000, 0.020, 5.510, 16.264
-0.019, -0.480, -8.000, 0.000, 0.000, 0.020, 5.519, 16.264
-0.032, -0.640, -8.000, -0.000, 0.000, 0.020, 5.532, 16.264
-0.048, -0.800, -8.000, 0.000, 0.000, 0.020, 5.548, 16.264
-0.067, -0.960, -8.000, -0.000, 0.000, 0.020, 5.567, 16.264
-0.090, -1.120, -8.000, 0.000, 0.000, 0.020, 5.590, 16.264
-0.115, -1.280, -8.000, -0.000, 0.000, 0.020, 5.615, 16.264
-0.144, -1.440, -8.000, 0.000, 0.000, 0.020, 5.644, 16.264
-0.176, -1.600, -8.000, 0.000, 0.000, 0.020, 5.676, 16.264
-0.211, -1.760, -8.000, -0.000, 0.000, 0.020, 5.711, 16.264
-0.250, -1.920, -8.000, -0.000, 0.000, 0.020, 5.750, 16.264
-0.291, -2.080, -8.000, -0.000, 0.000, 0.020, 5.791, 16.264
-0.336, -2.240, -8.000, -0.000, 0.000, 0.020, 5.836, 16.264
-0.384, -2.400, -8.000, 0.000, 0.000, 0.020, 5.884, 16.264
-0.435, -2.560, -8.000, 0.000, 0.000, 0.020, 5.935, 16.264
-0.490, -2.720, -8.000, -0.000, 0.000, 0.020, 5.990, 16.264
-0.547, -2.880, -8.000, 0.000, 0.000, 0.020, 6.047, 16.264
-0.608, -3.040, -8.000, 0.000, 0.000, 0.020, 6.108, 16.264
-0.672, -3.200, -8.000, -0.000, 0.000, 0.020, 6.172, 16.264
-0.739, -3.360, -8.000, -0.000, 0.000, 0.020, 6.239, 16.264
-0.810, -3.520, -8.000, 0.000, 0.000, 0.020, 6.310, 16.264
-0.883, -3.680, -8.000, -0.000, 0.000, 0.020, 6.383, 16.264
-0.960, -3.840, -8.000, 0.000, 0.000, 0.020, 6.460, 16.264
-1.040, -4.000, -8.000, 0.000, 0.000, 0.020, 6.540, 16.264
-1.123, -4.160, -8.000, 0.000, 0.000, 0.020, 6.623, 16.264
-1.210, -4.320, -8.000, 0.000, 0.000, 0.020, 6.710, 16.264
-1.299, -4.480, -8.000, -0.000, 0.000, 0.020, 6.799, 16.264
-1.392, -4.640, -8.000, 0.000, 0.000, 0.020, 6.892, 16.264
-1.488, -4.800, -8.000, -0.000, 0.000, 0.020, 6.988, 16.264
-1.587, -4.960, -8.000, 0.000, 0.000, 0.020, 7.087, 16.264
-1.690, -5.120, -8.000, 0.000, 0.000, 0.020, 7.190, 16.264
-1.795, -5.280, -8.000, 0.000, 0.000, 0.020, 7.295, 16.264
-1.904, -5.440, -8.000, -0.000, 0.000, 0.020, 7.404, 16.264
-2.016, -5.600, -8.000, 0.000, 0.000, 0.020, 7.516, 16.264
-2.131, -5.760, -8.000, 0.000, 0.000, 0.020, 7.631, 16.264
-2.250, -5.920, -8.000, -0.000, 0.000, 0.020, 7.750, 16.264
-2.370, -6.000, -4.000, 200.000, 0.000, 0.020, 7.870, 16.264
-2.490, -6.000, -0.000, 200.000, 0.000, 0.020, 7.990, 16.264
-2.610, -6.000, 0.000, 0.000, 0.000, 0.020, 8.110, 16.264
-2.730, -6.000, 0.000, 0.000, 0.000, 0.020, 8.230, 16.264
-2.850, -6.000, 0.000, 0.000, 0.000, 0.020, 8.350, 16.264
-2.970, -6.000, 0.000, 0.000, 0.000, 0.020, 8.470, 16.264
-3.090, -6.000, -0.000, -0.000, 0.000, 0.020, 8.590, 16.264
-3.210, -6.000, 0.000, 0.000, 0.000, 0.020, 8.710, 16.264
-3.330, -6.000, -0.000, -0.000, 0.000, 0.020, 8.830, 16.264
-3.450, -6.000, 0.000, 0.000, 0.000, 0.020, 8.950, 16.264
-3.570, -6.000, -0.000, -0.000, 0.000, 0.020, 9.070, 16.264
-3.690, -6.000, 0.000, 0.000, 0.000, 0.020, 9.190, 16.264
-3.810, -6.000, 0.000, 0.000, 0.000, 0.020, 9.310, 16.264
-3.930, -6.000, 0.000, 0.000, 0.000, 0.020, 9.430, 16.264
-4.050, -6.000, 0.000, 0.000, 0.000, 0.020, 9.550, 16.264
-4.170, -6.000, 0.000, 0.000, 0.000, 0.020, 9.670, 16.264
-4.290, -6.000, 0.000, 0.000, 0.000, 0.020, 9.790, 16.264
-4.410, -6.000, 0.000, 0.000, 0.000, 0.020, 9.910, 16.264
-4.530, -6.000, -300.000, -30000.000, 0.000, 0.020, 10.030, 16.264
-4.650, -6.000, 0.000, 15000.000, 0.000, 0.020, 10.150, 16.264
-4.770, -6.000, -0.000, -0.000, 0.000, 0.020, 10.270, 16.264
-4.890, -6.000, -0.000, 0.000, 0.000, 0.020, 10.390, 16.264
-5.010, -6.000, 0.000, 0.000, 0.000, 0.020, 10.510, 16.264
-5.130, -6.000, 0.000, -0.000, 0.000, 0.020, 10.630, 16.264
-5.250, -6.000, 0.000, 0.000, 0.000, 0.020, 10.750, 16.264
-5.370, -6.000, 0.000, 0.000, 0.000, 0.020, 10.870, 16.264
-5.490, -6.000, 0.000, 0.000, 0.000, 0.020, 10.990, 16.264
-5.610, -6.000, 0.000, 0.000, 0.000, 0.020, 11.110, 16.264
-5.730, -6.000, 0.000, 0.000, 0.000, 0.020, 11.230, 16.264
-5.850, -6.000, 0.000, 0.000, 0.000, 0.020, 11.350, 16.264
-5.970, -6.000, 0.000, 0.000, 0.000, 0.020, 11.470, 16.264
-6.090, -6.000, -0.000, -0.000, 0.000, 0.020, 11.590, 16.264
-6.210, -6.000, -0.000, 0.000, 0.000, 0.020, 11.710, 16.264
-6.330, -6.000, 0.000, 0.000, 0.000, 0.020, 11.830, 16.264
-6.450, -6.000, 0.000, 0.000, 0.000, 0.020, 11.950, 16.264
-6.570, -6.000, 0.000, 0.000, 0.000, 0.020, 12.070, 16.264
-6.690, -6.000, 0.000, 0.000, 0.000, 0.020, 12.190, 16.264
-6.810, -6.000, 0.000, 0.000, 0.000, 0.020, 12.310, 16.264
-6.930, -6.000, 0.000, 0.000, 0.000, 0.020, 12.430, 16.264
-7.050, -6.000, 0.000, 0.000, 0.000, 0.020, 12.550, 16.264
