position,velocity,acceleration,jerk,heading,dt,x,y
-0.01250, -0.50000, -10.00000, -200.00000, 0.00000, 0.05000, 5.51250, 9.64583, false
-0.05000, -1.00000, -10.00000, 0.00000, 0.00000, 0.05000, 5.55000, 9.64583, false
-0.11250, -1.50000, -10.00000, 0.00000, 0.00000, 0.05000, 5.61250, 9.64583, false
-0.20000, -2.00000, -10.00000, 0.00000, 0.00000, 0.05000, 5.70000, 9.64583, false
-0.31250, -2.50000, -10.00000, 0.00000, 0.00000, 0.05000, 5.81250, 9.64583, false
-0.45000, -3.00000, -10.00000, 0.00000, 0.00000, 0.05000, 5.95000, 9.64583, false
-0.61250, -3.50000, -10.00000, 0.00000, 0.00000, 0.05000, 6.11250, 9.64583, false
-0.80000, -4.00000, -10.00000, 0.00000, 0.00000, 0.05000, 6.30000, 9.64583, false
-1.01250, -4.50000, -10.00000, 0.00000, 0.00000, 0.05000, 6.51250, 9.64583, false
-1.25000, -5.00000, -10.00000, 0.00000, 0.00000, 0.05000, 6.75000, 9.64583, false
-1.51250, -5.50000, -10.00000, 0.00000, 0.00000, 0.05000, 7.01250, 9.64583, false
-1.80000, -6.00000, -10.00000, 0.00000, 0.00000, 0.05000, 7.30000, 9.64583, false
-2.10000, -6.00000, 0.00000, 200.00000, 0.00000, 0.05000, 7.60000, 9.64583, false
-2.40000, -6.00000, 0.00000, 0.00000, 0.00000, 0.05000, 7.90000, 9.64583, false
-2.70000, -6.00000, 0.00000, 0.00000, 0.00000, 0.05000, 8.20000, 9.64583, false
-3.00000, -6.00000, 0.00000, 0.00000, 0.00000, 0.05000, 8.50000, 9.64583, false
-3.30000, -6.00000, 0.00000, 0.00000, 0.00000, 0.05000, 8.80000, 9.64583, false
-3.60000, -6.00000, 0.00000, 0.00000, 0.00000, 0.05000, 9.10000, 9.64583, false
-3.90000, -6.00000, 0.00000, 0.00000, 0.00000, 0.05000, 9.40000, 9.64583, false
-4.20000, -6.00000, 0.00000, 0.00000, 0.00000, 0.05000, 9.70000, 9.64583, false
-4.50000, -6.00000, 0.00000, 0.00000, -0.64453, 0.05000, 18.13611, 6.43726, false
-4.51239, -6.49565, -249.91304, -4998.26087, -0.64418, 0.05000, 18.14601, 6.42981, false
-4.84957, -6.99130, -9.91304, 4800.00000, -0.63246, 0.05000, 18.41673, 6.22882, false
-5.21152, -7.48696, -9.91304, 0.00000, -0.61536, 0.05000, 18.71040, 6.01725, false
-5.59826, -7.98261, -9.91304, 0.00000, -0.59193, 0.05000, 19.02869, 5.79758, false
-6.00978, -8.47826, -9.91304, -0.00000, -0.56119, 0.05000, 19.37356, 5.57308, false
-6.44609, -8.97391, -9.91304, 0.00000, -0.52228, 0.05000, 19.74725, 5.34793, false
-6.90717, -9.46957, -9.91304, -0.00000, -0.47462, 0.05000, 20.15208, 5.12731, false
-7.39304, -9.96522, -9.91304, 0.00000, -0.41821, 0.05000, 20.59018, 4.91736, false
-7.90370, -10.46087, -9.91304, 0.00000, -0.35400, 0.05000, 21.06310, 4.72494, false
-8.43913, -10.95652, -9.91304, 0.00000, -0.28420, 0.05000, 21.57139, 4.55697, false
-8.99804, -11.40000, -8.86957, 20.86957, -0.21255, 0.05000, 22.11307, 4.41975, false
-9.56804, -11.40000, 0.00000, 177.39130, -0.14508, 0.05000, 22.67394, 4.31875, false
-10.13804, -11.40000, 0.00000, 0.00000, -0.08717, 0.05000, 23.24009, 4.25325, false
-10.70804, -11.40000, 0.00000, 0.00000, -0.04196, 0.05000, 23.80889, 4.21714, false
-11.27804, -11.40000, 0.00000, 0.00000, -0.01205, 0.05000, 24.37868, 4.20254, false
-11.84804, -11.40000, 0.00000, 0.00000, -0.00009, 0.05000, 24.94867, 4.20000, false
-12.41804, -11.40000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 4.20000, false
-12.98804, -11.40000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 4.20000, false
-13.55804, -11.40000, 0.00000, 0.00000, 0.00000, 0.05000, 25.00000, 4.20000, false
