position,velocity,acceleration,jerk,heading,dt,x,y
-0.01250, -0.50000, -10.00000, -200.00000, 0.00000, 0.05000, 5.51250, 8.55563, false
-0.05000, -0.75000, -5.00000, 100.00000, 0.00000, 0.05000, 5.55000, 8.55563, false
-0.11250, -1.25000, -10.00000, -100.00000, 0.00000, 0.05000, 5.61250, 8.55563, false
-0.20000, -1.75000, -10.00000, 0.00000, 0.00000, 0.05000, 5.70000, 8.55563, false
-0.31250, -2.25000, -10.00000, -0.00000, 0.00000, 0.05000, 5.81250, 8.55563, false
-0.45000, -2.75000, -10.00000, -0.00000, 0.00000, 0.05000, 5.95000, 8.55563, false
-0.61250, -3.25000, -10.00000, 0.00000, 0.00000, 0.05000, 6.11250, 8.55563, false
-0.80000, -3.75000, -10.00000, 0.00000, 0.00000, 0.05000, 6.30000, 8.55563, false
-1.01250, -4.25000, -10.00000, -0.00000, 0.00000, 0.05000, 6.51250, 8.55563, false
-1.25000, -4.75000, -10.00000, -0.00000, 0.00000, 0.05000, 6.75000, 8.55563, false
-1.51250, -5.25000, -10.00000, 0.00000, 0.00000, 0.05000, 7.01250, 8.55563, false
-1.80000, -5.75000, -10.00000, -0.00000, 0.00000, 0.05000, 7.30000, 8.55563, false
-2.10000, -6.00000, -5.00000, 100.00000, 0.00000, 0.05000, 7.60000, 8.55563, false
-2.40000, -6.00000, -0.00000, 100.00000, 0.00000, 0.05000, 7.90000, 8.55563, false
-2.70000, -6.00000, -0.00000, -0.00000, 0.00000, 0.05000, 8.20000, 8.55563, false
-3.00000, -6.00000, 0.00000, 0.00000, 0.00000, 0.05000, 8.50000, 8.55563, false
-3.30000, -6.00000, -0.00000, -0.00000, 0.00000, 0.05000, 8.80000, 8.55563, false
-3.60000, -6.00000, 0.00000, 0.00000, 0.00000, 0.05000, 9.10000, 8.55563, false
-3.90000, -6.00000, 0.00000, -0.00000, 0.00000, 0.05000, 9.40000, 8.55563, false
-4.20000, -6.00000, 0.00000, 0.00000, 0.00000, 0.05000, 9.70000, 8.55563, false
-12.53574, -166.71483, -3214.29656, -64285.93114, -0.64453, 0.05000, 17.48109, 5.56577, false
-12.54852, -0.25554, 3329.18585, 130869.64810, -0.64418, 0.05000, 17.49130, 5.55810, false
-12.89847, -6.99896, -134.86845, -69281.08598, -0.63246, 0.05000, 17.77228, 5.34949, false
-13.27906, -7.61181, -12.25701, 2452.22873, -0.61536, 0.05000, 18.08108, 5.12703, false
-13.69134, -8.24559, -12.67562, -8.37219, -0.59193, 0.05000, 18.42040, 4.89286, false
-14.13635, -8.90035, -13.09527, -8.39284, -0.56119, 0.05000, 18.79337, 4.65009, false
-14.61505, -9.57388, -13.47060, -7.50675, -0.52228, 0.05000, 19.20340, 4.40307, false
-15.12804, -10.25989, -13.72015, -4.99095, -0.47462, 0.05000, 19.65386, 4.15761, false
-15.67533, -10.94581, -13.71831, 0.03687, -0.41821, 0.05000, 20.14742, 3.92112, false
