position,velocity,acceleration,jerk,heading,dt,x,y
0.000, -0.000, 0.000, 0.000, 0.000, 0.020, 5.500, 10.736
-0.003, -0.160, -8.000, -400.000, 0.000, 0.020, 5.503, 8.556
-0.010, -0.320, -8.000, -0.000, 0.000, 0.020, 5.510, 8.556
-0.019, -0.480, -8.000, 0.000, 0.000, 0.020, 5.519, 8.556
-0.032, -0.640, -8.000, -0.000, 0.000, 0.020, 5.532, 8.556
-0.048, -0.800, -8.000, 0.000, 0.000, 0.020, 5.548, 8.556
-0.067, -0.960, -8.000, -0.000, 0.000, 0.020, 5.567, 8.556
-0.090, -1.120, -8.000, 0.000, 0.000, 0.020, 5.590, 8.556
-0.115, -1.280, -8.000, -0.000, 0.000, 0.020, 5.615, 8.556
-0.144, -1.440, -8.000, 0.000, 0.000, 0.020, 5.644, 8.556
-0.176, -1.600, -8.000, 0.000, 0.000, 0.020, 5.676, 8.556
-0.211, -1.760, -8.000, -0.000, 0.000, 0.020, 5.711, 8.556
-0.250, -1.920, -8.000, -0.000, 0.000, 0.020, 5.750, 8.556
-0.291, -2.080, -8.000, -0.000, 0.000, 0.020, 5.791, 8.556
-0.336, -2.240, -8.000, -0.000, 0.000, 0.020, 5.836, 8.556
-0.384, -2.400, -8.000, 0.000, 0.000, 0.020, 5.884, 8.556
-0.435, -2.560, -8.000, 0.000, 0.000, 0.020, 5.935, 8.556
-0.490, -2.720, -8.000, -0.000, 0.000, 0.020, 5.990, 8.556
-0.547, -2.880, -8.000, 0.000, 0.000, 0.020, 6.047, 8.556
-0.608, -3.040, -8.000, 0.000, 0.000, 0.020, 6.108, 8.556
-0.672, -3.200, -8.000, -0.000, 0.000, 0.020, 6.172, 8.556
-0.739, -3.360, -8.000, -0.000, 0.000, 0.020, 6.239, 8.556
-0.810, -3.520, -8.000, 0.000, 0.000, 0.020, 6.310, 8.556
-0.883, -3.680, -8.000, -0.000, 0.000, 0.020, 6.383, 8.556
-0.960, -3.840, -8.000, 0.000, 0.000, 0.020, 6.460, 8.556
-1.040, -4.000, -8.000, 0.000, 0.000, 0.020, 6.540, 8.556
-1.123, -4.160, -8.000, 0.000, 0.000, 0.020, 6.623, 8.556
-1.210, -4.320, -8.000, 0.000, 0.000, 0.020, 6.710, 8.556
-1.299, -4.480, -8.000, -0.000, 0.000, 0.020, 6.799, 8.556
-1.392, -4.640, -8.000, 0.000, 0.000, 0.020, 6.892, 8.556
-1.488, -4.800, -8.000, -0.000, 0.000, 0.020, 6.988, 8.556
-1.587, -4.960, -8.000, 0.000, 0.000, 0.020, 7.087, 8.556
-1.690, -5.120, -8.000, 0.000, 0.000, 0.020, 7.190, 8.556
-1.795, -5.280, -8.000, 0.000, 0.000, 0.020, 7.295, 8.556
-1.904, -5.440, -8.000, -0.000, 0.000, 0.020, 7.404, 8.556
-2.016, -5.600, -8.000, 0.000, 0.000, 0.020, 7.516, 8.556
-2.131, -5.760, -8.000, 0.000, 0.000, 0.020, 7.631, 8.556
-2.250, -5.920, -8.000, -0.000, 0.000, 0.020, 7.750, 8.556
-2.370, -6.000, -4.000, 200.000, 0.000, 0.020, 7.870, 8.556
-2.490, -6.000, -0.000, 200.000, 0.000, 0.020, 7.990, 8.556
-2.610, -6.000, 0.000, 0.000, 0.000, 0.020, 8.110, 8.556
-2.730, -6.000, 0.000, 0.000, 0.000, 0.020, 8.230, 8.556
-2.850, -6.000, 0.000, 0.000, 0.000, 0.020, 8.350, 8.556
-2.970, -6.000, 0.000, 0.000, 0.000, 0.020, 8.470, 8.556
-3.090, -6.000, -0.000, -0.000, 0.000, 0.020, 8.590, 8.556
-3.210, -6.000, 0.000, 0.000, 0.000, 0.020, 8.710, 8.556
-3.330, -6.000, -0.000, -0.000, 0.000, 0.020, 8.830, 8.556
-3.450, -6.000, 0.000, 0.000, 0.000, 0.020, 8.950, 8.556
-3.570, -6.000, -0.000, -0.000, 0.000, 0.020, 9.070, 8.556
-3.690, -6.000, 0.000, 0.000, 0.000, 0.020, 9.190, 8.556
-3.810, -6.000, 0.000, 0.000, 0.000, 0.020, 9.310, 8.556
-3.930, -6.000, 0.000, 0.000, 0.000, 0.020, 9.430, 8.556
-4.050, -6.000, 0.000, 0.000, 0.000, 0.020, 9.550, 8.556
-4.170, -6.000, 0.000, 0.000, 0.000, 0.020, 9.670, 8.556
-4.290, -6.000, 0.000, 0.000, 0.000, 0.020, 9.790, 8.556
-4.410, -6.000, 0.000, 0.000, 0.000, 0.020, 9.910, 8.556
-4.533, -6.157, -307.852, -30392.575, 6.283, 0.020, 10.033, 8.556
-4.658, -6.254, -4.851, 15150.017, 6.282, 0.020, 10.158, 8.556
-4.784, -6.325, -3.569, 64.127, 6.279, 0.020, 10.284, 8.555
-4.912, -6.394, -3.426, 7.137, 6.275, 0.020, 10.412, 8.554
-5.041, -6.459, -3.277, 7.421, 6.268, 0.020, 10.541, 8.553
-5.172, -6.522, -3.124, 7.650, 6.260, 0.020, 10.672, 8.551
-5.303, -6.581, -2.969, 7.766, 6.250, 0.020, 10.803, 8.547
-5.436, -6.638, -2.815, 7.703, 6.239, 0.020, 10.936, 8.542
-5.570, -6.691, -2.668, 7.378, 6.225, 0.020, 11.070, 8.535
-5.705, -6.742, -2.534, 6.700, 6.209, 0.020, 11.204, 8.526
-5.841, -6.790, -2.422, 5.565, 6.191, 0.020, 11.340, 8.515
-5.977, -6.837, -2.345, 3.863, 6.171, 0.020, 11.476, 8.501
-6.114, -6.816, 1.070, 170.769, 6.150, 0.020, 11.611, 8.484
