position,velocity,acceleration,jerk,heading,dt,x,y
0.000, -0.000, 0.000, 0.000, 0.000, 0.020, 5.500, 8.556
-0.003, -0.160, -8.000, -400.000, 0.000, 0.020, 5.503, 10.736
-0.010, -0.320, -8.000, -0.000, 0.000, 0.020, 5.510, 10.736
-0.019, -0.480, -8.000, 0.000, 0.000, 0.020, 5.519, 10.736
-0.032, -0.640, -8.000, -0.000, 0.000, 0.020, 5.532, 10.736
-0.048, -0.800, -8.000, 0.000, 0.000, 0.020, 5.548, 10.736
-0.067, -0.960, -8.000, -0.000, 0.000, 0.020, 5.567, 10.736
-0.090, -1.120, -8.000, 0.000, 0.000, 0.020, 5.590, 10.736
-0.115, -1.280, -8.000, -0.000, 0.000, 0.020, 5.615, 10.736
-0.144, -1.440, -8.000, 0.000, 0.000, 0.020, 5.644, 10.736
-0.176, -1.600, -8.000, 0.000, 0.000, 0.020, 5.676, 10.736
-0.211, -1.760, -8.000, -0.000, 0.000, 0.020, 5.711, 10.736
-0.250, -1.920, -8.000, -0.000, 0.000, 0.020, 5.750, 10.736
-0.291, -2.080, -8.000, -0.000, 0.000, 0.020, 5.791, 10.736
-0.336, -2.240, -8.000, -0.000, 0.000, 0.020, 5.836, 10.736
-0.384, -2.400, -8.000, 0.000, 0.000, 0.020, 5.884, 10.736
-0.435, -2.560, -8.000, 0.000, 0.000, 0.020, 5.935, 10.736
-0.490, -2.720, -8.000, -0.000, 0.000, 0.020, 5.990, 10.736
-0.547, -2.880, -8.000, 0.000, 0.000, 0.020, 6.047, 10.736
-0.608, -3.040, -8.000, 0.000, 0.000, 0.020, 6.108, 10.736
-0.672, -3.200, -8.000, -0.000, 0.000, 0.020, 6.172, 10.736
-0.739, -3.360, -8.000, -0.000, 0.000, 0.020, 6.239, 10.736
-0.810, -3.520, -8.000, 0.000, 0.000, 0.020, 6.310, 10.736
-0.883, -3.680, -8.000, -0.000, 0.000, 0.020, 6.383, 10.736
-0.960, -3.840, -8.000, 0.000, 0.000, 0.020, 6.460, 10.736
-1.040, -4.000, -8.000, 0.000, 0.000, 0.020, 6.540, 10.736
-1.123, -4.160, -8.000, 0.000, 0.000, 0.020, 6.623, 10.736
-1.210, -4.320, -8.000, 0.000, 0.000, 0.020, 6.710, 10.736
-1.299, -4.480, -8.000, -0.000, 0.000, 0.020, 6.799, 10.736
-1.392, -4.640, -8.000, 0.000, 0.000, 0.020, 6.892, 10.736
-1.488, -4.800, -8.000, -0.000, 0.000, 0.020, 6.988, 10.736
-1.587, -4.960, -8.000, 0.000, 0.000, 0.020, 7.087, 10.736
-1.690, -5.120, -8.000, 0.000, 0.000, 0.020, 7.190, 10.736
-1.795, -5.280, -8.000, 0.000, 0.000, 0.020, 7.295, 10.736
-1.904, -5.440, -8.000, -0.000, 0.000, 0.020, 7.404, 10.736
-2.016, -5.600, -8.000, 0.000, 0.000, 0.020, 7.516, 10.736
-2.131, -5.760, -8.000, 0.000, 0.000, 0.020, 7.631, 10.736
-2.250, -5.920, -8.000, -0.000, 0.000, 0.020, 7.750, 10.736
-2.370, -6.000, -4.000, 200.000, 0.000, 0.020, 7.870, 10.736
-2.490, -6.000, -0.000, 200.000, 0.000, 0.020, 7.990, 10.736
-2.610, -6.000, 0.000, 0.000, 0.000, 0.020, 8.110, 10.736
-2.730, -6.000, 0.000, 0.000, 0.000, 0.020, 8.230, 10.736
-2.850, -6.000, 0.000, 0.000, 0.000, 0.020, 8.350, 10.736
-2.970, -6.000, 0.000, 0.000, 0.000, 0.020, 8.470, 10.736
-3.090, -6.000, -0.000, -0.000, 0.000, 0.020, 8.590, 10.736
-3.210, -6.000, 0.000, 0.000, 0.000, 0.020, 8.710, 10.736
-3.330, -6.000, -0.000, -0.000, 0.000, 0.020, 8.830, 10.736
-3.450, -6.000, 0.000, 0.000, 0.000, 0.020, 8.950, 10.736
-3.570, -6.000, -0.000, -0.000, 0.000, 0.020, 9.070, 10.736
-3.690, -6.000, 0.000, 0.000, 0.000, 0.020, 9.190, 10.736
-3.810, -6.000, 0.000, 0.000, 0.000, 0.020, 9.310, 10.736
-3.930, -6.000, 0.000, 0.000, 0.000, 0.020, 9.430, 10.736
-4.050, -6.000, 0.000, 0.000, 0.000, 0.020, 9.550, 10.736
-4.170, -6.000, 0.000, 0.000, 0.000, 0.020, 9.670, 10.736
-4.290, -6.000, 0.000, 0.000, 0.000, 0.020, 9.790, 10.736
-4.410, -6.000, 0.000, 0.000, 0.000, 0.020, 9.910, 10.736
-4.533, -6.163, -308.148, -30407.425, 6.283, 0.020, 10.033, 10.736
-4.661, -6.386, -11.149, 14849.985, 6.282, 0.020, 10.161, 10.736
-4.793, -6.635, -12.431, -64.120, 6.279, 0.020, 10.293, 10.736
-4.931, -6.886, -12.574, -7.129, 6.275, 0.020, 10.431, 10.735
-5.074, -7.140, -12.722, -7.411, 6.268, 0.020, 10.574, 10.733
-5.222, -7.398, -12.875, -7.639, 6.260, 0.020, 10.722, 10.730
-5.375, -7.659, -13.030, -7.753, 6.250, 0.020, 10.875, 10.726
-5.533, -7.922, -13.184, -7.688, 6.239, 0.020, 11.033, 10.720
-5.697, -8.189, -13.331, -7.362, 6.225, 0.020, 11.197, 10.712
-5.866, -8.458, -13.464, -6.682, 6.209, 0.020, 11.366, 10.700
-6.041, -8.730, -13.575, -5.546, 6.191, 0.020, 11.540, 10.686
-6.221, -9.003, -13.652, -3.842, 6.171, 0.020, 11.719, 10.668
-6.405, -9.184, -9.068, 229.227, 6.150, 0.020, 11.901, 10.645
-6.590, -9.269, -4.254, 240.670, 6.126, 0.020, 12.084, 10.618
-6.777, -9.348, -3.922, 16.605, 6.102, 0.020, 12.269, 10.587
-6.965, -9.418, -3.544, 18.908, 6.076, 0.020, 12.453, 10.551
-7.155, -9.481, -3.118, 21.291, 6.049, 0.020, 12.638, 10.509
-7.346, -9.534, -2.646, 23.599, 6.020, 0.020, 12.823, 10.462
-7.537, -9.576, -2.133, 25.667, 5.991, 0.020, 13.008, 10.410
