position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 1.00000, 25.50000, true
0.02500, -0.50000, -10.00000, 0.00000, 3.14159, 0.05000, 1.02500, 25.50000, true
0.07500, -1.00000, -10.00000, 0.00000, 3.14159, 0.05000, 1.07500, 25.50000, true
0.15000, -1.50000, -10.00000, 0.00000, 3.14159, 0.05000, 1.15000, 25.50000, true
0.25000, -2.00000, -10.00000, 0.00000, 3.14159, 0.05000, 1.25000, 25.50000, true
0.37500, -2.50000, -10.00000, 0.00000, 3.14159, 0.05000, 1.37500, 25.50000, true
0.52500, -3.00000, -10.00000, 0.00000, 3.14159, 0.05000, 1.52500, 25.50000, true
0.70000, -3.50000, -10.00000, 0.00000, 3.14159, 0.05000, 1.70000, 25.50000, true
0.90000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 1.90000, 25.50000, true
1.10000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 2.10000, 25.50000, true
1.30000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 2.30000, 25.50000, true
1.50000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 2.50000, 25.50000, true
1.70000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 2.70000, 25.50000, true
1.90000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 2.90000, 25.50000, true
2.10000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 3.10000, 25.50000, true
2.30000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 3.30000, 25.50000, true
2.50000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 3.50000, 25.50000, true
2.70000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 3.70000, 25.50000, true
2.90000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 3.90000, 25.50000, true
3.10000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 4.10000, 25.50000, true
3.30000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 4.30000, 25.50000, true
3.50000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 4.50000, 25.50000, true
3.70000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 4.70000, 25.50000, true
3.90000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 4.90000, 25.50000, true
4.10000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 5.10000, 25.50000, true
4.30000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 5.30000, 25.50000, true
4.50000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 5.50000, 25.50000, true
4.70000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 5.70000, 25.50000, true
4.90000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 5.90000, 25.50000, true
5.10000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 6.10000, 25.50000, true
5.30000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 6.30000, 25.50000, true
5.50000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 6.50000, 25.50000, true
5.70000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 6.70000, 25.50000, true
5.90000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 6.90000, 25.50000, true
6.10000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.10000, 25.50000, true
6.30000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.30000, 25.50000, true
6.50000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.50000, 25.50000, true
6.70000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.70000, 25.50000, true
6.90000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.90000, 25.50000, true
6.70000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.70000, 25.50000, true
6.90000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.90000, 25.50000, true
7.10000, -4.00000, 0.00000, 0.00000, 3.14099, 0.05000, 8.10000, 25.49998, true
7.30000, -4.00000, 0.00000, 0.00000, 3.13635, 0.05000, 8.30000, 25.49947, true
7.50000, -4.00000, 0.00000, 0.00000, 3.12742, 0.05000, 8.49999, 25.49760, true
7.70000, -4.00000, 0.00000, 0.00000, 3.11456, 0.05000, 8.69995, 25.49354, true
7.90000, -4.00000, 0.00000, 0.00000, 3.09812, 0.05000, 8.89982, 25.48655, true
8.10000, -4.00000, 0.00000, 0.00000, 3.07844, 0.05000, 9.09954, 25.47594, true
8.30000, -4.00000, 0.00000, 0.00000, 3.05587, 0.05000, 9.29898, 25.46111, true
8.50000, -4.00000, 0.00000, 0.00000, 3.03077, 0.05000, 9.49802, 25.44153, true
8.70000, -4.00000, 0.00000, 0.00000, 3.00352, 0.05000, 9.69647, 25.41674, true
8.90000, -4.00000, 0.00000, 0.00000, 2.97453, 0.05000, 9.89414, 25.38637, true
9.10000, -4.00000, 0.00000, 0.00000, 2.94420, 0.05000, 10.09083, 25.35014, true
9.30000, -4.00000, 0.00000, 0.00000, 2.91295, 0.05000, 10.28630, 25.30787, true
9.50000, -4.00000, 0.00000, 0.00000, 2.88119, 0.05000, 10.48034, 25.25946, true
9.70000, -4.00000, 0.00000, 0.00000, 2.84933, 0.05000, 10.67275, 25.20489, true
9.90000, -4.00000, 0.00000, 0.00000, 2.81772, 0.05000, 10.86332, 25.14425, true
10.10000, -4.00000, 0.00000, 0.00000, 2.78671, 0.05000, 11.05190, 25.07766, true
10.30000, -4.00000, 0.00000, 0.00000, 2.75659, 0.05000, 11.23836, 25.00533, true
10.50000, -4.00000, 0.00000, 0.00000, 2.72760, 0.05000, 11.42260, 24.92752, true
10.70000, -4.00000, 0.00000, 0.00000, 2.69993, 0.05000, 11.60455, 24.84453, true
10.90000, -4.00000, 0.00000, 0.00000, 2.67375, 0.05000, 11.78421, 24.75666, true
11.10000, -4.00000, 0.00000, 0.00000, 2.64917, 0.05000, 11.96158, 24.66426, true
11.30000, -4.00000, 0.00000, 0.00000, 2.62625, 0.05000, 12.13671, 24.56767, true
11.50000, -4.00000, 0.00000, 0.00000, 2.60505, 0.05000, 12.30966, 24.46724, true
11.70000, -4.00000, 0.00000, 0.00000, 2.58558, 0.05000, 12.48053, 24.36332, true
11.90000, -4.00000, 0.00000, 0.00000, 2.56785, 0.05000, 12.64945, 24.25623, true
12.10000, -4.00000, 0.00000, 0.00000, 2.55185, 0.05000, 12.81653, 24.14631, true
12.30000, -4.00000, 0.00000, 0.00000, 2.53755, 0.05000, 12.98193, 24.03387, true
12.50000, -4.00000, 0.00000, 0.00000, 2.52495, 0.05000, 13.14580, 23.91922, true
12.70000, -4.00000, 0.00000, 0.00000, 2.51399, 0.05000, 13.30832, 23.80265, true
12.90000, -4.00000, 0.00000, 0.00000, 2.50468, 0.05000, 13.46964, 23.68443, true
