position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 2.00000, 26.59020, true
-0.02000, -0.40000, -8.00000, -160.00000, 3.14159, 0.05000, 2.02000, 26.59020, true
-0.06000, -0.80000, -8.00000, -0.00000, 3.14159, 0.05000, 2.06000, 26.59020, true
-0.12000, -1.20000, -8.00000, 0.00000, 3.14159, 0.05000, 2.12000, 26.59020, true
-0.20000, -1.60000, -8.00000, 0.00000, 3.14159, 0.05000, 2.20000, 26.59020, true
-0.30000, -2.00000, -8.00000, 0.00000, 3.14159, 0.05000, 2.30000, 26.59020, true
-0.42000, -2.40000, -8.00000, -0.00000, 3.14159, 0.05000, 2.42000, 26.59020, true
-0.56000, -2.80000, -8.00000, -0.00000, 3.14159, 0.05000, 2.56000, 26.59020, true
-0.72000, -3.20000, -8.00000, 0.00000, 3.14159, 0.05000, 2.72000, 26.59020, true
-0.90000, -3.60000, -8.00000, 0.00000, 3.14159, 0.05000, 2.90000, 26.59020, true
-1.10000, -4.00000, -8.00000, -0.00000, 3.14159, 0.05000, 3.10000, 26.59020, true
-1.30000, -4.00000, 0.00000, 160.00000, 3.14159, 0.05000, 3.30000, 26.59020, true
-1.50000, -4.00000, 0.00000, -0.00000, 3.14159, 0.05000, 3.50000, 26.59020, true
-1.70000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 3.70000, 26.59020, true
-1.90000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 3.90000, 26.59020, true
-2.10000, -4.00000, -0.00000, -0.00000, 3.14159, 0.05000, 4.10000, 26.59020, true
-2.30000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 4.30000, 26.59020, true
-2.50000, -4.00000, -0.00000, -0.00000, 3.14159, 0.05000, 4.50000, 26.59020, true
-2.70000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 4.70000, 26.59020, true
-2.90000, -4.00000, 0.00000, 0.00000, 3.14159, 0.05000, 4.90000, 26.59020, true
