position,velocity,acceleration,jerk,heading,dt,x,y
0.00450, 0.30000, 10.00000, 333.33333, 0.00000, 0.03000, 1.00450, 25.50000, false
0.01800, 0.60000, 10.00000, 0.00000, 0.00000, 0.03000, 1.01800, 25.50000, false
0.04050, 0.90000, 10.00000, -0.00000, 0.00000, 0.03000, 1.04050, 25.50000, false
0.07200, 1.20000, 10.00000, 0.00000, 0.00000, 0.03000, 1.07200, 25.50000, false
0.11250, 1.50000, 10.00000, -0.00000, 0.00000, 0.03000, 1.11250, 25.50000, false
0.16200, 1.80000, 10.00000, 0.00000, 0.00000, 0.03000, 1.16200, 25.50000, false
0.22050, 2.10000, 10.00000, 0.00000, 0.00000, 0.03000, 1.22050, 25.50000, false
0.28800, 2.40000, 10.00000, 0.00000, 0.00000, 0.03000, 1.28800, 25.50000, false
0.36450, 2.70000, 10.00000, -0.00000, 0.00000, 0.03000, 1.36450, 25.50000, false
0.45000, 3.00000, 10.00000, 0.00000, 0.00000, 0.03000, 1.45000, 25.50000, false
0.54450, 3.30000, 10.00000, 0.00000, 0.00000, 0.03000, 1.54450, 25.50000, false
0.64800, 3.60000, 10.00000, -0.00000, 0.00000, 0.03000, 1.64800, 25.50000, false
0.76050, 3.90000, 10.00000, 0.00000, 0.00000, 0.03000, 1.76050, 25.50000, false
0.88200, 4.20000, 10.00000, -0.00000, 0.00000, 0.03000, 1.88200, 25.50000, false
1.01250, 4.50000, 10.00000, 0.00000, 0.00000, 0.03000, 2.01250, 25.50000, false
1.15200, 4.80000, 10.00000, 0.00000, 0.00000, 0.03000, 2.15200, 25.50000, false
1.30050, 5.10000, 10.00000, -0.00000, 0.00000, 0.03000, 2.30050, 25.50000, false
1.45800, 5.40000, 10.00000, 0.00000, 0.00000, 0.03000, 2.45800, 25.50000, false
1.62450, 5.70000, 10.00000, -0.00000, 0.00000, 0.03000, 2.62450, 25.50000, false
1.80000, 6.00000, 10.00000, 0.00000, 0.00000, 0.03000, 2.80000, 25.50000, false
1.98000, 6.00000, 0.00000, -333.33333, 0.00000, 0.03000, 2.98000, 25.50000, false
2.16000, 6.00000, 0.00000, 0.00000, 0.00000, 0.03000, 3.16000, 25.50000, false
2.34000, 6.00000, 0.00000, 0.00000, 0.00000, 0.03000, 3.34000, 25.50000, false
2.52000, 6.00000, 0.00000, 0.00000, 0.00000, 0.03000, 3.52000, 25.50000, false
2.70000, 6.00000, 0.00000, 0.00000, 0.00000, 0.03000, 3.70000, 25.50000, false
2.88000, 6.00000, 0.00000, 0.00000, 0.00000, 0.03000, 3.88000, 25.50000, false
3.06000, 6.00000, 0.00000, 0.00000, 0.00000, 0.03000, 4.06000, 25.50000, false
3.24000, 6.00000, 0.00000, 0.00000, 0.00000, 0.03000, 4.24000, 25.50000, false
3.42000, 6.00000, 0.00000, 0.00000, 0.00000, 0.03000, 4.42000, 25.50000, false
3.60000, 6.00000, 0.00000, 0.00000, 0.00000, 0.03000, 4.60000, 25.50000, false
3.78000, 6.00000, 0.00000, 0.00000, 0.00000, 0.03000, 4.78000, 25.50000, false
3.96000, 6.00000, 0.00000, 0.00000, 0.00000, 0.03000, 4.96000, 25.50000, false
4.14000, 6.00000, 0.00000, 0.00000, 0.00000, 0.03000, 5.14000, 25.50000, false
4.32000, 6.00000, 0.00000, 0.00000, 0.00000, 0.03000, 5.32000, 25.50000, false
4.50000, 6.00000, 0.00000, 0.00000, 0.00000, 0.03000, 5.50000, 25.50000, false
4.68000, 6.00000, 0.00000, 0.00000, 0.00000, 0.03000, 5.68000, 25.50000, false
4.86000, 6.00000, 0.00000, 0.00000, 0.00000, 0.03000, 5.86000, 25.50000, false
5.04000, 6.00000, 0.00000, 0.00000, 0.00000, 0.03000, 6.04000, 25.50000, false
5.22000, 6.00000, 0.00000, 0.00000, 0.00000, 0.03000, 6.22000, 25.50000, false
5.40000, 6.00000, 0.00000, 0.00000, 0.00000, 0.03000, 6.40000, 25.50000, false
5.58000, 6.00000, 0.00000, 0.00000, 0.00000, 0.03000, 6.58000, 25.50000, false
5.76000, 6.00000, 0.00000, 0.00000, 0.00000, 0.03000, 6.76000, 25.50000, false
5.94000, 6.00000, 0.00000, 0.00000, 0.00000, 0.03000, 6.94000, 25.50000, false
6.12000, 6.00000, 0.00000, 0.00000, 0.00000, 0.03000, 7.12000, 25.50000, false
6.30000, 6.00000, 0.00000, 0.00000, 0.00000, 0.03000, 7.30000, 25.50000, false
6.48000, 6.00000, 0.00000, 0.00000, 0.00000, 0.03000, 7.48000, 25.50000, false
6.66000, 6.00000, 0.00000, 0.00000, 0.00000, 0.03000, 7.66000, 25.50000, false
6.84000, 6.00000, 0.00000, 0.00000, 0.00000, 0.03000, 7.84000, 25.50000, false
7.01950, 5.96667, -1.11111, -37.03704, -0.00002, 0.03000, 8.01950, 25.50000, false
7.19900, 6.00000, 1.11111, 37.03704, -0.00234, 0.03000, 8.19900, 25.49984, false
7.37900, 6.00000, 0.00000, -37.03704, -0.00828, 0.03000, 8.37900, 25.49894, false
7.55900, 6.00000, 0.00000, 0.00000, -0.01758, 0.03000, 8.55898, 25.49666, false
7.73900, 6.00000, 0.00000, 0.00000, -0.02997, 0.03000, 8.73893, 25.49243, false
7.91900, 6.00000, 0.00000, 0.00000, -0.04521, 0.03000, 8.91880, 25.48570, false
8.09900, 6.00000, 0.00000, 0.00000, -0.06305, 0.03000, 9.09854, 25.47600, false
8.27900, 6.00000, 0.00000, 0.00000, -0.08323, 0.03000, 9.27806, 25.46288, false
8.45900, 6.00000, 0.00000, 0.00000, -0.10549, 0.03000, 9.45726, 25.44595, false
8.63900, 6.00000, 0.00000, 0.00000, -0.12956, 0.03000, 9.63601, 25.42487, false
8.81900, 6.00000, 0.00000, 0.00000, -0.15514, 0.03000, 9.81419, 25.39936, false
8.99900, 6.00000, 0.00000, 0.00000, -0.18194, 0.03000, 9.99164, 25.36918, false
9.17900, 6.00000, 0.00000, 0.00000, -0.20965, 0.03000, 10.16820, 25.33417, false
9.35900, 6.00000, 0.00000, 0.00000, -0.23798, 0.03000, 10.34370, 25.29423, false
9.53900, 6.00000, 0.00000, 0.00000, -0.26662, 0.03000, 10.51800, 25.24930, false
9.71900, 6.00000, 0.00000, 0.00000, -0.29529, 0.03000, 10.69093, 25.19939, false
9.89900, 6.00000, 0.00000, 0.00000, -0.32371, 0.03000, 10.86237, 25.14456, false
10.07900, 6.00000, 0.00000, 0.00000, -0.35166, 0.03000, 11.03220, 25.08492, false
10.25900, 6.00000, 0.00000, 0.00000, -0.37891, 0.03000, 11.20031, 25.02061, false
