position,velocity,acceleration,jerk,heading,dt,x,y,
0,0,0,0,3.14159,0.05,2.5,26.5902, true
-0.01501,-0.30018,-6.00354,-120.07083,3.14158,0.05,2.51501,26.5902, true
-0.04508,-0.60141,-6.02468,-0.42272,3.14152,0.05,2.54508,26.5902, true
-0.09032,-0.90473,-6.06639,-0.83426,3.1413,0.05,2.59032,26.59019, true
-0.15087,-1.21111,-6.12761,-1.22443,3.14079,0.05,2.65087,26.59016, true
-0.22694,-1.52145,-6.20686,-1.5849,3.13981,0.05,2.72694,26.59006, true
-0.31877,-1.83657,-6.30234,-1.9097,3.13813,0.05,2.81877,26.58983, true
-0.42663,-2.15718,-6.41211,-2.19544,3.13551,0.05,2.92663,26.58932, true
-0.55083,-2.48388,-6.53416,-2.44088,3.13166,0.05,3.05082,26.58833, true
-0.69169,-2.81721,-6.66646,-2.64607,3.12629,0.05,3.19167,26.58657, true
-0.84956,-3.15756,-6.807,-2.81084,3.11906,0.05,3.34952,26.5836, true
-1.02483,-3.50524,-6.95364,-2.93271,3.10965,0.05,3.52472,26.57884, true
-1.21785,-3.86043,-7.10385,-3.00422,3.0977,0.05,3.7176,26.57155, true
-1.42901,-4.22315,-7.25434,-3.00978,3.08288,0.05,3.92848,26.56076, true
-1.65866,-4.59317,-7.40045,-2.92229,3.06484,0.05,4.15762,26.54525, true
-1.90716,-4.96995,-7.53546,-2.70008,3.04329,0.05,4.40517,26.52357, true
-2.17478,-5.35243,-7.64973,-2.28553,3.01794,0.05,4.67115,26.49397, true
-2.46173,-5.73894,-7.73011,-1.60749,2.98863,0.05,4.95536,26.45446, true
-2.76808,-6.12692,-7.75965,-0.59089,2.95528,0.05,5.25732,26.40279, true
-3.09372,-6.51285,-7.71851,0.82296,2.91798,0.05,5.57615,26.33656, true
-3.43833,-6.89216,-7.58628,2.64444,2.87704,0.05,5.91055,26.25331, true
-3.8013,-7.25948,-7.34642,4.79722,2.83301,0.05,6.25873,26.15073, true
-4.18175,-7.60908,-6.99191,7.09028,2.7867,0.05,6.61844,26.02681, true
-4.57853,-7.93561,-6.53065,9.22519,2.73917,0.05,6.9871,25.8801, true
-4.99028,-8.23499,-5.98772,10.8586,2.69167,0.05,7.36198,25.70981, true
-5.41554,-8.5051,-5.40215,11.71147,2.64553,0.05,7.74049,25.51597, true
-5.85284,-8.74601,-4.81821,11.67878,2.60212,0.05,8.1204,25.29939, true
-6.30083,-8.95973,-4.27428,10.87851,2.56266,0.05,8.50004,25.06156, true
-6.7583,-9.14942,-3.79378,9.61001,2.52827,0.05,8.87847,24.80452, true
-7.22422,-9.31849,-3.3814,8.24766,2.49989,0.05,9.25547,24.53074, true
-7.69771,-9.46973,-3.02492,7.12948,2.47834,0.05,9.63151,24.24302, true
-8.1626,-9.29778,3.43897,129.27792,2.46468,0.05,9.99569,23.95407, true
-8.61896,-9.12732,3.40916,-0.59625,2.45884,0.05,10.35041,23.66694, true
-9.06685,-8.95768,3.39285,-0.32623,2.46078,0.05,10.69799,23.38447, true
-9.50623,-8.78769,3.39975,0.13806,2.47051,0.05,11.04058,23.10934, true
-9.93705,-8.61636,3.4267,0.53896,2.4881,0.05,11.38013,22.84419, true
-10.35922,-8.4435,3.45726,0.61129,2.51361,0.05,11.71839,22.59158, true
-10.77275,-8.27048,3.46031,0.06087,2.54705,0.05,12.05687,22.35402, true
-11.1778,-8.10103,3.38901,-1.42599,2.58826,0.05,12.39686,22.13386, true
-11.57489,-7.94186,3.18343,-4.1115,2.63675,0.05,12.73953,21.9332, true
-11.96503,-7.80282,2.7808,-8.05272,2.69161,0.05,13.08595,21.75375, true
-12.34984,-7.69602,2.13592,-12.8976,2.75136,0.05,13.43723,21.59667, true
-12.73152,-7.63364,1.2476,-17.7664,2.81397,0.05,13.79457,21.46254, true
-13.11276,-7.62482,0.1765,-21.42194,2.87698,0.05,14.15923,21.35132, true
-13.49641,-7.67299,-0.96337,-22.7973,2.93779,0.05,14.53243,21.26242, true
-13.88517,-7.77517,-2.04356,-21.60393,2.99392,0.05,14.91524,21.19467, true
-14.28135,-7.92371,-2.97084,-18.54564,3.04324,0.05,15.30847,21.14634, true
-14.68683,-8.10965,-3.7188,-14.95918,3.08405,0.05,15.71275,21.11511, true
-15.10314,-8.32612,-4.32937,-12.21126,3.11494,0.05,16.1287,21.09799, true
-15.51719,-8.28092,0.9039,104.66535,3.13416,0.05,16.54269,21.09134, true
-15.92916,-8.23951,0.82823,-1.5135,3.14152,0.05,16.95467,21.0902, true
-15.92916,-8.05,164.7902,3279.23949,3.14152,0.05,16.95467,21.0902, true
-16.32676,-7.95193,-159.03867,-6476.57741,-3.13946,0.05,17.35226,21.09044, true
-16.71747,-7.81432,2.75224,3235.81824,-3.13095,0.05,17.74297,21.0927, true
-17.09942,-7.63894,3.50768,15.10881,-3.11439,0.05,18.12486,21.09963, true
-17.47081,-7.4278,4.22276,14.30159,-3.08816,0.05,18.49596,21.11425, true
-17.82976,-7.17898,4.97633,15.07132,-3.05052,0.05,18.854,21.13975, true
-18.16169,-6.63865,10.80662,116.60592,-3.00188,0.05,19.18377,21.17756, true
-18.4667,-6.10017,10.76958,-0.74094,-2.9423,0.05,19.48448,21.22861, true
-18.74571,-5.58023,10.39879,-7.41583,-2.87265,0.05,19.75596,21.29298, true
-19.00079,-5.10147,9.57524,-16.47094,-2.79481,0.05,19.99913,21.37, true
-19.23518,-4.68796,8.27022,-26.10037,-2.71177,0.05,20.21615,21.45856, true
-19.45303,-4.35682,6.62286,-32.94722,-2.6273,0.05,20.41021,21.55754, true
-19.65854,-4.11035,4.92927,-33.87183,-2.54527,0.05,20.58485,21.66589, true
-19.85527,-3.93459,3.51534,-28.27852,-2.46893,0.05,20.74325,21.78256, true
-20.04554,-3.80538,2.58423,-18.6222,-2.40042,0.05,20.88786,21.90621, true
-20.23041,-3.69745,2.15855,-8.51368,-2.3407,0.05,21.02037,22.03513, true
-20.40995,-3.5908,2.13294,-0.51224,-2.28985,0.05,21.14194,22.16724, true
-20.58359,-3.47269,2.36218,4.58488,-2.24733,0.05,21.25344,22.30035, true
-20.75042,-3.33664,2.72115,7.17932,-2.21233,0.05,21.35554,22.43229, true
-20.90944,-3.18039,3.12489,8.07487,-2.18392,0.05,21.44883,22.56107, true
-21.05965,-3.00414,3.52496,8.00143,-2.16118,0.05,21.53382,22.68492, true
-21.20011,-2.80923,3.89821,7.46491,-2.14326,0.05,21.61093,22.80232, true
-21.32998,-2.59742,4.23633,6.76248,-2.12938,0.05,21.6805,22.91198, true
-21.4485,-2.37049,4.53854,6.04428,-2.11886,0.05,21.74277,23.01283, true
-21.55501,-2.13013,4.80707,5.37045,-2.11107,0.05,21.7979,23.10396, true
-21.64891,-1.8779,5.04463,4.75135,-2.10547,0.05,21.84596,23.18462, true
-21.72967,-1.61524,5.25327,4.1727,-2.10158,0.05,21.88698,23.2542, true
-21.79684,-1.34355,5.43382,3.61096,-2.09899,0.05,21.9209,23.31218, true
-21.85006,-1.06425,5.58594,3.04242,-2.09735,0.05,21.94768,23.35816, true
-21.889,-0.77883,5.70838,2.44884,-2.09638,0.05,21.96724,23.39184, true
-21.91344,-0.48886,5.79941,1.8205,-2.09587,0.05,21.9795,23.41298, true
-21.92324,-0.196,5.85726,1.15717,-2.09569,0.05,21.98441,23.42146, true
-21.92324,0,3.91999,-38.74552,-2.09578,0.05,21.98195,23.41722, true
-21.92324,0,0,-78.39976,-2.09578,0.05,21.98195,23.41722, true
-21.92324,0,0,0,-2.09578,0.05,21.98195,23.41722, false
-21.90853,0.29429,5.88585,117.71707,-2.09552,0.05,21.98932,23.42996, false
-21.87901,0.59036,5.92128,0.70849,-2.09507,0.05,22.00411,23.45551, false
-21.83451,0.89001,5.99313,1.43703,-2.09462,0.05,22.02637,23.49404, false
-21.77634,1.16345,5.46865,-10.48967,-2.0944,0.05,22.05546,23.54441, false
-21.70061,1.51463,7.02374,31.10184,-2.09372,0.05,22.01761,23.47882, false
-21.60791,1.85381,6.78349,-4.80504,-2.09126,0.05,21.97141,23.39846, false
