position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, -2.618, 0.020, 25.000, 24.000
0.003, 0.160, 8.000, 0.000, -2.618, 0.020, 24.997, 23.998
0.010, 0.320, 8.000, 0.000, -2.618, 0.020, 24.992, 23.995
0.019, 0.480, 8.000, 0.000, -2.618, 0.020, 24.983, 23.990
0.032, 0.640, 8.000, 0.000, -2.618, 0.020, 24.972, 23.984
0.048, 0.800, 8.000, 0.000, -2.618, 0.020, 24.958, 23.976
0.067, 0.960, 8.000, 0.000, -2.618, 0.020, 24.942, 23.966
0.090, 1.120, 8.000, 0.000, -2.617, 0.020, 24.922, 23.955
0.115, 1.280, 8.000, 0.000, -2.617, 0.020, 24.900, 23.942
0.144, 1.440, 8.000, 0.000, -2.616, 0.020, 24.875, 23.928
0.176, 1.600, 8.000, 0.000, -2.615, 0.020, 24.848, 23.912
0.211, 1.760, 8.000, 0.000, -2.614, 0.020, 24.817, 23.894
0.250, 1.920, 8.000, 0.000, -2.612, 0.020, 24.784, 23.875
0.291, 2.080, 8.000, 0.000, -2.610, 0.020, 24.748, 23.854
0.336, 2.240, 8.000, 0.000, -2.608, 0.020, 24.710, 23.831
0.384, 2.400, 8.000, 0.000, -2.605, 0.020, 24.668, 23.807
0.435, 2.560, 8.000, 0.000, -2.601, 0.020, 24.624, 23.780
0.490, 2.720, 8.000, 0.000, -2.596, 0.020, 24.578, 23.752
0.547, 2.880, 8.000, 0.000, -2.591, 0.020, 24.529, 23.722
0.608, 3.040, 8.000, 0.000, -2.585, 0.020, 24.477, 23.690
0.672, 3.200, 8.000, 0.000, -2.578, 0.020, 24.423, 23.656
0.739, 3.360, 8.000, 0.000, -2.569, 0.020, 24.366, 23.620
0.810, 3.520, 8.000, 0.000, -2.559, 0.020, 24.307, 23.582
0.883, 3.680, 8.000, 0.000, -2.548, 0.020, 24.246, 23.541
0.960, 3.840, 8.000, 0.000, -2.535, 0.020, 24.182, 23.497
1.040, 4.000, 8.000, 0.000, -2.520, 0.020, 24.117, 23.451
1.123, 4.160, 8.000, 0.000, -2.503, 0.020, 24.050, 23.402
1.210, 4.320, 8.000, 0.000, -2.484, 0.020, 23.981, 23.350
1.299, 4.480, 8.000, 0.000, -2.462, 0.020, 23.911, 23.295
1.392, 4.640, 8.000, 0.000, -2.437, 0.020, 23.839, 23.236
1.488, 4.800, 8.000, 0.000, -2.409, 0.020, 23.767, 23.172
1.587, 4.960, 8.000, 0.000, -2.377, 0.020, 23.694, 23.105
1.690, 5.120, 8.000, 0.000, -2.341, 0.020, 23.621, 23.033
1.795, 5.280, 8.000, 0.000, -2.300, 0.020, 23.550, 22.955
1.904, 5.440, 8.000, 0.000, -2.254, 0.020, 23.479, 22.873
2.016, 5.600, 8.000, 0.000, -2.204, 0.020, 23.410, 22.784
2.131, 5.760, 8.000, 0.000, -2.148, 0.020, 23.345, 22.689
2.250, 5.920, 8.000, 0.000, -2.087, 0.020, 23.283, 22.588
