position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, -5.760, 0.020, 25.545, 23.056
0.003, 0.160, 7.994, 399.720, -5.760, 0.020, 25.542, 23.054
0.010, 0.319, 7.961, -1.676, -5.760, 0.020, 25.537, 23.051
0.019, 0.477, 7.894, -3.331, -5.760, 0.020, 25.529, 23.046
0.032, 0.633, 7.795, -4.945, -5.759, 0.020, 25.518, 23.040
0.048, 0.786, 7.665, -6.502, -5.759, 0.020, 25.504, 23.032
0.066, 0.936, 7.505, -7.992, -5.759, 0.020, 25.488, 23.023
0.088, 1.083, 7.317, -9.412, -5.758, 0.020, 25.469, 23.012
0.112, 1.225, 7.102, -10.766, -5.757, 0.020, 25.448, 23.000
0.140, 1.362, 6.861, -12.068, -5.756, 0.020, 25.424, 22.986
0.169, 1.494, 6.594, -13.337, -5.754, 0.020, 25.398, 22.971
0.202, 1.620, 6.302, -14.602, -5.751, 0.020, 25.371, 22.954
0.237, 1.739, 5.984, -15.895, -5.748, 0.020, 25.341, 22.937
0.274, 1.852, 5.639, -17.258, -5.744, 0.020, 25.309, 22.918
0.313, 1.958, 5.264, -18.735, -5.738, 0.020, 25.275, 22.898
0.354, 2.055, 4.857, -20.371, -5.732, 0.020, 25.240, 22.876
0.397, 2.143, 4.412, -22.214, -5.724, 0.020, 25.204, 22.854
0.441, 2.221, 3.926, -24.306, -5.715, 0.020, 25.166, 22.830
0.487, 2.289, 3.393, -26.684, -5.704, 0.020, 25.128, 22.805
0.534, 2.345, 2.805, -29.365, -5.692, 0.020, 25.089, 22.779
0.582, 2.389, 2.159, -32.336, -5.677, 0.020, 25.049, 22.752
0.630, 2.418, 1.448, -35.536, -5.659, 0.020, 25.010, 22.724
0.679, 2.431, 0.671, -38.822, -5.640, 0.020, 24.970, 22.696
0.727, 2.428, -0.167, -41.926, -5.617, 0.020, 24.932, 22.666
0.775, 2.407, -1.055, -44.397, -5.590, 0.020, 24.895, 22.636
0.823, 2.367, -1.966, -45.522, -5.560, 0.020, 24.859, 22.605
0.869, 2.310, -2.851, -44.249, -5.526, 0.020, 24.824, 22.574
0.914, 2.238, -3.633, -39.132, -5.488, 0.020, 24.792, 22.542
0.957, 2.154, -4.201, -28.372, -5.445, 0.020, 24.763, 22.511
0.998, 2.065, -4.402, -10.046, -5.398, 0.020, 24.736, 22.480
1.038, 1.984, -4.055, 17.341, -5.347, 0.020, 24.712, 22.448
1.076, 1.925, -2.976, 53.933, -5.291, 0.020, 24.690, 22.417
1.114, 1.904, -1.028, 97.412, -5.232, 0.020, 24.670, 22.384
1.153, 1.941, 1.818, 142.267, -5.171, 0.020, 24.652, 22.350
1.194, 2.049, 5.424, 180.304, -5.108, 0.020, 24.635, 22.313
1.239, 2.239, 9.482, 202.921, -5.047, 0.020, 24.619, 22.271
1.289, 2.510, 13.572, 204.476, -4.987, 0.020, 24.604, 22.223
1.346, 2.856, 17.269, 184.872, -4.931, 0.020, 24.590, 22.168
1.411, 3.261, 20.261, 149.592, -4.879, 0.020, 24.577, 22.104
1.484, 3.625, 18.197, -103.192, -4.834, 0.020, 24.567, 22.032
1.561, 3.866, 12.064, -306.644, -4.796, 0.020, 24.559, 21.955
1.643, 4.069, 10.141, -96.137, -4.764, 0.020, 24.554, 21.874
1.727, 4.230, 8.073, -103.429, -4.739, 0.020, 24.550, 21.789
1.814, 4.351, 6.053, -100.992, -4.718, 0.020, 24.549, 21.702
1.903, 4.435, 4.177, -93.778, -4.702, 0.020, 24.549, 21.613
1.993, 4.485, 2.481, -84.821, -4.690, 0.020, 24.551, 21.524
2.083, 4.504, 0.965, -75.780, -4.681, 0.020, 24.553, 21.434
2.173, 4.496, -0.383, -67.440, -4.675, 0.020, 24.556, 21.344
2.262, 4.464, -1.585, -60.081, -4.672, 0.020, 24.560, 21.255
2.350, 4.411, -2.659, -53.711, -4.670, 0.020, 24.563, 21.167
2.437, 4.339, -3.623, -48.205, -4.670, 0.020, 24.567, 21.080
2.522, 4.249, -4.491, -43.388, -4.671, 0.020, 24.571, 20.995
2.605, 4.144, -5.273, -39.078, -4.673, 0.020, 24.574, 20.912
2.685, 4.024, -5.975, -35.114, -4.676, 0.020, 24.577, 20.832
2.763, 3.892, -6.602, -31.363, -4.679, 0.020, 24.580, 20.754
2.838, 3.749, -7.157, -27.728, -4.683, 0.020, 24.582, 20.679
2.910, 3.596, -7.640, -24.152, -4.687, 0.020, 24.584, 20.607
2.979, 3.435, -8.052, -20.609, -4.691, 0.020, 24.586, 20.538
3.044, 3.267, -8.394, -17.102, -4.695, 0.020, 24.587, 20.473
3.106, 3.094, -8.667, -13.659, -4.698, 0.020, 24.588, 20.411
3.164, 2.916, -8.874, -10.323, -4.701, 0.020, 24.589, 20.353
3.219, 2.736, -9.017, -7.147, -4.704, 0.020, 24.589, 20.298
3.270, 2.554, -9.100, -4.187, -4.706, 0.020, 24.590, 20.247
3.317, 2.371, -9.130, -1.495, -4.708, 0.020, 24.590, 20.200
3.361, 2.189, -9.113, 0.884, -4.710, 0.020, 24.590, 20.156
3.401, 2.008, -9.054, 2.913, -4.711, 0.020, 24.590, 20.116
3.438, 1.829, -8.963, 4.569, -4.712, 0.020, 24.590, 20.079
3.471, 1.652, -8.846, 5.840, -4.712, 0.020, 24.590, 20.046
3.501, 1.478, -8.712, 6.727, -4.713, 0.020, 24.590, 20.017
3.517, 0.000, 0.000, 2087.696, -4.713, 0.020, 24.590, 20.000
3.517, 0.000, 0.000, 0.000, -4.713, 0.020, 24.590, 20.000
3.517, 0.000, 0.000, 0.000, -4.713, 0.020, 24.590, 20.000
3.517, 0.000, 0.000, 0.000, -4.713, 0.020, 24.590, 20.000
3.517, 0.000, 0.000, 0.000, -4.713, 0.020, 24.590, 20.000
3.517, 0.000, 0.000, 0.000, -4.713, 0.020, 24.590, 20.000
3.517, 0.000, 0.000, 0.000, -4.713, 0.020, 24.590, 20.000
3.517, 0.000, 0.000, 0.000, -4.713, 0.020, 24.590, 20.000
3.517, 0.000, 0.000, 0.000, -4.713, 0.020, 24.590, 20.000
3.517, 0.000, 0.000, 0.000, -4.713, 0.020, 24.590, 20.000
