position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, -5.760, 0.020, 24.455, 24.944
0.003, 0.160, 8.006, 400.280, -5.760, 0.020, 24.452, 24.943
0.010, 0.321, 8.039, 1.676, -5.760, 0.020, 24.447, 24.939
0.019, 0.483, 8.106, 3.331, -5.760, 0.020, 24.438, 24.935
0.032, 0.647, 8.205, 4.945, -5.759, 0.020, 24.427, 24.928
0.048, 0.814, 8.335, 6.502, -5.759, 0.020, 24.413, 24.920
0.068, 0.984, 8.495, 7.992, -5.759, 0.020, 24.396, 24.910
0.091, 1.157, 8.683, 9.412, -5.758, 0.020, 24.376, 24.898
0.118, 1.335, 8.898, 10.766, -5.757, 0.020, 24.353, 24.885
0.148, 1.518, 9.139, 12.068, -5.756, 0.020, 24.326, 24.870
0.183, 1.706, 9.406, 13.337, -5.754, 0.020, 24.297, 24.853
0.221, 1.900, 9.698, 14.601, -5.751, 0.020, 24.264, 24.833
0.263, 2.101, 10.016, 15.894, -5.748, 0.020, 24.228, 24.812
0.309, 2.308, 10.361, 17.257, -5.744, 0.020, 24.188, 24.788
0.359, 2.522, 10.736, 18.733, -5.738, 0.020, 24.145, 24.762
0.414, 2.745, 11.143, 20.368, -5.732, 0.020, 24.098, 24.734
0.474, 2.977, 11.587, 22.210, -5.724, 0.020, 24.048, 24.702
0.538, 3.219, 12.073, 24.301, -5.715, 0.020, 23.993, 24.668
0.607, 3.471, 12.607, 26.677, -5.704, 0.020, 23.935, 24.630
0.682, 3.735, 13.194, 29.355, -5.692, 0.020, 23.873, 24.589
0.762, 4.011, 13.841, 32.323, -5.677, 0.020, 23.806, 24.544
0.848, 4.302, 14.551, 35.519, -5.659, 0.020, 23.736, 24.494
0.941, 4.609, 15.327, 38.800, -5.640, 0.020, 23.662, 24.440
1.039, 4.932, 16.165, 41.898, -5.617, 0.020, 23.584, 24.380
1.145, 5.273, 17.052, 44.361, -5.590, 0.020, 23.502, 24.313
1.257, 5.632, 17.962, 45.476, -5.560, 0.020, 23.416, 24.240
1.377, 6.009, 18.846, 44.193, -5.526, 0.020, 23.327, 24.159
1.505, 6.402, 19.627, 39.067, -5.488, 0.020, 23.236, 24.069
1.642, 6.806, 20.193, 28.301, -5.445, 0.020, 23.143, 23.970
1.786, 7.214, 20.392, 9.976, -5.398, 0.020, 23.049, 23.861
1.938, 7.615, 20.044, -17.396, -5.347, 0.020, 22.955, 23.740
2.098, 7.994, 18.965, -53.957, -5.291, 0.020, 22.864, 23.609
2.265, 8.334, 17.018, -97.385, -5.232, 0.020, 22.777, 23.467
2.437, 8.618, 14.174, -142.174, -5.171, 0.020, 22.696, 23.315
2.614, 8.829, 10.571, -180.145, -5.108, 0.020, 22.623, 23.154
2.793, 8.959, 6.517, -202.714, -5.047, 0.020, 22.559, 22.987
2.973, 9.008, 2.432, -204.255, -4.987, 0.020, 22.505, 22.815
3.153, 8.983, -1.262, -184.676, -4.931, 0.020, 22.461, 22.640
3.331, 8.898, -4.251, -149.450, -4.879, 0.020, 22.427, 22.466
3.502, 8.584, -15.684, -571.649, -4.834, 0.020, 22.403, 22.296
4.085, 6.578, -22.047, 100.857, -4.718, 0.020, 22.369, 21.715
4.208, 6.175, -20.174, 93.680, -4.702, 0.020, 22.369, 21.591
4.324, 5.805, -18.478, 84.752, -4.690, 0.020, 22.371, 21.475
4.434, 5.466, -16.964, 75.732, -4.681, 0.020, 22.374, 21.366
4.537, 5.154, -15.616, 67.408, -4.675, 0.020, 22.377, 21.263
4.634, 4.865, -14.414, 60.060, -4.672, 0.020, 22.381, 21.166
4.726, 4.599, -13.341, 53.698, -4.670, 0.020, 22.385, 21.074
4.813, 4.351, -12.377, 48.197, -4.670, 0.020, 22.389, 20.987
4.895, 4.121, -11.509, 43.384, -4.671, 0.020, 22.392, 20.904
4.974, 3.906, -10.727, 39.077, -4.673, 0.020, 22.395, 20.826
5.048, 3.706, -10.025, 35.114, -4.676, 0.020, 22.398, 20.752
5.118, 3.518, -9.398, 31.363, -4.679, 0.020, 22.401, 20.682
5.185, 3.341, -8.843, 27.729, -4.683, 0.020, 22.403, 20.615
5.248, 3.174, -8.360, 24.153, -4.687, 0.020, 22.404, 20.552
5.309, 3.015, -7.948, 20.609, -4.691, 0.020, 22.406, 20.491
5.366, 2.863, -7.606, 17.102, -4.695, 0.020, 22.407, 20.434
5.420, 2.716, -7.333, 13.659, -4.698, 0.020, 22.408, 20.380
5.472, 2.574, -7.126, 10.323, -4.701, 0.020, 22.409, 20.328
5.520, 2.434, -6.983, 7.147, -4.704, 0.020, 22.409, 20.280
