position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 2.50000, 23.65980, true
-0.02998, -0.59958, -11.99160, -239.83191, 3.14157, 0.05000, 2.52998, 23.65980, true
-0.08981, -1.19666, -11.94165, 0.99898, 3.14142, 0.05000, 2.58981, 23.65979, true
-0.17926, -1.78887, -11.84409, 1.95114, 3.14091, 0.05000, 2.67926, 23.65976, true
-0.29796, -2.37404, -11.70339, 2.81402, 3.13972, 0.05000, 2.79796, 23.65961, true
-0.44547, -2.95032, -11.52576, 3.55267, 3.13744, 0.05000, 2.94547, 23.65918, true
-0.62129, -3.51626, -11.31871, 4.14082, 3.13360, 0.05000, 3.12128, 23.65813, true
-0.82483, -4.07080, -11.09076, 4.55911, 3.12767, 0.05000, 3.32481, 23.65593, true
-1.05549, -4.61336, -10.85126, 4.79004, 3.11912, 0.05000, 3.55544, 23.65177, true
-1.31269, -5.14390, -10.61076, 4.80993, 3.10737, 0.05000, 3.81253, 23.64452, true
-1.59584, -5.66299, -10.38181, 4.57902, 3.09192, 0.05000, 4.09544, 23.63271, true
-1.90444, -6.17200, -10.18020, 4.03228, 3.07229, 0.05000, 4.40350, 23.61443, true
-2.23810, -6.67332, -10.02643, 3.07541, 3.04814, 0.05000, 4.73606, 23.58739, true
-2.59664, -7.17066, -9.94677, 1.59316, 3.01929, 0.05000, 5.09252, 23.54887, true
-2.98010, -7.66930, -9.97281, -0.52091, 2.98580, 0.05000, 5.47230, 23.49580, true
-3.38891, -8.17621, -10.13818, -3.30728, 2.94804, 0.05000, 5.87489, 23.42480, true
-3.82390, -8.69977, -10.47132, -6.66296, 2.90678, 0.05000, 6.29995, 23.33236, true
-4.27727, -9.06746, -7.35372, 62.35202, 2.86404, 0.05000, 6.73851, 23.21744, true
-4.73233, -9.10115, -0.67371, 133.60025, 2.82285, 0.05000, 7.17347, 23.08368, true
-5.19033, -9.15988, -1.17475, -10.02074, 2.78434, 0.05000, 7.60551, 22.93169, true
-5.65228, -9.23901, -1.58245, -8.15408, 2.74946, 0.05000, 8.03534, 22.76247, true
-6.11896, -9.33359, -1.89169, -6.18475, 2.71891, 0.05000, 8.46375, 22.57738, true
-6.59091, -9.43909, -2.11001, -4.36635, 2.69320, 0.05000, 8.89156, 22.37807, true
-7.06850, -9.55174, -2.25305, -2.86089, 2.67265, 0.05000, 9.31969, 22.16642, true
-7.55193, -9.66872, -2.33953, -1.72954, 2.65746, 0.05000, 9.74916, 21.94447, true
-8.04134, -9.78808, -2.38718, -0.95304, 2.64774, 0.05000, 10.18110, 21.71437, true
-8.53677, -9.90859, -2.41024, -0.46125, 2.64355, 0.05000, 10.61673, 21.47842, true
-9.03824, -10.02950, -2.41815, -0.15821, 2.64490, 0.05000, 11.05734, 21.23895, true
-9.54575, -10.15025, -2.41504, 0.06229, 2.65180, 0.05000, 11.50425, 20.99845, true
-10.05927, -10.27023, -2.39958, 0.30921, 2.66419, 0.05000, 11.95877, 20.75948, true
-10.57869, -10.38848, -2.36505, 0.69055, 2.68202, 0.05000, 12.42212, 20.52474, true
-11.10386, -10.50346, -2.29963, 1.30843, 2.70512, 0.05000, 12.89537, 20.29705, true
-11.63450, -10.61282, -2.18722, 2.24816, 2.73324, 0.05000, 13.37929, 20.07932, true
-12.17017, -10.71329, -2.00932, 3.55805, 2.76598, 0.05000, 13.87425, 19.87452, true
-12.71020, -10.80070, -1.74825, 5.22137, 2.80273, 0.05000, 14.38014, 19.68553, true
-13.25372, -10.87029, -1.39178, 7.12934, 2.84267, 0.05000, 14.89622, 19.51502, true
-13.79958, -10.91720, -0.93814, 9.07285, 2.88478, 0.05000, 15.42112, 19.36523, true
-14.34644, -10.93717, -0.39950, 10.77284, 2.92780, 0.05000, 15.95291, 19.23772, true
-14.89280, -10.92726, 0.19830, 11.95605, 2.97036, 0.05000, 16.48918, 19.13324, true
-15.43711, -10.88621, 0.82104, 12.45478, 3.01104, 0.05000, 17.02733, 19.05152, true
-15.97783, -10.81444, 1.43525, 12.28421, 3.04842, 0.05000, 17.56469, 18.99133, true
-16.51351, -10.71354, 2.01805, 11.65587, 3.08117, 0.05000, 18.09880, 18.95045, true
-17.04278, -10.58533, 2.56416, 10.92222, 3.10803, 0.05000, 18.62750, 18.92586, true
-17.56432, -10.43090, 3.08861, 10.48911, 3.12780, 0.05000, 19.14890, 18.91383, true
-18.07680, -10.24961, 3.62579, 10.74357, 3.13925, 0.05000, 19.66137, 18.91007, true
-18.58192, -10.10235, 2.94519, -13.61212, -3.13924, 0.05000, 20.16649, 18.90993, true
-18.74841, -3.32977, 135.45159, 2650.12815, 3.14159, 0.05000, 20.00000, 18.90980, true
-18.91490, -3.32977, 0.00000, -2709.03188, -3.13924, 0.05000, 20.16649, 18.90993, true
-19.45393, -10.78072, -149.01898, -2980.37967, -3.10341, 0.05000, 20.70545, 18.91903, true
-20.04650, -11.85143, -21.41423, 2552.09508, -3.01833, 0.05000, 21.29628, 18.96446, true
-20.67258, -12.52155, -13.40226, 160.23940, -2.87467, 0.05000, 21.91104, 19.08294, true
-21.34478, -13.44405, -18.45015, -100.95772, -2.66049, 0.05000, 22.53792, 19.32559, true
-22.04438, -13.99189, -10.95663, 149.87028, -2.39293, 0.05000, 23.11029, 19.72786, true
-22.70161, -13.14453, 16.94704, 558.07342, -2.13699, 0.05000, 23.53009, 20.23355, true
-23.26125, -11.19290, 39.03277, 441.71466, -1.94388, 0.05000, 23.78197, 20.73331, true
-23.72245, -9.22392, 39.37941, 6.93277, -1.81407, 0.05000, 23.92078, 21.17312, true
-24.10467, -7.64445, 31.58950, -155.79818, -1.72938, 0.05000, 23.99642, 21.54778, true
-24.42469, -6.40038, 24.88142, -134.16158, -1.67429, 0.05000, 24.03786, 21.86511, true
-24.69351, -5.37645, 20.47854, -88.05767, -1.63866, 0.05000, 24.06065, 22.13296, true
-24.91811, -4.49205, 17.68798, -55.81115, -1.61609, 0.05000, 24.07323, 22.35721, true
-25.10307, -3.69917, 15.85766, -36.60651, -1.60237, 0.05000, 24.08027, 22.54203, true
-25.25155, -2.96965, 14.59031, -25.34687, -1.59459, 0.05000, 24.08434, 22.69046, true
-25.36586, -2.28618, 13.66956, -18.41505, -1.59063, 0.05000, 24.08682, 22.80474, true
-25.44770, -1.63681, 12.98740, -13.64327, -1.58895, 0.05000, 24.08836, 22.88657, true
-25.49830, -1.01188, 12.49844, -9.77924, -1.58840, 0.05000, 24.08927, 22.93716, true
-25.51841, -0.40234, 12.19088, -6.15107, -1.58829, 0.05000, 24.08962, 22.95727, true
-25.51841, 0.00000, 8.04680, -82.88165, -1.58834, 0.05000, 24.08944, 22.94722, true
-25.51841, 0.00000, 0.00000, -160.93598, -1.58834, 0.05000, 24.08944, 22.94722, true
-25.51841, 0.00000, 0.00000, 0.00000, -1.58834, 0.05000, 24.08944, 22.94722, false
-25.48832, 0.60195, 12.03897, 240.77946, -1.58825, 0.05000, 24.08997, 22.97731, false
-25.43610, 1.04440, 8.84899, -63.79974, -1.58783, 0.05000, 24.08907, 22.92510, false
-25.34863, 1.74929, 14.09779, 104.97615, -1.58550, 0.05000, 24.08766, 22.83765, false
-25.23509, 2.27081, 10.43044, -73.34699, -1.57958, 0.05000, 24.08630, 22.72412, false
-25.09736, 2.75461, 9.67605, -15.08781, -1.56832, 0.05000, 24.08582, 22.58639, false
