position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 2.50000, 25.84020, true
-0.03002, -0.60042, -12.00840, -240.16809, 3.14157, 0.05000, 2.53002, 25.84020, true
-0.09019, -1.20334, -12.05835, -0.99897, 3.14142, 0.05000, 2.59019, 25.84019, true
-0.18074, -1.81113, -12.15591, -1.95113, 3.14091, 0.05000, 2.68074, 25.84016, true
-0.30204, -2.42596, -12.29661, -2.81394, 3.13972, 0.05000, 2.80204, 25.84001, true
-0.45453, -3.04967, -12.47422, -3.55236, 3.13744, 0.05000, 2.95453, 25.83956, true
-0.63871, -3.68374, -12.68122, -4.13997, 3.13360, 0.05000, 3.13871, 25.83846, true
-0.85517, -4.32919, -12.90908, -4.55721, 3.12767, 0.05000, 3.35516, 25.83611, true
-1.10450, -4.98661, -13.14840, -4.78638, 3.11912, 0.05000, 3.60445, 25.83161, true
-1.38731, -5.65604, -13.38858, -4.80362, 3.10737, 0.05000, 3.88714, 25.82365, true
-1.70415, -6.33689, -13.61704, -4.56918, 3.09192, 0.05000, 4.20370, 25.81042, true
-2.05554, -7.02779, -13.81795, -4.01824, 3.07229, 0.05000, 4.55448, 25.78960, true
-2.44186, -7.72633, -13.97081, -3.05714, 3.04814, 0.05000, 4.93952, 25.75828, true
-2.86330, -8.42880, -14.04941, -1.57187, 3.01929, 0.05000, 5.35852, 25.71298, true
-3.31979, -9.12992, -14.02230, 0.54217, 2.98580, 0.05000, 5.81062, 25.64979, true
-3.81093, -9.82272, -13.85614, 3.32317, 2.94804, 0.05000, 6.29429, 25.56449, true
-4.33587, -10.49886, -13.52282, 6.66640, 2.90678, 0.05000, 6.80724, 25.45293, true
-4.88242, -10.93102, -8.64307, 97.59500, 2.86404, 0.05000, 7.33595, 25.31440, true
-5.42729, -10.89744, 0.67155, 186.29233, 2.82285, 0.05000, 7.85675, 25.15426, true
-5.96924, -10.83888, 1.17117, 9.99242, 2.78434, 0.05000, 8.36799, 24.97442, true
-6.50724, -10.75998, 1.57801, 8.13689, 2.74946, 0.05000, 8.86860, 24.77737, true
-7.04052, -10.66563, 1.88696, 6.17892, 2.71891, 0.05000, 9.35816, 24.56589, true
-7.56854, -10.56036, 2.10547, 4.37022, 2.69320, 0.05000, 9.83680, 24.34293, true
-8.09093, -10.44790, 2.24907, 2.87195, 2.67265, 0.05000, 10.30510, 24.11144, true
-8.60749, -10.33109, 2.33633, 1.74530, 2.65746, 0.05000, 10.76400, 23.87429, true
-9.11808, -10.21184, 2.38491, 0.97149, 2.64774, 0.05000, 11.21465, 23.63425, true
-9.62265, -10.09139, 2.40896, 0.48106, 2.64355, 0.05000, 11.65832, 23.39394, true
-10.12117, -9.97050, 2.41789, 0.17859, 2.64490, 0.05000, 12.09633, 23.15589, true
-10.61366, -9.84971, 2.41580, -0.04182, 2.65180, 0.05000, 12.53001, 22.92250, true
-11.10014, -9.72964, 2.40135, -0.28904, 2.66419, 0.05000, 12.96060, 22.69610, true
-11.58070, -9.61125, 2.36778, -0.67127, 2.68202, 0.05000, 13.38928, 22.47891, true
-12.05551, -9.49609, 2.30323, -1.29109, 2.70512, 0.05000, 13.81713, 22.27303, true
-12.52483, -9.38652, 2.19151, -2.23441, 2.73324, 0.05000, 14.24512, 22.08044, true
-12.98912, -9.28582, 2.01400, -3.55017, 2.76598, 0.05000, 14.67412, 21.90291, true
-13.44903, -9.19817, 1.75290, -5.22194, 2.80273, 0.05000, 15.10494, 21.74194, true
-13.90545, -9.12838, 1.39587, -7.14059, 2.84267, 0.05000, 15.53832, 21.59873, true
-14.35952, -9.08132, 0.94109, -9.09565, 2.88478, 0.05000, 15.97495, 21.47412, true
-14.81258, -9.06128, 0.40080, -10.80576, 2.92780, 0.05000, 16.41552, 21.36848, true
-15.26614, -9.07123, -0.19895, -11.99513, 2.97036, 0.05000, 16.86072, 21.28175, true
-15.72176, -9.11241, -0.82366, -12.49416, 3.01104, 0.05000, 17.31118, 21.21337, true
-16.18098, -9.18439, -1.43954, -12.31768, 3.04842, 0.05000, 17.76754, 21.16227, true
-16.64526, -9.28556, -2.02347, -11.67843, 3.08117, 0.05000, 18.23047, 21.12687, true
-17.11597, -9.41406, -2.57001, -10.93084, 3.10803, 0.05000, 18.70067, 21.10503, true
-17.59440, -9.56877, -3.09412, -10.48231, 3.12780, 0.05000, 19.17898, 21.09402, true
-18.08192, -9.75028, -3.63012, -10.71994, 3.13925, 0.05000, 19.66648, 21.09046, true
-18.57680, -9.89764, -2.94720, 13.65851, -3.13924, 0.05000, 20.16136, 21.09033, true
-18.73816, -3.22722, 133.40829, 2727.10974, 3.14159, 0.05000, 20.00000, 21.09020, true
-18.89952, -3.22722, 0.00000, -2668.16584, -3.13924, 0.05000, 20.16136, 21.09033, true
-19.36043, -9.21819, -119.81930, -2396.38600, -3.10341, 0.05000, 20.62221, 21.09784, true
-19.76756, -8.14255, 21.51278, 2826.64154, -3.01833, 0.05000, 21.02819, 21.12831, true
-20.08068, -6.26237, 37.60347, 321.81392, -2.87467, 0.05000, 21.33593, 21.18612, true
-20.28680, -4.12244, 42.79871, 103.90466, -2.66049, 0.05000, 21.52893, 21.25849, true
-20.40475, -2.35894, 35.26989, -150.57639, -2.39293, 0.05000, 21.62618, 21.32523, true
-20.50543, -2.01371, 6.90466, -567.30462, -2.13699, 0.05000, 21.68993, 21.40316, true
-20.64470, -2.78538, -15.43339, -446.76097, -1.94388, 0.05000, 21.75157, 21.52805, true
-20.82306, -3.56711, -15.63462, -4.02447, -1.81407, 0.05000, 21.80459, 21.69834, true
-21.02066, -3.95209, -7.69956, 158.70110, -1.72938, 0.05000, 21.84337, 21.89210, true
-21.22058, -3.99831, -0.92435, 135.50416, -1.67429, 0.05000, 21.86912, 22.09035, true
-21.41173, -3.82306, 3.50491, 88.58537, -1.63866, 0.05000, 21.88527, 22.28082, true
-21.58712, -3.50778, 6.30569, 56.01551, -1.61609, 0.05000, 21.89506, 22.45594, true
-21.74216, -3.10078, 8.14001, 36.68647, -1.60237, 0.05000, 21.90095, 22.61086, true
-21.87367, -2.63033, 9.40890, 25.37776, -1.59459, 0.05000, 21.90456, 22.74233, true
-21.97937, -2.11382, 10.33021, 18.42623, -1.59063, 0.05000, 21.90685, 22.84800, true
-22.05752, -1.56319, 11.01255, 13.64679, -1.58895, 0.05000, 21.90832, 22.92614, true
-22.10693, -0.98812, 11.50156, 9.78010, -1.58840, 0.05000, 21.90920, 22.97554, true
-22.12681, -0.39766, 11.80912, 6.15120, -1.58829, 0.05000, 21.90955, 22.99542, true
-22.12681, 0.00000, 7.95320, -77.11834, -1.58834, 0.05000, 21.90938, 22.98547, true
-22.12681, 0.00000, 0.00000, -159.06402, -1.58834, 0.05000, 21.90938, 22.98547, true
-22.12681, 0.00000, 0.00000, 0.00000, -1.58834, 0.05000, 21.90938, 22.98547, false
-22.09691, 0.59805, 11.96103, 239.22054, -1.58825, 0.05000, 21.90990, 23.01537, false
-22.04377, 1.06286, 9.29608, -53.29898, -1.58783, 0.05000, 21.90898, 22.96223, false
-21.95123, 1.85071, 15.75713, 129.22096, -1.58550, 0.05000, 21.90750, 22.86971, false
-21.82477, 2.52918, 13.56943, -43.75390, -1.57958, 0.05000, 21.90598, 22.74326, false
-21.66251, 3.24536, 14.32345, 15.08041, -1.56832, 0.05000, 21.90542, 22.58099, false
-21.46294, 3.99140, 14.92084, 11.94784, -1.55037, 0.05000, 21.90765, 22.38144, false
-21.22545, 4.74976, 15.16722, 4.92746, -1.52515, 0.05000, 21.91543, 22.14408, false
-20.95081, 5.49284, 14.86163, -6.11172, -1.49336, 0.05000, 21.93228, 21.86995, false
-20.64156, 6.18484, 13.83994, -20.43384, -1.45735, 0.05000, 21.96179, 21.56212, false
-20.30219, 6.78738, 12.05087, -35.78135, -1.42122, 0.05000, 22.00644, 21.22570, false
-19.97127, 6.61849, -3.37785, -308.57449, -1.39285, 0.05000, 22.06062, 20.89924, false
-19.65160, 6.39336, -4.50257, -22.49437, -1.37480, 0.05000, 22.12031, 20.58520, false
-19.34477, 6.13663, -5.13453, -12.63916, -1.36854, 0.05000, 22.18131, 20.28449, false
-19.05129, 5.86965, -5.33960, -4.10140, -1.37451, 0.05000, 22.23970, 19.99687, false
-18.77067, 5.61231, -5.14694, 3.85316, -1.39229, 0.05000, 22.29226, 19.72122, false
-18.50138, 5.38592, -4.52780, 12.38276, -1.42045, 0.05000, 22.33657, 19.45560, false
-18.24062, 5.21513, -3.41581, 22.23984, -1.45643, 0.05000, 22.37113, 19.19714, false
-18.00985, 4.61548, -11.99298, -171.54343, -1.49240, 0.05000, 22.39338, 18.96745, false
-17.80456, 4.10565, -10.19653, 35.92909, -1.52424, 0.05000, 22.40616, 18.76256, false
-17.62220, 3.64739, -9.16521, 20.62631, -1.54958, 0.05000, 22.41228, 18.58029, false
-17.46195, 3.20492, -8.84946, 6.31510, -1.56770, 0.05000, 22.41416, 18.42006, false
-17.32442, 2.75062, -9.08593, -4.72941, -1.57913, 0.05000, 22.41376, 18.28253, false
-17.21107, 2.26692, -9.67401, -11.76155, -1.58524, 0.05000, 22.41244, 18.16919, false
-17.12378, 1.74594, -10.41960, -14.91192, -1.58772, 0.05000, 22.41105, 18.08190, false
-17.06436, 1.18839, -11.15106, -14.62908, -1.58825, 0.05000, 22.41003, 18.02249, false
-17.06089, 0.06937, -22.38039, -224.58671, -1.58825, 0.05000, 22.40997, 18.01903, false
-17.06089, 0.00000, -1.38733, 419.86119, -1.58825, 0.05000, 22.40997, 18.01903, false
-17.06089, 0.00000, 0.00000, 27.74666, -1.58825, 0.05000, 22.40997, 18.01903, false
