position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 1.571, 0.020, 10.000, 18.000
0.003, 0.160, 8.000, 0.000, 1.571, 0.020, 10.000, 18.003
0.010, 0.320, 8.000, 0.000, 1.571, 0.020, 10.000, 18.010
0.019, 0.480, 8.000, 0.000, 1.571, 0.020, 10.000, 18.019
0.032, 0.640, 8.000, 0.000, 1.571, 0.020, 10.000, 18.032
0.048, 0.800, 8.000, 0.000, 1.570, 0.020, 10.000, 18.048
0.067, 0.960, 8.000, 0.000, 1.570, 0.020, 10.000, 18.067
0.090, 1.120, 8.000, 0.000, 1.570, 0.020, 10.000, 18.090
0.115, 1.280, 8.000, 0.000, 1.570, 0.020, 10.000, 18.115
0.144, 1.440, 8.000, 0.000, 1.569, 0.020, 10.000, 18.144
0.176, 1.600, 8.000, 0.000, 1.569, 0.020, 10.000, 18.176
0.211, 1.760, 8.000, 0.000, 1.568, 0.020, 10.000, 18.211
0.250, 1.920, 8.000, 0.000, 1.567, 0.020, 10.000, 18.250
0.291, 2.080, 8.000, 0.000, 1.565, 0.020, 10.001, 18.291
0.336, 2.240, 8.000, 0.000, 1.563, 0.020, 10.001, 18.336
0.384, 2.400, 8.000, 0.000, 1.561, 0.020, 10.001, 18.384
0.435, 2.560, 8.000, 0.000, 1.559, 0.020, 10.002, 18.435
0.490, 2.720, 8.000, 0.000, 1.556, 0.020, 10.003, 18.490
0.547, 2.880, 8.000, 0.000, 1.552, 0.020, 10.004, 18.547
0.608, 3.040, 8.000, 0.000, 1.548, 0.020, 10.005, 18.608
0.672, 3.200, 8.000, 0.000, 1.543, 0.020, 10.006, 18.672
0.739, 3.360, 8.000, 0.000, 1.537, 0.020, 10.009, 18.739
0.810, 3.520, 8.000, 0.000, 1.530, 0.020, 10.011, 18.809
0.883, 3.680, 8.000, 0.000, 1.523, 0.020, 10.014, 18.883
0.960, 3.840, 8.000, 0.000, 1.514, 0.020, 10.018, 18.960
1.040, 4.000, 8.000, 0.000, 1.505, 0.020, 10.023, 19.040
1.123, 4.160, 8.000, 0.000, 1.494, 0.020, 10.029, 19.123
1.210, 4.320, 8.000, 0.000, 1.482, 0.020, 10.036, 19.209
1.299, 4.480, 8.000, 0.000, 1.469, 0.020, 10.045, 19.298
1.392, 4.640, 8.000, 0.000, 1.454, 0.020, 10.055, 19.390
1.488, 4.800, 8.000, 0.000, 1.437, 0.020, 10.067, 19.485
1.587, 4.960, 8.000, 0.000, 1.419, 0.020, 10.081, 19.584
1.690, 5.120, 8.000, 0.000, 1.398, 0.020, 10.098, 19.685
1.795, 5.280, 8.000, 0.000, 1.376, 0.020, 10.117, 19.788
1.904, 5.440, 8.000, 0.000, 1.352, 0.020, 10.139, 19.895
2.016, 5.600, 8.000, 0.000, 1.325, 0.020, 10.165, 20.004
