position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 1.571, 0.020, 8.910, 18.000
0.003, 0.160, 8.002, 400.111, 1.571, 0.020, 8.910, 18.003
0.010, 0.320, 8.016, 0.668, 1.571, 0.020, 8.910, 18.010
0.019, 0.481, 8.042, 1.330, 1.571, 0.020, 8.910, 18.019
0.032, 0.643, 8.082, 1.981, 1.571, 0.020, 8.910, 18.032
0.048, 0.806, 8.134, 2.617, 1.570, 0.020, 8.910, 18.048
0.068, 0.969, 8.199, 3.234, 1.570, 0.020, 8.910, 18.068
0.090, 1.135, 8.275, 3.829, 1.570, 0.020, 8.910, 18.090
0.116, 1.302, 8.363, 4.401, 1.570, 0.020, 8.910, 18.117
0.146, 1.472, 8.462, 4.949, 1.569, 0.020, 8.910, 18.146
0.179, 1.643, 8.572, 5.477, 1.568, 0.020, 8.910, 18.179
0.215, 1.817, 8.692, 5.985, 1.567, 0.020, 8.910, 18.215
0.255, 1.993, 8.821, 6.479, 1.566, 0.020, 8.910, 18.255
0.298, 2.172, 8.960, 6.965, 1.564, 0.020, 8.911, 18.298
0.345, 2.355, 9.109, 7.449, 1.562, 0.020, 8.911, 18.346
0.396, 2.540, 9.268, 7.939, 1.559, 0.020, 8.911, 18.396
0.451, 2.729, 9.437, 8.444, 1.556, 0.020, 8.912, 18.451
0.509, 2.921, 9.617, 8.973, 1.553, 0.020, 8.913, 18.509
0.572, 3.117, 9.807, 9.535, 1.548, 0.020, 8.914, 18.572
0.638, 3.317, 10.010, 10.140, 1.543, 0.020, 8.916, 18.638
0.708, 3.522, 10.226, 10.796, 1.537, 0.020, 8.918, 18.708
0.783, 3.731, 10.456, 11.509, 1.531, 0.020, 8.921, 18.783
0.862, 3.945, 10.702, 12.285, 1.523, 0.020, 8.924, 18.862
0.945, 4.164, 10.964, 13.125, 1.514, 0.020, 8.929, 18.945
1.033, 4.389, 11.245, 14.023, 1.504, 0.020, 8.934, 19.033
1.125, 4.620, 11.544, 14.967, 1.492, 0.020, 8.941, 19.125
1.222, 4.857, 11.863, 15.935, 1.480, 0.020, 8.949, 19.222
1.324, 5.101, 12.201, 16.887, 1.465, 0.020, 8.959, 19.323
1.432, 5.353, 12.556, 17.764, 1.449, 0.020, 8.971, 19.429
1.544, 5.611, 12.926, 18.481, 1.431, 0.020, 8.986, 19.541
1.661, 5.877, 13.304, 18.917, 1.412, 0.020, 9.003, 19.657
1.784, 6.151, 13.682, 18.908, 1.390, 0.020, 9.024, 19.778
1.913, 6.432, 14.047, 18.244, 1.366, 0.020, 9.049, 19.904
2.047, 6.719, 14.380, 16.660, 1.339, 0.020, 9.078, 20.036
2.188, 7.012, 14.657, 13.849, 1.310, 0.020, 9.112, 20.172
2.334, 7.309, 14.847, 9.475, 1.279, 0.020, 9.152, 20.312
2.486, 7.608, 14.911, 3.221, 1.245, 0.020, 9.198, 20.457
2.644, 7.904, 14.808, -5.145, 1.209, 0.020, 9.251, 20.606
2.808, 8.194, 14.495, -15.672, 1.170, 0.020, 9.312, 20.758
2.977, 8.472, 13.932, -28.114, 1.129, 0.020, 9.381, 20.913
