position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 1.571, 0.020, 11.090, 18.000
0.003, 0.160, 7.998, 399.889, 1.571, 0.020, 11.090, 18.003
0.010, 0.320, 7.984, -0.668, 1.571, 0.020, 11.090, 18.009
0.019, 0.479, 7.958, -1.330, 1.571, 0.020, 11.090, 18.019
0.032, 0.637, 7.918, -1.981, 1.571, 0.020, 11.090, 18.032
0.048, 0.794, 7.866, -2.617, 1.570, 0.020, 11.090, 18.048
0.067, 0.951, 7.801, -3.234, 1.570, 0.020, 11.090, 18.067
0.089, 1.105, 7.725, -3.829, 1.570, 0.020, 11.090, 18.089
0.114, 1.258, 7.637, -4.401, 1.570, 0.020, 11.090, 18.114
0.142, 1.408, 7.538, -4.949, 1.569, 0.020, 11.090, 18.142
0.173, 1.557, 7.428, -5.477, 1.568, 0.020, 11.090, 18.173
0.207, 1.703, 7.308, -5.985, 1.567, 0.020, 11.090, 18.207
0.244, 1.847, 7.179, -6.480, 1.566, 0.020, 11.091, 18.244
0.284, 1.988, 7.039, -6.965, 1.564, 0.020, 11.091, 18.284
0.327, 2.125, 6.891, -7.449, 1.562, 0.020, 11.091, 18.326
0.372, 2.260, 6.732, -7.940, 1.559, 0.020, 11.092, 18.372
0.420, 2.391, 6.563, -8.445, 1.556, 0.020, 11.092, 18.419
0.470, 2.519, 6.383, -8.974, 1.553, 0.020, 11.093, 18.470
0.523, 2.643, 6.193, -9.536, 1.548, 0.020, 11.094, 18.523
0.578, 2.763, 5.990, -10.142, 1.543, 0.020, 11.096, 18.578
0.636, 2.878, 5.774, -10.798, 1.537, 0.020, 11.097, 18.635
0.695, 2.989, 5.544, -11.512, 1.531, 0.020, 11.099, 18.695
0.757, 3.095, 5.298, -12.288, 1.523, 0.020, 11.102, 18.757
0.821, 3.196, 5.035, -13.129, 1.514, 0.020, 11.106, 18.821
0.887, 3.291, 4.755, -14.028, 1.504, 0.020, 11.110, 18.887
0.955, 3.380, 4.455, -14.973, 1.492, 0.020, 11.115, 18.954
1.024, 3.463, 4.136, -15.942, 1.480, 0.020, 11.120, 19.023
1.095, 3.539, 3.798, -16.896, 1.465, 0.020, 11.127, 19.093
1.167, 3.607, 3.443, -17.775, 1.449, 0.020, 11.135, 19.165
1.240, 3.669, 3.073, -18.494, 1.431, 0.020, 11.145, 19.238
1.315, 3.723, 2.694, -18.933, 1.412, 0.020, 11.156, 19.311
1.390, 3.769, 2.316, -18.927, 1.390, 0.020, 11.169, 19.386
1.466, 3.808, 1.951, -18.266, 1.366, 0.020, 11.183, 19.460
1.543, 3.840, 1.617, -16.685, 1.339, 0.020, 11.200, 19.535
1.620, 3.867, 1.339, -13.876, 1.310, 0.020, 11.219, 19.611
1.698, 3.890, 1.149, -9.503, 1.279, 0.020, 11.240, 19.685
1.776, 3.912, 1.084, -3.248, 1.245, 0.020, 11.264, 19.760
1.855, 3.936, 1.187, 5.122, 1.209, 0.020, 11.290, 19.834
1.934, 3.966, 1.500, 15.656, 1.170, 0.020, 11.320, 19.908
2.015, 4.007, 2.062, 28.110, 1.129, 0.020, 11.353, 19.981
2.096, 4.065, 2.899, 41.845, 1.086, 0.020, 11.389, 20.054
2.179, 4.145, 4.015, 55.796, 1.042, 0.020, 11.429, 20.126
2.264, 4.253, 5.386, 68.542, 0.997, 0.020, 11.474, 20.198
2.352, 4.392, 6.956, 78.525, 0.951, 0.020, 11.523, 20.271
2.443, 4.565, 8.644, 84.375, 0.906, 0.020, 11.578, 20.344
2.538, 4.772, 10.349, 85.248, 0.861, 0.020, 11.638, 20.418
2.639, 5.011, 11.970, 81.059, 0.818, 0.020, 11.705, 20.493
2.744, 5.280, 13.420, 72.500, 0.777, 0.020, 11.779, 20.568
2.854, 5.490, 10.516, -145.175, 0.739, 0.020, 11.859, 20.643
2.965, 5.552, 3.116, -370.009, 0.705, 0.020, 11.942, 20.717
3.077, 5.605, 2.622, -24.732, 0.675, 0.020, 12.029, 20.788
3.190, 5.644, 1.949, -33.607, 0.648, 0.020, 12.118, 20.857
3.303, 5.667, 1.184, -38.284, 0.625, 0.020, 12.209, 20.925
3.417, 5.675, 0.385, -39.956, 0.605, 0.020, 12.302, 20.990
3.530, 5.667, -0.408, -39.630, 0.588, 0.020, 12.396, 21.054
3.643, 5.643, -1.169, -38.077, 0.573, 0.020, 12.490, 21.116
3.755, 5.606, -1.886, -35.847, 0.560, 0.020, 12.585, 21.176
3.866, 5.555, -2.553, -33.310, 0.550, 0.020, 12.679, 21.234
3.976, 5.491, -3.167, -30.701, 0.541, 0.020, 12.773, 21.291
4.084, 5.417, -3.730, -28.160, 0.534, 0.020, 12.866, 21.347
4.191, 5.332, -4.245, -25.759, 0.528, 0.020, 12.958, 21.401
4.296, 5.238, -4.716, -23.530, 0.524, 0.020, 13.048, 21.453
4.399, 5.135, -5.145, -21.478, 0.520, 0.020, 13.137, 21.505
4.499, 5.024, -5.537, -19.594, 0.517, 0.020, 13.225, 21.554
4.597, 4.906, -5.894, -17.861, 0.515, 0.020, 13.310, 21.603
4.693, 4.782, -6.219, -16.258, 0.514, 0.020, 13.393, 21.650
4.786, 4.651, -6.515, -14.765, 0.514, 0.020, 13.474, 21.696
4.876, 4.516, -6.782, -13.363, 0.513, 0.020, 13.553, 21.740
4.964, 4.375, -7.023, -12.039, 0.513, 0.020, 13.629, 21.783
5.048, 4.230, -7.238, -10.779, 0.514, 0.020, 13.703, 21.825
5.130, 4.082, -7.430, -9.576, 0.514, 0.020, 13.774, 21.865
5.208, 3.930, -7.598, -8.424, 0.515, 0.020, 13.842, 21.903
5.284, 3.775, -7.745, -7.321, 0.516, 0.020, 13.908, 21.941
5.356, 3.618, -7.870, -6.267, 0.517, 0.020, 13.971, 21.976
5.425, 3.458, -7.975, -5.264, 0.518, 0.020, 14.031, 22.011
5.491, 3.297, -8.062, -4.316, 0.519, 0.020, 14.088, 22.043
5.554, 3.134, -8.130, -3.427, 0.520, 0.020, 14.143, 22.074
5.614, 2.971, -8.182, -2.601, 0.520, 0.020, 14.194, 22.104
5.670, 2.806, -8.219, -1.844, 0.521, 0.020, 14.243, 22.132
5.722, 2.641, -8.242, -1.158, 0.522, 0.020, 14.289, 22.158
5.772, 2.476, -8.253, -0.548, 0.522, 0.020, 14.332, 22.183
5.818, 2.311, -8.254, -0.016, 0.523, 0.020, 14.372, 22.206
5.861, 2.146, -8.245, 0.437, 0.523, 0.020, 14.409, 22.227
5.901, 1.982, -8.229, 0.810, 0.523, 0.020, 14.443, 22.247
5.937, 1.818, -8.207, 1.105, 0.523, 0.020, 14.475, 22.265
5.970, 1.654, -8.180, 1.323, 0.524, 0.020, 14.504, 22.282
6.000, 1.491, -8.151, 1.468, 0.524, 0.020, 14.529, 22.297
6.018, 0.910, -29.067, -1045.812, 0.524, 0.020, 14.545, 22.306
6.018, 0.000, 0.000, 2274.245, 0.524, 0.020, 14.545, 22.306
6.018, 0.000, 0.000, 0.000, 0.524, 0.020, 14.545, 22.306
