position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 0.000, 0.020, 1.500, 25.840
0.003, 0.160, 8.002, 400.107, -0.000, 0.020, 1.503, 25.840
0.010, 0.320, 8.015, 0.642, -0.000, 0.020, 1.510, 25.840
0.019, 0.481, 8.041, 1.279, -0.000, 0.020, 1.519, 25.840
0.032, 0.643, 8.079, 1.906, -0.000, 0.020, 1.532, 25.840
0.048, 0.805, 8.129, 2.519, -0.000, 0.020, 1.548, 25.840
0.068, 0.969, 8.191, 3.115, -0.000, 0.020, 1.568, 25.840
0.090, 1.134, 8.265, 3.690, -0.001, 0.020, 1.590, 25.840
0.116, 1.301, 8.350, 4.242, -0.001, 0.020, 1.616, 25.840
0.146, 1.470, 8.445, 4.770, -0.002, 0.020, 1.646, 25.840
0.179, 1.641, 8.551, 5.273, -0.002, 0.020, 1.679, 25.840
0.215, 1.815, 8.666, 5.751, -0.003, 0.020, 1.715, 25.840
0.255, 1.990, 8.790, 6.206, -0.005, 0.020, 1.755, 25.840
0.298, 2.169, 8.923, 6.640, -0.006, 0.020, 1.798, 25.840
0.345, 2.350, 9.064, 7.054, -0.008, 0.020, 1.845, 25.839
0.396, 2.534, 9.213, 7.453, -0.011, 0.020, 1.896, 25.839
0.450, 2.722, 9.370, 7.839, -0.014, 0.020, 1.950, 25.838
0.508, 2.913, 9.534, 8.216, -0.017, 0.020, 2.008, 25.837
0.571, 3.107, 9.706, 8.585, -0.021, 0.020, 2.070, 25.836
0.637, 3.304, 9.885, 8.948, -0.026, 0.020, 2.137, 25.834
0.707, 3.506, 10.071, 9.305, -0.032, 0.020, 2.207, 25.832
0.781, 3.711, 10.264, 9.653, -0.038, 0.020, 2.281, 25.830
0.859, 3.920, 10.464, 9.988, -0.046, 0.020, 2.359, 25.826
0.942, 4.134, 10.670, 10.299, -0.054, 0.020, 2.442, 25.822
1.029, 4.351, 10.881, 10.574, -0.063, 0.020, 2.529, 25.817
1.121, 4.573, 11.097, 10.792, -0.074, 0.020, 2.620, 25.811
1.217, 4.800, 11.315, 10.925, -0.086, 0.020, 2.716, 25.803
1.317, 5.030, 11.534, 10.937, -0.099, 0.020, 2.816, 25.794
1.422, 5.265, 11.750, 10.782, -0.113, 0.020, 2.920, 25.783
1.533, 5.504, 11.958, 10.401, -0.129, 0.020, 3.030, 25.770
1.647, 5.747, 12.152, 9.725, -0.146, 0.020, 3.144, 25.754
1.767, 5.994, 12.326, 8.674, -0.165, 0.020, 3.262, 25.735
1.892, 6.243, 12.469, 7.161, -0.186, 0.020, 3.385, 25.714
2.022, 6.495, 12.571, 5.096, -0.208, 0.020, 3.512, 25.688
2.157, 6.747, 12.619, 2.395, -0.232, 0.020, 3.644, 25.659
2.297, 6.999, 12.599, -1.007, -0.258, 0.020, 3.780, 25.625
2.442, 7.249, 12.496, -5.139, -0.285, 0.020, 3.920, 25.586
2.592, 7.495, 12.296, -9.975, -0.314, 0.020, 4.063, 25.542
2.747, 7.735, 11.988, -15.415, -0.344, 0.020, 4.209, 25.492
2.906, 7.966, 11.563, -21.269, -0.376, 0.020, 4.358, 25.436
3.070, 8.186, 11.018, -27.258, -0.409, 0.020, 4.510, 25.373
3.238, 8.393, 10.357, -33.020, -0.442, 0.020, 4.662, 25.304
3.409, 8.585, 9.594, -38.149, -0.477, 0.020, 4.816, 25.227
3.584, 8.760, 8.749, -42.241, -0.511, 0.020, 4.971, 25.144
3.763, 8.917, 7.850, -44.954, -0.546, 0.020, 5.125, 25.054
3.944, 9.056, 6.929, -46.070, -0.580, 0.020, 5.278, 24.958
4.127, 9.176, 6.018, -45.535, -0.613, 0.020, 5.430, 24.855
4.313, 9.279, 5.149, -43.465, -0.645, 0.020, 5.580, 24.745
4.500, 9.366, 4.346, -40.132, -0.676, 0.020, 5.728, 24.630
4.689, 9.439, 3.628, -35.916, -0.706, 0.020, 5.873, 24.510
4.879, 9.499, 3.003, -31.244, -0.733, 0.020, 6.016, 24.385
5.070, 9.548, 2.472, -26.529, -0.759, 0.020, 6.156, 24.255
5.262, 9.589, 2.030, -22.134, -0.782, 0.020, 6.294, 24.122
5.454, 9.622, 1.663, -18.335, -0.803, 0.020, 6.429, 23.985
