position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 0.000, 0.020, 1.500, 23.660
0.003, 0.160, 7.998, 399.893, -0.000, 0.020, 1.503, 23.660
0.010, 0.320, 7.985, -0.642, -0.000, 0.020, 1.510, 23.660
0.019, 0.479, 7.959, -1.279, -0.000, 0.020, 1.519, 23.660
0.032, 0.637, 7.921, -1.906, -0.000, 0.020, 1.532, 23.660
0.048, 0.795, 7.871, -2.519, -0.000, 0.020, 1.548, 23.660
0.067, 0.951, 7.809, -3.115, -0.000, 0.020, 1.567, 23.660
0.089, 1.106, 7.735, -3.690, -0.001, 0.020, 1.589, 23.660
0.114, 1.259, 7.650, -4.242, -0.001, 0.020, 1.614, 23.660
0.142, 1.410, 7.555, -4.770, -0.002, 0.020, 1.642, 23.660
0.173, 1.559, 7.449, -5.273, -0.002, 0.020, 1.673, 23.660
0.208, 1.705, 7.334, -5.751, -0.003, 0.020, 1.708, 23.660
0.245, 1.850, 7.210, -6.206, -0.005, 0.020, 1.745, 23.659
0.284, 1.991, 7.077, -6.640, -0.006, 0.020, 1.784, 23.659
0.327, 2.130, 6.936, -7.055, -0.008, 0.020, 1.827, 23.659
0.372, 2.266, 6.787, -7.454, -0.011, 0.020, 1.872, 23.658
0.420, 2.398, 6.630, -7.840, -0.014, 0.020, 1.920, 23.658
0.471, 2.527, 6.466, -8.217, -0.017, 0.020, 1.971, 23.657
0.524, 2.653, 6.294, -8.586, -0.021, 0.020, 2.024, 23.656
0.579, 2.776, 6.115, -8.949, -0.026, 0.020, 2.079, 23.655
0.637, 2.894, 5.929, -9.306, -0.032, 0.020, 2.137, 23.653
0.697, 3.009, 5.736, -9.655, -0.038, 0.020, 2.197, 23.651
0.760, 3.120, 5.536, -9.990, -0.046, 0.020, 2.260, 23.648
0.824, 3.226, 5.330, -10.303, -0.054, 0.020, 2.324, 23.645
0.891, 3.329, 5.119, -10.578, -0.063, 0.020, 2.391, 23.641
0.959, 3.427, 4.903, -10.797, -0.074, 0.020, 2.459, 23.637
1.030, 3.520, 4.684, -10.931, -0.086, 0.020, 2.529, 23.631
1.102, 3.610, 4.465, -10.944, -0.099, 0.020, 2.601, 23.624
1.176, 3.695, 4.249, -10.789, -0.113, 0.020, 2.675, 23.617
1.251, 3.775, 4.041, -10.409, -0.129, 0.020, 2.749, 23.607
1.329, 3.852, 3.846, -9.734, -0.146, 0.020, 2.826, 23.597
1.407, 3.926, 3.673, -8.685, -0.165, 0.020, 2.903, 23.585
1.487, 3.996, 3.529, -7.173, -0.186, 0.020, 2.982, 23.571
1.568, 4.065, 3.427, -5.108, -0.208, 0.020, 3.062, 23.555
1.651, 4.133, 3.379, -2.407, -0.232, 0.020, 3.142, 23.537
1.735, 4.201, 3.399, 0.996, -0.258, 0.020, 3.224, 23.516
1.820, 4.271, 3.502, 5.129, -0.285, 0.020, 3.306, 23.494
1.907, 4.345, 3.701, 9.968, -0.314, 0.020, 3.389, 23.468
1.996, 4.425, 4.009, 15.411, -0.344, 0.020, 3.473, 23.439
2.086, 4.513, 4.435, 21.270, -0.376, 0.020, 3.557, 23.407
2.178, 4.613, 4.980, 27.265, -0.409, 0.020, 3.643, 23.372
2.273, 4.726, 5.641, 33.034, -0.442, 0.020, 3.729, 23.333
2.370, 4.854, 6.404, 38.170, -0.477, 0.020, 3.816, 23.290
2.470, 4.999, 7.249, 42.268, -0.511, 0.020, 3.904, 23.243
2.573, 5.162, 8.149, 44.986, -0.546, 0.020, 3.993, 23.191
2.680, 5.343, 9.071, 46.105, -0.580, 0.020, 4.083, 23.134
2.791, 5.543, 9.983, 45.570, -0.613, 0.020, 4.175, 23.071
2.906, 5.760, 10.852, 43.499, -0.645, 0.020, 4.268, 23.004
3.026, 5.993, 11.656, 40.163, -0.676, 0.020, 4.363, 22.930
3.151, 6.241, 12.375, 35.942, -0.706, 0.020, 4.459, 22.850
3.281, 6.501, 13.000, 31.263, -0.733, 0.020, 4.557, 22.765
3.416, 6.771, 13.531, 26.542, -0.759, 0.020, 4.656, 22.673
3.557, 7.051, 13.973, 22.140, -0.782, 0.020, 4.757, 22.575
3.704, 7.338, 14.340, 18.335, -0.803, 0.020, 4.860, 22.470
3.856, 7.630, 14.647, 15.319, -0.821, 0.020, 4.965, 22.359
4.015, 7.929, 14.911, 13.199, -0.837, 0.020, 5.072, 22.242
4.180, 8.232, 15.151, 12.019, -0.851, 0.020, 5.182, 22.119
4.350, 8.539, 15.386, 11.778, -0.861, 0.020, 5.294, 21.990
4.528, 8.852, 15.635, 12.441, -0.869, 0.020, 5.409, 21.855
4.711, 9.170, 15.914, 13.961, -0.874, 0.020, 5.527, 21.715
4.901, 9.495, 16.240, 16.276, -0.876, 0.020, 5.648, 21.569
5.097, 9.828, 16.626, 19.314, -0.875, 0.020, 5.774, 21.418
5.301, 10.169, 17.086, 22.978, -0.870, 0.020, 5.905, 21.262
5.511, 10.522, 17.628, 27.128, -0.862, 0.020, 6.041, 21.102
5.729, 10.887, 18.259, 31.540, -0.850, 0.020, 6.184, 20.938
5.953, 11.182, 14.737, -176.127, -0.834, 0.020, 6.333, 20.771
6.181, 11.396, 10.683, -202.680, -0.815, 0.020, 6.487, 20.603
6.413, 11.615, 10.979, 14.785, -0.791, 0.020, 6.649, 20.436
6.650, 11.840, 11.232, 12.668, -0.763, 0.020, 6.817, 20.270
6.891, 12.067, 11.378, 7.272, -0.731, 0.020, 6.994, 20.106
7.137, 12.294, 11.332, -2.269, -0.695, 0.020, 7.180, 19.945
7.387, 12.514, 10.999, -16.641, -0.655, 0.020, 7.376, 19.789
7.642, 12.720, 10.279, -36.027, -0.611, 0.020, 7.581, 19.638
7.900, 12.901, 9.085, -59.715, -0.563, 0.020, 7.795, 19.495
8.161, 13.049, 7.369, -85.762, -0.513, 0.020, 8.020, 19.361
8.424, 13.152, 5.150, -110.964, -0.461, 0.020, 8.252, 19.238
8.688, 13.202, 2.523, -131.343, -0.409, 0.020, 8.491, 19.127
8.952, 13.195, -0.340, -143.166, -0.356, 0.020, 8.736, 19.028
9.214, 13.131, -3.224, -144.170, -0.304, 0.020, 8.985, 18.943
9.474, 13.013, -5.912, -134.412, -0.255, 0.020, 9.235, 18.871
9.731, 12.848, -8.237, -116.269, -0.209, 0.020, 9.485, 18.812
9.984, 12.646, -10.109, -93.596, -0.166, 0.020, 9.733, 18.765
10.233, 12.415, -11.519, -70.517, -0.128, 0.020, 9.979, 18.729
10.476, 12.165, -12.528, -50.416, -0.094, 0.020, 10.221, 18.702
10.714, 11.900, -13.237, -35.483, -0.065, 0.020, 10.458, 18.684
10.946, 11.625, -13.773, -26.771, -0.041, 0.020, 10.690, 18.671
11.173, 11.339, -14.264, -24.569, -0.022, 0.020, 10.917, 18.664
11.394, 11.042, -14.841, -28.850, -0.009, 0.020, 11.138, 18.661
11.609, 10.730, -15.635, -39.668, -0.002, 0.020, 11.352, 18.660
11.609, 0.000, -536.488, -26042.661, -0.002, 0.020, 11.352, 18.660
11.820, 10.578, 528.909, 53269.821, 0.000, 0.020, 11.564, 18.660
12.036, 10.791, 10.636, -25913.616, 0.003, 0.020, 11.780, 18.660
12.259, 11.130, 16.971, 316.733, 0.009, 0.020, 12.002, 18.661
12.488, 11.464, 16.676, -14.744, 0.018, 0.020, 12.232, 18.664
12.724, 11.792, 16.397, -13.946, 0.030, 0.020, 12.467, 18.670
12.966, 12.114, 16.111, -14.302, 0.046, 0.020, 12.709, 18.679
13.215, 12.430, 15.793, -15.927, 0.064, 0.020, 12.958, 18.693
13.467, 12.625, 9.763, -301.491, 0.084, 0.020, 13.210, 18.711
13.722, 12.744, 5.947, -190.810, 0.107, 0.020, 13.463, 18.736
13.979, 12.848, 5.190, -37.820, 0.132, 0.020, 13.718, 18.766
14.238, 12.935, 4.377, -40.636, 0.158, 0.020, 13.974, 18.804
14.498, 13.006, 3.508, -43.496, 0.186, 0.020, 14.231, 18.848
14.759, 13.057, 2.588, -45.989, 0.214, 0.020, 14.487, 18.900
15.021, 13.090, 1.633, -47.732, 0.244, 0.020, 14.742, 18.960
15.283, 13.103, 0.665, -48.419, 0.273, 0.020, 14.995, 19.027
15.545, 13.097, -0.292, -47.859, 0.302, 0.020, 15.246, 19.101
15.806, 13.073, -1.213, -46.003, 0.331, 0.020, 15.495, 19.182
16.067, 13.032, -2.071, -42.945, 0.359, 0.020, 15.740, 19.271
16.326, 12.975, -2.849, -38.901, 0.386, 0.020, 15.981, 19.365
16.584, 12.904, -3.533, -34.171, 0.412, 0.020, 16.219, 19.466
16.841, 12.822, -4.115, -29.088, 0.436, 0.020, 16.453, 19.571
17.095, 12.730, -4.594, -23.974, 0.459, 0.020, 16.682, 19.681
17.348, 12.630, -4.976, -19.106, 0.480, 0.020, 16.908, 19.796
17.598, 12.525, -5.270, -14.688, 0.499, 0.020, 17.129, 19.913
17.847, 12.415, -5.487, -10.854, 0.515, 0.020, 17.346, 20.034
18.093, 12.302, -5.640, -7.667, 0.530, 0.020, 17.559, 20.157
18.337, 12.188, -5.743, -5.131, 0.543, 0.020, 17.768, 20.282
18.578, 12.071, -5.807, -3.210, 0.553, 0.020, 17.975, 20.407
18.814, 11.789, -14.120, -415.635, 0.561, 0.020, 18.175, 20.532
