position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 2.50000, 2.25000, true
0.03000, -0.60000, -12.00000, 0.00000, -3.14156, 0.05000, 2.53000, 2.25000, true
0.09000, -1.20000, -12.00000, 0.00000, -3.14134, 0.05000, 2.59000, 2.25001, true
0.18000, -1.80000, -12.00000, 0.00000, -3.14060, 0.05000, 2.68000, 2.25006, true
0.30000, -2.40000, -12.00000, 0.00000, -3.13886, 0.05000, 2.80000, 2.25028, true
0.45000, -3.00000, -12.00000, 0.00000, -3.13554, 0.05000, 2.95000, 2.25092, true
0.63000, -3.60000, -12.00000, 0.00000, -3.12996, 0.05000, 3.12999, 2.25249, true
0.83000, -4.00000, 0.00000, 0.00000, -3.12184, 0.05000, 3.32997, 2.25559, true
1.03000, -4.00000, 0.00000, 0.00000, -3.11184, 0.05000, 3.52991, 2.26051, true
1.23000, -4.00000, 0.00000, 0.00000, -3.10011, 0.05000, 3.72978, 2.26760, true
1.43000, -4.00000, 0.00000, 0.00000, -3.08678, 0.05000, 3.92955, 2.27721, true
1.63000, -4.00000, 0.00000, 0.00000, -3.07200, 0.05000, 4.12916, 2.28962, true
1.83000, -4.00000, 0.00000, 0.00000, -3.05592, 0.05000, 4.32856, 2.30511, true
2.03000, -4.00000, 0.00000, 0.00000, -3.03868, 0.05000, 4.52767, 2.32392, true
2.23000, -4.00000, 0.00000, 0.00000, -3.02045, 0.05000, 4.72641, 2.34626, true
2.43000, -4.00000, 0.00000, 0.00000, -3.00137, 0.05000, 4.92471, 2.37231, true
2.63000, -4.00000, 0.00000, 0.00000, -2.98161, 0.05000, 5.12245, 2.40221, true
2.83000, -4.00000, 0.00000, 0.00000, -2.96130, 0.05000, 5.31957, 2.43606, true
3.03000, -4.00000, 0.00000, 0.00000, -2.94061, 0.05000, 5.51594, 2.47395, true
3.23000, -4.00000, 0.00000, 0.00000, -2.91969, 0.05000, 5.71148, 2.51592, true
3.43000, -4.00000, 0.00000, 0.00000, -2.89868, 0.05000, 5.90610, 2.56199, true
3.63000, -4.00000, 0.00000, 0.00000, -2.87772, 0.05000, 6.09971, 2.61212, true
3.83000, -4.00000, 0.00000, 0.00000, -2.85693, 0.05000, 6.29223, 2.66630, true
4.03000, -4.00000, 0.00000, 0.00000, -2.83643, 0.05000, 6.48359, 2.72443, true
4.23000, -4.00000, 0.00000, 0.00000, -2.81634, 0.05000, 6.67373, 2.78644, true
4.43000, -4.00000, 0.00000, 0.00000, -2.79673, 0.05000, 6.86261, 2.85221, true
