position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 2.50000, 1.15980, true
-0.03003, -0.60061, -12.01228, -240.24566, -3.14156, 0.05000, 2.53003, 1.15980, true
-0.09027, -1.20488, -12.08525, -1.45941, -3.14134, 0.05000, 2.59027, 1.15981, true
-0.18109, -1.81626, -12.22761, -2.84707, -3.14060, 0.05000, 2.68109, 1.15986, true
-0.30298, -2.43787, -12.43235, -4.09484, -3.13886, 0.05000, 2.80298, 1.16008, true
-0.45660, -3.07234, -12.68939, -5.14087, -3.13554, 0.05000, 2.95660, 1.16074, true
-0.64268, -3.72164, -12.98589, -5.92990, -3.12996, 0.05000, 3.14267, 1.16236, true
-0.85153, -4.17701, -9.10735, 77.57078, -3.12184, 0.05000, 3.35150, 1.16560, true
-1.06243, -4.21801, -0.82001, 165.74669, -3.11184, 0.05000, 3.56233, 1.17079, true
-1.27522, -4.25588, -0.75743, 1.25171, -3.10011, 0.05000, 3.77499, 1.17834, true
-1.48976, -4.29062, -0.69482, 1.25224, -3.08678, 0.05000, 3.98928, 1.18864, true
-1.70587, -4.32220, -0.63163, 1.26372, -3.07200, 0.05000, 4.20497, 1.20205, true
-1.92339, -4.35058, -0.56750, 1.28269, -3.05592, 0.05000, 4.42185, 1.21890, true
-2.14218, -4.37569, -0.50223, 1.30522, -3.03868, 0.05000, 4.63966, 1.23949, true
-2.36205, -4.39748, -0.43588, 1.32717, -3.02045, 0.05000, 4.85816, 1.26405, true
-2.58285, -4.41591, -0.36865, 1.34443, -3.00137, 0.05000, 5.07707, 1.29281, true
-2.80440, -4.43096, -0.30099, 1.35323, -2.98161, 0.05000, 5.29613, 1.32593, true
-3.02653, -4.44264, -0.23348, 1.35035, -2.96130, 0.05000, 5.51506, 1.36353, true
-3.24908, -4.45098, -0.16680, 1.33343, -2.94061, 0.05000, 5.73357, 1.40570, true
-3.47188, -4.45606, -0.10175, 1.30106, -2.91969, 0.05000, 5.95142, 1.45245, true
-3.69478, -4.45802, -0.03911, 1.25291, -2.89868, 0.05000, 6.16832, 1.50379, true
-3.91763, -4.45700, 0.02038, 1.18970, -2.87772, 0.05000, 6.38406, 1.55966, true
-4.14029, -4.45320, 0.07603, 1.11308, -2.85693, 0.05000, 6.59839, 1.61997, true
-4.36263, -4.44683, 0.12731, 1.02545, -2.83643, 0.05000, 6.81114, 1.68460, true
-4.58454, -4.43814, 0.17379, 0.92972, -2.81634, 0.05000, 7.02211, 1.75340, true
-4.80591, -4.42738, 0.21525, 0.82906, -2.79673, 0.05000, 7.23116, 1.82620, true
-5.02665, -4.41480, 0.25158, 0.72660, -2.77771, 0.05000, 7.43818, 1.90281, true
-5.24668, -4.40066, 0.28284, 0.62530, -2.75933, 0.05000, 7.64308, 1.98302, true
-5.46594, -4.38520, 0.30923, 0.52772, -2.74166, 0.05000, 7.84578, 2.06661, true
-5.68438, -4.36865, 0.33102, 0.43595, -2.72475, 0.05000, 8.04624, 2.15337, true
-5.90194, -4.35122, 0.34860, 0.35158, -2.70864, 0.05000, 8.24445, 2.24307, true
-6.11859, -4.33310, 0.36239, 0.27569, -2.69336, 0.05000, 8.44041, 2.33548, true
-6.33431, -4.31446, 0.37283, 0.20886, -2.67894, 0.05000, 8.63414, 2.43038, true
-6.54909, -4.29544, 0.38040, 0.15131, -2.66538, 0.05000, 8.82567, 2.52755, true
-6.76289, -4.27616, 0.38554, 0.10291, -2.65272, 0.05000, 9.01506, 2.62678, true
-6.97573, -4.25673, 0.38871, 0.06330, -2.64094, 0.05000, 9.20236, 2.72785, true
-7.18759, -4.23721, 0.39030, 0.03193, -2.63006, 0.05000, 9.38766, 2.83056, true
-7.39847, -4.21767, 0.39071, 0.00816, -2.62008, 0.05000, 9.57102, 2.93472, true
-7.60838, -4.19816, 0.39027, -0.00873, -2.61099, 0.05000, 9.75254, 3.04014, true
-7.81732, -4.17870, 0.38930, -0.01942, -2.60279, 0.05000, 9.93231, 3.14662, true
-8.02528, -4.15929, 0.38807, -0.02462, -2.59549, 0.05000, 10.11041, 3.25399, true
-8.23228, -4.13995, 0.38682, -0.02497, -2.58907, 0.05000, 10.28695, 3.36208, true
-8.43831, -4.12066, 0.38577, -0.02106, -2.58353, 0.05000, 10.46201, 3.47071, true
-8.64338, -4.10141, 0.38510, -0.01342, -2.57888, 0.05000, 10.63571, 3.57972, true
-8.84749, -4.08216, 0.38497, -0.00250, -2.57511, 0.05000, 10.80813, 3.68895, true
-9.05064, -4.06288, 0.38554, 0.01129, -2.57223, 0.05000, 10.97938, 3.79823, true
-9.25281, -4.04354, 0.38692, 0.02763, -2.57023, 0.05000, 11.14955, 3.90740, true
