position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 2.50000, 3.34020, true
-0.02998, -0.59958, -11.99160, -239.83191, -3.14157, 0.05000, 2.52998, 3.34020, true
-0.08981, -1.19666, -11.94165, 0.99898, -3.14142, 0.05000, 2.58981, 3.34021, true
-0.17926, -1.78887, -11.84409, 1.95114, -3.14091, 0.05000, 2.67926, 3.34024, true
-0.29796, -2.37404, -11.70339, 2.81402, -3.13972, 0.05000, 2.79796, 3.34039, true
-0.44547, -2.95032, -11.52576, 3.55267, -3.13744, 0.05000, 2.94547, 3.34082, true
-0.62129, -3.51626, -11.31871, 4.14082, -3.13360, 0.05000, 3.12128, 3.34187, true
-0.81517, -3.87769, -7.22862, 81.80182, -3.12799, 0.05000, 3.31516, 3.34394, true
-1.00760, -3.84864, 0.58093, 156.19112, -3.12105, 0.05000, 3.50756, 3.34720, true
-1.19867, -3.82134, 0.54611, -0.69643, -3.11286, 0.05000, 3.69857, 3.35189, true
-1.38846, -3.79572, 0.51230, -0.67616, -3.10349, 0.05000, 3.88825, 3.35821, true
-1.57704, -3.77177, 0.47899, -0.66617, -3.09302, 0.05000, 4.07666, 3.36637, true
-1.76452, -3.74949, 0.44574, -0.66516, -3.08153, 0.05000, 4.26386, 3.37653, true
-1.95096, -3.72888, 0.41215, -0.67170, -3.06910, 0.05000, 4.44990, 3.38886, true
-2.13646, -3.70998, 0.37794, -0.68429, -3.05580, 0.05000, 4.63482, 3.40351, true
-2.32110, -3.69284, 0.34287, -0.70130, -3.04171, 0.05000, 4.81867, 3.42062, true
-2.50498, -3.67750, 0.30682, -0.72107, -3.02692, 0.05000, 5.00148, 3.44029, true
-2.68818, -3.66401, 0.26973, -0.74185, -3.01152, 0.05000, 5.18332, 3.46265, true
-2.87080, -3.65243, 0.23163, -0.76192, -2.99558, 0.05000, 5.36420, 3.48777, true
-3.05294, -3.64280, 0.19265, -0.77962, -2.97920, 0.05000, 5.54418, 3.51574, true
-3.23470, -3.63515, 0.15298, -0.79340, -2.96247, 0.05000, 5.72330, 3.54662, true
-3.41617, -3.62950, 0.11288, -0.80191, -2.94548, 0.05000, 5.90159, 3.58047, true
-3.59747, -3.62587, 0.07268, -0.80409, -2.92832, 0.05000, 6.07910, 3.61731, true
-3.77868, -3.62423, 0.03272, -0.79914, -2.91109, 0.05000, 6.25587, 3.65719, true
-3.95991, -3.62457, -0.00661, -0.78664, -2.89387, 0.05000, 6.43194, 3.70012, true
-4.14125, -3.62681, -0.04494, -0.76655, -2.87676, 0.05000, 6.60735, 3.74609, true
-4.32279, -3.63091, -0.08189, -0.73914, -2.85983, 0.05000, 6.78216, 3.79509, true
-4.50463, -3.63676, -0.11715, -0.70504, -2.84317, 0.05000, 6.95640, 3.84711, true
-4.68685, -3.64428, -0.15040, -0.66514, -2.82686, 0.05000, 7.13012, 3.90211, true
-4.86951, -3.65336, -0.18143, -0.62052, -2.81097, 0.05000, 7.30335, 3.96004, true
-5.05271, -3.66386, -0.21005, -0.57241, -2.79555, 0.05000, 7.47616, 4.02085, true
-5.23649, -3.67567, -0.23615, -0.52208, -2.78068, 0.05000, 7.64858, 4.08448, true
-5.42092, -3.68865, -0.25969, -0.47078, -2.76640, 0.05000, 7.82065, 4.15085, true
-5.60606, -3.70268, -0.28068, -0.41968, -2.75276, 0.05000, 7.99244, 4.21987, true
-5.79194, -3.71764, -0.29917, -0.36984, -2.73982, 0.05000, 8.16398, 4.29146, true
-5.97861, -3.73341, -0.31528, -0.32214, -2.72759, 0.05000, 8.33533, 4.36552, true
-6.16610, -3.74986, -0.32914, -0.27730, -2.71612, 0.05000, 8.50654, 4.44194, true
-6.35445, -3.76691, -0.34093, -0.23585, -2.70543, 0.05000, 8.67767, 4.52061, true
-6.54367, -3.78445, -0.35084, -0.19813, -2.69554, 0.05000, 8.84878, 4.60141, true
-6.73379, -3.80241, -0.35906, -0.16435, -2.68648, 0.05000, 9.01992, 4.68422, true
-6.92483, -3.82069, -0.36578, -0.13454, -2.67826, 0.05000, 9.19115, 4.76891, true
-7.11679, -3.83926, -0.37122, -0.10862, -2.67089, 0.05000, 9.36255, 4.85534, true
-7.30969, -3.85803, -0.37554, -0.08643, -2.66438, 0.05000, 9.53419, 4.94340, true
-7.50354, -3.87698, -0.37892, -0.06768, -2.65874, 0.05000, 9.70612, 5.03293, true
